Producto,Puntaje
Maíz grano,1.0909090909090908
Caña de azúcar,2.8181818181818183
Pastos y praderas,3.090909090909091
Agave,3.1818181818181817
Maíz forrajero en verde,5.454545454545454
Tomate rojo (jitomate),6.363636363636363
Chile verde,8.636363636363637
Aguacate,9.454545454545455
Sorgo grano,9.818181818181818
Trigo grano,10.727272727272727
Maíz forrajero seco,11.0
Frambuesa,11.0
Sandía,12.818181818181818
Alfalfa verde,14.0
Plátano,14.0
Papa,14.454545454545455
Tomate verde,16.6
Sorgo forrajero en verde,17.25
Cebolla,18.5
Pasto tapete (m2),19.0
