CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14011
NOMBRE    : APAZULCO
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.306°
LONGITUD  : -104.888°
ALTITUD   : 5 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    3.2    28.0    16.0
02/02/2008    0.0    3.1    30.0    16.0
03/02/2008    0.0    2.5    31.0    16.0
04/02/2008    0.0    2.3    29.0    14.0
05/02/2008    0.0    4.9    28.0    14.0
06/02/2008    0.0    4.2    28.0    14.0
07/02/2008    0.0    6.8    30.0    16.0
08/02/2008    0.0    7.8    28.0    16.0
09/02/2008    0.0    3.4    30.0    15.5
10/02/2008    0.0    2.8    29.0    13.0
11/02/2008    0.0    3.2    28.0    15.0
12/02/2008    0.0    2.9    31.0    15.5
13/02/2008    0.0    2.9    30.0    13.0
14/02/2008    0.0    2.2    30.0    11.0
15/02/2008    0.0    2.3    32.0    11.0
16/02/2008    0.0    5.3    29.0    12.0
17/02/2008    0.0    3.7    26.5    12.0
18/02/2008    0.0    2.8    28.5    14.0
19/02/2008    0.0    3.5    26.0    16.0
20/02/2008    0.0    3.4    26.0    11.5
21/02/2008    0.0    5.1    26.5    12.0
22/02/2008    0.0    3.2    29.0    12.5
23/02/2008    0.0    3.9    27.0    10.0
24/02/2008    0.0    2.6    28.0    14.0
25/02/2008    0.0    5.4    29.0    16.5
26/02/2008    0.0    4.2    29.0    12.0
27/02/2008    0.0    4.2    25.0    14.0
28/02/2008    0.0    3.9    29.0    14.0
29/02/2008    0.0    3.2    30.0    14.0
01/03/2008    0.0    6.1    32.0    13.0
02/03/2008    0.0    3.7    26.0    14.0
03/03/2008    0.0    4.6    28.0    12.5
04/03/2008    0.0    5.1    29.0    13.0
05/03/2008    0.0    4.8    28.0    13.0
06/03/2008    0.0    4.5    27.5    11.0
07/03/2008    0.0    6.0    30.0    8.5
08/03/2008    0.0    6.7    25.0    11.0
09/03/2008    0.0    3.4    28.0    10.0
10/03/2008    0.0    6.1    32.5    11.0
11/03/2008    0.0    7.9    33.0    14.0
12/03/2008    0.0    6.7    30.0    12.0
13/03/2008    0.0    6.5    30.0    8.5
14/03/2008    0.0    5.3    29.0    8.0
15/03/2008    0.0    5.8    33.0    10.0
16/03/2008    0.0    4.0    22.0    10.5
17/03/2008    0.0    3.8    29.0    11.0
18/03/2008    0.0    4.2    26.0    11.0
19/03/2008    0.0    5.8    25.0    11.0
20/03/2008    0.0    8.1    20.0    9.0
21/03/2008    0.0    8.4    30.0    13.0
22/03/2008    0.0    6.7    33.0    14.0
23/03/2008    0.0    7.0    29.0    11.0
24/03/2008    0.0    5.5    29.0    11.0
25/03/2008    0.0    3.1    31.5    13.0
26/03/2008    0.0    7.1    33.0    14.0
27/03/2008    0.0    7.2    33.0    14.0
28/03/2008    0.0    7.9    31.0    12.0
29/03/2008    0.0    8.8    31.0    11.0
30/03/2008    0.0    5.7    30.0    12.0
31/03/2008    0.0    7.0    28.0    14.0
01/04/2008    0.0    5.3    28.0    15.5
02/04/2008    0.0    5.1    29.0    16.5
03/04/2008    0.0    4.2    29.0    15.0
04/04/2008    0.0    5.5    30.0    16.0
05/04/2008    0.0    5.7    30.0    14.0
06/04/2008    0.0    4.7    30.0    20.0
07/04/2008    0.0    4.5    30.0    18.0
08/04/2008    0.0    4.5    28.0    18.0
09/04/2008    0.0    5.1    30.0    18.0
10/04/2008    0.0    5.5    28.5    16.0
11/04/2008    0.0    4.1    30.0    16.0
12/04/2008    0.0    6.6    29.0    18.0
13/04/2008    0.0    5.6    29.5    18.0
14/04/2008    0.0    5.2    30.0    18.0
15/04/2008    0.0    4.9    34.0    17.0
16/04/2008    0.0    5.5    32.0    17.0
17/04/2008    0.0    4.5    28.5    17.0
18/04/2008    0.0    5.5    32.0    14.5
19/04/2008    0.0    5.7    30.0    17.0
20/04/2008    0.0    6.4    30.0    17.0
21/04/2008    0.0    8.2    31.0    18.0
22/04/2008    0.0    7.7    29.0    16.0
23/04/2008    0.0    6.7    30.0    18.0
24/04/2008    0.0    7.1    31.0    18.0
25/04/2008    0.0    6.7    31.0    18.0
26/04/2008    0.0    5.7    29.0    20.0
27/04/2008    0.0    6.1    30.0    20.0
28/04/2008    0.0    6.3    29.5    18.0
29/04/2008    0.0    6.5    30.5    20.5
30/04/2008    16.0    7.7    32.0    16.0
01/05/2008    0.0    7.6    31.0    16.0
02/05/2008    0.0    7.6    31.0    17.0
03/05/2008    0.0    6.7    31.5    11.0
04/05/2008    0.0    6.9    30.0    17.0
05/05/2008    0.0    6.5    30.0    18.5
06/05/2008    0.0    6.6    31.0    20.5
07/05/2008    0.0    6.1    31.0    21.0
08/05/2008    0.0    7.2    32.0    17.0
09/05/2008    0.0    6.2    30.0    17.0
10/05/2008    0.0    6.1    31.0    21.0
11/05/2008    0.0    6.1    31.0    19.0
12/05/2008    0.0    6.4    30.0    21.0
13/05/2008    0.0    6.7    32.0    20.0
14/05/2008    0.0    8.5    34.0    21.0
15/05/2008    0.0    7.3    33.0    22.0
16/05/2008    0.0    7.1    33.0    22.0
17/05/2008    0.0    7.3    30.0    22.0
18/05/2008    0.0    6.9    32.0    21.0
19/05/2008    0.0    7.3    32.0    21.0
20/05/2008    0.0    6.7    32.0    20.0
21/05/2008    0.0    6.6    32.0    20.5
22/05/2008    0.0    7.3    32.0    21.0
23/05/2008    0.0    6.7    31.0    17.5
24/05/2008    0.0    6.6    30.5    20.0
25/05/2008    0.0    6.4    30.0    22.0
26/05/2008    0.0    6.1    30.0    22.0
27/05/2008    0.0    5.7    32.0    23.0
28/05/2008    0.0    5.9    33.0    22.0
29/05/2008    0.0    6.9    33.0    22.5
30/05/2008    0.0    5.7    33.0    22.0
31/05/2008    0.0    6.0    33.0    23.0
01/06/2008    0.0    7.0    33.5    23.0
02/06/2008    0.0    6.3    37.0    21.0
03/06/2008    0.0    6.1    29.0    21.0
04/06/2008    0.0    6.3    30.5    21.0
05/06/2008    0.0    6.0    31.0    21.0
06/06/2008    0.0    5.7    33.0    22.0
07/06/2008    0.0    5.4    30.0    24.0
08/06/2008    0.0    5.4    29.0    22.0
09/06/2008    0.0    4.3    26.0    22.0
10/06/2008    0.0    1.3    30.0    24.0
11/06/2008    0.0    3.6    30.0    21.0
12/06/2008    0.0    3.9    30.0    15.0
13/06/2008    0.0    3.7    31.0    18.0
14/06/2008    0.0    4.5    32.0    20.0
15/06/2008    0.0    6.6    33.5    23.0
16/06/2008    0.0    6.0    32.0    24.0
17/06/2008    0.0    6.1    33.0    22.0
18/06/2008    0.0    5.5    33.0    24.0
19/06/2008    0.0    5.2    32.0    24.0
20/06/2008    0.0    6.3    34.0    24.0
21/06/2008    0.0    4.3    32.0    24.0
22/06/2008    0.0    4.7    32.0    25.0
23/06/2008    0.0    5.7    33.5    26.0
24/06/2008    0.0    6.0    36.0    24.0
25/06/2008    0.0    6.1    34.0    26.0
26/06/2008    53.5    4.9    33.0    26.5
27/06/2008    0.0    4.6    34.0    25.0
28/06/2008    0.0    3.9    33.0    25.0
29/06/2008    0.0    3.3    32.0    24.5
30/06/2008    0.0    5.6    34.0    24.0
01/07/2008    3.5    3.4    31.0    26.0
02/07/2008    41.5    2.5    26.5    24.0
03/07/2008    16.5    4.3    29.5    23.0
04/07/2008    2.0    5.4    31.0    22.5
05/07/2008    0.5    5.0    31.0    24.5
06/07/2008    52.5    3.7    28.0    25.0
07/07/2008    23.0    2.0    27.5    23.0
08/07/2008    2.5    1.6    28.0    23.0
09/07/2008    2.5    2.6    29.0    23.5
10/07/2008    40.0    3.7    30.0    23.0
11/07/2008    0.5    2.5    37.5    24.5
12/07/2008    0.0    3.6    32.0    24.0
13/07/2008    20.0    4.2    32.0    22.5
14/07/2008    0.0    3.3    30.0    23.0
15/07/2008    0.0    3.9    32.0    23.5
16/07/2008    1.0    5.0    33.0    23.5
17/07/2008    0.0    5.1    33.0    24.0
18/07/2008    0.0    4.5    32.5    24.0
19/07/2008    0.0    5.3    32.0    25.0
20/07/2008    0.0    4.5    32.0    24.0
21/07/2008    36.0    6.2    33.0    26.0
22/07/2008    35.5    3.8    29.0    24.0
23/07/2008    0.0    4.0    32.0    24.0
24/07/2008    23.5    4.8    31.5    25.0
25/07/2008    9.5    2.9    30.0    23.0
26/07/2008    1.0    3.4    32.0    22.5
27/07/2008    0.0    5.4    32.0    22.0
