CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14018
NOMBRE    : ATOYAC
ESTADO    : JALISCO
MUNICIPIO : ATOYAC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.010°
LONGITUD  : -103.515°
ALTITUD   : 1,350 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    6.5    32.0    8.0
02/01/2008    0.0    5.3    21.5    8.0
03/01/2008    0.0    3.0    22.0    8.0
04/01/2008    0.0    4.9    26.0    4.0
05/01/2008    0.0    2.3    30.0    5.5
06/01/2008    0.0    4.2    31.5    5.0
07/01/2008    0.0    5.4    31.0    6.0
08/01/2008    0.0    6.4    31.0    5.0
09/01/2008    0.0    4.9    30.0    5.0
10/01/2008    0.0    5.3    29.5    5.0
11/01/2008    0.0    3.9    29.0    6.5
12/01/2008    0.0    4.8    29.0    5.0
13/01/2008    0.0    5.0    30.0    4.5
14/01/2008    0.0    4.8    26.5    4.5
15/01/2008    0.0    5.2    27.0    9.0
16/01/2008    0.0    6.2    26.0    7.0
17/01/2008    0.0    4.9    26.0    7.0
18/01/2008    0.0    4.7    28.0    8.0
19/01/2008    0.0    3.1    29.0    8.5
20/01/2008    0.0    4.2    27.5    8.0
21/01/2008    0.0    5.1    29.5    7.5
22/01/2008    0.0    3.7    29.0    8.0
23/01/2008    0.0    3.9    33.5    8.5
24/01/2008    0.0    6.3    33.5    9.5
25/01/2008    0.0    5.3    32.0    10.5
26/01/2008    0.0    5.6    33.0    11.0
27/01/2008    0.0    5.0    32.0    10.0
28/01/2008    0.0    5.8    31.5    10.0
29/01/2008    0.0    5.5    29.5    9.5
30/01/2008    0.0    6.1    30.0    9.5
31/01/2008    0.0    5.0    31.0    8.5
01/02/2008    0.0    7.6    30.0    8.5
02/02/2008    0.0    4.7    30.5    7.5
03/02/2008    0.0    4.9    30.5    8.5
04/02/2008    0.0    5.7    31.0    8.5
05/02/2008    0.0    6.3    30.0    7.0
06/02/2008    0.0    5.7    30.0    7.5
07/02/2008    0.0    4.3    30.0    7.0
08/02/2008    0.0    4.9    31.5    9.5
09/02/2008    0.0    4.2    30.0    8.5
10/02/2008    0.0    5.1    32.0    7.0
11/02/2008    0.0    6.5    30.5    8.0
12/02/2008    0.0    6.9    29.0    8.5
