CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14046
NOMBRE    : EL CHANTE
ESTADO    : JALISCO
MUNICIPIO : AUTLAN DE NAVARRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.719°
LONGITUD  : -104.203°
ALTITUD   : 900 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    4.3    34.3    12.2
02/01/2008    0.0    6.5    30.3    12.3
03/01/2008    0.0    4.9    30.8    12.0
04/01/2008    0.0    4.9    32.8    9.2
05/01/2008    0.0    2.7    31.5    9.5
06/01/2008    0.0    3.1    33.2    8.5
07/01/2008    0.0    4.5    32.2    7.9
08/01/2008    0.0    4.1    32.2    7.6
09/01/2008    0.0    4.2    32.0    7.7
10/01/2008    0.0    3.8    31.3    7.5
11/01/2008    0.0    3.6    28.6    7.6
12/01/2008    0.0    4.0    31.2    6.7
13/01/2008    0.0    3.9    31.5    6.0
14/01/2008    0.0    3.5    29.2    7.3
15/01/2008    0.0    4.4    28.7    10.5
16/01/2008    0.0    3.8    28.3    8.0
17/01/2008    0.0    3.8    26.8    6.7
18/01/2008    0.0    3.6    28.6    7.3
19/01/2008    0.0    3.9    35.1    9.4
20/01/2008    0.0    3.7    29.8    9.8
21/01/2008    0.0    4.4    31.7    10.1
22/01/2008    0.0    3.4    29.6    11.5
23/01/2008    0.0    5.0    35.0    10.1
24/01/2008    0.0    3.8    33.0    10.8
25/01/2008    0.0    3.8    32.5    12.2
26/01/2008    0.0    4.4    33.7    12.2
27/01/2008    0.0    4.6    33.3    11.6
28/01/2008    0.0    4.4    33.3    11.9
29/01/2008    0.0    4.5    34.2    11.8
30/01/2008    0.0    4.7    31.4    11.5
31/01/2008    0.0    4.4    32.3    11.0
01/02/2008    0.0    5.0    28.0    9.0
02/02/2008    0.0    3.4    29.0    10.0
03/02/2008    0.0    3.3    27.0    9.0
04/02/2008    0.0    3.0    28.0    8.0
05/02/2008    0.0    4.7    26.0    9.0
06/02/2008    0.0    3.9    29.0    8.0
07/02/2008    0.0    5.9    28.0    10.0
08/02/2008    0.0    6.9    29.0    9.0
09/02/2008    0.0    3.9    28.0    10.0
10/02/2008    0.0    5.6    30.0    9.0
11/02/2008    0.0    5.8    28.0    11.0
12/02/2008    0.0    3.2    27.0    10.0
13/02/2008    0.0    4.0    28.0    9.0
14/02/2008    0.0    7.1    29.0    10.0
15/02/2008    0.0    5.0    28.0    9.0
16/02/2008    0.0    5.6    26.0    8.0
17/02/2008    0.0    5.2    28.0    11.0
18/02/2008    0.0    3.1    27.0    10.0
19/02/2008    0.0    3.8    29.0    9.0
20/02/2008    0.0    3.8    30.0    10.0
21/02/2008    0.0    5.1    29.0    12.0
22/02/2008    0.0    3.8    28.0    10.0
23/02/2008    0.0    4.9    30.0    11.0
24/02/2008    0.0    4.9    29.0    12.0
25/02/2008    0.0    6.1    28.0    10.0
26/02/2008    0.0    4.1    27.0    9.0
27/02/2008    0.0    8.5    29.0    8.0
28/02/2008    0.0    5.2    28.0    9.0
29/02/2008    0.0    6.0    29.0    8.0
01/03/2008    0.0    3.2    30.0    12.0
02/03/2008    0.0    4.6    29.0    14.0
03/03/2008    0.0    4.7    28.0    13.0
04/03/2008    0.0    4.2    29.0    12.0
05/03/2008    0.0    5.1    30.0    14.0
06/03/2008    0.0    4.4    30.0    13.0
07/03/2008    0.0    4.6    29.0    12.0
08/03/2008    0.0    4.6    28.0    10.0
09/03/2008    0.0    5.3    30.0    13.0
10/03/2008    0.0    1.7    31.0    14.0
11/03/2008    0.0    3.1    30.0    13.0
12/03/2008    0.0    3.8    32.0    12.0
13/03/2008    0.0    4.4    30.0    13.0
14/03/2008    0.0    5.2    29.0    12.0
15/03/2008    0.0    5.5    29.0    10.0
16/03/2008    0.0    4.1    31.0    11.0
17/03/2008    0.0    3.5    32.0    13.0
18/03/2008    0.0    8.6    30.0    14.0
19/03/2008    0.0    4.2    31.0    11.0
20/03/2008    0.0    6.9    30.0    13.0
21/03/2008    0.0    4.8    31.0    12.0
22/03/2008    0.0    4.3    32.0    11.0
23/03/2008    0.0    4.2    31.0    12.0
24/03/2008    0.0    4.2    29.0    13.0
25/03/2008    0.0    5.1    30.0    14.0
26/03/2008    0.0    4.6    34.0    13.0
27/03/2008    0.0    5.8    32.0    15.0
28/03/2008    0.0    4.2    30.0    13.0
29/03/2008    0.0    2.9    33.0    16.0
30/03/2008    0.0    4.7    31.0    13.0
31/03/2008    0.0    8.4    34.0    12.0
01/04/2008    0.0    3.4    33.0    14.0
02/04/2008    0.0    8.1    34.0    15.0
03/04/2008    0.0    5.2    32.0    14.0
04/04/2008    0.0    5.7    33.0    13.0
05/04/2008    0.0    2.7    32.0    14.0
06/04/2008    0.0    2.7    31.0    13.0
07/04/2008    0.0    7.9    34.0    16.0
08/04/2008    0.0    7.9    34.0    16.0
09/04/2008    0.0    6.4    32.0    15.0
10/04/2008    0.0    3.9    31.0    14.0
11/04/2008    0.0    6.7    33.0    16.0
12/04/2008    0.0    5.6    35.0    15.0
13/04/2008    0.0    4.9    32.0    17.0
14/04/2008    0.0    4.8    31.0    16.0
15/04/2008    0.0    5.5    32.0    15.0
16/04/2008    0.0    4.7    31.0    14.0
17/04/2008    0.0    4.3    30.0    15.0
18/04/2008    0.0    4.7    32.0    14.0
19/04/2008    0.0    4.4    30.0    13.0
20/04/2008    0.0    4.3    31.0    15.0
21/04/2008    0.0    4.3    32.0    14.0
22/04/2008    0.0    5.1    30.0    13.0
23/04/2008    0.0    3.2    31.0    16.0
