CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14048
NOMBRE    : EL CHIFLON
ESTADO    : JALISCO
MUNICIPIO : CIHUATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.292°
LONGITUD  : -104.558°
ALTITUD   : 360 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    4.3    34.5    15.5
02/02/2008    0.0    5.0    35.5    15.0
03/02/2008    0.0    5.1    35.5    12.0
04/02/2008    0.0    4.9    35.5    11.5
05/02/2008    0.0    4.4    34.0    11.0
06/02/2008    0.0    4.7    34.0    11.5
07/02/2008    0.0    4.0    34.0    12.0
08/02/2008    0.0    3.5    33.0    13.0
09/02/2008    0.0    4.5    34.5    14.5
10/02/2008    0.0    4.2    36.0    14.5
11/02/2008    0.0    5.4    37.0    14.0
12/02/2008    0.0    4.5    34.5    12.5
13/02/2008    0.0    5.2    36.0    11.0
14/02/2008    0.0    5.9    35.5    9.0
15/02/2008    0.0    5.6    37.5    9.0
16/02/2008    0.0    5.5    37.5    9.0
17/02/2008    0.0    5.2    36.0    9.5
18/02/2008    0.0    4.9    34.0    10.0
19/02/2008    0.0    4.2    34.0    10.5
20/02/2008    0.0    4.8    34.5    10.0
21/02/2008    0.0    4.7    35.5    10.0
22/02/2008    0.0    5.7    36.0    11.5
23/02/2008    0.0    5.6    38.0    10.5
24/02/2008    0.0    5.9    37.5    11.0
25/02/2008    0.0    6.1    37.5    11.5
26/02/2008    0.0    5.6    36.5    10.0
27/02/2008    0.0    5.6    33.5    10.0
28/02/2008    0.0    5.6    34.5    10.0
29/02/2008    0.0    6.2    36.5    10.5
01/03/2008    0.0    5.3    38.0    11.5
02/03/2008    0.0    5.6    36.5    9.5
03/03/2008    0.0    5.4    36.5    10.5
04/03/2008    0.0    6.0    35.5    10.5
05/03/2008    0.0    6.5    37.0    9.5
06/03/2008    0.0    6.9    37.0    8.0
07/03/2008    0.0    6.8    36.5    6.0
08/03/2008    0.0    7.0    36.0    4.0
09/03/2008    0.0    6.7    35.5    5.0
10/03/2008    0.0    6.4    37.5    6.0
11/03/2008    0.0    7.1    37.5    9.5
12/03/2008    0.0    7.3    38.5    11.0
13/03/2008    0.0    7.4    37.5    8.5
14/03/2008    0.0    6.9    37.5    7.0
15/03/2008    0.0    6.5    37.0    7.0
16/03/2008    0.0    7.2    36.5    8.5
17/03/2008    0.0    6.3    36.0    9.0
18/03/2008    0.0    6.6    34.0    9.5
19/03/2008    0.0    7.3    36.0    8.5
20/03/2008    0.0    6.9    36.5    9.0
21/03/2008    0.0    7.6    39.5    12.5
22/03/2008    0.0    7.4    40.0    11.5
23/03/2008    0.0    7.2    39.0    9.5
24/03/2008    0.0    7.2    38.0    9.0
25/03/2008    0.0    7.5    38.0    10.5
26/03/2008    0.0    7.2    39.5    12.5
27/03/2008    0.0    7.9    40.0    11.5
28/03/2008    0.0    8.3    39.0    9.5
29/03/2008    0.0    8.4    39.0    8.5
30/03/2008    0.0    7.4    38.0    8.5
31/03/2008    0.0    7.5    39.0    9.0
01/04/2008    0.0    6.9    38.5    11.0
02/04/2008    0.0    6.9    37.5    11.5
03/04/2008    0.0    7.5    38.5    13.5
04/04/2008    0.0    6.4    38.5    12.0
05/04/2008    0.0    7.1    35.5    12.5
06/04/2008    0.0    6.7    37.0    16.0
07/04/2008    0.0    7.4    38.0    16.5
08/04/2008    0.0    6.7    36.5    15.5
09/04/2008    0.0    7.1    37.0    15.0
10/04/2008    0.0    6.9    36.5    15.0
11/04/2008    0.0    7.7    39.0    15.5
12/04/2008    0.0    6.9    39.0    13.5
13/04/2008    0.0    6.5    38.5    14.0
14/04/2008    0.0    8.2    38.5    18.0
15/04/2008    0.0    8.8    39.0    15.5
16/04/2008    0.0    8.4    40.0    15.0
17/04/2008    0.0    7.4    37.5    11.0
18/04/2008    0.0    8.2    39.5    11.5
19/04/2008    0.0    6.8    38.5    12.5
20/04/2008    0.0    8.1    40.5    13.0
21/04/2008    0.0    7.9    41.5    14.0
22/04/2008    0.0    7.3    39.0    14.0
23/04/2008    0.0    7.1    39.0    15.0
24/04/2008    0.0    8.0    40.0    16.0
25/04/2008    0.0    7.4    39.5    15.5
26/04/2008    0.0    6.0    38.5    16.0
27/04/2008    0.0    6.9    38.0    16.5
28/04/2008    0.0    7.4    39.0    17.0
29/04/2008    0.0    7.5    37.5    14.5
30/04/2008    0.0    7.9    38.5    15.0
01/05/2008    0.0    8.2    40.0    13.5
02/05/2008    0.0    9.4    40.5    13.5
03/05/2008    0.0    7.8    39.0    11.5
04/05/2008    0.0    7.8    38.5    12.0
05/05/2008    0.0    7.3    39.0    13.5
06/05/2008    0.0    7.3    39.0    14.0
07/05/2008    0.0    6.8    38.0    18.5
08/05/2008    0.0    7.7    39.0    11.0
09/05/2008    0.0    7.1    39.0    11.5
10/05/2008    0.0    7.2    39.0    17.5
11/05/2008    0.0    7.1    38.5    19.0
12/05/2008    0.0    7.3    38.5    18.5
13/05/2008    0.0    7.1    39.5    18.5
14/05/2008    0.0    9.5    40.0    18.5
15/05/2008    0.0    7.3    38.0    18.5
16/05/2008    0.0    7.2    38.5    19.0
17/05/2008    0.0    7.3    38.5    18.5
18/05/2008    0.0    7.3    38.5    18.0
19/05/2008    0.0    7.4    37.5    17.5
20/05/2008    0.0    7.1    37.0    18.0
21/05/2008    0.0    6.2    35.5    17.0
22/05/2008    0.0    7.3    34.5    15.5
23/05/2008    0.0    6.7    36.0    16.0
24/05/2008    0.0    6.9    36.0    17.0
25/05/2008    0.0    6.5    36.0    19.5
26/05/2008    0.0    5.9    36.5    20.5
27/05/2008    0.4    5.9    35.5    20.0
28/05/2008    0.2    6.0    36.5    20.5
29/05/2008    0.0    7.5    38.0    21.5
30/05/2008    0.0    7.0    37.5    20.0
31/05/2008    0.0    7.5    39.0    20.5
01/06/2008    0.0    7.2    38.0    20.5
02/06/2008    0.0    6.6    38.5    18.5
03/06/2008    0.0    6.8    37.0    19.0
04/06/2008    0.0    7.2    36.0    20.0
05/06/2008    0.0    7.2    36.5    20.5
06/06/2008    0.0    6.2    36.0    22.5
07/06/2008    0.0    6.1    36.5    23.0
08/06/2008    0.0    6.3    37.0    22.5
09/06/2008    19.3    2.6    30.5    22.0
10/06/2008    5.3    0.5    34.5    21.0
11/06/2008    0.0    3.8    31.0    20.0
12/06/2008    0.0    3.3    33.0    20.5
13/06/2008    0.0    4.5    33.0    21.0
14/06/2008    5.5    3.7    34.0    22.5
15/06/2008    2.5    6.2    37.0    20.5
16/06/2008    0.0    7.0    37.5    21.0
17/06/2008    0.0    7.5    38.0    20.0
18/06/2008    0.0    6.1    37.5    20.5
19/06/2008    0.3    5.6    36.5    21.0
20/06/2008    16.5    6.8    37.0    23.0
21/06/2008    9.5    3.9    33.0    20.5
22/06/2008    15.1    4.3    34.5    20.5
23/06/2008    0.0    5.7    36.0    20.5
24/06/2008    3.2    5.7    39.0    20.5
25/06/2008    4.0    5.6    37.5    21.0
26/06/2008    31.0    4.4    36.5    21.0
27/06/2008    8.3    5.2    35.0    22.0
28/06/2008    0.0    3.7    33.0    21.5
29/06/2008    1.9    3.5    32.0    22.0
30/06/2008    9.3    4.9    37.0    22.0
01/07/2008    4.0    2.8    32.0    21.5
02/07/2008    13.7    1.1    27.0    22.0
03/07/2008    6.4    2.9    31.5    21.0
04/07/2008    0.0    5.2    34.0    21.0
05/07/2008    95.9    4.9    34.5    21.5
06/07/2008    20.0    4.0    32.5    22.0
07/07/2008    54.0    0.8    24.5    22.0
08/07/2008    31.4    1.2    29.0    21.0
09/07/2008    5.4    2.4    29.0    20.5
10/07/2008    0.7    4.1    32.5    20.5
11/07/2008    19.2    2.5    30.5    21.0
12/07/2008    13.0    2.9    32.5    21.0
13/07/2008    1.2    2.5    32.5    21.5
14/07/2008    23.8    2.8    31.5    21.5
15/07/2008    5.3    4.3    33.5    21.0
16/07/2008    9.1    4.4    34.5    20.0
17/07/2008    4.8    5.3    32.5    20.5
18/07/2008    3.6    4.4    32.5    21.0
19/07/2008    27.8    4.4    34.0    21.5
20/07/2008    1.0    4.3    33.5    22.0
21/07/2008    7.5    4.9    35.5    21.5
22/07/2008    1.4    2.4    31.0    22.0
23/07/2008    8.4    3.7    33.0    22.0
24/07/2008    23.8    4.1    34.0    22.5
25/07/2008    6.9    2.5    31.5    22.5
26/07/2008    9.3    3.0    31.5    20.5
27/07/2008    0.0    4.7    33.0    20.0
