CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14052
NOMBRE    : EL NOGAL
ESTADO    : JALISCO
MUNICIPIO : TAPALPA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.897°
LONGITUD  : -103.787°
ALTITUD   : 2,000 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    2.0    23.0    2.0
02/02/2008    0.0    2.1    24.0    2.0
03/02/2008    0.0    2.8    21.0    2.0
04/02/2008    0.0    2.0    22.0    -2.0
05/02/2008    0.0    3.9    21.0    -2.0
06/02/2008    0.0    2.1    22.0    -2.0
07/02/2008    0.0    2.2    26.0    -1.0
08/02/2008    0.0    2.6    24.0    4.0
09/02/2008    0.0    2.1    25.0    9.0
10/02/2008    0.0    3.1    25.0    9.0
11/02/2008    0.0    2.0    22.0    7.0
12/02/2008    0.0    3.8    21.0    2.0
13/02/2008    0.0    4.0    22.0    1.0
14/02/2008    0.0    6.1    21.5    0.0
15/02/2008    0.0    5.5    23.5    0.5
16/02/2008    0.0    4.4    25.0    1.5
17/02/2008    0.0    5.4    24.0    1.0
18/02/2008    0.0    6.0    23.5    1.5
19/02/2008    0.0    5.4    22.5    -1.0
20/02/2008    0.0    5.2    24.0    -1.0
21/02/2008    0.0    6.1    23.0    0.0
22/02/2008    0.0    4.4    25.0    2.0
23/02/2008    0.0    6.7    26.5    2.5
24/02/2008    0.0    6.3    29.0    3.5
25/02/2008    0.0    5.4    25.0    5.0
26/02/2008    0.0    6.2    25.5    1.5
27/02/2008    0.0    5.2    25.5    2.0
28/02/2008    0.0    5.8    22.5    3.0
29/02/2008    0.0    5.4    23.0    1.0
01/03/2008    0.0    5.3    25.0    2.0
02/03/2008    0.0    5.6    24.0    2.5
03/03/2008    0.0    7.4    24.0    -1.0
04/03/2008    0.0    4.7    23.0    1.0
05/03/2008    0.0    7.4    24.0    1.5
06/03/2008    0.0    6.9    23.0    0.5
07/03/2008    0.0    6.1    22.0    -3.0
08/03/2008    0.0    7.6    20.0    -2.0
09/03/2008    0.0    6.3    21.0    -0.5
10/03/2008    0.0    6.0    23.0    1.0
11/03/2008    0.0    5.9    23.0    2.5
12/03/2008    0.0    6.8    24.0    2.5
13/03/2008    0.0    6.7    24.0    3.0
14/03/2008    0.0    6.9    24.5    0.5
15/03/2008    0.0    7.1    24.5    0.5
16/03/2008    0.0    7.1    25.0    1.0
17/03/2008    0.0    7.2    23.0    1.0
18/03/2008    0.0    7.1    21.5    2.5
19/03/2008    0.0    6.8    24.5    8.0
20/03/2008    0.0    6.6    25.0    3.0
21/03/2008    0.0    6.3    25.5    4.0
22/03/2008    0.0    6.7    25.0    5.0
23/03/2008    0.0    6.4    25.0    3.0
24/03/2008    0.0    5.2    24.5    3.5
25/03/2008    0.0    5.8    24.0    3.5
26/03/2008    0.0    7.1    25.5    5.0
27/03/2008    0.0    7.4    25.5    4.0
28/03/2008    0.0    7.9    25.0    3.0
29/03/2008    0.0    7.8    25.5    3.5
30/03/2008    0.0    7.8    25.5    4.0
31/03/2008    0.0    8.6    28.0    3.5
01/04/2008    0.0    7.8    23.0    5.0
02/04/2008    0.0    8.4    23.5    6.0
03/04/2008    0.0    8.1    28.5    6.5
04/04/2008    0.0    8.1    28.0    7.0
05/04/2008    0.0    7.8    24.0    4.5
06/04/2008    0.0    7.3    24.5    4.5
07/04/2008    0.0    7.3    27.0    4.5
08/04/2008    0.0    7.3    26.5    5.5
09/04/2008    0.0    7.8    26.5    3.5
10/04/2008    0.0    8.1    27.0    4.0
11/04/2008    0.0    7.8    28.0    4.5
12/04/2008    0.0    7.3    27.5    9.5
13/04/2008    18.8    6.8    27.0    11.0
14/04/2008    0.0    6.8    23.5    12.5
15/04/2008    0.9    2.5    24.0    9.0
16/04/2008    0.0    6.2    27.0    8.0
17/04/2008    0.0    6.4    27.0    4.5
18/04/2008    0.0    7.3    28.0    3.5
19/04/2008    0.0    7.4    28.5    8.0
20/04/2008    0.0    7.3    29.5    8.0
21/04/2008    0.0    7.6    30.5    7.0
22/04/2008    0.0    9.4    30.5    7.5
23/04/2008    0.0    8.8    29.0    8.0
24/04/2008    0.0    7.9    27.0    6.0
25/04/2008    0.0    7.9    27.0    6.0
26/04/2008    0.0    7.8    25.0    7.0
27/04/2008    0.0    8.1    30.0    8.0
28/04/2008    0.0    6.8    28.5    7.0
29/04/2008    0.0    8.0    26.0    8.5
30/04/2008    0.0    8.1    26.0    5.5
01/05/2008    0.0    8.9    27.0    4.5
02/05/2008    0.0    8.4    27.0    5.0
03/05/2008    0.0    8.6    28.0    5.5
04/05/2008    0.0    8.6    28.5    5.0
05/05/2008    0.0    8.2    28.0    10.0
06/05/2008    0.0    4.2    27.5    10.0
07/05/2008    0.0    6.8    26.5    9.5
08/05/2008    0.0    8.3    28.5    8.0
09/05/2008    0.0    8.1    29.0    9.0
10/05/2008    0.0    7.7    30.0    11.0
11/05/2008    0.0    8.1    29.5    10.5
12/05/2008    0.2    5.4    28.0    10.0
13/05/2008    0.0    8.1    27.0    8.0
14/05/2008    0.0    7.5    27.0    9.0
15/05/2008    0.0    7.2    27.0    11.5
16/05/2008    0.0    7.2    27.0    11.0
17/05/2008    0.0    6.9    27.0    11.0
18/05/2008    0.0    7.1    27.0    10.0
19/05/2008    0.0    7.1    25.0    7.0
20/05/2008    0.0    4.8    25.0    8.5
21/05/2008    2.2    6.2    24.0    8.5
22/05/2008    0.0    6.6    22.5    8.0
23/05/2008    0.0    6.8    27.0    5.0
24/05/2008    0.0    6.5    27.0    6.0
25/05/2008    0.0    6.3    27.0    6.5
26/05/2008    0.0    6.9    27.0    7.5
27/05/2008    0.0    7.9    26.5    9.0
28/05/2008    1.7    6.9    26.0    16.5
29/05/2008    0.0    6.8    26.5    12.5
30/05/2008    0.0    6.0    27.0    11.5
31/05/2008    0.0    5.7    27.5    11.0
01/06/2008    0.0    6.1    28.0    11.5
02/06/2008    0.0    8.8    30.0    11.0
03/06/2008    0.0    9.2    29.0    12.5
04/06/2008    0.0    7.7    26.0    10.0
05/06/2008    0.0    7.9    25.5    11.5
06/06/2008    0.0    5.6    25.5    9.0
07/06/2008    0.0    5.1    25.5    10.0
08/06/2008    5.8    4.0    25.0    13.5
09/06/2008    43.8    2.7    25.0    15.0
10/06/2008    0.0    3.9    25.0    14.0
11/06/2008    0.0    2.8    20.0    13.0
12/06/2008    2.5    2.7    18.5    14.0
13/06/2008    0.0    3.0    20.0    13.5
14/06/2008    7.3    2.9    24.0    13.0
15/06/2008    9.2    3.1    25.0    12.5
16/06/2008    0.0    4.9    23.5    12.5
17/06/2008    0.0    5.2    25.5    11.5
18/06/2008    0.0    6.1    25.5    13.0
19/06/2008    0.0    3.0    25.0    12.5
20/06/2008    24.3    4.7    25.5    12.0
21/06/2008    12.5    3.5    25.0    12.5
22/06/2008    0.0    4.6    25.5    13.0
23/06/2008    0.0    2.0    22.5    13.0
24/06/2008    25.4    4.3    24.0    13.0
25/06/2008    0.0    4.7    24.0    13.0
26/06/2008    0.0    2.6    23.0    12.0
27/06/2008    0.0    3.9    24.0    12.5
28/06/2008    13.0    3.7    24.0    13.0
29/06/2008    0.0    4.0    23.0    13.0
30/06/2008    8.4    3.8    23.5    13.0
01/07/2008    0.0    4.2    23.0    14.0
02/07/2008    26.8    3.2    21.5    14.0
03/07/2008    4.5    1.6    20.0    13.5
04/07/2008    13.8    2.9    20.5    10.5
05/07/2008    4.7    3.2    23.0    11.0
06/07/2008    9.6    3.8    22.0    14.0
07/07/2008    5.9    1.9    19.0    14.0
08/07/2008    21.8    1.4    18.0    14.0
09/07/2008    37.2    1.2    17.0    14.0
10/07/2008    3.1    3.0    21.0    13.5
11/07/2008    0.0    3.2    22.5    13.5
12/07/2008    0.0    3.4    23.0    13.0
13/07/2008    0.4    3.2    23.0    13.0
14/07/2008    0.0    4.2    22.5    12.0
15/07/2008    4.4    4.4    23.0    12.5
16/07/2008    0.0    3.0    23.5    10.5
17/07/2008    0.0    3.1    21.5    10.0
18/07/2008    0.0    3.5    22.0    11.5
19/07/2008    0.0    3.3    22.5    12.0
20/07/2008    2.9    3.3    23.5    12.0
21/07/2008    0.0    3.8    23.5    13.0
22/07/2008    0.0    3.5    22.5    12.0
23/07/2008    0.0    3.1    23.5    13.0
24/07/2008    7.0    3.1    23.0    12.5
25/07/2008    0.0    3.3    23.0    14.5
26/07/2008    8.8    3.1    23.0    14.0
27/07/2008    0.2    2.3    21.5    11.5
