CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14059
NOMBRE    : EL TUITO
ESTADO    : JALISCO
MUNICIPIO : CABO CORRIENTES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.320°
LONGITUD  : -105.326°
ALTITUD   : 600 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    2.2    31.0    7.0
02/01/2008    0.0    3.1    33.0    6.5
03/01/2008    0.0    3.9    32.0    11.0
04/01/2008    0.0    5.3    32.0    7.0
05/01/2008    0.0    3.0    32.0    7.0
06/01/2008    0.0    2.4    32.0    7.0
07/01/2008    0.0    4.4    29.0    7.0
08/01/2008    0.0    4.1    29.0    8.5
09/01/2008    0.0    4.2    31.0    6.0
10/01/2008    0.0    3.3    31.0    5.0
11/01/2008    0.0    2.3    31.0    3.5
12/01/2008    0.0    4.6    31.0    4.5
13/01/2008    0.0    2.9    31.0    3.5
14/01/2008    0.0    3.0    31.0    5.0
15/01/2008    0.0    2.9    30.0    6.0
16/01/2008    0.0    2.3    30.5    8.0
17/01/2008    0.0    4.7    30.0    4.5
18/01/2008    0.0    2.1    30.0    4.5
19/01/2008    0.0    4.0    30.5    4.5
20/01/2008    0.0    3.4    30.5    4.5
21/01/2008    0.0    3.8    31.0    4.5
22/01/2008    0.0    2.9    31.0    4.5
23/01/2008    0.0    4.9    33.0    4.5
24/01/2008    0.0    3.2    33.0    9.5
25/01/2008    0.0    2.4    33.0    9.5
26/01/2008    0.0    4.0    33.0    9.5
27/01/2008    0.0    4.0    33.0    9.5
28/01/2008    0.0    6.5    33.0    9.5
29/01/2008    0.0    5.9    33.0    9.5
30/01/2008    0.0    3.6    33.0    9.5
31/01/2008    0.0    3.0    33.0    9.5
01/02/2008    0.0    3.6    34.0    9.5
02/02/2008    0.0    4.8    30.0    9.5
03/02/2008    0.0    4.8    31.5    8.0
04/02/2008    0.0    4.7    32.0    8.0
05/02/2008    0.0    2.6    31.5    7.0
06/02/2008    0.0    5.4    32.0    7.5
07/02/2008    0.0    3.8    31.0    8.0
