CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14078
NOMBRE    : JUCHITLAN
ESTADO    : JALISCO
MUNICIPIO : JUCHITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.083°
LONGITUD  : -104.098°
ALTITUD   : 1,230 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    5.4    29.0    10.0
02/02/2008    0.0    4.4    28.0    9.0
03/02/2008    0.0    5.1    28.0    9.0
04/02/2008    0.0    4.9    29.0    9.0
05/02/2008    0.0    6.2    29.0    9.0
06/02/2008    0.0    4.3    28.0    8.0
07/02/2008    0.0    5.6    28.0    9.0
08/02/2008    0.0    4.4    28.0    12.0
09/02/2008    0.0    4.6    28.0    10.0
10/02/2008    0.0    4.6    29.0    10.0
11/02/2008    0.0    5.2    30.0    11.0
12/02/2008    0.0    3.9    29.0    10.0
13/02/2008    0.0    5.8    29.0    8.0
14/02/2008    0.0    4.9    29.0    8.0
15/02/2008    0.0    5.0    29.0    8.0
16/02/2008    0.0    5.7    29.0    9.0
17/02/2008    0.0    8.7    31.0    9.0
18/02/2008    0.0    7.2    30.0    9.0
19/02/2008    0.0    5.9    30.0    8.0
20/02/2008    0.0    5.8    29.0    8.0
21/02/2008    0.0    6.8    30.0    8.0
22/02/2008    0.0    4.8    30.0    9.0
23/02/2008    0.0    5.4    31.0    10.0
24/02/2008    0.0    9.4    33.0    10.0
25/02/2008    0.0    5.8    35.0    11.0
26/02/2008    0.0    7.8    31.0    10.0
27/02/2008    0.0    5.0    33.0    10.0
28/02/2008    0.0    6.6    32.0    9.0
29/02/2008    0.0    5.7    29.0    9.0
01/03/2008    0.0    5.8    30.0    9.0
02/03/2008    0.0    5.3    32.0    10.0
03/03/2008    0.0    5.6    31.0    8.0
04/03/2008    0.0    6.0    31.0    9.0
05/03/2008    0.0    6.4    30.0    10.0
06/03/2008    0.0    4.6    32.0    8.0
07/03/2008    0.0    5.8    29.0    6.0
08/03/2008    0.0    5.7    28.0    6.0
09/03/2008    0.0    6.2    28.0    7.0
10/03/2008    0.0    5.6    27.0    7.0
11/03/2008    0.0    4.6    30.0    7.0
12/03/2008    0.0    7.4    30.0    10.0
13/03/2008    0.0    6.4    31.0    9.0
14/03/2008    0.0    5.8    31.0    10.0
15/03/2008    0.0    7.3    31.0    10.0
16/03/2008    0.0    6.2    32.0    10.0
17/03/2008    0.0    6.4    31.0    9.0
18/03/2008    0.0    7.4    28.0    11.0
19/03/2008    0.0    6.3    32.0    8.0
20/03/2008    0.0    5.9    30.0    10.0
21/03/2008    0.0    6.8    30.0    9.0
22/03/2008    0.0    5.1    31.0    12.0
23/03/2008    0.0    6.7    32.0    12.0
24/03/2008    0.0    6.7    31.0    10.0
25/03/2008    0.0    5.5    31.0    11.0
26/03/2008    0.0    6.8    30.0    12.0
27/03/2008    0.0    7.2    32.0    12.0
28/03/2008    0.0    7.7    35.0    12.0
29/03/2008    0.0    7.3    31.0    10.0
30/03/2008    0.0    6.1    32.0    11.0
31/03/2008    0.0    7.8    32.0    11.0
01/04/2008    0.0    7.3    32.0    12.0
02/04/2008    0.0    7.4    35.0    12.0
03/04/2008    0.0    8.8    36.0    13.0
04/04/2008    0.0    7.1    37.0    14.0
05/04/2008    0.0    8.9    35.0    13.0
06/04/2008    0.0    8.7    31.0    14.0
07/04/2008    0.0    10.4    31.0    14.0
08/04/2008    0.0    6.6    34.0    14.0
09/04/2008    0.0    13.1    34.0    14.0
10/04/2008    0.0    11.6    33.0    13.0
11/04/2008    0.0    10.0    34.0    13.0
12/04/2008    0.0    12.6    34.0    14.0
13/04/2008    0.0    8.3    34.0    14.0
14/04/2008    0.0    7.7    34.0    17.0
15/04/2008    0.0    5.7    32.0    15.5
16/04/2008    0.0    6.9    33.0    14.0
17/04/2008    0.0    7.7    34.0    12.0
18/04/2008    0.0    8.4    35.0    12.1
19/04/2008    0.0    8.9    31.0    12.0
20/04/2008    0.0    10.0    35.0    12.0
21/04/2008    0.0    7.8    35.0    14.0
22/04/2008    0.0    8.4    37.0    15.0
23/04/2008    0.0    10.3    38.0    14.0
24/04/2008    0.0    10.9    37.0    15.0
25/04/2008    0.0    10.4    35.0    14.0
26/04/2008    0.0    9.1    37.0    14.0
27/04/2008    0.0    7.5    36.0    14.0
28/04/2008    0.0    8.1    35.0    15.0
29/04/2008    0.0    7.5    34.0    14.0
30/04/2008    0.0    7.9    33.0    14.0
01/05/2008    0.0    8.9    33.0    13.0
02/05/2008    0.0    10.8    35.0    14.0
03/05/2008    0.0    10.0    35.0    13.0
04/05/2008    0.0    10.6    35.0    14.0
05/05/2008    0.0    9.1    35.0    16.0
06/05/2008    0.0    7.9    33.0    17.0
07/05/2008    0.0    8.9    34.0    16.0
08/05/2008    0.0    6.9    32.0    15.0
09/05/2008    0.0    7.1    34.0    15.0
10/05/2008    0.0    8.5    31.0    15.0
11/05/2008    0.0    8.2    37.0    17.0
12/05/2008    0.0    5.8    37.0    18.0
13/05/2008    4.0    8.0    35.0    16.0
14/05/2008    0.0    8.0    33.0    16.0
15/05/2008    0.0    7.0    34.0    17.0
16/05/2008    0.0    7.7    32.0    16.0
17/05/2008    0.0    6.3    33.0    16.0
18/05/2008    0.0    8.2    34.0    17.0
19/05/2008    0.0    7.3    33.0    15.0
20/05/2008    0.0    6.9    31.0    15.0
21/05/2008    0.0    7.3    31.0    15.0
22/05/2008    0.0    8.0    31.0    14.0
23/05/2008    0.0    3.8    31.0    12.0
24/05/2008    0.0    7.6    32.0    14.0
25/05/2008    0.0    6.7    34.0    17.0
26/05/2008    0.0    9.0    34.0    16.0
27/05/2008    0.0    8.4    34.0    16.0
28/05/2008    0.0    7.9    33.0    17.0
29/05/2008    5.0    4.1    34.0    18.0
30/05/2008    0.0    12.6    33.0    17.0
31/05/2008    0.0    6.4    33.0    17.0
01/06/2008    0.0    6.4    32.0    18.0
02/06/2008    0.0    7.1    33.0    18.0
03/06/2008    0.0    9.3    36.0    17.0
04/06/2008    0.0    8.8    36.0    17.0
05/06/2008    0.0    6.9    33.0    18.0
06/06/2008    0.0    7.1    32.0    17.0
07/06/2008    0.0    7.4    32.0    18.0
08/06/2008    0.0    8.0    24.0    18.0
09/06/2008    12.0    4.8    33.0    17.0
10/06/2008    15.0    4.5    30.0    18.0
11/06/2008    4.0    5.2    22.0    16.0
12/06/2008    0.0    3.9    26.0    17.0
13/06/2008    3.0    4.0    27.0    16.0
14/06/2008    0.0    5.7    31.0    17.0
15/06/2008    3.5    7.7    30.0    17.0
16/06/2008    27.0    5.3    30.0    15.0
17/06/2008    0.0    5.4    30.0    16.0
18/06/2008    0.0    6.2    32.0    18.0
19/06/2008    0.0    3.5    34.0    18.0
20/06/2008    0.0    10.7    33.0    19.0
21/06/2008    0.0    6.9    32.0    14.0
22/06/2008    65.0    5.4    27.0    15.0
23/06/2008    11.0    4.9    27.0    15.0
24/06/2008    0.0    4.3    28.0    17.0
25/06/2008    2.0    2.7    29.0    17.0
26/06/2008    0.0    0.2    29.0    17.0
27/06/2008    0.0    6.7    30.0    18.0
28/06/2008    0.0    6.1    30.0    18.0
29/06/2008    0.0    4.8    30.0    19.0
30/06/2008    0.0    6.7    30.0    19.0
01/07/2008    0.0    1.0    30.0    18.0
02/07/2008    0.0    4.0    29.0    17.0
03/07/2008    0.0    9.0    28.0    16.0
04/07/2008    2.0    11.4    28.0    17.0
05/07/2008    3.0    3.6    30.0    17.0
06/07/2008    55.0    3.6    28.0    17.0
07/07/2008    6.0    4.4    26.0    18.0
08/07/2008    4.0    4.4    23.0    17.0
09/07/2008    20.0    1.3    23.0    17.0
10/07/2008    10.0    1.3    22.0    17.0
11/07/2008    0.0    2.1    26.0    17.0
12/07/2008    0.0    2.1    27.0    16.0
13/07/2008    2.0    2.1    28.0    16.0
14/07/2008    8.0    2.1    29.0    16.0
15/07/2008    7.0    1.4    27.0    17.0
16/07/2008    0.0    3.9    28.0    16.0
17/07/2008    0.0    5.0    29.0    17.0
18/07/2008    0.0    6.9    28.0    16.0
19/07/2008    0.0    4.1    28.0    18.0
20/07/2008    0.0    5.2    28.0    17.0
21/07/2008    13.0    11.2    29.0    16.0
22/07/2008    0.0    5.5    29.0    18.0
23/07/2008    0.0    5.6    29.0    17.0
24/07/2008    0.0    5.7    29.0    18.0
25/07/2008    6.0    1.3    30.0    18.0
26/07/2008    0.0    2.6    25.0    16.0
27/07/2008    1.5    2.1    27.0    14.0
