CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14093
NOMBRE    : MAGDALENA
ESTADO    : JALISCO
MUNICIPIO : MAGDALENA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.906°
LONGITUD  : -103.980°
ALTITUD   : 1,380 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    6.4    30.0    4.5
02/02/2008    0.0    6.9    30.0    4.0
03/02/2008    0.0    5.5    31.0    4.5
04/02/2008    0.0    2.4    29.0    6.0
05/02/2008    0.0    5.3    27.0    5.0
06/02/2008    0.0    6.3    28.0    3.0
07/02/2008    0.0    4.9    28.0    4.0
08/02/2008    0.0    5.2    28.0    5.0
09/02/2008    0.0    4.1    29.5    5.0
10/02/2008    0.0    4.3    29.5    7.0
11/02/2008    0.0    4.7    27.0    7.0
12/02/2008    0.0    4.9    27.0    5.0
13/02/2008    0.0    7.1    27.0    4.0
14/02/2008    0.0    5.5    27.5    5.0
15/02/2008    0.0    7.1    27.0    0.5
16/02/2008    0.0    6.0    30.0    5.0
17/02/2008    0.0    11.7    30.0    7.0
18/02/2008    0.0    4.1    30.0    4.0
19/02/2008    0.0    7.3    30.0    6.0
20/02/2008    0.0    5.2    31.0    7.0
21/02/2008    0.0    5.0    29.5    4.0
22/02/2008    0.0    7.6    30.0    5.0
23/02/2008    0.0    6.5    32.0    4.0
24/02/2008    0.0    4.5    35.0    7.0
25/02/2008    0.0    7.8    32.0    5.0
26/02/2008    0.0    7.5    32.0    5.0
27/02/2008    0.0    6.5    29.0    7.0
28/02/2008    0.0    6.4    30.0    7.0
29/02/2008    0.0    6.1    30.0    8.0
01/03/2008    0.0    6.6    29.0    7.0
02/03/2008    0.0    6.7    29.0    6.0
03/03/2008    0.0    7.1    30.5    5.0
04/03/2008    0.0    6.6    31.0    4.0
05/03/2008    0.0    6.3    28.0    3.0
06/03/2008    0.0    8.7    26.0    3.0
07/03/2008    0.0    9.3    28.0    0.0
08/03/2008    0.0    8.2    27.0    0.0
09/03/2008    0.0    8.0    28.0    0.0
10/03/2008    0.0    5.4    27.0    1.0
11/03/2008    0.0    8.1    30.0    3.0
12/03/2008    0.0    9.0    31.0    3.0
13/03/2008    0.0    6.6    29.0    6.0
14/03/2008    0.0    6.1    28.0    2.0
15/03/2008    0.0    1.0    30.0    3.0
16/03/2008    0.0    7.2    33.0    3.0
17/03/2008    0.0    5.4    30.0    4.0
18/03/2008    0.0    6.2    31.0    6.0
19/03/2008    0.0    7.0    32.0    3.0
20/03/2008    0.0    10.0    31.0    5.0
21/03/2008    0.0    9.2    31.0    3.0
22/03/2008    0.0    9.8    31.0    3.0
23/03/2008    0.0    7.5    32.0    5.0
24/03/2008    0.0    9.4    30.0    6.0
25/03/2008    0.0    8.6    31.0    6.0
26/03/2008    0.0    8.9    30.0    6.0
27/03/2008    0.0    3.9    31.0    7.0
28/03/2008    0.0    9.6    32.0    7.0
29/03/2008    0.0    4.2    33.0    5.0
30/03/2008    0.0    11.2    34.0    6.0
31/03/2008    0.0    8.1    34.0    6.0
01/04/2008    0.0    5.8    33.0    6.0
02/04/2008    0.0    12.4    35.0    5.0
03/04/2008    0.0    9.9    34.0    7.0
04/04/2008    0.0    9.1    34.0    7.0
05/04/2008    0.0    10.3    33.0    8.0
06/04/2008    0.0    7.6    34.0    7.5
07/04/2008    0.0    7.3    34.0    6.0
08/04/2008    0.0    6.1    34.0    5.0
09/04/2008    0.0    9.2    34.0    7.0
10/04/2008    0.0    8.4    32.0    7.0
11/04/2008    0.0    9.4    33.0    7.0
12/04/2008    0.0    9.2    36.0    7.0
13/04/2008    0.0    6.3    36.0    8.0
14/04/2008    0.0    8.9    32.0    9.0
15/04/2008    0.0    10.7    33.0    10.0
16/04/2008    0.0    10.6    32.0    8.0
17/04/2008    0.0    7.0    33.0    8.0
18/04/2008    0.0    9.4    33.0    7.0
19/04/2008    0.0    10.4    35.0    6.0
20/04/2008    0.0    10.9    36.0    6.0
21/04/2008    0.0    9.5    36.0    6.0
22/04/2008    0.0    10.3    35.0    10.0
23/04/2008    0.0    8.6    33.0    9.0
24/04/2008    0.0    11.1    34.0    10.0
25/04/2008    0.0    17.8    35.0    9.0
26/04/2008    0.0    8.6    35.0    11.0
27/04/2008    0.0    9.2    35.0    10.0
28/04/2008    0.0    8.4    33.0    9.0
29/04/2008    0.0    9.9    35.0    7.0
30/04/2008    0.0    11.4    34.0    8.0
01/05/2008    0.0    10.8    32.0    8.0
02/05/2008    0.0    10.9    35.0    8.0
03/05/2008    0.0    7.9    34.0    9.0
04/05/2008    0.0    11.6    34.0    7.0
05/05/2008    0.0    11.4    35.0    9.0
06/05/2008    0.0    8.8    33.0    8.0
07/05/2008    0.0    6.6    31.0    13.0
08/05/2008    0.0    9.7    34.0    10.5
09/05/2008    0.0    9.6    33.0    11.5
10/05/2008    0.0    11.1    35.0    10.0
11/05/2008    0.0    10.4    36.0    11.0
12/05/2008    0.0    9.6    36.0    11.0
13/05/2008    0.0    10.4    37.0    12.0
14/05/2008    12.9    0.8    36.0    13.0
15/05/2008    15.7    9.9    32.0    12.0
16/05/2008    10.2    6.4    33.0    12.0
17/05/2008    0.0    4.6    35.0    11.0
18/05/2008    0.0    8.7    32.0    12.0
19/05/2008    0.0    7.7    31.0    11.0
20/05/2008    0.0    11.3    30.0    11.0
21/05/2008    0.0    4.9    30.0    11.0
22/05/2008    0.0    13.2    30.0    11.0
23/05/2008    0.0    5.7    31.0    10.0
24/05/2008    0.0    6.2    30.0    10.0
25/05/2008    0.0    5.9    32.0    9.0
26/05/2008    0.0    7.0    35.0    10.0
27/05/2008    0.0    5.7    33.0    13.0
28/05/2008    0.0    12.4    35.0    13.0
29/05/2008    0.0    6.6    35.0    13.5
30/05/2008    0.0    12.1    35.0    15.0
31/05/2008    0.0    12.1    35.0    16.0
01/06/2008    0.0    8.5    37.0    14.0
02/06/2008    0.0    7.4    36.0    15.5
03/06/2008    0.0    5.0    37.0    16.0
04/06/2008    0.0    8.5    33.0    16.0
05/06/2008    0.0    9.1    31.0    17.0
06/06/2008    0.0    7.7    32.0    15.0
07/06/2008    0.0    6.3    33.0    16.0
08/06/2008    15.2    9.3    32.0    17.0
09/06/2008    38.2    5.0    32.0    17.0
10/06/2008    23.4    8.5    21.0    15.0
11/06/2008    13.8    13.1    24.0    16.0
12/06/2008    22.8    11.5    28.0    16.0
13/06/2008    10.1    10.1    30.0    16.0
14/06/2008    0.0    2.9    31.0    16.0
15/06/2008    0.0    4.7    30.0    16.0
16/06/2008    3.5    6.1    30.0    17.0
17/06/2008    0.0    6.3    30.0    16.5
18/06/2008    0.0    6.3    31.0    16.0
19/06/2008    0.0    7.8    32.0    16.0
20/06/2008    0.0    6.6    30.0    17.0
21/06/2008    0.0    7.1    31.0    16.0
22/06/2008    0.0    8.1    31.0    16.0
23/06/2008    23.1    10.4    32.0    15.0
24/06/2008    36.2    12.6    31.0    15.5
25/06/2008    0.0    10.1    32.0    13.0
26/06/2008    0.0    8.3    30.5    13.0
27/06/2008    23.3    4.4    32.0    13.0
28/06/2008    0.0    7.5    32.0    16.0
29/06/2008    7.6    9.5    31.0    16.0
30/06/2008    5.3    12.8    28.0    16.0
01/07/2008    5.5    15.7    26.0    15.0
02/07/2008    0.0    10.6    28.0    15.5
03/07/2008    0.0    8.4    27.0    16.0
04/07/2008    25.9    7.0    29.0    13.0
05/07/2008    35.9    7.5    27.0    16.0
06/07/2008    23.1    8.4    28.0    14.0
07/07/2008    0.0    4.8    27.0    15.0
08/07/2008    33.0    4.8    26.0    14.0
09/07/2008    57.6    12.0    28.0    13.0
10/07/2008    12.0    12.0    26.0    15.0
11/07/2008    0.0    4.8    28.0    13.0
12/07/2008    23.1    7.5    27.0    15.0
13/07/2008    0.0    11.2    28.5    15.0
14/07/2008    0.0    5.8    30.0    15.5
15/07/2008    0.0    5.0    30.0    16.0
16/07/2008    0.0    12.6    30.0    16.0
17/07/2008    6.3    6.8    30.0    15.0
18/07/2008    0.0    6.8    28.0    15.0
19/07/2008    16.8    1.5    26.0    16.0
20/07/2008    26.2    11.4    28.0    14.0
21/07/2008    0.0    6.2    28.0    14.0
22/07/2008    0.0    7.1    28.5    16.0
23/07/2008    0.0    6.4    29.0    16.5
24/07/2008    10.7    6.6    29.0    16.0
25/07/2008    0.0    9.2    30.0    16.0
26/07/2008    16.7    2.2    28.0    16.0
27/07/2008    29.3    9.2    28.0    15.0
