CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14096
NOMBRE    : MASCOTA (SMN)
ESTADO    : JALISCO
MUNICIPIO : MASCOTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.525°
LONGITUD  : -104.786°
ALTITUD   : 1,230 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    3.0    27.3    5.0
02/01/2008    0.0    1.9    25.6    5.7
03/01/2008    0.0    3.3    26.8    3.9
04/01/2008    0.0    3.1    26.7    3.1
05/01/2008    0.0    3.1    27.1    2.8
06/01/2008    0.0    2.4    28.4    3.1
07/01/2008    0.0    3.2    28.3    3.0
08/01/2008    0.0    3.8    27.2    1.7
09/01/2008    0.0    3.4    27.1    2.3
10/01/2008    0.0    3.5    26.4    2.3
11/01/2008    0.0    3.2    26.1    2.2
12/01/2008    0.0    4.1    25.9    1.0
13/01/2008    0.0    3.6    27.0    0.8
14/01/2008    0.0    3.6    25.8    2.4
15/01/2008    0.0    4.1    24.6    5.6
16/01/2008    0.0    5.1    24.1    5.1
17/01/2008    0.0    4.8    24.0    2.5
18/01/2008    0.0    4.1    23.2    2.9
19/01/2008    0.0    4.7    25.7    3.1
20/01/2008    0.0    4.4    25.3    3.9
21/01/2008    0.0    4.6    26.3    4.7
22/01/2008    0.0    1.8    27.2    5.3
23/01/2008    0.0    4.2    29.9    5.8
24/01/2008    0.0    2.5    27.4    6.1
25/01/2008    0.0    5.0    28.5    6.4
26/01/2008    0.0    4.8    28.0    7.1
27/01/2008    0.0    3.1    30.9    6.9
28/01/2008    0.0    2.9    28.8    5.9
29/01/2008    0.0    5.0    28.0    5.1
30/01/2008    0.0    4.4    27.3    5.7
31/01/2008    0.0    4.3    28.1    4.6
01/02/2008    0.0    3.6    27.5    8.5
02/02/2008    0.0    4.8    27.5    8.0
03/02/2008    0.0    4.4    27.0    7.0
04/02/2008    0.0    5.4    28.0    7.0
05/02/2008    0.0    4.4    26.5    7.0
06/02/2008    0.0    4.5    28.0    6.0
07/02/2008    0.0    3.7    27.0    6.5
08/02/2008    0.0    4.2    27.5    8.0
09/02/2008    0.0    4.4    28.0    8.0
10/02/2008    0.0    3.1    29.5    8.5
11/02/2008    0.0    5.1    29.0    7.0
12/02/2008    0.0    4.3    27.0    7.5
13/02/2008    0.0    4.9    29.0    6.5
14/02/2008    0.0    4.5    28.0    5.5
15/02/2008    0.0    6.3    29.0    5.0
16/02/2008    0.0    5.5    29.0    5.0
17/02/2008    0.0    5.3    29.0    5.0
18/02/2008    0.0    5.4    29.0    5.5
19/02/2008    0.0    4.6    29.5    5.0
20/02/2008    0.0    6.0    29.0    4.0
21/02/2008    0.0    5.2    29.5    4.5
22/02/2008    0.0    5.2    30.0    5.5
23/02/2008    0.0    5.6    31.0    5.0
24/02/2008    0.0    6.2    32.0    5.0
25/02/2008    0.0    5.3    30.5    6.0
26/02/2008    0.0    5.7    30.0    6.0
27/02/2008    0.0    4.7    31.0    5.5
28/02/2008    0.0    5.0    29.0    6.0
29/02/2008    0.0    4.8    30.0    7.5
01/03/2008    0.0    6.8    30.0    8.0
02/03/2008    0.0    5.8    29.0    7.5
03/03/2008    0.0    5.9    29.0    5.0
04/03/2008    0.0    6.0    30.0    5.5
05/03/2008    0.0    7.0    28.0    6.0
06/03/2008    0.0    6.5    26.5    4.0
07/03/2008    0.0    6.5    28.0    2.0
08/03/2008    0.0    5.7    28.0    2.5
09/03/2008    0.0    5.7    28.0    4.0
10/03/2008    0.0    6.8    28.5    5.0
11/03/2008    0.0    5.6    30.0    6.0
12/03/2008    0.0    6.3    31.0    6.5
13/03/2008    0.0    7.5    29.0    6.0
14/03/2008    0.0    6.6    29.5    4.0
15/03/2008    0.0    6.8    30.0    4.5
16/03/2008    0.0    6.9    30.0    5.5
17/03/2008    0.0    6.0    28.0    5.5
18/03/2008    0.0    7.7    22.0    6.0
19/03/2008    0.0    4.5    31.0    3.5
20/03/2008    0.0    7.8    29.5    4.0
21/03/2008    0.0    6.2    29.5    8.5
22/03/2008    0.0    7.7    29.0    9.0
23/03/2008    0.0    6.0    29.5    9.5
24/03/2008    0.0    6.0    29.0    6.5
25/03/2008    0.0    6.0    29.0    7.0
26/03/2008    0.0    8.2    29.5    8.5
27/03/2008    0.0    9.3    30.0    8.0
28/03/2008    0.0    7.9    31.5    7.0
29/03/2008    0.0    6.9    31.5    5.0
30/03/2008    0.0    8.3    32.5    5.5
31/03/2008    0.0    7.7    32.5    7.5
01/04/2008    0.0    6.6    32.5    8.0
02/04/2008    0.0    7.9    31.0    7.0
03/04/2008    0.0    7.8    32.0    8.0
04/04/2008    0.0    9.4    31.5    7.5
05/04/2008    0.0    5.0    30.0    8.0
06/04/2008    0.0    7.0    30.5    8.5
07/04/2008    0.0    7.4    30.5    11.0
08/04/2008    0.0    9.5    31.0    8.0
09/04/2008    0.0    7.9    31.0    8.5
10/04/2008    0.0    7.7    31.0    7.5
11/04/2008    0.0    7.1    30.0    7.0
12/04/2008    0.0    7.2    32.0    7.5
13/04/2008    0.0    7.7    32.0    10.0
14/04/2008    0.0    5.9    32.0    11.5
15/04/2008    0.0    8.0    30.0    13.5
16/04/2008    0.0    6.7    31.5    11.0
17/04/2008    0.0    1.9    30.5    8.5
18/04/2008    0.0    8.1    32.5    8.5
19/04/2008    0.0    7.0    33.0    8.0
20/04/2008    0.0    9.6    33.0    8.5
21/04/2008    0.0    9.8    33.0    10.5
22/04/2008    0.0    8.8    33.0    10.0
23/04/2008    0.0    9.2    33.5    9.5
24/04/2008    0.0    6.5    33.5    9.5
25/04/2008    0.0    9.8    32.0    9.0
26/04/2008    0.0    8.1    32.5    9.5
27/04/2008    0.0    8.7    32.0    8.5
28/04/2008    0.0    8.1    33.0    8.5
29/04/2008    0.0    7.0    33.0    9.0
30/04/2008    0.0    6.9    30.5    11.0
01/05/2008    0.0    8.8    31.0    10.5
02/05/2008    0.0    9.2    30.5    8.0
03/05/2008    0.0    8.4    31.5    8.0
04/05/2008    0.0    8.6    32.5    8.5
05/05/2008    0.0    7.2    33.0    12.0
06/05/2008    0.0    7.8    31.5    14.5
07/05/2008    0.0    4.8    29.5    14.0
08/05/2008    0.0    9.5    31.5    12.0
09/05/2008    0.0    7.0    32.0    11.5
10/05/2008    0.0    9.1    32.0    11.5
11/05/2008    0.0    9.2    32.5    11.5
12/05/2008    0.0    7.3    33.0    12.5
13/05/2008    0.0    8.6    33.0    13.5
14/05/2008    0.0    7.1    31.5    14.0
15/05/2008    0.0    6.3    31.0    16.5
16/05/2008    0.0    5.0    29.5    15.0
17/05/2008    0.0    8.1    30.0    14.0
18/05/2008    0.0    8.2    30.0    13.5
19/05/2008    0.7    5.5    29.0    12.0
20/05/2008    0.0    8.5    29.0    12.0
21/05/2008    0.0    8.1    28.0    11.0
22/05/2008    0.0    6.8    28.0    10.5
23/05/2008    0.0    6.8    27.5    10.5
24/05/2008    0.0    5.9    28.5    10.0
25/05/2008    0.0    7.6    30.5    11.0
26/05/2008    0.0    7.6    27.5    13.0
27/05/2008    0.0    6.9    30.0    15.0
28/05/2008    0.0    6.5    30.5    15.5
29/05/2008    0.0    6.6    31.0    15.5
30/05/2008    0.0    5.2    30.0    15.5
31/05/2008    0.5    3.4    31.5    15.5
01/06/2008    0.0    8.9    31.0    16.0
02/06/2008    0.0    6.2    34.0    15.0
03/06/2008    0.0    7.4    33.5    15.5
04/06/2008    0.0    7.8    30.5    16.0
05/06/2008    0.0    6.3    28.5    16.0
06/06/2008    0.0    9.1    30.0    15.5
07/06/2008    0.0    5.6    28.5    16.0
