CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14100
NOMBRE    : MEXTICACAN
ESTADO    : JALISCO
MUNICIPIO : MEXTICACAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.265°
LONGITUD  : -102.777°
ALTITUD   : 1,750 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    3.6    26.4    1.8
02/01/2008    0.0    4.2    23.1    3.3
03/01/2008    0.0    3.5    23.5    1.0
04/01/2008    0.0    3.2    25.5    1.7
05/01/2008    0.0    2.6    26.4    1.3
06/01/2008    0.0    4.0    27.0    1.7
07/01/2008    0.0    5.1    26.9    1.4
08/01/2008    0.0    4.2    27.4    2.2
09/01/2008    0.0    4.0    26.9    1.7
10/01/2008    0.0    4.5    26.0    2.1
11/01/2008    0.0    4.5    26.4    2.3
12/01/2008    0.0    3.8    26.7    1.3
13/01/2008    0.0    3.8    26.8    0.5
14/01/2008    0.0    3.7    26.5    3.4
15/01/2008    0.0    5.4    25.1    5.5
16/01/2008    0.0    4.4    24.3    3.3
17/01/2008    0.0    3.4    24.9    2.7
18/01/2008    0.0    4.6    24.2    2.8
19/01/2008    0.3    1.5    25.8    1.7
20/01/2008    0.0    3.8    25.3    2.0
21/01/2008    0.0    5.8    26.3    2.1
22/01/2008    0.0    3.2    27.3    1.9
23/01/2008    0.0    4.1    27.2    2.9
24/01/2008    0.0    4.0    28.5    3.1
25/01/2008    0.0    4.5    28.2    4.3
26/01/2008    0.0    4.8    28.8    4.3
27/01/2008    0.0    4.8    28.3    2.9
28/01/2008    0.0    4.3    28.4    2.6
29/01/2008    0.0    4.3    27.5    2.3
30/01/2008    0.0    4.6    27.4    3.9
31/01/2008    0.0    5.9    27.7    3.1
01/02/2008    0.0    4.0    27.4    2.9
02/02/2008    0.0    6.7    27.1    4.3
03/02/2008    0.0    3.9    27.6    4.7
04/02/2008    0.0    4.7    27.0    4.6
05/02/2008    0.0    5.5    27.3    4.3
06/02/2008    0.0    5.3    27.1    2.7
07/02/2008    0.0    4.9    26.9    4.5
08/02/2008    0.0    5.0    27.2    2.4
09/02/2008    0.0    2.9    27.4    3.2
10/02/2008    0.0    4.0    27.0    4.5
11/02/2008    0.0    3.9    26.4    5.3
12/02/2008    0.0    5.2    25.9    5.7
13/02/2008    0.0    4.9    26.8    4.3
14/02/2008    0.0    5.2    26.2    5.0
15/02/2008    0.0    8.3    27.6    5.1
16/02/2008    0.0    5.7    27.7    4.1
17/02/2008    0.0    6.2    27.7    4.2
18/02/2008    0.0    6.1    28.5    3.0
19/02/2008    0.0    6.4    27.9    4.6
20/02/2008    0.0    5.5    27.1    3.4
21/02/2008    0.0    6.1    26.1    4.4
22/02/2008    0.0    5.9    27.9    4.7
23/02/2008    0.0    5.3    29.4    2.5
24/02/2008    0.0    3.0    29.9    3.3
25/02/2008    0.0    5.3    29.5    4.4
26/02/2008    0.0    6.3    29.4    5.4
27/02/2008    0.0    4.9    26.4    5.2
28/02/2008    0.0    4.1    27.2    3.6
29/02/2008    0.0    5.6    27.3    4.7
01/03/2008    0.0    5.0    29.5    6.1
02/03/2008    0.0    6.0    28.7    7.6
03/03/2008    0.0    7.0    28.8    7.3
04/03/2008    0.0    6.5    28.9    7.7
05/03/2008    0.0    7.3    28.6    6.7
06/03/2008    0.0    7.9    27.6    5.6
07/03/2008    0.0    5.5    27.8    3.1
08/03/2008    0.0    6.2    27.0    3.0
