CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14113
NOMBRE    : PRESA HURTADO
ESTADO    : JALISCO
MUNICIPIO : ACATLAN DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.439°
LONGITUD  : -103.633°
ALTITUD   : 1,400 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    4.4    28.2    9.1
02/01/2008    0.0    3.0    23.5    8.5
03/01/2008    0.0    2.7    26.4    7.9
04/01/2008    0.0    3.0    28.2    5.5
05/01/2008    0.0    3.1    28.0    6.0
06/01/2008    0.0    3.3    29.7    7.4
07/01/2008    0.0    3.2    29.3    7.4
08/01/2008    0.0    3.7    29.6    6.7
09/01/2008    0.0    3.5    28.8    7.2
10/01/2008    0.0    3.6    29.5    7.0
11/01/2008    0.0    3.4    28.7    7.7
12/01/2008    0.0    3.2    27.3    7.7
13/01/2008    0.0    3.2    30.3    6.5
14/01/2008    0.0    3.6    29.1    6.3
15/01/2008    0.0    3.2    25.2    9.3
16/01/2008    0.0    3.8    25.2    7.2
17/01/2008    0.0    3.5    27.4    6.9
18/01/2008    0.0    2.2    23.3    9.3
19/01/2008    0.4    1.4    25.2    8.8
20/01/2008    0.0    2.6    25.5    9.0
21/01/2008    0.0    3.2    26.5    8.9
22/01/2008    0.0    3.1    28.1    9.0
23/01/2008    0.0    3.4    29.2    10.1
24/01/2008    0.0    3.9    29.1    10.8
25/01/2008    0.0    3.4    29.5    11.8
26/01/2008    0.0    3.2    29.8    13.2
27/01/2008    0.0    3.6    28.9    11.0
28/01/2008    0.0    3.5    28.4    10.8
29/01/2008    0.0    3.2    29.2    10.1
30/01/2008    0.0    3.7    29.5    10.0
31/01/2008    0.0    4.1    26.5    9.5
01/02/2008    0.0    4.4    30.1    6.8
02/02/2008    0.0    4.3    30.4    5.4
03/02/2008    0.0    4.2    30.5    5.9
04/02/2008    0.0    4.2    30.5    5.5
05/02/2008    0.0    4.7    31.0    4.9
06/02/2008    0.0    4.8    31.3    4.8
07/02/2008    0.0    3.6    28.6    5.7
08/02/2008    0.0    4.2    30.5    6.3
09/02/2008    0.0    4.3    31.4    6.3
10/02/2008    0.0    3.2    28.8    7.9
11/02/2008    0.0    4.5    30.0    10.7
12/02/2008    0.0    4.8    30.6    9.8
13/02/2008    0.0    4.6    30.5    5.3
14/02/2008    0.0    4.7    30.6    4.9
15/02/2008    0.0    4.4    31.6    3.9
16/02/2008    0.0    4.7    32.1    4.4
17/02/2008    0.0    3.7    32.5    4.5
18/02/2008    0.0    5.2    33.0    4.5
19/02/2008    0.0    5.1    32.5    4.8
20/02/2008    0.0    4.7    32.1    4.4
21/02/2008    0.0    4.6    32.1    5.4
22/02/2008    0.0    5.5    32.1    5.4
23/02/2008    0.0    5.2    31.8    4.9
24/02/2008    0.0    6.1    34.1    5.5
25/02/2008    0.0    5.7    33.7    7.0
26/02/2008    0.0    5.8    33.8    6.4
27/02/2008    0.0    5.5    33.1    7.8
28/02/2008    0.0    5.3    32.8    7.4
29/02/2008    0.0    5.2    33.0    6.8
01/03/2008    0.0    5.7    33.4    8.2
02/03/2008    0.0    5.4    33.1    9.6
03/03/2008    0.0    4.9    32.6    6.3
04/03/2008    0.0    5.4    32.5    5.0
05/03/2008    0.0    5.4    32.0    5.4
06/03/2008    0.0    5.8    30.1    3.9
07/03/2008    0.0    6.3    29.6    1.3
08/03/2008    0.0    6.8    29.5    6.9
09/03/2008    0.0    5.8    29.7    3.9
10/03/2008    0.0    5.8    31.1    4.8
11/03/2008    0.0    5.2    32.5    6.4
12/03/2008    0.0    6.8    32.5    6.4
13/03/2008    0.0    6.7    31.9    6.9
14/03/2008    0.0    6.4    33.0    4.4
15/03/2008    0.0    6.1    33.5    5.4
16/03/2008    0.0    6.8    33.0    6.0
17/03/2008    0.0    6.9    30.8    6.4
18/03/2008    0.0    8.7    29.7    9.4
19/03/2008    0.0    6.8    30.6    8.0
20/03/2008    0.0    6.8    31.6    9.6
21/03/2008    0.0    6.9    32.3    8.6
22/03/2008    0.0    6.8    32.7    9.3
23/03/2008    0.0    6.8    33.5    8.6
24/03/2008    0.0    6.9    33.4    8.0
25/03/2008    0.0    6.9    33.8    8.4
26/03/2008    0.0    7.1    34.1    8.1
27/03/2008    0.0    7.0    34.2    7.5
28/03/2008    0.0    7.1    35.1    7.4
29/03/2008    0.0    7.2    35.6    7.5
30/03/2008    0.0    7.1    36.1    7.5
31/03/2008    0.0    6.9    36.5    7.4
01/04/2008    0.0    7.1    37.2    7.7
02/04/2008    0.0    7.3    38.0    9.0
03/04/2008    0.0    7.6    37.1    8.8
04/04/2008    0.0    7.8    37.0    8.8
05/04/2008    0.0    7.1    34.6    9.7
06/04/2008    0.0    7.4    34.7    10.7
07/04/2008    0.0    7.7    35.1    10.2
08/04/2008    0.0    8.1    35.7    8.5
09/04/2008    0.0    7.8    36.1    9.8
10/04/2008    0.0    7.7    35.7    7.9
11/04/2008    0.0    6.9    35.7    8.5
12/04/2008    0.0    7.9    36.3    9.5
13/04/2008    0.0    7.7    34.5    12.5
14/04/2008    0.0    7.6    30.8    15.4
15/04/2008    0.0    6.4    32.7    14.0
16/04/2008    0.0    7.2    34.6    11.0
17/04/2008    0.0    8.1    34.7    9.5
18/04/2008    0.0    7.8    36.1    7.0
19/04/2008    0.0    7.7    36.4    9.8
20/04/2008    0.0    7.9    36.9    10.4
21/04/2008    0.0    8.2    38.4    10.0
22/04/2008    0.0    8.8    38.6    11.5
23/04/2008    0.0    7.9    38.0    11.2
24/04/2008    0.0    7.9    37.4    12.9
25/04/2008    0.0    8.1    36.7    10.1
26/04/2008    0.0    8.2    36.6    11.5
27/04/2008    0.0    7.8    36.6    9.6
28/04/2008    0.0    7.8    36.9    9.5
29/04/2008    0.0    7.6    36.5    10.3
30/04/2008    0.0    7.7    35.6    10.9
01/05/2008    0.0    8.6    34.8    9.5
02/05/2008    0.0    7.7    35.7    8.5
03/05/2008    0.0    8.0    36.1    8.9
04/05/2008    0.0    7.8    36.9    9.9
05/05/2008    0.0    7.2    35.8    12.3
06/05/2008    0.0    7.3    35.6    14.3
07/05/2008    0.0    7.2    34.8    14.7
08/05/2008    0.0    8.2    36.8    12.1
09/05/2008    0.0    8.1    36.8    12.4
10/05/2008    0.0    9.4    37.4    12.5
11/05/2008    0.0    7.9    38.6    13.5
12/05/2008    0.0    4.2    35.7    15.7
13/05/2008    0.0    7.7    36.4    12.3
14/05/2008    0.0    6.9    35.9    13.1
15/05/2008    0.0    3.3    31.1    15.5
16/05/2008    0.0    6.9    34.4    14.2
17/05/2008    0.0    6.8    33.0    13.7
18/05/2008    0.0    8.1    33.9    11.3
19/05/2008    0.0    6.1    32.0    12.7
20/05/2008    0.0    7.4    32.9    12.3
21/05/2008    0.0    8.3    32.4    12.1
22/05/2008    0.0    7.7    32.8    11.2
23/05/2008    0.0    7.5    32.4    10.7
24/05/2008    0.0    7.2    32.1    12.1
25/05/2008    0.0    6.8    33.2    13.2
26/05/2008    0.0    7.2    35.9    14.2
27/05/2008    9.5    6.8    36.9    14.3
28/05/2008    0.0    7.6    34.9    16.2
29/05/2008    0.0    8.8    33.5    17.1
30/05/2008    0.0    8.1    35.4    17.1
31/05/2008    0.0    6.6    35.9    16.6
01/06/2008    0.0    6.8    36.5    16.1
02/06/2008    0.0    8.6    36.9    16.1
03/06/2008    0.0    8.6    37.4    16.2
04/06/2008    0.0    8.8    36.7    15.7
05/06/2008    0.0    8.7    36.6    16.0
06/06/2008    0.0    8.5    37.0    15.9
07/06/2008    18.0    7.8    34.6    15.7
08/06/2008    0.0    7.9    34.4    15.1
09/06/2008    49.0    5.2    30.5    15.2
10/06/2008    12.0    1.8    23.0    16.9
11/06/2008    16.0    3.7    29.1    17.4
12/06/2008    1.5    4.0    29.6    16.6
13/06/2008    0.0    4.2    31.0    16.1
14/06/2008    3.0    4.4    31.8    17.0
15/06/2008    0.0    5.5    31.3    17.1
16/06/2008    0.0    6.5    33.3    17.0
17/06/2008    3.0    6.2    33.8    16.7
18/06/2008    0.0    6.3    32.9    17.1
19/06/2008    0.0    6.4    34.3    17.2
20/06/2008    15.5    6.2    33.7    17.5
21/06/2008    22.5    5.1    30.9    15.5
22/06/2008    4.5    4.5    29.9    16.0
23/06/2008    0.0    4.8    30.0    16.1
24/06/2008    23.5    6.8    31.2    17.5
25/06/2008    0.0    5.2    29.1    16.0
26/06/2008    0.0    5.9    31.0    17.0
27/06/2008    15.0    6.9    31.9    17.9
28/06/2008    0.0    5.5    29.9    16.0
29/06/2008    31.5    6.2    29.8    16.5
30/06/2008    2.0    3.5    27.3    17.4
01/07/2008    0.0    2.0    26.0    18.0
02/07/2008    0.0    4.8    28.9    17.1
03/07/2008    0.0    4.7    30.7    18.0
04/07/2008    4.5    5.6    30.8    16.2
05/07/2008    22.0    3.5    28.9    17.1
06/07/2008    8.5    2.0    26.8    17.1
07/07/2008    18.5    1.1    27.1    17.5
08/07/2008    7.5    1.0    25.3    18.0
09/07/2008    49.5    0.4    23.9    17.5
10/07/2008    12.0    0.5    25.0    16.5
11/07/2008    0.0    3.0    26.8    17.0
12/07/2008    4.5    2.8    28.8    15.9
13/07/2008    16.5    2.9    28.3    16.5
14/07/2008    0.0    3.2    28.0    16.2
15/07/2008    0.0    4.1    28.7    16.1
16/07/2008    0.0    4.6    30.4    16.5
17/07/2008    0.0    6.1    30.7    16.6
18/07/2008    0.0    3.9    28.7    16.0
19/07/2008    0.0    4.1    28.6    16.6
20/07/2008    0.0    4.9    29.8    16.1
21/07/2008    0.0    5.4    29.8    16.5
22/07/2008    0.0    6.0    30.4    16.5
23/07/2008    0.0    5.4    30.9    17.4
24/07/2008    23.0    5.8    31.6    18.0
25/07/2008    4.0    2.7    28.4    16.5
26/07/2008    8.5    4.2    27.9    16.1
