CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14123
NOMBRE    : SAN DIEGO DE ALEJANDRIA
ESTADO    : JALISCO
MUNICIPIO : SAN DIEGO DE ALEJANDRIA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.994°
LONGITUD  : -101.994°
ALTITUD   : 1,960 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    Nulo    24.8    6.0
02/01/2008    0.0    Nulo    21.0    5.1
03/01/2008    0.0    Nulo    19.8    2.8
04/01/2008    0.0    Nulo    21.0    3.1
05/01/2008    0.0    Nulo    22.2    2.5
06/01/2008    0.0    Nulo    24.7    3.2
07/01/2008    0.0    Nulo    25.3    4.5
08/01/2008    0.0    Nulo    25.3    4.9
09/01/2008    0.0    Nulo    25.1    4.0
10/01/2008    0.0    Nulo    24.2    4.0
11/01/2008    0.0    Nulo    24.5    4.5
12/01/2008    0.0    Nulo    24.3    3.5
13/01/2008    0.0    Nulo    23.7    4.8
14/01/2008    0.0    Nulo    23.5    4.2
15/01/2008    0.0    Nulo    22.0    4.8
16/01/2008    0.0    Nulo    20.3    3.8
17/01/2008    0.0    Nulo    21.3    4.8
18/01/2008    0.0    Nulo    21.3    4.8
19/01/2008    0.0    Nulo    20.5    4.8
20/01/2008    0.0    Nulo    21.1    4.5
21/01/2008    0.0    Nulo    21.7    5.5
22/01/2008    0.0    Nulo    22.5    6.5
23/01/2008    0.0    Nulo    24.5    6.0
24/01/2008    0.0    Nulo    23.5    6.2
25/01/2008    0.0    Nulo    24.2    4.9
26/01/2008    0.0    Nulo    23.7    5.7
27/01/2008    0.0    Nulo    22.0    4.2
28/01/2008    0.0    Nulo    22.0    6.2
29/01/2008    0.0    Nulo    22.1    6.2
30/01/2008    0.0    Nulo    23.7    6.2
