CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14132
NOMBRE    : TLAQUEPAQUE
ESTADO    : JALISCO
MUNICIPIO : SAN PEDRO TLAQUEPAQUE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.638°
LONGITUD  : -103.311°
ALTITUD   : 1,540 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    4.9    27.0    8.1
02/01/2008    0.0    3.5    21.9    8.5
03/01/2008    0.0    3.3    22.4    3.9
04/01/2008    0.0    2.8    24.3    3.8
05/01/2008    0.0    3.4    25.6    4.3
06/01/2008    0.0    3.0    27.3    6.7
07/01/2008    0.0    4.0    28.0    7.2
08/01/2008    0.0    3.4    27.7    7.2
09/01/2008    0.0    4.1    27.7    7.2
10/01/2008    0.0    3.7    26.9    6.7
11/01/2008    0.0    3.8    26.9    7.1
12/01/2008    0.0    3.3    26.3    7.4
13/01/2008    0.0    3.6    26.8    5.0
14/01/2008    0.0    4.5    26.0    6.4
15/01/2008    0.0    4.2    24.9    8.5
16/01/2008    0.0    3.8    23.4    8.1
17/01/2008    0.0    2.9    23.2    6.3
18/01/2008    0.0    2.6    22.3    6.7
19/01/2008    0.0    3.2    25.3    7.0
20/01/2008    0.0    3.3    25.1    7.5
21/01/2008    0.0    3.9    27.1    8.5
22/01/2008    0.0    3.2    27.6    8.7
23/01/2008    0.0    4.8    29.5    9.6
24/01/2008    0.0    4.3    28.0    10.1
25/01/2008    0.0    3.8    29.0    11.0
26/01/2008    0.0    3.5    30.3    11.3
27/01/2008    0.0    4.4    29.6    11.5
28/01/2008    0.0    4.6    28.2    10.8
29/01/2008    0.0    4.6    26.7    10.1
30/01/2008    0.0    5.3    27.8    10.1
31/01/2008    0.0    4.9    28.2    9.3
01/02/2008    0.0    5.1    28.0    10.0
02/02/2008    0.0    5.0    28.0    10.5
03/02/2008    0.0    5.0    27.0    11.0
04/02/2008    0.0    5.4    27.0    10.5
05/02/2008    0.0    5.9    28.0    10.5
06/02/2008    0.0    5.9    28.0    11.0
07/02/2008    0.0    4.6    25.0    10.5
08/02/2008    0.0    5.7    26.0    11.0
09/02/2008    0.0    6.5    29.0    11.0
10/02/2008    0.0    5.4    28.0    11.5
11/02/2008    0.0    4.8    26.0    11.0
12/02/2008    0.0    6.2    25.0    11.5
13/02/2008    0.0    5.6    22.5    10.5
14/02/2008    0.0    6.2    26.0    10.5
15/02/2008    0.0    5.4    28.0    11.0
16/02/2008    0.0    6.3    29.0    10.0
17/02/2008    0.0    6.3    28.0    10.0
18/02/2008    0.0    6.6    28.0    10.5
19/02/2008    0.0    6.4    29.0    9.5
20/02/2008    0.0    6.7    28.0    10.0
21/02/2008    0.0    5.4    28.0    12.0
22/02/2008    0.0    6.4    29.5    11.5
23/02/2008    0.0    6.5    31.0    10.5
24/02/2008    0.0    6.5    33.0    11.0
25/02/2008    0.0    7.0    32.0    11.0
26/02/2008    0.0    7.9    31.5    11.5
27/02/2008    0.0    5.1    28.0    11.0
28/02/2008    0.0    5.1    28.0    10.5
29/02/2008    0.0    5.7    29.5    11.0
01/03/2008    0.0    5.6    30.0    13.0
02/03/2008    0.0    7.5    29.0    13.5
03/03/2008    0.0    6.9    28.0    11.0
04/03/2008    0.0    7.2    29.0    12.0
05/03/2008    0.0    8.3    27.0    12.0
06/03/2008    0.0    7.5    25.0    10.5
07/03/2008    0.0    6.9    25.0    8.0
08/03/2008    0.0    6.1    31.0    8.0
09/03/2008    0.0    7.5    25.0    8.5
10/03/2008    0.0    6.7    28.0    9.5
11/03/2008    0.0    5.6    29.5    9.5
12/03/2008    0.0    7.4    30.0    10.5
13/03/2008    0.0    7.5    28.5    12.0
14/03/2008    0.0    7.7    30.0    11.0
15/03/2008    0.0    8.1    32.0    12.0
16/03/2008    0.0    8.2    30.0    13.0
17/03/2008    0.0    9.1    30.0    14.0
18/03/2008    0.0    9.6    27.0    12.0
19/03/2008    0.0    8.1    28.0    9.0
20/03/2008    0.0    5.8    29.0    10.0
21/03/2008    0.0    7.1    30.0    11.0
22/03/2008    0.0    8.0    31.0    13.0
23/03/2008    0.0    7.4    30.0    14.0
24/03/2008    0.0    7.1    28.0    12.0
25/03/2008    0.0    6.8    25.5    13.5
26/03/2008    0.0    7.2    30.5    14.0
27/03/2008    0.0    8.5    30.5    15.0
28/03/2008    0.0    9.1    32.0    14.0
29/03/2008    0.0    9.4    33.0    11.5
30/03/2008    0.0    8.8    33.0    11.0
31/03/2008    0.0    9.5    33.0    15.0
01/04/2008    0.0    8.9    34.0    15.0
02/04/2008    0.0    8.6    35.0    16.0
03/04/2008    0.0    10.1    33.0    15.0
04/04/2008    0.0    10.6    35.0    15.0
05/04/2008    0.0    9.3    30.0    15.0
06/04/2008    0.0    8.0    30.0    15.0
07/04/2008    0.0    5.6    33.0    15.0
08/04/2008    0.0    9.5    33.0    15.0
09/04/2008    0.0    9.1    33.0    15.5
10/04/2008    0.0    8.8    37.0    14.5
11/04/2008    0.0    9.6    35.0    14.0
12/04/2008    0.0    8.7    35.0    15.0
13/04/2008    0.0    7.5    35.0    16.5
14/04/2008    0.0    7.7    27.0    16.0
15/04/2008    0.0    7.7    31.0    16.0
16/04/2008    0.0    7.3    32.0    15.0
17/04/2008    0.0    9.0    31.0    16.0
