CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14140
NOMBRE    : TALPA DE ALLENDE
ESTADO    : JALISCO
MUNICIPIO : TALPA DE ALLENDE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.381°
LONGITUD  : -104.822°
ALTITUD   : 1,155 msnm
 
EMISIÓN   : 14/08/2019 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    1.9    27.5    5.5
02/01/2008    0.0    3.0    26.9    5.8
03/01/2008    0.0    3.9    28.3    4.8
04/01/2008    0.0    4.1    27.7    4.0
05/01/2008    0.0    3.2    27.8    3.5
06/01/2008    0.0    2.0    29.2    3.5
07/01/2008    0.0    3.5    27.8    3.5
08/01/2008    0.0    3.8    27.2    2.2
09/01/2008    0.0    3.3    27.2    3.1
10/01/2008    0.0    2.5    27.4    3.0
11/01/2008    0.0    2.5    27.5    2.5
12/01/2008    0.0    3.8    27.6    1.3
13/01/2008    0.0    3.2    27.4    2.2
14/01/2008    0.0    2.1    27.6    2.6
15/01/2008    0.0    3.3    26.9    4.7
16/01/2008    0.0    2.7    25.4    5.6
17/01/2008    0.0    3.5    25.4    2.9
18/01/2008    0.0    1.9    24.5    2.7
19/01/2008    0.0    3.3    27.2    3.4
20/01/2008    0.0    3.1    25.7    3.9
21/01/2008    0.0    3.5    26.4    4.7
22/01/2008    0.0    2.1    27.6    5.2
23/01/2008    0.0    4.6    30.2    5.9
24/01/2008    0.0    2.1    30.6    6.6
25/01/2008    0.0    3.6    28.2    6.4
26/01/2008    0.0    3.2    28.2    7.1
27/01/2008    0.0    2.8    29.3    6.4
28/01/2008    0.0    4.7    29.6    6.2
29/01/2008    0.0    4.6    29.0    5.6
