CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14160
NOMBRE    : VALLE DE JUAREZ (DGE)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.944°
ALTITUD   : 1,960 msnm
 
EMISION   : 06/04/2020 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	  (MM)   (MM)   (°C)   (°C)
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    3.5    26.8    4.3
02/02/2008    0.0    4.9    27.8    4.7
03/02/2008    0.0    5.0    28.2    5.2
04/02/2008    0.0    5.3    27.8    5.7
05/02/2008    0.0    4.4    28.2    6.1
06/02/2008    0.0    4.0    28.2    5.6
07/02/2008    0.0    4.5    28.7    6.1
08/02/2008    0.0    5.9    27.8    6.5
09/02/2008    0.0    4.9    28.3    6.6
10/02/2008    0.0    4.9    28.3    7.1
11/02/2008    0.0    4.0    28.3    7.1
12/02/2008    0.0    5.9    29.6    8.1
13/02/2008    0.0    5.9    28.2    3.4
14/02/2008    0.0    5.4    28.2    5.1
15/02/2008    0.0    5.2    29.3    3.2
16/02/2008    0.0    4.7    28.8    3.8
17/02/2008    0.0    5.9    29.3    4.2
18/02/2008    0.0    5.8    30.1    3.8
19/02/2008    0.0    6.6    30.1    4.2
20/02/2008    0.0    5.7    30.7    4.1
21/02/2008    0.0    5.1    29.7    4.2
22/02/2008    0.0    6.2    30.8    5.1
23/02/2008    0.0    4.7    31.4    4.2
24/02/2008    0.0    6.7    31.5    5.2
25/02/2008    0.0    6.7    32.1    5.4
26/02/2008    0.0    5.9    32.6    5.2
27/02/2008    0.0    7.2    29.4    7.0
28/02/2008    0.0    4.6    28.3    7.0
29/02/2008    0.0    5.1    29.2    6.1
01/03/2008    0.0    5.9    29.8    7.1
02/03/2008    0.0    6.2    28.3    7.2
03/03/2008    0.0    5.3    30.2    6.2
04/03/2008    0.0    5.3    27.2    7.2
05/03/2008    0.0    6.2    30.7    7.1
06/03/2008    0.0    7.8    27.8    4.6
07/03/2008    0.0    6.9    28.2    1.7
08/03/2008    0.0    6.9    28.1    2.1
09/03/2008    0.0    7.1    28.6    2.2
10/03/2008    0.0    6.2    29.7    2.8
11/03/2008    0.0    6.6    29.8    3.4
12/03/2008    0.0    7.1    31.1    6.7
13/03/2008    0.0    6.9    29.2    7.1
14/03/2008    0.0    6.8    29.8    7.0
15/03/2008    0.0    6.1    30.2    6.9
16/03/2008    0.0    6.8    30.7    7.9
17/03/2008    0.0    6.1    31.0    8.9
18/03/2008    0.0    7.2    30.4    8.9
19/03/2008    0.0    6.6    31.6    8.4
20/03/2008    0.0    6.0    31.2    9.9
21/03/2008    0.0    7.5    30.9    8.1
22/03/2008    0.0    6.3    31.7    9.1
23/03/2008    0.0    6.8    32.1    8.5
24/03/2008    0.0    6.2    32.4    9.0
25/03/2008    0.0    5.9    32.1    9.0
26/03/2008    0.0    6.8    33.2    9.9
27/03/2008    0.0    6.4    32.7    9.1
28/03/2008    0.0    6.3    32.1    8.8
29/03/2008    0.0    6.0    32.6    9.0
30/03/2008    0.0    4.9    33.6    8.5
31/03/2008    0.0    7.3    34.2    9.0
01/04/2008    0.0    6.1    33.7    9.1
02/04/2008    0.0    6.6    35.2    10.1
03/04/2008    0.0    4.7    33.8    10.6
04/04/2008    0.0    7.2    35.1    10.5
05/04/2008    0.0    5.7    35.3    12.0
06/04/2008    0.0    6.2    34.9    10.2
07/04/2008    0.0    5.6    36.0    11.0
08/04/2008    0.0    7.0    33.1    11.0
09/04/2008    0.0    8.0    33.1    10.9
10/04/2008    0.0    7.7    33.1    8.1
11/04/2008    0.0    6.0    33.7    8.1
12/04/2008    0.0    6.2    34.2    11.1
13/04/2008    9.7    7.8    34.1    12.1
14/04/2008    0.0    5.8    28.4    10.1
15/04/2008    0.0    7.0    31.2    12.8
16/04/2008    0.0    5.9    29.9    13.1
17/04/2008    0.0    8.6    33.1    11.1
18/04/2008    0.0    6.5    32.9    11.9
19/04/2008    0.0    6.6    33.3    11.0
20/04/2008    0.0    8.0    34.2    12.0
21/04/2008    0.0    7.6    36.1    11.1
22/04/2008    0.0    7.7    35.3    11.1
23/04/2008    0.0    7.2    36.6    12.1
24/04/2008    0.0    6.6    34.1    11.2
25/04/2008    0.0    8.1    35.2    11.1
26/04/2008    0.0    6.6    33.3    11.1
27/04/2008    0.0    7.1    35.6    11.7
28/04/2008    0.0    8.3    35.1    12.2
29/04/2008    0.0    7.8    32.2    11.3
30/04/2008    0.0    6.0    33.1    12.6
01/05/2008    0.0    6.3    34.1    12.0
02/05/2008    0.0    8.4    33.6    11.1
03/05/2008    0.0    4.8    35.2    10.2
04/05/2008    0.0    6.5    33.3    10.7
05/05/2008    0.0    5.9    34.1    10.8
06/05/2008    0.0    6.3    35.5    10.5
07/05/2008    0.0    7.3    34.9    13.3
08/05/2008    0.0    6.7    36.0    14.1
09/05/2008    0.0    8.4    36.0    13.7
10/05/2008    0.0    7.4    36.5    13.7
11/05/2008    0.0    7.1    36.1    14.3
12/05/2008    0.0    7.6    36.9    14.3
13/05/2008    0.0    6.6    36.0    14.2
14/05/2008    0.0    6.5    36.6    14.2
15/05/2008    0.0    7.6    35.0    14.5
16/05/2008    0.0    7.6    36.5    13.2
17/05/2008    0.0    8.3    35.5    14.1
18/05/2008    0.0    6.5    35.0    13.1
19/05/2008    0.0    6.3    34.5    14.1
20/05/2008    16.8    4.4    34.6    13.1
21/05/2008    0.0    4.9    29.5    14.1
22/05/2008    0.0    7.0    30.6    13.2
23/05/2008    0.0    6.9    32.2    12.9
24/05/2008    0.0    6.9    33.3    13.4
25/05/2008    0.0    8.0    33.7    10.3
26/05/2008    0.0    6.6    34.1    10.5
27/05/2008    0.3    5.7    34.1    10.5
28/05/2008    0.0    6.9    32.2    10.5
29/05/2008    0.0    7.8    31.4    16.1
30/05/2008    0.0    7.3    32.3    14.8
31/05/2008    0.0    6.3    33.2    15.2
01/06/2008    0.0    8.5    33.7    15.2
02/06/2008    0.0    7.6    34.1    16.1
03/06/2008    0.0    7.4    33.4    15.1
04/06/2008    0.0    7.8    34.1    16.1
05/06/2008    0.0    7.3    34.1    16.0
06/06/2008    3.2    6.6    34.6    16.1
07/06/2008    9.1    2.8    33.1    14.6
08/06/2008    28.1    1.0    28.4    13.3
09/06/2008    32.8    7.1    28.2    15.2
10/06/2008    2.2    2.0    28.0    16.2
11/06/2008    0.8    3.3    27.2    16.0
12/06/2008    3.0    1.6    25.2    15.2
13/06/2008    3.3    5.6    28.4    16.1
14/06/2008    10.2    4.6    27.7    16.0
15/06/2008    11.2    4.6    28.7    15.1
16/06/2008    0.3    2.6    29.1    15.7
17/06/2008    9.6    3.9    31.5    15.2
18/06/2008    0.1    6.4    31.0    17.1
19/06/2008    0.7    5.5    31.1    15.1
20/06/2008    0.2    7.0    31.9    15.1
21/06/2008    0.5    6.4    30.6    15.7
22/06/2008    13.6    0.2    31.0    15.2
23/06/2008    4.8    3.3    31.6    15.7
24/06/2008    8.9    4.3    29.3    16.2
25/06/2008    3.0    5.3    29.2    15.2
26/06/2008    0.9    4.5    30.7    15.2
27/06/2008    6.2    2.3    31.1    14.3
28/06/2008    5.3    4.4    31.3    15.2
29/06/2008    5.8    2.0    31.1    14.2
30/06/2008    14.6    7.0    31.5    15.3
01/07/2008    3.0    4.3    30.1    14.3
02/07/2008    0.0    5.7    30.9    14.3
03/07/2008    0.4    4.7    31.4    14.4
04/07/2008    8.8    1.9    29.2    14.3
05/07/2008    7.8    0.1    28.7    14.3
06/07/2008    22.5    2.0    29.4    14.3
07/07/2008    14.1    0.6    28.1    14.3
08/07/2008    8.1    2.6    30.1    14.3
09/07/2008    32.6    0.6    24.5    14.3
10/07/2008    14.8    3.2    30.4    14.3
11/07/2008    10.6    3.7    29.9    14.7
12/07/2008    21.9    3.3    29.6    15.1
13/07/2008    13.9    5.9    30.5    14.2
14/07/2008    3.6    4.0    31.5    14.2
15/07/2008    6.1    3.6    32.5    14.2
16/07/2008    0.5    5.2    28.4    14.1
17/07/2008    1.5    4.0    28.7    14.1
18/07/2008    0.8    4.0    28.7    14.1
19/07/2008    14.4    3.7    29.3    13.3
20/07/2008    2.3    5.1    28.9    14.2
21/07/2008    0.7    6.4    29.2    14.2
22/07/2008    0.6    4.7    29.7    13.3
23/07/2008    1.3    5.2    31.1    14.3
24/07/2008    16.3    2.0    29.8    15.2
25/07/2008    7.1    3.7    30.3    13.8
