CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14167
NOMBRE    : YAHUALICA DE GONZALEZ GALLO (SMN)
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.182°
LONGITUD  : -102.891°
ALTITUD   : 1,800 msnm
 
EMISION   : 06/04/2020 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.4    28.0    3.0
02/01/2008    0.0    4.1    28.0    3.0
03/01/2008    0.0    3.7    28.0    3.0
04/01/2008    0.0    3.5    28.0    2.0
05/01/2008    0.0    2.8    28.0    2.0
06/01/2008    0.0    3.6    28.0    1.0
07/01/2008    0.0    4.6    28.0    1.0
08/01/2008    0.0    4.1    29.0    1.0
09/01/2008    0.0    3.2    28.0    1.0
10/01/2008    0.0    4.3    28.0    2.0
11/01/2008    0.0    3.9    28.0    2.0
12/01/2008    0.0    3.9    29.0    2.0
13/01/2008    0.0    3.5    29.0    2.0
14/01/2008    0.0    3.4    28.0    2.0
15/01/2008    0.0    4.8    28.0    3.0
16/01/2008    0.0    3.8    28.0    3.0
17/01/2008    0.0    2.9    28.0    5.0
18/01/2008    0.0    4.0    28.0    4.0
19/01/2008    0.0    1.7    28.0    2.0
20/01/2008    0.0    3.1    28.0    2.0
21/01/2008    0.0    5.5    28.0    1.0
22/01/2008    0.0    2.8    28.0    1.0
23/01/2008    0.0    3.7    28.0    1.0
24/01/2008    0.0    4.2    28.0    1.0
25/01/2008    0.0    4.5    28.0    2.0
26/01/2008    0.0    4.6    29.0    2.0
27/01/2008    0.0    4.6    29.0    2.0
28/01/2008    0.0    3.8    29.0    2.0
29/01/2008    0.0    3.8    29.0    1.0
30/01/2008    0.0    4.4    29.0    1.0
31/01/2008    0.0    5.8    29.0    1.0
01/02/2008    0.0    4.2    26.0    2.0
02/02/2008    0.0    5.4    26.0    2.0
03/02/2008    0.0    4.2    26.0    2.0
04/02/2008    0.0    4.6    26.0    2.0
05/02/2008    0.0    4.8    26.0    2.0
06/02/2008    0.0    4.8    26.0    2.0
07/02/2008    0.0    5.0    26.0    3.0
08/02/2008    0.0    4.9    26.0    2.0
09/02/2008    0.0    3.8    26.0    2.0
10/02/2008    0.0    3.8    26.0    2.0
11/02/2008    0.0    3.8    26.0    2.0
12/02/2008    0.0    4.4    24.0    2.0
13/02/2008    0.0    4.9    25.0    2.0
14/02/2008    0.0    4.8    25.0    3.0
15/02/2008    0.0    6.7    25.0    3.0
16/02/2008    0.0    5.1    25.0    3.0
17/02/2008    0.0    5.7    25.0    3.0
18/02/2008    0.0    5.4    25.0    3.0
19/02/2008    0.0    5.6    25.0    3.0
20/02/2008    0.0    4.8    24.0    2.0
21/02/2008    0.0    5.8    24.0    2.0
22/02/2008    0.0    5.4    25.0    2.0
23/02/2008    0.0    4.9    25.0    1.0
24/02/2008    0.0    3.7    25.0    1.0
25/02/2008    0.0    5.0    25.0    2.0
26/02/2008    0.0    5.8    25.0    2.0
27/02/2008    0.0    5.0    25.0    2.0
28/02/2008    0.0    3.8    25.0    2.0
29/02/2008    0.0    5.0    25.0    1.0
01/03/2008    0.0    5.2    29.0    6.0
02/03/2008    0.0    5.0    29.0    6.0
03/03/2008    0.0    5.5    29.0    7.0
04/03/2008    0.0    6.1    29.0    7.0
05/03/2008    0.0    6.1    29.0    8.0
06/03/2008    0.0    6.7    29.0    8.0
07/03/2008    0.0    5.8    29.0    7.0
08/03/2008    0.0    6.2    29.0    6.0
09/03/2008    0.0    5.2    29.0    6.0
10/03/2008    0.0    5.6    28.0    6.0
11/03/2008    0.0    5.5    28.0    5.0
12/03/2008    0.0    5.5    28.0    5.0
13/03/2008    0.0    6.7    28.0    5.0
14/03/2008    0.0    6.3    28.0    5.0
15/03/2008    0.0    6.2    29.0    5.0
16/03/2008    0.0    6.5    29.0    6.0
17/03/2008    0.0    6.7    28.0    6.0
18/03/2008    0.0    6.5    28.0    4.0
19/03/2008    0.0    6.0    28.0    3.0
20/03/2008    0.0    5.8    28.0    4.0
21/03/2008    0.0    6.0    28.0    3.0
22/03/2008    0.0    6.0    28.0    3.0
23/03/2008    0.0    5.8    29.0    4.0
24/03/2008    0.0    6.0    29.0    4.0
25/03/2008    0.0    6.3    29.0    4.0
26/03/2008    0.0    5.9    28.0    4.0
27/03/2008    0.0    6.4    28.0    5.0
28/03/2008    0.0    7.2    29.0    5.0
29/03/2008    0.0    7.5    29.0    5.0
30/03/2008    0.0    6.9    29.0    5.0
31/03/2008    0.0    6.0    29.0    5.0
01/04/2008    0.0    6.5    29.0    9.0
02/04/2008    0.0    5.9    29.0    12.0
03/04/2008    0.0    6.7    29.0    11.0
04/04/2008    0.0    7.2    29.0    12.0
05/04/2008    0.0    6.0    29.0    12.0
06/04/2008    0.0    6.2    29.0    12.0
07/04/2008    0.0    9.7    29.0    12.0
08/04/2008    0.0    8.2    29.0    12.0
09/04/2008    0.0    8.0    29.0    12.0
10/04/2008    0.0    7.2    29.0    12.0
11/04/2008    0.0    7.3    29.0    12.0
12/04/2008    0.0    7.2    29.0    12.0
13/04/2008    0.0    5.9    30.0    13.0
14/04/2008    0.0    6.1    30.0    12.0
15/04/2008    0.0    5.0    30.0    12.0
16/04/2008    0.0    6.2    30.0    12.0
17/04/2008    0.0    6.6    30.0    12.0
18/04/2008    0.0    6.8    29.0    12.0
19/04/2008    0.0    6.7    30.0    12.0
20/04/2008    0.0    5.8    30.0    11.0
21/04/2008    0.0    7.1    29.0    11.0
22/04/2008    0.0    8.9    29.0    12.0
23/04/2008    0.0    7.9    29.0    12.0
24/04/2008    0.0    8.7    29.0    11.0
25/04/2008    0.0    8.0    29.0    11.0
26/04/2008    0.0    5.5    30.0    12.0
27/04/2008    0.0    7.8    30.0    12.0
28/04/2008    0.0    7.7    30.0    12.0
29/04/2008    0.0    7.5    31.0    12.0
30/04/2008    0.0    8.2    31.0    13.0
01/05/2008    0.0    8.2    29.0    13.0
02/05/2008    0.0    8.5    30.0    13.0
03/05/2008    0.0    7.0    30.0    13.0
04/05/2008    0.0    7.0    30.0    13.0
05/05/2008    0.0    6.8    30.0    13.0
06/05/2008    0.0    7.2    30.0    13.0
07/05/2008    0.0    7.5    30.0    12.0
08/05/2008    0.0    7.3    30.0    12.0
09/05/2008    0.0    5.9    30.0    12.0
10/05/2008    0.0    7.8    30.0    12.0
11/05/2008    0.0    8.0    30.0    13.0
12/05/2008    0.0    6.6    30.0    12.0
13/05/2008    0.0    7.1    30.0    13.0
14/05/2008    0.0    7.9    30.0    12.0
15/05/2008    0.0    7.0    31.0    12.0
16/05/2008    0.0    6.2    32.0    14.0
17/05/2008    0.0    5.7    32.0    14.0
18/05/2008    0.0    7.6    33.0    14.0
19/05/2008    0.0    4.8    34.0    15.0
20/05/2008    0.0    6.6    34.0    15.0
21/05/2008    0.0    7.4    34.0    15.0
22/05/2008    0.0    7.2    34.0    15.0
23/05/2008    0.0    7.1    34.0    15.0
24/05/2008    0.0    6.7    34.0    15.0
25/05/2008    0.0    7.2    34.0    15.0
26/05/2008    0.0    7.0    34.0    15.0
27/05/2008    0.0    6.9    34.0    16.0
28/05/2008    0.0    7.0    34.0    16.0
29/05/2008    0.0    7.1    34.0    16.0
30/05/2008    0.0    5.5    34.0    16.0
31/05/2008    0.0    7.4    34.0    16.0
01/06/2008    0.0    7.9    25.0    10.0
02/06/2008    0.0    7.8    25.0    11.0
03/06/2008    0.0    8.1    26.0    12.0
04/06/2008    0.0    7.7    26.0    16.0
05/06/2008    0.0    8.1    25.0    12.0
06/06/2008    5.0    6.3    25.0    12.0
07/06/2008    30.2    5.7    25.0    12.0
08/06/2008    38.0    5.8    25.0    12.0
09/06/2008    25.0    4.8    25.0    13.0
10/06/2008    10.0    4.4    25.0    13.0
11/06/2008    30.1    4.6    25.0    13.0
12/06/2008    1.3    5.2    26.0    13.0
13/06/2008    2.0    5.0    27.0    13.0
14/06/2008    3.0    4.3    27.0    13.0
15/06/2008    0.0    4.6    27.0    13.0
16/06/2008    1.0    6.0    27.0    12.0
17/06/2008    0.0    2.0    27.0    12.0
18/06/2008    0.0    5.8    28.0    12.0
19/06/2008    0.0    5.8    28.0    12.0
20/06/2008    0.0    5.8    28.0    13.0
21/06/2008    0.0    7.3    27.0    12.0
22/06/2008    0.0    5.2    27.0    12.0
23/06/2008    0.0    6.4    27.0    12.0
24/06/2008    22.0    5.8    25.0    12.0
25/06/2008    1.0    5.8    25.0    12.0
26/06/2008    3.0    6.2    25.0    12.0
27/06/2008    0.0    5.0    25.0    12.0
28/06/2008    10.0    5.6    26.0    12.0
29/06/2008    12.5    4.6    26.0    12.0
30/06/2008    18.0    4.7    26.0    12.0
01/07/2008    2.0    3.0    30.0    13.0
02/07/2008    5.0    3.4    30.0    13.0
03/07/2008    0.0    3.4    30.0    13.0
04/07/2008    41.0    2.7    30.0    13.0
05/07/2008    4.0    6.2    30.0    13.0
06/07/2008    20.1    6.9    29.0    12.0
07/07/2008    12.5    4.2    29.0    13.0
08/07/2008    18.0    3.4    29.0    13.0
09/07/2008    40.1    4.0    29.0    13.0
10/07/2008    5.0    4.4    29.0    12.0
11/07/2008    15.0    3.1    29.0    12.0
12/07/2008    2.0    3.2    32.0    12.0
13/07/2008    0.0    4.1    30.0    12.0
14/07/2008    5.0    4.2    30.0    12.0
15/07/2008    0.0    2.7    29.0    10.0
16/07/2008    0.0    7.0    29.0    10.0
17/07/2008    17.5    3.8    29.0    10.0
18/07/2008    0.0    3.0    29.0    10.0
19/07/2008    5.0    2.6    29.0    10.0
20/07/2008    0.0    4.0    29.0    10.0
21/07/2008    0.0    4.7    29.0    11.0
22/07/2008    0.0    4.2    29.0    11.0
23/07/2008    17.0    4.6    27.0    10.0
24/07/2008    21.5    4.1    29.0    10.0
25/07/2008    17.0    3.3    29.0    10.0
26/07/2008    6.0    4.3    29.0    10.0
27/07/2008    0.0    4.6    29.0    10.0
28/07/2008    0.0    4.3    29.0    11.0
29/07/2008    0.0    4.3    29.0    10.0
30/07/2008    0.0    4.1    29.0    10.0
31/07/2008    1.0    2.9    29.0    10.0
01/08/2008    0.0    4.3    28.0    13.0
02/08/2008    0.0    4.8    29.0    14.0
03/08/2008    16.0    4.5    29.0    12.0
04/08/2008    0.0    4.9    29.0    12.0
05/08/2008    0.0    5.3    29.0    12.0
06/08/2008    8.0    4.9    30.0    12.0
07/08/2008    5.0    3.0    29.0    12.0
