CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14350
NOMBRE    : EL ROSARIO
ESTADO    : JALISCO
MUNICIPIO : TUXCACUESCO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.649°
LONGITUD  : -103.983°
ALTITUD   : 700 msnm
 
EMISION   : 06/04/2020 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.0    36.0    13.0
02/01/2008    0.0    4.2    32.0    13.0
03/01/2008    0.0    3.8    33.0    9.0
04/01/2008    0.0    4.4    33.0    7.0
05/01/2008    0.0    1.8    29.0    9.0
06/01/2008    0.0    2.9    34.0    9.0
07/01/2008    0.0    5.0    34.5    9.0
08/01/2008    0.0    3.5    34.0    7.5
09/01/2008    0.0    4.3    34.0    7.0
10/01/2008    0.0    3.5    34.0    8.0
11/01/2008    0.0    3.8    33.0    9.0
12/01/2008    0.0    3.6    32.5    5.0
13/01/2008    0.0    3.8    32.0    5.5
14/01/2008    0.0    3.5    32.5    6.5
15/01/2008    0.0    4.9    31.5    11.5
16/01/2008    0.0    3.2    31.5    7.5
17/01/2008    0.0    2.8    30.0    7.5
18/01/2008    0.0    2.8    31.0    8.0
19/01/2008    0.0    3.6    33.5    8.5
20/01/2008    0.0    2.9    32.0    9.5
21/01/2008    0.0    3.1    34.0    10.0
22/01/2008    0.0    3.2    34.0    11.0
23/01/2008    0.0    4.0    37.5    10.0
24/01/2008    0.0    4.7    35.0    10.5
25/01/2008    0.0    3.1    35.0    12.5
26/01/2008    0.0    4.6    35.5    12.0
27/01/2008    0.0    4.3    36.0    12.5
28/01/2008    0.0    3.8    35.5    12.0
29/01/2008    0.0    4.0    36.5    12.0
30/01/2008    0.0    4.1    34.5    12.0
31/01/2008    0.0    3.9    34.5    10.5
01/02/2008    0.0    3.6    34.0    10.5
02/02/2008    0.0    4.1    34.5    9.5
03/02/2008    0.0    5.4    34.5    10.0
04/02/2008    0.0    4.3    35.0    9.5
05/02/2008    0.0    3.9    34.0    9.5
06/02/2008    0.0    3.7    34.0    9.5
07/02/2008    0.0    5.1    34.0    10.0
08/02/2008    0.0    4.1    33.5    9.5
09/02/2008    0.0    3.8    35.0    11.5
10/02/2008    0.0    4.1    36.5    11.5
11/02/2008    0.0    4.4    35.0    11.5
12/02/2008    0.0    4.7    33.0    11.5
13/02/2008    0.0    4.9    35.0    9.5
14/02/2008    0.0    4.2    35.0    8.5
15/02/2008    0.0    6.4    36.0    8.0
16/02/2008    0.0    5.4    37.5    7.5
17/02/2008    0.0    4.9    37.0    8.5
18/02/2008    0.0    4.7    33.5    9.0
19/02/2008    0.0    5.0    35.0    8.0
20/02/2008    0.0    4.8    35.5    8.0
21/02/2008    0.0    4.6    35.5    8.0
22/02/2008    0.0    4.3    38.0    9.0
23/02/2008    0.0    6.2    38.5    10.0
24/02/2008    0.0    5.6    39.5    10.5
25/02/2008    0.0    5.5    36.5    11.0
26/02/2008    0.0    6.1    37.0    8.5
27/02/2008    0.0    5.6    37.5    8.0
28/02/2008    0.0    5.5    34.5    8.5
29/02/2008    0.0    5.4    35.5    9.5
01/03/2008    0.0    6.8    37.5    9.5
02/03/2008    0.0    5.4    35.5    10.5
03/03/2008    0.0    5.3    35.0    8.5
04/03/2008    0.0    2.7    32.0    8.5
05/03/2008    0.0    5.9    37.0    8.0
06/03/2008    0.0    7.1    35.0    7.0
07/03/2008    0.0    5.5    35.0    6.0
08/03/2008    0.0    5.6    34.0    5.5
09/03/2008    0.0    7.2    35.0    7.0
10/03/2008    0.0    5.1    35.0    6.0
11/03/2008    0.0    5.3    36.0    7.0
12/03/2008    0.0    6.6    35.5    7.0
13/03/2008    0.0    7.6    37.5    7.5
14/03/2008    0.0    6.7    37.0    8.5
15/03/2008    0.0    5.5    37.5    8.5
16/03/2008    0.0    6.8    36.5    8.5
17/03/2008    0.0    5.7    37.0    9.5
18/03/2008    0.0    7.4    35.0    9.0
19/03/2008    0.0    6.3    36.5    7.0
20/03/2008    0.0    5.7    37.0    10.0
21/03/2008    0.0    6.3    38.0    11.0
22/03/2008    0.0    6.2    39.0    11.0
23/03/2008    0.0    6.0    38.5    10.5
24/03/2008    0.0    7.2    37.5    11.0
25/03/2008    0.0    4.6    37.0    10.5
26/03/2008    0.0    7.1    37.5    13.0
27/03/2008    0.0    6.3    39.0    12.0
28/03/2008    0.0    8.7    39.0    12.0
29/03/2008    0.0    6.9    38.5    9.5
30/03/2008    0.0    8.0    37.5    10.5
