GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15021
NOMBRE    : SAN JULIAN
ESTADO    : JALISCO
MUNICIPIO :  SAN JULIAN
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  21.005°
LONGITUD  :  -102.178°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    Nulo    22.8    6.0
02/01/2008    0.0    Nulo    21.0    3.4
03/01/2008    0.0    Nulo    17.8    0.8
04/01/2008    0.0    Nulo    21.0    1.4
05/01/2008    0.0    Nulo    22.6    1.7
06/01/2008    0.0    Nulo    24.0    1.7
07/01/2008    0.0    Nulo    24.1    5.3
08/01/2008    0.0    Nulo    24.1    4.7
09/01/2008    0.0    Nulo    23.4    4.0
10/01/2008    0.0    Nulo    22.7    4.0
11/01/2008    0.0    Nulo    23.7    3.7
12/01/2008    0.0    Nulo    23.1    2.7
13/01/2008    0.0    Nulo    23.0    4.4
14/01/2008    0.0    Nulo    22.7    4.6
15/01/2008    0.0    Nulo    22.0    4.4
16/01/2008    0.0    Nulo    19.1    3.4
17/01/2008    0.0    Nulo    20.1    4.4
18/01/2008    0.0    Nulo    20.1    4.4
19/01/2008    0.0    Nulo    19.7    4.4
20/01/2008    0.0    Nulo    19.4    3.7
21/01/2008    0.0    Nulo    22.9    4.7
22/01/2008    0.0    Nulo    23.3    5.7
23/01/2008    0.0    Nulo    25.3    6.0
24/01/2008    0.0    Nulo    24.3    6.6
25/01/2008    0.0    Nulo    22.7    6.6
26/01/2008    0.0    Nulo    24.9    6.9
27/01/2008    0.0    Nulo    22.0    4.6
28/01/2008    0.0    Nulo    22.0    6.6
29/01/2008    0.0    Nulo    22.3    6.6
30/01/2008    0.0    Nulo    23.0    6.6
31/01/2008    0.0    Nulo    23.0    5.4
01/02/2008    0.0    4.2    26.1    5.6
02/02/2008    0.0    2.6    23.6    5.9
03/02/2008    0.0    4.4    22.7    6.7
04/02/2008    0.0    3.9    23.1    7.5
05/02/2008    0.0    3.6    24.3    4.6
06/02/2008    0.0    4.7    25.9    4.9
07/02/2008    0.0    3.6    24.7    6.1
08/02/2008    0.0    4.3    25.2    4.7
09/02/2008    0.0    2.9    26.6    5.3
