GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15026
NOMBRE    : SAN SEBASTIAN DEL OESTE
ESTADO    : JALISCO
MUNICIPIO :  SAN SEBASTIAN DEL OESTE
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.762°
LONGITUD  :  -104.854°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
	           PRECIP  EVAP   TMAX   TMIN
  FECHA   	   mm     mm     °C     °C 
01/01/2008    0.0    2.6    25.9    6.5
02/01/2008    0.0    2.1    26.0    7.9
03/01/2008    0.0    3.4    27.2    7.6
04/01/2008    0.0    3.1    26.4    6.5
05/01/2008    0.0    3.2    25.9    5.7
06/01/2008    0.0    2.3    27.8    6.0
07/01/2008    0.0    3.1    27.3    5.8
08/01/2008    0.0    3.7    26.1    4.7
09/01/2008    0.0    3.1    25.9    4.8
10/01/2008    0.0    3.0    25.5    4.8
11/01/2008    0.0    3.1    24.1    4.5
12/01/2008    0.0    3.9    24.6    3.7
13/01/2008    0.0    3.5    25.5    2.6
14/01/2008    0.0    3.0    24.4    4.4
15/01/2008    0.0    4.0    23.6    8.3
16/01/2008    0.0    4.5    23.4    7.2
17/01/2008    0.0    4.1    23.4    5.1
18/01/2008    0.0    3.3    22.4    5.4
19/01/2008    0.0    4.1    24.6    5.3
20/01/2008    0.0    4.0    25.1    5.7
21/01/2008    0.0    4.2    25.8    6.4
22/01/2008    0.0    1.8    26.4    7.7
23/01/2008    0.0    4.3    28.4    8.0
24/01/2008    0.0    2.3    25.9    8.2
25/01/2008    0.0    4.8    29.7    8.8
26/01/2008    0.0    4.1    27.2    9.8
27/01/2008    0.0    2.8    29.6    9.9
28/01/2008    0.0    3.0    27.4    8.5
29/01/2008    0.0    4.7    27.4    8.0
30/01/2008    0.0    4.1    26.5    8.1
31/01/2008    0.0    4.0    26.4    7.9
01/02/2008    0.0    3.4    26.8    7.1
02/02/2008    0.0    3.5    27.2    6.9
03/02/2008    0.0    3.7    27.8    6.5
04/02/2008    0.0    4.0    27.5    6.3
05/02/2008    0.0    3.6    26.8    6.2
06/02/2008    0.0    3.9    27.1    5.4
07/02/2008    0.0    3.0    26.8    6.1
08/02/2008    0.0    3.6    27.4    7.0
09/02/2008    0.0    3.9    28.2    7.1
10/02/2008    0.2    3.3    28.2    7.5
11/02/2008    0.0    4.0    28.0    7.0
12/02/2008    0.0    3.6    26.4    6.4
13/02/2008    0.0    4.1    28.1    5.6
14/02/2008    0.0    3.8    28.0    4.8
15/02/2008    0.0    4.6    28.7    4.3
16/02/2008    0.0    4.2    28.4    4.5
17/02/2008    0.0    4.7    28.0    4.6
18/02/2008    0.0    4.5    28.4    5.0
19/02/2008    0.0    4.5    27.7    4.3
20/02/2008    0.0    4.3    27.7    3.9
21/02/2008    0.0    4.2    27.8    4.4
22/02/2008    0.0    4.5    28.9    5.4
23/02/2008    0.0    5.4    29.7    4.5
24/02/2008    0.0    4.9    30.9    4.8
25/02/2008    0.0    5.0    29.5    5.9
26/02/2008    0.0    5.3    29.6    5.5
27/02/2008    0.0    4.6    29.5    5.3
28/02/2008    0.0    4.3    28.0    6.0
29/02/2008    0.0    4.5    29.4    6.8
01/03/2008    0.0    5.0    29.1    7.3
02/03/2008    0.0    5.0    28.7    6.8
03/03/2008    0.0    5.1    28.4    5.6
04/03/2008    0.0    4.9    28.6    5.9
05/03/2008    0.0    5.7    28.2    6.3
06/03/2008    0.0    5.5    26.5    4.3
07/03/2008    0.0    5.3    27.2    2.2
08/03/2008    0.0    4.9    26.6    2.7
09/03/2008    0.0    5.9    27.4    3.7
10/03/2008    0.0    5.0    28.6    4.6
11/03/2008    0.0    5.0    29.1    5.2
12/03/2008    0.0    5.5    29.7    6.1
13/03/2008    0.0    5.9    28.9    6.1
14/03/2008    0.0    5.7    29.2    3.8
15/03/2008    0.0    5.8    29.6    4.4
16/03/2008    0.0    5.6    29.1    5.2
17/03/2008    0.3    5.3    27.4    5.4
18/03/2008    0.0    5.8    24.6    6.2
19/03/2008    0.0    4.9    28.9    3.0
