CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14056
NOMBRE    : EL SALITRE
ESTADO    : JALISCO
MUNICIPIO : SAN MARTIN HIDALGO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.510°
LONGITUD  : -103.857°
ALTITUD   : 1,260 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    2.7    28.3    6.3
02/01/2008    0.0    2.5    22.5    5.7
03/01/2008    0.0    2.1    21.2    7.2
04/01/2008    0.0    2.2    25.0    3.9
05/01/2008    0.0    2.1    25.3    4.3
06/01/2008    0.0    1.8    26.8    3.3
07/01/2008    0.0    2.0    29.3    3.7
08/01/2008    0.0    1.8    28.8    2.7
09/01/2008    0.0    2.0    29.8    3.2
10/01/2008    0.0    1.9    25.9    2.5
11/01/2008    0.0    2.0    27.9    2.6
12/01/2008    0.0    1.9    26.2    2.7
13/01/2008    0.0    1.6    27.4    1.9
14/01/2008    0.0    1.9    24.8    1.3
15/01/2008    0.0    1.7    27.1    1.6
16/01/2008    0.0    1.6    26.2    4.4
17/01/2008    0.0    1.5    25.7    1.9
18/01/2008    0.0    1.5    23.3    2.1
19/01/2008    0.0    1.7    27.9    4.8
20/01/2008    0.0    2.2    29.9    4.5
21/01/2008    0.0    2.1    27.3    5.4
22/01/2008    0.0    2.1    28.1    1.3
23/01/2008    0.0    2.7    31.8    6.5
24/01/2008    0.0    2.9    31.5    6.6
25/01/2008    0.0    2.8    29.3    7.5
26/01/2008    0.0    2.8    29.2    7.7
27/01/2008    0.0    2.9    30.0    9.4
28/01/2008    0.0    2.9    29.8    6.8
29/01/2008    0.0    2.9    27.4    6.6
30/01/2008    0.0    2.8    27.7    6.6
31/01/2008    0.0    2.8    31.2    6.4
01/02/2008    0.0    4.2    30.5    6.0
02/02/2008    0.0    5.7    31.0    6.0
03/02/2008    0.0    5.8    30.5    6.0
04/02/2008    0.0    4.9    30.5    5.5
05/02/2008    0.0    5.2    31.0    5.5
06/02/2008    0.0    4.2    30.5    4.5
07/02/2008    0.0    4.1    28.5    4.5
08/02/2008    0.0    4.3    30.5    5.5
09/02/2008    0.0    3.8    32.0    5.5
10/02/2008    0.0    3.3    30.5    5.5
11/02/2008    0.0    4.7    29.0    7.5
12/02/2008    0.0    5.8    30.5    6.0
13/02/2008    0.0    5.4    30.5    4.5
14/02/2008    0.0    3.7    30.0    5.0
15/02/2008    0.0    2.4    31.5    4.5
16/02/2008    0.0    3.1    31.0    4.0
17/02/2008    0.0    3.8    33.5    4.0
18/02/2008    0.0    3.7    32.5    4.0
19/02/2008    0.0    3.7    31.5    4.0
20/02/2008    0.0    3.5    31.5    4.0
21/02/2008    0.0    5.3    31.5    6.0
22/02/2008    0.0    5.2    33.5    5.5
23/02/2008    0.0    4.1    34.5    4.5
24/02/2008    0.0    4.5    36.5    5.5
25/02/2008    0.0    4.8    34.5    6.0
26/02/2008    0.0    6.6    34.5    4.5
27/02/2008    0.0    3.8    33.0    6.0
28/02/2008    0.0    4.1    31.5    6.5
29/02/2008    0.0    3.8    32.5    6.5
01/03/2008    0.0    4.1    32.5    7.5
02/03/2008    0.0    4.1    32.5    4.5
03/03/2008    0.0    5.1    33.5    4.0
04/03/2008    0.0    5.7    32.0    4.5
05/03/2008    0.0    4.7    32.5    3.0
06/03/2008    0.0    4.9    30.0    1.0
07/03/2008    0.0    3.4    29.0    2.0
08/03/2008    0.0    2.9    29.5    3.5
09/03/2008    0.0    2.5    31.5    4.5
10/03/2008    0.0    1.8    31.5    6.0
11/03/2008    0.0    7.1    31.5    4.0
12/03/2008    0.0    3.9    31.0    6.0
13/03/2008    0.0    4.3    34.0    7.0
14/03/2008    0.0    3.3    34.5    6.5
15/03/2008    0.0    4.5    33.5    4.5
16/03/2008    0.0    3.6    31.5    6.0
17/03/2008    0.0    3.5    31.5    3.5
18/03/2008    0.0    4.0    32.0    4.0
19/03/2008    0.0    4.3    33.0    7.0
20/03/2008    0.0    3.1    32.0    7.5
21/03/2008    0.0    5.3    34.5    7.0
22/03/2008    0.0    5.2    33.0    7.0
23/03/2008    0.0    5.9    34.5    7.5
24/03/2008    0.0    5.2    32.0    7.0
25/03/2008    0.0    4.7    32.5    8.5
26/03/2008    0.0    5.3    34.5    9.0
27/03/2008    0.0    7.2    35.5    8.0
28/03/2008    0.0    5.7    35.0    7.5
29/03/2008    0.0    7.8    35.5    7.0
30/03/2008    0.0    7.0    35.5    6.5
31/03/2008    0.0    8.1    37.5    7.5
01/04/2008    0.0    9.8    38.5    7.5
02/04/2008    0.0    8.2    38.5    8.5
03/04/2008    0.0    9.1    38.0    8.5
04/04/2008    0.0    8.7    38.0    8.5
05/04/2008    0.0    8.9    38.5    8.5
06/04/2008    0.0    8.7    37.5    8.5
07/04/2008    0.0    7.9    36.5    8.0
08/04/2008    0.0    5.7    37.5    8.0
09/04/2008    0.0    7.9    37.5    8.5
10/04/2008    0.0    8.9    37.5    7.5
11/04/2008    0.0    8.9    37.5    7.5
12/04/2008    0.0    8.3    37.5    8.0
13/04/2008    0.0    6.7    35.5    8.0
14/04/2008    4.5    4.1    33.5    9.0
15/04/2008    0.0    7.0    34.0    12.5
16/04/2008    0.0    9.4    35.5    10.0
17/04/2008    0.0    9.5    36.5    9.5
18/04/2008    0.0    8.8    37.0    6.5
19/04/2008    0.0    8.4    38.5    8.0
20/04/2008    0.0    10.2    38.0    10.0
21/04/2008    0.0    9.0    39.5    11.0
22/04/2008    0.0    9.7    40.5    10.5
23/04/2008    0.0    9.2    39.5    10.0
24/04/2008    0.0    7.7    38.5    10.0
25/04/2008    0.0    11.0    38.5    10.5
26/04/2008    0.0    8.7    38.0    9.5
27/04/2008    0.0    8.4    38.5    9.5
28/04/2008    0.0    8.1    37.5    9.5
29/04/2008    0.0    8.6    37.5    10.5
30/04/2008    0.0    6.0    36.5    12.5
01/05/2008    0.0    8.8    36.5    9.5
02/05/2008    0.0    9.2    37.0    8.5
03/05/2008    0.0    8.8    37.0    8.5
04/05/2008    0.0    6.6    37.5    9.0
05/05/2008    0.0    8.1    36.5    10.0
06/05/2008    0.0    7.1    36.5    14.5
07/05/2008    0.0    7.7    35.5    13.5
08/05/2008    0.0    8.5    38.5    12.0
09/05/2008    0.0    8.9    38.5    12.5
10/05/2008    0.0    9.2    39.5    12.5
11/05/2008    0.0    9.1    40.5    13.5
12/05/2008    0.0    4.5    39.5    15.5
13/05/2008    0.0    8.7    37.5    13.0
14/05/2008    0.0    8.5    37.0    13.5
15/05/2008    0.0    9.4    37.0    15.5
16/05/2008    0.0    9.1    35.5    15.0
17/05/2008    0.0    7.6    35.0    13.5
18/05/2008    6.0    0.4    34.5    12.5
19/05/2008    0.0    0.4    32.5    11.5
20/05/2008    0.0    7.6    34.5    11.5
21/05/2008    0.0    7.1    32.5    10.5
22/05/2008    0.0    9.6    33.5    10.5
23/05/2008    0.0    5.7    35.5    11.0
24/05/2008    0.0    7.3    37.5    13.5
25/05/2008    0.0    8.2    36.5    15.0
26/05/2008    0.0    8.5    36.0    14.5
27/05/2008    0.0    8.1    38.5    14.0
28/05/2008    0.0    9.5    38.5    14.5
29/05/2008    0.0    7.9    35.5    14.5
30/05/2008    0.0    8.4    36.5    15.5
31/05/2008    0.0    9.1    37.5    15.5
01/06/2008    0.0    7.4    37.0    15.0
02/06/2008    0.0    9.2    39.5    15.0
03/06/2008    0.0    8.9    39.5    15.5
04/06/2008    0.0    8.1    39.0    15.5
05/06/2008    0.0    8.2    38.5    15.5
06/06/2008    0.0    8.1    34.0    16.5
07/06/2008    0.0    8.7    36.5    15.0
08/06/2008    6.6    7.9    34.5    16.0
09/06/2008    7.8    2.5    33.0    17.5
10/06/2008    7.8    2.7    25.5    16.0
11/06/2008    20.4    2.5    30.5    16.5
12/06/2008    0.0    2.1    26.0    16.5
13/06/2008    0.0    5.3    31.5    15.5
14/06/2008    0.0    5.8    33.5    15.5
15/06/2008    0.0    6.9    33.5    15.5
16/06/2008    4.0    4.0    32.5    17.0
17/06/2008    0.0    3.8    33.5    16.5
18/06/2008    0.0    6.5    34.5    16.5
19/06/2008    0.0    7.8    34.0    17.0
20/06/2008    12.0    6.3    35.5    16.0
21/06/2008    20.4    6.6    30.5    14.5
22/06/2008    0.0    3.8    30.5    14.5
23/06/2008    16.7    4.2    29.0    14.5
24/06/2008    5.4    6.2    31.5    15.5
25/06/2008    0.0    4.7    29.5    15.0
26/06/2008    3.6    2.7    31.5    16.5
27/06/2008    25.8    5.1    31.5    16.0
28/06/2008    0.0    5.8    30.5    15.0
29/06/2008    16.8    3.6    30.5    16.5
30/06/2008    0.0    3.6    30.0    16.5
01/07/2008    0.0    4.1    30.0    16.5
02/07/2008    0.0    4.7    28.5    16.0
03/07/2008    0.0    4.2    30.0    16.5
04/07/2008    47.7    7.5    30.5    16.0
05/07/2008    20.9    4.8    28.0    16.5
06/07/2008    38.0    3.7    29.5    15.5
07/07/2008    13.0    1.8    26.5    16.5
08/07/2008    24.5    1.8    27.5    16.0
09/07/2008    24.6    1.9    25.5    16.0
10/07/2008    1.5    2.2    28.5    15.5
11/07/2008    0.0    3.2    28.5    15.5
12/07/2008    4.3    4.4    29.5    15.5
13/07/2008    0.0    6.0    29.5    15.5
14/07/2008    0.0    4.4    29.5    15.5
15/07/2008    4.6    6.2    29.5    15.5
16/07/2008    0.0    4.6    35.5    13.5
17/07/2008    41.4    6.6    31.5    13.5
18/07/2008    0.0    3.3    30.5    15.0
19/07/2008    12.7    3.0    30.5    15.0
20/07/2008    0.0    5.9    30.0    13.0
21/07/2008    0.0    6.1    30.5    13.0
22/07/2008    0.0    6.0    30.0    16.0
23/07/2008    24.9    5.1    31.5    15.0
24/07/2008    0.0    4.5    28.5    15.5
25/07/2008    7.7    1.3    29.5    16.0
26/07/2008    0.0    6.3    27.5    14.5
27/07/2008    0.0    3.9    29.5    13.5
28/07/2008    33.4    5.6    30.5    15.0
29/07/2008    0.0    5.9    28.5    14.5
30/07/2008    0.0    5.2    29.5    15.5
31/07/2008    1.2    5.3    28.5    15.5
01/08/2008    0.0    5.2    29.5    14.5
02/08/2008    0.0    2.4    37.5    16.0
03/08/2008    7.8    2.9    28.5    15.0
04/08/2008    0.0    6.6    29.5    15.5
05/08/2008    3.9    5.0    29.5    16.5
06/08/2008    29.4    5.4    26.5    14.5
07/08/2008    0.0    2.0    26.5    14.5
08/08/2008    18.5    2.9    29.5    14.5
09/08/2008    0.0    3.6    29.5    13.0
10/08/2008    0.0    6.9    30.5    12.5
11/08/2008    29.5    6.1    29.5    12.0
12/08/2008    0.0    4.2    27.5    13.5
13/08/2008    0.0    4.7    31.5    15.5
14/08/2008    22.0    6.2    30.5    16.0
15/08/2008    0.0    7.9    29.5    16.5
16/08/2008    0.0    4.4    30.0    16.5
17/08/2008    0.0    2.1    29.5    16.5
18/08/2008    0.0    6.4    29.5    17.0
19/08/2008    0.0    4.1    30.0    16.5
20/08/2008    10.9    4.2    29.5    15.5
21/08/2008    0.0    4.9    29.5    15.5
22/08/2008    2.7    5.2    30.5    16.5
23/08/2008    2.5    4.9    28.5    16.5
24/08/2008    0.0    2.9    28.0    13.5
25/08/2008    1.0    2.1    29.5    13.5
26/08/2008    13.5    3.3    28.5    17.5
27/08/2008    7.0    3.6    30.5    16.5
28/08/2008    11.0    4.2    28.5    15.5
29/08/2008    19.7    7.5    28.5    16.0
30/08/2008    0.0    2.0    28.5    15.5
31/08/2008    0.0    4.8    30.5    16.0
01/09/2008    0.0    5.3    30.5    16.0
02/09/2008    18.0    5.5    31.0    16.5
03/09/2008    2.2    5.5    28.5    15.0
04/09/2008    0.0    5.4    30.5    15.5
05/09/2008    0.0    7.7    29.5    17.0
06/09/2008    0.0    6.3    30.5    15.5
07/09/2008    0.0    5.6    29.5    15.5
08/09/2008    0.0    1.1    27.5    17.5
09/09/2008    5.2    5.9    30.5    16.5
10/09/2008    1.3    3.8    30.0    16.5
11/09/2008    0.0    5.7    30.0    16.5
12/09/2008    0.0    7.4    30.5    17.0
13/09/2008    8.0    6.0    30.5    17.5
14/09/2008    1.9    3.3    28.5    15.5
15/09/2008    0.0    3.4    24.5    16.5
16/09/2008    0.0    1.5    28.5    15.5
17/09/2008    0.0    5.6    28.5    16.0
18/09/2008    34.0    7.2    29.5    16.0
19/09/2008    26.5    6.6    29.0    15.0
20/09/2008    0.0    7.0    29.5    16.0
21/09/2008    0.0    3.8    29.5    16.0
22/09/2008    0.0    3.4    28.5    15.0
23/09/2008    11.0    3.9    29.0    15.5
24/09/2008    8.9    3.3    27.5    15.5
25/09/2008    0.0    3.7    27.0    15.5
26/09/2008    0.0    7.2    28.5    15.0
27/09/2008    0.0    4.6    30.5    15.5
28/09/2008    0.0    5.3    29.5    15.5
29/09/2008    0.0    5.4    28.5    14.5
30/09/2008    0.0    3.7    28.5    11.5
01/10/2008    0.0    4.6    28.0    9.0
02/10/2008    0.0    4.5    27.5    8.0
03/10/2008    0.0    4.0    29.5    7.5
04/10/2008    0.0    7.5    30.5    7.5
05/10/2008    0.0    4.7    30.0    10.5
06/10/2008    0.0    2.9    30.5    11.0
07/10/2008    0.0    3.6    28.5    12.5
08/10/2008    0.0    4.0    29.5    13.5
09/10/2008    0.0    4.6    30.0    14.5
10/10/2008    2.9    5.0    30.5    14.0
11/10/2008    0.0    3.6    29.0    15.5
12/10/2008    9.2    4.0    30.5    16.5
13/10/2008    0.0    3.9    27.5    13.5
14/10/2008    3.0    4.0    28.5    13.5
15/10/2008    0.0    3.9    29.0    14.5
16/10/2008    0.0    4.5    29.5    14.0
17/10/2008    0.0    5.2    30.0    15.0
18/10/2008    0.0    5.4    29.5    14.0
19/10/2008    0.0    3.8    28.5    13.0
20/10/2008    0.0    4.0    29.5    12.5
21/10/2008    0.0    4.1    29.5    12.5
22/10/2008    0.0    3.5    30.0    14.5
23/10/2008    0.0    3.7    29.5    10.5
24/10/2008    0.0    4.4    25.5    11.5
25/10/2008    0.0    2.4    27.5    14.5
26/10/2008    0.0    4.5    29.5    13.0
27/10/2008    0.0    5.2    28.5    12.5
28/10/2008    0.0    3.5    22.5    14.5
29/10/2008    0.0    3.0    24.5    10.5
30/10/2008    0.0    3.3    28.0    9.0
31/10/2008    0.0    8.1    29.5    9.0
01/11/2008    0.0    3.7    27.5    9.5
02/11/2008    0.0    3.3    28.5    8.0
03/11/2008    0.0    4.1    28.5    7.5
04/11/2008    0.0    3.2    28.5    8.0
05/11/2008    0.0    4.0    28.0    12.5
06/11/2008    0.0    2.6    28.0    11.5
