CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14117
NOMBRE    : VILLA PURIFICACION (DGE)
ESTADO    : JALISCO
MUNICIPIO : VILLA PURIFICACION
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.719°
LONGITUD  : -104.602°
ALTITUD   : 440 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    4.3    33.9    12.0
02/01/2008    0.0    7.0    29.9    12.1
03/01/2008    0.0    5.1    30.2    12.8
04/01/2008    0.0    5.1    32.7    9.7
05/01/2008    0.0    2.9    32.1    9.6
06/01/2008    0.0    3.2    33.0    8.4
07/01/2008    0.0    4.4    31.6    7.6
08/01/2008    0.0    4.3    31.7    7.6
09/01/2008    0.0    4.1    31.5    7.8
10/01/2008    0.0    3.8    30.6    7.4
11/01/2008    0.0    3.5    27.5    7.2
12/01/2008    0.0    4.1    30.9    7.1
13/01/2008    0.0    4.0    31.4    6.1
14/01/2008    0.0    3.5    28.3    7.5
15/01/2008    0.0    4.3    28.0    10.2
16/01/2008    0.0    3.9    27.4    8.1
17/01/2008    0.0    4.0    26.0    6.5
18/01/2008    0.0    3.8    27.9    7.1
19/01/2008    0.0    3.9    35.4    9.6
20/01/2008    0.0    3.9    29.2    9.9
21/01/2008    0.0    4.7    31.1    10.1
22/01/2008    0.0    3.4    28.4    11.6
23/01/2008    0.0    5.2    34.4    10.1
24/01/2008    0.0    3.6    32.5    10.9
25/01/2008    0.0    4.0    31.9    12.1
26/01/2008    0.0    4.3    33.3    12.3
27/01/2008    0.0    4.7    32.6    11.4
28/01/2008    0.0    4.5    32.7    11.9
29/01/2008    0.0    4.6    33.6    11.7
30/01/2008    0.0    4.9    30.6    11.3
31/01/2008    0.0    4.5    31.8    11.1
01/02/2008    0.0    4.6    33.0    11.0
02/02/2008    0.0    4.3    36.0    12.0
03/02/2008    0.0    4.2    32.0    12.0
04/02/2008    0.0    3.9    30.0    13.0
05/02/2008    0.0    5.0    31.0    12.0
06/02/2008    0.0    4.6    31.0    10.0
07/02/2008    0.0    5.1    32.0    11.0
08/02/2008    0.0    5.5    32.0    11.0
09/02/2008    0.0    4.5    32.0    11.0
10/02/2008    0.0    4.4    32.0    12.0
11/02/2008    0.0    5.1    33.0    12.0
12/02/2008    0.0    4.0    32.0    12.0
