CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14136
NOMBRE    : SANTA ROSA
ESTADO    : JALISCO
MUNICIPIO : AMATITAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.906°
LONGITUD  : -103.726°
ALTITUD   : 1,059 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    6.0    36.0    17.5
02/01/2008    0.0    6.0    29.5    17.5
03/01/2008    0.0    3.2    29.0    12.0
04/01/2008    0.0    2.3    31.5    8.0
05/01/2008    0.0    3.1    31.0    9.0
06/01/2008    0.0    3.6    34.5    8.5
07/01/2008    0.0    3.7    34.0    9.0
08/01/2008    0.0    3.4    33.0    10.0
09/01/2008    0.0    3.7    34.0    9.5
10/01/2008    0.0    3.5    33.0    9.0
11/01/2008    0.0    4.3    33.5    9.0
12/01/2008    0.0    3.5    32.0    7.5
13/01/2008    0.0    3.2    33.0    7.0
14/01/2008    0.0    3.4    33.0    7.0
15/01/2008    0.0    3.5    29.5    10.5
16/01/2008    0.0    3.3    30.0    10.0
17/01/2008    0.0    2.6    28.5    7.5
18/01/2008    0.0    1.2    27.5    8.0
19/01/2008    0.0    4.7    32.5    10.0
20/01/2008    0.0    3.1    32.5    10.0
21/01/2008    0.0    3.8    34.0    11.0
22/01/2008    0.0    4.1    33.5    11.5
23/01/2008    0.0    4.0    37.0    12.5
24/01/2008    0.0    4.2    37.0    13.5
25/01/2008    0.0    3.7    36.5    14.5
26/01/2008    0.0    5.0    35.5    15.0
27/01/2008    0.0    4.3    37.0    15.0
28/01/2008    0.0    4.9    36.0    14.0
29/01/2008    0.0    4.4    34.0    13.5
30/01/2008    0.0    4.8    35.0    13.0
31/01/2008    0.0    4.5    35.0    13.0
01/02/2008    0.0    4.0    34.5    12.0
02/02/2008    0.0    4.8    35.0    12.5
03/02/2008    0.0    4.7    35.0    13.0
04/02/2008    0.0    4.4    34.0    13.5
05/02/2008    0.0    5.4    34.0    13.5
06/02/2008    0.0    5.3    34.5    11.0
07/02/2008    0.0    4.1    33.0    11.5
08/02/2008    0.0    4.6    35.0    12.0
09/02/2008    0.0    4.7    36.0    12.5
10/02/2008    0.0    4.8    36.0    13.5
11/02/2008    0.0    5.5    34.5    14.0
12/02/2008    0.0    5.9    34.5    13.5
13/02/2008    0.0    5.8    34.5    12.0
14/02/2008    0.0    6.0    36.0    12.0
15/02/2008    0.0    5.5    36.0    11.5
16/02/2008    0.0    5.3    36.5    11.5
17/02/2008    0.0    7.1    37.5    11.5
18/02/2008    0.0    5.8    37.0    11.0
19/02/2008    0.0    5.8    37.0    11.0
20/02/2008    0.0    5.8    36.5    12.0
21/02/2008    0.0    5.1    35.5    12.0
22/02/2008    0.0    6.1    37.0    12.0
23/02/2008    0.0    5.9    37.0    12.0
24/02/2008    0.0    6.5    41.5    12.5
25/02/2008    0.0    6.3    39.0    12.0
26/02/2008    0.0    7.2    39.0    13.5
27/02/2008    0.0    6.9    39.0    14.0
28/02/2008    0.0    4.2    36.5    13.5
29/02/2008    0.0    6.1    37.0    14.0
01/03/2008    0.0    6.5    37.0    15.0
02/03/2008    0.0    7.7    37.5    15.5
03/03/2008    0.0    7.3    37.0    12.5
04/03/2008    0.0    6.9    37.0    13.0
05/03/2008    0.0    7.7    36.0    11.0
06/03/2008    0.0    7.9    34.0    11.5
07/03/2008    0.0    6.1    35.5    9.0
08/03/2008    0.0    6.7    35.0    9.0
09/03/2008    0.0    6.1    35.0    9.5
10/03/2008    0.0    6.5    35.0    9.5
11/03/2008    0.0    5.4    35.5    12.0
12/03/2008    0.0    7.3    38.5    12.0
13/03/2008    0.0    6.9    38.5    14.0
14/03/2008    0.0    7.4    37.0    14.0
15/03/2008    0.0    7.1    37.5    12.0
16/03/2008    0.0    6.9    39.0    12.5
17/03/2008    0.0    7.1    38.0    13.0
18/03/2008    0.0    7.9    34.5    15.5
19/03/2008    0.0    7.0    36.0    11.0
20/03/2008    0.0    6.9    37.0    11.5
21/03/2008    0.0    7.7    38.5    12.0
22/03/2008    0.0    7.1    39.0    14.0
23/03/2008    0.0    7.4    39.0    14.5
24/03/2008    0.0    6.7    37.0    14.0
25/03/2008    0.0    6.8    37.0    15.0
26/03/2008    0.0    7.9    38.0    17.0
27/03/2008    0.0    7.9    39.0    16.0
28/03/2008    0.0    10.9    40.5    14.0
29/03/2008    0.0    10.1    40.0    14.5
30/03/2008    0.0    7.8    41.0    14.5
31/03/2008    0.0    9.4    41.5    14.5
01/04/2008    0.0    9.6    42.0    15.0
02/04/2008    0.0    8.6    41.5    16.0
03/04/2008    0.0    9.5    42.0    16.5
04/04/2008    0.0    9.1    42.0    16.0
05/04/2008    0.0    9.8    41.0    16.0
06/04/2008    0.0    8.3    39.0    15.5
07/04/2008    0.0    9.8    40.0    16.5
08/04/2008    0.0    9.9    41.0    16.5
09/04/2008    0.0    12.6    40.0    15.5
10/04/2008    0.0    11.1    40.0    15.0
11/04/2008    0.0    9.0    40.0    15.5
12/04/2008    0.0    9.5    40.0    16.5
