CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14143
NOMBRE    : TECOLOTLAN (DGE)
ESTADO    : JALISCO
MUNICIPIO : TECOLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.203°
LONGITUD  : -104.049°
ALTITUD   : 1,200 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    4.8    28.8    5.9
02/01/2008    0.0    4.4    26.7    6.0
03/01/2008    0.0    3.2    25.0    4.1
04/01/2008    0.0    3.2    26.3    3.1
05/01/2008    0.0    3.0    27.8    3.2
06/01/2008    0.0    3.6    29.0    3.4
07/01/2008    0.0    4.2    29.7    3.7
08/01/2008    0.0    3.6    28.1    2.5
09/01/2008    0.0    4.1    28.8    2.7
10/01/2008    0.0    4.0    27.1    2.7
11/01/2008    0.0    3.9    27.6    2.4
12/01/2008    0.0    3.6    26.2    2.1
13/01/2008    0.0    3.2    28.1    1.3
14/01/2008    0.0    3.9    25.9    2.1
15/01/2008    0.0    3.7    24.9    4.6
16/01/2008    0.0    3.5    24.7    5.2
17/01/2008    0.0    2.8    24.5    2.4
18/01/2008    0.0    2.3    23.6    2.6
19/01/2008    0.0    3.0    25.8    3.6
20/01/2008    0.0    3.7    26.7    4.3
21/01/2008    0.0    3.7    27.7    5.2
22/01/2008    0.0    3.3    28.4    4.4
23/01/2008    0.0    4.5    31.1    6.0
24/01/2008    0.0    5.1    27.8    6.8
25/01/2008    0.0    4.7    29.7    7.0
26/01/2008    0.0    4.2    29.5    7.2
27/01/2008    0.0    4.4    33.7    7.9
28/01/2008    0.0    5.2    30.2    6.4
29/01/2008    0.0    4.8    28.7    5.5
30/01/2008    0.0    4.6    28.0    5.8
31/01/2008    0.0    4.3    29.3    5.1
01/02/2008    0.0    3.7    29.0    6.0
02/02/2008    0.0    5.5    30.0    5.0
03/02/2008    0.0    3.4    30.0    5.0
04/02/2008    0.0    5.5    30.0    5.0
05/02/2008    0.0    3.5    30.0    4.0
06/02/2008    0.0    5.5    30.0    5.0
07/02/2008    0.0    3.9    29.0    6.0
08/02/2008    0.0    4.3    30.0    6.0
09/02/2008    0.0    4.4    30.0    6.0
10/02/2008    0.0    4.5    31.0    6.0
11/02/2008    0.0    5.3    30.0    6.0
12/02/2008    0.0    3.5    29.0    7.0
13/02/2008    0.0    6.4    30.0    4.0
14/02/2008    0.0    5.0    30.0    4.0
15/02/2008    0.0    5.5    31.0    3.0
16/02/2008    0.0    5.0    32.0    3.0
17/02/2008    0.0    6.2    32.0    4.0
18/02/2008    0.0    5.0    31.0    5.0
19/02/2008    0.0    5.8    31.0    3.0
20/02/2008    0.0    5.4    31.0    3.0
21/02/2008    0.0    5.1    31.0    3.0
22/02/2008    0.0    5.7    33.0    5.0
23/02/2008    0.0    4.1    34.0    5.0
24/02/2008    0.0    1.4    36.0    5.0
25/02/2008    0.0    6.1    33.0    7.0
26/02/2008    0.0    6.6    35.0    5.0
27/02/2008    0.0    4.7    32.0    4.0
28/02/2008    0.0    6.0    31.0    7.0
29/02/2008    0.0    6.0    31.0    5.0
01/03/2008    0.0    6.2    32.0    5.0
02/03/2008    0.0    5.5    32.0    7.0
03/03/2008    0.0    5.9    31.0    4.0
04/03/2008    0.0    6.4    31.0    5.0
05/03/2008    0.0    7.0    32.0    6.0
06/03/2008    0.0    4.4    30.0    3.0
07/03/2008    0.0    6.1    30.0    4.0
08/03/2008    0.0    6.1    31.0    1.0
09/03/2008    0.0    7.1    29.0    5.0
10/03/2008    0.0    6.1    31.0    1.0
11/03/2008    0.0    4.3    31.0    4.0
12/03/2008    0.0    8.5    33.0    5.0
13/03/2008    0.0    6.9    33.0    6.0
14/03/2008    0.0    6.1    32.0    4.0
15/03/2008    0.0    8.3    33.0    4.0
16/03/2008    0.0    6.6    32.0    5.0
17/03/2008    0.0    7.0    30.0    5.0
18/03/2008    0.0    8.5    29.0    5.0
19/03/2008    0.0    6.7    31.0    3.0
20/03/2008    0.0    6.2    32.0    5.0
21/03/2008    0.0    7.5    33.0    9.0
22/03/2008    0.0    4.7    34.0    8.0
23/03/2008    0.0    7.1    33.0    6.0
24/03/2008    0.0    7.2    32.0    6.0
25/03/2008    0.0    5.3    31.0    7.0
26/03/2008    0.0    7.2    33.0    9.0
27/03/2008    0.0    7.8    33.0    8.0
28/03/2008    0.0    8.7    33.0    6.0
29/03/2008    0.0    8.2    34.0    5.0
30/03/2008    0.0    6.1    34.0    6.0
31/03/2008    0.0    8.7    36.0    6.0
01/04/2008    0.0    7.9    36.0    7.0
02/04/2008    0.0    8.0    37.0    8.0
03/04/2008    0.0    10.3    37.0    8.0
04/04/2008    0.0    7.5    37.0    9.0
05/04/2008    0.0    7.4    35.0    10.0
06/04/2008    0.0    6.6    33.0    10.0
07/04/2008    0.0    8.5    35.0    11.0
08/04/2008    0.0    8.1    35.0    11.0
09/04/2008    0.0    7.2    34.0    11.0
10/04/2008    0.0    8.7    35.0    9.0
11/04/2008    0.0    7.6    35.0    9.0
12/04/2008    0.0    7.6    36.0    9.0
13/04/2008    0.0    6.1    35.0    12.0
14/04/2008    0.0    8.1    33.0    16.0
15/04/2008    0.0    5.1    34.0    12.0
16/04/2008    0.0    6.4    34.0    10.0
17/04/2008    0.0    7.6    35.0    9.0
18/04/2008    0.0    8.3    36.0    8.0
19/04/2008    0.0    9.2    37.0    8.0
20/04/2008    0.0    6.9    35.0    11.0
21/04/2008    0.0    9.5    38.0    10.0
22/04/2008    0.0    7.4    39.0    11.0
23/04/2008    0.0    9.1    38.0    11.0
24/04/2008    0.0    8.5    36.0    11.0
25/04/2008    0.0    7.9    37.0    9.0
26/04/2008    0.0    7.9    37.0    9.0
27/04/2008    0.0    11.5    37.0    10.0
28/04/2008    0.0    8.0    37.0    10.0
29/04/2008    0.0    7.3    34.0    10.0
30/04/2008    0.0    8.8    34.0    11.0
01/05/2008    0.0    9.6    35.0    10.0
02/05/2008    0.0    8.6    34.0    9.0
03/05/2008    0.0    9.6    37.0    8.0
04/05/2008    0.0    7.4    37.0    10.0
05/05/2008    0.0    8.5    35.0    13.0
06/05/2008    0.0    5.9    36.0    13.0
