CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14198
NOMBRE    : LAS COMPUERTAS
ESTADO    : JALISCO
MUNICIPIO : CUAUTITLAN DE GARCIA BARRAGAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.474°
LONGITUD  : -104.406°
ALTITUD   : 590 msnm
 
EMISION   : 06/04/2020 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.1    33.7    12.5
02/01/2008    0.0    5.6    31.1    12.1
03/01/2008    0.0    4.6    31.2    12.0
04/01/2008    0.0    5.2    32.1    9.8
05/01/2008    0.0    3.3    31.7    9.8
06/01/2008    0.0    3.3    32.6    8.9
07/01/2008    0.0    3.7    33.1    8.7
08/01/2008    0.0    4.0    32.9    7.8
09/01/2008    0.0    3.9    32.9    7.1
10/01/2008    0.0    3.8    33.3    7.2
11/01/2008    0.0    3.4    30.0    7.8
12/01/2008    0.0    4.2    31.5    6.2
13/01/2008    0.0    4.2    31.7    6.0
14/01/2008    0.0    3.7    31.4    6.7
15/01/2008    0.0    3.8    29.8    9.9
16/01/2008    0.0    3.9    30.2    8.1
17/01/2008    0.0    3.4    29.1    7.5
18/01/2008    0.0    3.6    29.9    7.7
19/01/2008    0.0    4.0    35.6    9.6
20/01/2008    0.0    3.7    31.3    10.2
21/01/2008    0.0    4.5    32.6    10.4
22/01/2008    0.0    3.0    32.4    11.5
23/01/2008    0.0    4.1    36.1    10.4
24/01/2008    0.0    3.5    33.6    11.0
25/01/2008    0.0    4.0    33.2    12.4
26/01/2008    0.0    4.5    34.8    12.3
27/01/2008    0.0    4.4    34.2    12.0
28/01/2008    0.0    4.1    34.1    11.9
29/01/2008    0.0    4.3    35.2    12.0
30/01/2008    0.0    4.5    32.4    11.9
31/01/2008    0.0    4.9    33.1    10.8
01/02/2008    0.0    3.9    35.9    16.1
02/02/2008    0.0    4.2    36.9    16.5
03/02/2008    0.0    4.2    36.4    15.5
04/02/2008    0.0    3.8    36.5    15.0
05/02/2008    0.0    4.1    35.9    14.5
06/02/2008    0.0    3.9    35.9    15.0
07/02/2008    0.0    3.3    36.3    14.6
08/02/2008    0.0    3.3    35.0    16.4
09/02/2008    0.0    4.2    35.5    17.0
10/02/2008    0.0    3.8    37.4    17.4
11/02/2008    0.0    4.0    37.4    17.0
12/02/2008    0.0    3.9    36.4    16.4
13/02/2008    0.0    4.5    36.9    15.4
14/02/2008    0.0    4.7    36.9    13.1
15/02/2008    0.0    4.6    37.9    13.1
16/02/2008    0.0    4.9    38.7    13.8
17/02/2008    0.0    4.3    37.8    13.5
18/02/2008    0.0    4.4    35.7    13.6
19/02/2008    0.0    4.2    35.4    13.1
20/02/2008    0.0    4.6    36.8    12.6
21/02/2008    0.0    4.2    37.7    14.0
22/02/2008    0.0    5.0    38.2    14.4
23/02/2008    0.0    4.8    39.2    14.8
24/02/2008    0.0    5.1    38.8    16.3
25/02/2008    0.0    5.2    38.7    15.0
26/02/2008    0.0    5.2    37.8    13.9
27/02/2008    0.0    5.1    35.9    13.5
28/02/2008    0.0    5.1    36.4    14.0
29/02/2008    0.0    5.3    38.2    14.9
01/03/2008    0.0    5.1    39.3    15.4
02/03/2008    0.0    4.8    37.8    14.1
03/03/2008    0.0    5.2    37.8    13.6
04/03/2008    0.0    4.2    35.9    17.5
05/03/2008    0.0    5.9    37.8    13.6
06/03/2008    0.0    6.2    37.8    12.6
07/03/2008    0.0    6.2    37.4    11.1
08/03/2008    0.0    5.9    36.3    9.6
09/03/2008    0.0    5.5    37.8    11.1
10/03/2008    0.0    5.6    38.9    13.8
11/03/2008    0.0    6.6    39.3    16.3
12/03/2008    0.0    6.6    40.2    15.4
13/03/2008    0.0    6.3    38.3    14.3
14/03/2008    0.0    6.1    38.7    12.1
15/03/2008    0.0    5.2    38.3    12.5
16/03/2008    0.0    5.5    38.9    13.0
17/03/2008    0.0    6.0    38.0    13.1
18/03/2008    0.0    6.5    36.9    15.4
19/03/2008    0.0    6.5    37.4    13.0
20/03/2008    0.0    6.0    37.9    15.8
21/03/2008    0.0    6.9    40.3    16.8
22/03/2008    0.0    7.0    40.9    16.4
23/03/2008    0.0    6.1    39.9    13.2
24/03/2008    0.0    5.4    39.4    14.1
25/03/2008    0.0    5.9    39.4    16.9
26/03/2008    0.0    7.1    40.5    16.5
27/03/2008    0.0    7.6    40.8    16.1
28/03/2008    0.0    7.4    40.4    15.0
29/03/2008    0.0    7.1    40.9    13.2
30/03/2008    0.0    6.6    39.9    14.5
31/03/2008    0.0    6.3    40.9    14.9
01/04/2008    0.0    6.3    39.8    16.3
02/04/2008    0.0    6.3    39.4    16.9
03/04/2008    0.0    5.9    40.3    18.3
04/04/2008    0.0    6.1    38.9    16.9
05/04/2008    0.0    5.6    37.4    19.6
06/04/2008    0.0    6.2    39.2    19.0
07/04/2008    0.0    6.6    39.8    20.8
08/04/2008    0.0    5.4    38.3    19.5
09/04/2008    0.0    6.7    39.3    20.7
10/04/2008    0.0    5.3    38.3    18.9
11/04/2008    0.0    6.2    36.0    21.2
12/04/2008    0.0    5.8    39.8    18.5
13/04/2008    0.0    5.9    39.8    19.9
14/04/2008    0.1    7.0    39.8    20.4
15/04/2008    0.0    7.0    40.4    19.5
16/04/2008    0.0    7.9    41.3    20.3
17/04/2008    0.0    6.4    39.2    16.5
18/04/2008    0.0    7.3    41.2    17.4
19/04/2008    0.0    6.4    39.8    18.3
20/04/2008    0.0    7.0    41.7    17.6
21/04/2008    0.0    7.4    42.6    18.9
22/04/2008    0.0    6.5    40.3    19.3
23/04/2008    0.0    6.2    40.7    19.9
24/04/2008    0.0    7.5    41.2    19.9
25/04/2008    0.0    6.6    41.3    18.1
26/04/2008    0.0    5.4    39.9    19.9
27/04/2008    0.0    5.8    39.4    20.8
28/04/2008    0.0    6.9    40.3    21.7
29/04/2008    0.0    7.7    39.4    18.1
30/04/2008    0.1    6.9    40.3    17.7
01/05/2008    0.0    7.2    40.4    17.6
02/05/2008    0.0    7.7    41.3    18.0
03/05/2008    0.0    5.8    39.9    16.2
04/05/2008    0.0    6.7    38.9    18.8
05/05/2008    0.0    6.4    39.9    19.0
06/05/2008    0.0    5.6    39.5    22.1
07/05/2008    0.0    5.8    38.9    22.8
08/05/2008    0.0    6.7    39.8    20.1
09/05/2008    0.0    5.8    39.8    21.9
10/05/2008    0.0    5.4    39.5    23.1
11/05/2008    0.0    5.3    39.4    23.2
12/05/2008    0.0    6.1    40.2    21.5
13/05/2008    0.0    6.7    40.0    21.0
14/05/2008    0.0    7.2    40.9    21.9
