GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15004
NOMBRE    : ATEMAJAC DE BRIZUELA
ESTADO    : JALISCO
MUNICIPIO :  ATEMAJAC DE BRIZUELA
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.139°
LONGITUD  :  -103.726°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    Nulo    30.2    8.4
02/01/2008    0.0    Nulo    24.2    8.4
03/01/2008    0.0    Nulo    27.5    8.4
04/01/2008    0.0    Nulo    29.5    5.7
05/01/2008    0.0    Nulo    31.0    6.2
06/01/2008    0.0    Nulo    32.8    6.7
07/01/2008    0.0    Nulo    32.1    6.5
08/01/2008    0.0    Nulo    32.6    5.5
09/01/2008    0.0    Nulo    30.0    6.1
10/01/2008    0.0    Nulo    32.1    6.1
11/01/2008    0.0    Nulo    30.2    7.2
12/01/2008    0.0    Nulo    28.9    6.7
13/01/2008    0.0    Nulo    33.9    4.7
14/01/2008    0.0    Nulo    29.8    5.8
15/01/2008    0.0    Nulo    25.8    9.9
16/01/2008    0.0    Nulo    25.4    6.9
17/01/2008    0.0    Nulo    28.9    6.7
18/01/2008    0.0    Nulo    25.4    9.5
19/01/2008    0.1    Nulo    26.6    9.1
20/01/2008    0.0    Nulo    28.3    9.0
21/01/2008    0.0    Nulo    27.5    8.3
22/01/2008    0.0    Nulo    29.1    8.5
23/01/2008    0.0    Nulo    30.8    9.3
24/01/2008    0.0    Nulo    30.7    10.3
25/01/2008    0.0    Nulo    30.3    11.9
26/01/2008    0.0    Nulo    30.6    14.3
27/01/2008    0.0    Nulo    30.3    11.0
28/01/2008    0.0    Nulo    28.9    10.4
29/01/2008    0.0    Nulo    28.2    10.2
30/01/2008    0.0    Nulo    29.5    9.7
31/01/2008    0.0    Nulo    25.7    9.3
01/02/2008    0.0    3.1    21.5    6.4
02/02/2008    0.0    3.9    25.7    5.7
03/02/2008    0.0    3.6    25.0    6.1
04/02/2008    0.0    3.2    25.3    6.0
05/02/2008    0.0    3.8    25.5    4.8
06/02/2008    0.0    3.6    26.0    4.6
07/02/2008    0.0    3.1    25.6    5.0
08/02/2008    0.0    3.5    26.1    6.9
09/02/2008    0.6    3.0    26.2    7.8
10/02/2008    0.0    3.1    26.0    8.1
11/02/2008    0.0    2.7    25.6    7.8
12/02/2008    0.0    3.6    24.7    5.9
13/02/2008    0.0    4.1    26.0    4.8
14/02/2008    0.0    4.3    25.9    4.2
15/02/2008    0.0    5.5    26.8    4.5
16/02/2008    0.0    4.5    27.4    5.4
17/02/2008    0.0    5.0    27.3    6.2
18/02/2008    0.0    5.2    27.1    6.0
19/02/2008    0.0    4.5    26.6    5.0
20/02/2008    0.0    5.0    26.9    4.7
21/02/2008    0.0    5.1    27.0    5.5
22/02/2008    0.0    4.6    27.9    6.1
23/02/2008    0.0    5.0    28.2    6.1
24/02/2008    0.0    4.1    31.1    6.7
