CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14054
NOMBRE    : EL PUESTO
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0021.626°
LONGITUD  : -101.966°
ALTITUD   : 2,050 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.4    21.7    2.9
02/01/2008    0.0    4.1    15.6    2.9
03/01/2008    0.0    3.9    18.5    -1.1
04/01/2008    0.0    3.8    22.8    -0.8
05/01/2008    0.0    4.0    25.2    -0.6
06/01/2008    0.0    2.9    25.9    1.9
07/01/2008    0.0    4.2    25.6    1.9
08/01/2008    0.0    4.4    25.3    2.0
09/01/2008    0.0    4.0    25.6    0.7
10/01/2008    0.0    4.0    23.8    0.6
11/01/2008    0.0    4.4    24.9    0.5
12/01/2008    0.0    4.0    24.6    -1.2
13/01/2008    0.0    3.7    24.0    -0.7
14/01/2008    0.0    3.9    22.4    -0.9
15/01/2008    0.0    3.5    21.4    4.2
16/01/2008    0.0    3.9    20.9    4.2
17/01/2008    0.0    4.1    23.7    0.4
18/01/2008    0.0    4.3    20.8    0.4
19/01/2008    0.4    3.9    21.7    0.8
20/01/2008    0.0    3.6    20.4    1.9
21/01/2008    0.0    2.7    24.0    2.7
22/01/2008    0.0    3.0    25.4    2.7
23/01/2008    0.0    3.5    27.7    3.8
24/01/2008    0.0    4.1    27.2    4.1
25/01/2008    0.0    3.7    26.7    4.6
26/01/2008    0.0    3.9    26.4    5.2
27/01/2008    0.0    4.8    25.6    5.3
28/01/2008    0.0    5.1    25.8    5.3
29/01/2008    0.0    4.2    24.7    2.9
30/01/2008    0.0    4.2    25.2    2.7
31/01/2008    0.0    5.0    26.5    3.3
01/02/2008    0.0    5.2    30.0    12.0
02/02/2008    0.0    4.9    30.0    11.0
03/02/2008    0.0    4.6    31.5    10.0
04/02/2008    0.0    4.7    31.0    11.0
05/02/2008    0.0    5.6    30.0    13.0
06/02/2008    0.0    5.9    31.0    9.0
07/02/2008    0.0    4.9    30.0    8.5
08/02/2008    0.0    4.7    32.0    10.5
09/02/2008    0.0    4.4    31.0    11.0
10/02/2008    0.0    5.0    29.0    13.0
11/02/2008    0.0    3.5    27.0    12.0
12/02/2008    0.0    4.4    29.0    12.0
13/02/2008    0.0    5.5    30.0    10.0
14/02/2008    0.0    4.6    31.0    11.0
15/02/2008    0.0    6.0    32.0    11.0
16/02/2008    0.0    4.8    32.0    12.0
17/02/2008    0.0    6.0    32.0    12.0
18/02/2008    0.0    5.4    34.0    12.0
19/02/2008    0.0    4.5    33.0    14.0
20/02/2008    0.0    5.0    33.0    13.0
21/02/2008    0.0    5.2    30.0    12.0
22/02/2008    0.0    4.8    33.0    12.0
23/02/2008    0.0    6.2    35.0    10.0
24/02/2008    0.0    6.2    34.0    11.0
25/02/2008    0.0    7.2    33.0    12.0
26/02/2008    0.0    6.2    33.0    12.0
27/02/2008    0.0    5.9    27.0    10.0
28/02/2008    0.0    6.0    32.0    9.0
29/02/2008    0.0    4.5    32.0    11.0
01/03/2008    0.0    5.7    34.0    12.0
02/03/2008    0.0    5.4    33.0    15.5
03/03/2008    0.0    7.0    32.0    13.0
04/03/2008    0.0    7.4    31.0    12.0
05/03/2008    0.0    6.5    32.0    11.0
06/03/2008    0.0    6.9    30.0    12.0
07/03/2008    0.0    6.9    30.0    8.0
08/03/2008    0.0    6.0    31.0    4.0
09/03/2008    0.0    5.8    30.0    8.0
10/03/2008    0.0    6.2    32.0    11.0
11/03/2008    0.0    5.5    32.0    13.0
12/03/2008    0.0    5.6    33.0    12.0
13/03/2008    0.0    6.4    32.0    15.0
14/03/2008    0.0    6.8    34.0    10.0
15/03/2008    0.0    5.8    35.0    12.0
16/03/2008    0.0    6.2    34.0    14.0
17/03/2008    0.0    6.9    33.0    14.0
18/03/2008    0.0    7.1    31.0    14.0
19/03/2008    0.0    7.3    31.0    7.0
20/03/2008    0.0    7.0    32.0    9.0
21/03/2008    0.0    6.4    34.0    10.0
22/03/2008    0.0    5.4    29.0    11.0
23/03/2008    0.0    6.8    33.0    14.0
24/03/2008    0.0    6.5    29.0    13.0
25/03/2008    0.0    5.9    31.0    10.0
26/03/2008    0.0    4.8    35.0    12.0
27/03/2008    0.0    7.0    34.0    16.0
