CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14065
NOMBRE    : GUADALAJARA (OBS)
ESTADO    : JALISCO
MUNICIPIO : GUADALAJARA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76612 
LATITUD   : 0020.706°
LONGITUD  : -103.392°
ALTITUD   : 1,551 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.0    27.1    5.4
02/01/2008    0.0    3.4    21.0    8.7
03/01/2008    0.0    3.0    20.7    2.7
04/01/2008    0.0    2.3    23.0    2.4
05/01/2008    0.0    2.5    25.0    3.6
06/01/2008    0.0    2.9    26.5    5.5
07/01/2008    0.0    4.3    27.5    4.6
08/01/2008    0.0    3.0    27.3    4.3
09/01/2008    0.0    4.0    27.1    4.4
10/01/2008    0.0    3.6    25.5    3.9
11/01/2008    0.0    3.0    25.8    5.1
12/01/2008    0.0    3.4    25.5    5.0
13/01/2008    0.0    3.4    25.5    1.7
14/01/2008    0.0    3.5    25.4    6.3
15/01/2008    0.0    3.1    27.8    11.0
16/01/2008    0.0    3.5    22.0    6.0
17/01/2008    0.0    3.0    22.5    4.0
18/01/2008    0.0    1.8    21.5    6.4
19/01/2008    0.0    3.1    25.2    5.2
20/01/2008    0.0    3.0    24.1    5.9
21/01/2008    0.0    2.9    27.5    6.4
22/01/2008    0.0    3.9    27.5    7.5
23/01/2008    0.0    3.9    30.0    8.1
24/01/2008    0.0    3.7    28.4    8.5
25/01/2008    0.0    3.4    29.5    8.8
26/01/2008    0.0    4.2    29.0    9.4
27/01/2008    0.0    3.9    28.8    9.4
28/01/2008    0.0    4.5    28.5    8.7
29/01/2008    0.0    4.1    26.2    7.6
30/01/2008    0.0    4.9    27.5    7.9
31/01/2008    0.0    3.9    28.0    7.4
01/02/2008    0.0    4.4    27.0    8.0
02/02/2008    0.0    2.8    25.5    7.5
03/02/2008    0.0    5.1    27.0    7.4
04/02/2008    0.0    4.4    27.8    7.1
05/02/2008    0.0    6.2    26.4    7.4
06/02/2008    0.0    2.8    28.2    5.6
07/02/2008    0.0    3.5    26.2    7.3
08/02/2008    0.0    4.3    27.0    7.2
09/02/2008    0.0    4.7    29.0    7.0
10/02/2008    0.0    4.7    27.8    9.5
11/02/2008    0.0    4.4    26.6    8.5
12/02/2008    0.0    4.0    27.5    7.7
13/02/2008    0.0    5.6    28.0    5.8
14/02/2008    0.0    5.3    28.0    6.8
15/02/2008    0.0    4.9    30.0    5.6
16/02/2008    0.0    5.9    29.0    6.5
17/02/2008    0.0    6.3    29.0    6.0
18/02/2008    0.0    6.0    30.4    5.5
19/02/2008    0.0    7.2    29.9    5.8
20/02/2008    0.0    5.4    28.5    6.0
21/02/2008    0.0    4.3    28.4    7.5
22/02/2008    0.0    6.7    29.0    6.9
23/02/2008    0.0    5.2    31.0    6.4
24/02/2008    0.0    5.6    34.0    7.3
25/02/2008    0.0    6.0    32.0    9.5
26/02/2008    0.0    7.3    32.0    7.3
27/02/2008    0.0    5.0    28.0    12.0
28/02/2008    0.0    3.7    28.5    8.1
29/02/2008    0.0    5.6    29.7    8.3
01/03/2008    0.0    5.1    29.6    8.6
02/03/2008    0.0    6.7    29.0    8.3
03/03/2008    0.0    6.3    28.0    6.5
04/03/2008    0.0    5.4    29.0    10.1
05/03/2008    0.0    7.5    28.9    6.0
06/03/2008    0.0    5.8    25.4    5.2
07/03/2008    0.0    7.4    27.5    2.2
08/03/2008    0.0    4.0    26.3    7.0
09/03/2008    0.0    7.3    26.6    5.0
10/03/2008    0.0    5.5    28.2    5.5
11/03/2008    0.0    3.8    28.0    7.9
12/03/2008    0.0    5.6    30.5    8.4
13/03/2008    0.0    6.4    29.0    9.3
14/03/2008    0.0    5.7    30.0    6.0
15/03/2008    0.0    6.4    32.1    6.9
16/03/2008    0.0    7.1    30.9    8.5
17/03/2008    0.0    7.2    29.5    10.2
18/03/2008    0.0    6.2    27.8    11.9
19/03/2008    0.0    6.4    28.8    8.3
20/03/2008    0.0    4.8    28.2    8.0
21/03/2008    0.0    5.7    31.2    8.7
22/03/2008    0.0    6.6    31.7    9.5
23/03/2008    0.0    6.6    31.8    4.0
24/03/2008    0.0    5.5    30.2    12.4
25/03/2008    0.0    4.5    28.7    10.3
26/03/2008    0.0    5.9    31.5    11.0
27/03/2008    0.0    7.3    31.3    10.0
28/03/2008    0.0    7.5    32.0    9.4
29/03/2008    0.0    8.3    31.5    9.5
30/03/2008    0.0    5.4    34.0    9.2
31/03/2008    0.0    5.2    34.0    9.6
01/04/2008    0.0    7.6    35.0    9.9
02/04/2008    0.0    6.9    35.5    10.4
03/04/2008    0.0    9.0    33.9    10.3
04/04/2008    0.0    8.1    33.8    10.9
05/04/2008    0.0    7.0    32.0    9.3
06/04/2008    0.0    9.2    31.7    10.0
07/04/2008    0.0    6.4    33.8    10.0
08/04/2008    0.0    7.6    34.0    9.6
09/04/2008    0.0    6.8    33.2    10.1
10/04/2008    0.0    9.9    33.0    8.6
11/04/2008    0.0    8.1    34.0    9.4
12/04/2008    0.0    6.1    35.0    12.4
13/04/2008    0.0    3.0    35.2    16.0
14/04/2008    1.1    4.2    30.7    14.9
15/04/2008    0.0    6.2    13.5    11.9
16/04/2008    0.0    6.3    31.5    12.5
17/04/2008    0.0    7.5    11.0    9.5
18/04/2008    0.0    6.2    33.8    8.1
19/04/2008    0.0    5.7    35.4    11.0
20/04/2008    0.0    8.3    34.0    12.0
21/04/2008    0.0    6.8    35.7    12.0
