CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14068
NOMBRE    : HOSTOTIPAQUILLO
ESTADO    : JALISCO
MUNICIPIO : HOSTOTIPAQUILLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0021.058°
LONGITUD  : -104.051°
ALTITUD   : 1,300 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.0    28.6    7.5
02/01/2008    0.0    4.7    24.6    8.5
03/01/2008    0.0    3.8    23.6    8.2
04/01/2008    0.0    3.7    26.6    6.8
05/01/2008    0.0    3.2    28.8    6.5
06/01/2008    0.0    3.8    28.8    6.5
07/01/2008    0.0    3.3    29.6    6.9
08/01/2008    0.0    4.4    28.9    7.4
09/01/2008    0.0    3.0    29.6    7.5
10/01/2008    0.0    3.7    27.3    6.4
11/01/2008    0.0    4.0    28.2    7.4
12/01/2008    0.0    3.7    27.9    5.9
13/01/2008    0.0    2.9    27.0    4.8
14/01/2008    0.0    4.6    27.6    5.5
15/01/2008    0.0    4.2    26.2    8.4
16/01/2008    0.0    4.2    26.3    7.2
17/01/2008    0.0    4.3    26.1    5.2
18/01/2008    0.0    2.2    26.1    5.8
19/01/2008    0.0    3.4    27.2    7.2
20/01/2008    0.0    2.6    27.2    7.2
21/01/2008    0.0    3.0    28.3    7.5
22/01/2008    0.0    4.0    28.8    8.5
23/01/2008    0.0    4.1    31.9    9.5
24/01/2008    0.0    4.4    31.6    10.5
25/01/2008    0.0    4.9    31.2    10.8
26/01/2008    0.0    4.3    31.6    11.8
27/01/2008    0.0    4.3    32.1    11.3
28/01/2008    0.0    4.1    30.8    10.5
29/01/2008    0.0    4.6    29.1    9.8
30/01/2008    0.0    4.6    29.6    9.8
31/01/2008    0.0    4.8    30.2    8.8
01/02/2008    0.0    6.1    28.0    11.0
02/02/2008    0.0    4.0    29.0    10.0
03/02/2008    0.0    4.7    29.0    12.0
04/02/2008    0.0    6.1    29.0    12.0
05/02/2008    0.0    4.6    29.0    12.0
06/02/2008    0.0    7.3    29.0    6.0
07/02/2008    0.0    5.7    29.0    8.0
08/02/2008    0.0    5.6    28.0    11.0
09/02/2008    0.0    6.6    29.0    12.0
10/02/2008    0.0    11.0    28.0    12.0
11/02/2008    0.0    5.3    30.0    12.0
12/02/2008    0.0    6.3    30.0    13.0
13/02/2008    0.0    7.2    30.0    13.0
14/02/2008    0.0    7.5    30.0    12.0
15/02/2008    0.0    5.7    29.0    9.0
16/02/2008    0.0    6.5    32.0    14.0
17/02/2008    0.0    6.3    29.0    12.0
18/02/2008    0.0    5.7    29.0    13.0
19/02/2008    0.0    4.7    29.0    13.0
