CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14086
NOMBRE    : LA MANZANILLA DE LA PAZ
ESTADO    : JALISCO
MUNICIPIO : LA MANZANILLA DE LA PAZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.004°
LONGITUD  : -103.154°
ALTITUD   : 2,050 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.8    24.0    6.5
02/01/2008    0.0    4.7    17.5    5.7
03/01/2008    0.0    4.0    16.3    1.8
04/01/2008    0.0    2.9    19.7    2.2
05/01/2008    0.0    3.8    23.0    3.7
06/01/2008    0.0    4.2    23.2    5.3
07/01/2008    0.0    4.7    22.4    5.8
08/01/2008    0.0    4.8    22.8    4.6
09/01/2008    0.0    4.3    22.4    4.2
10/01/2008    0.0    4.8    22.9    3.9
11/01/2008    0.0    4.2    22.3    5.1
12/01/2008    0.0    4.0    22.3    4.0
13/01/2008    0.0    4.5    22.2    3.3
14/01/2008    0.0    4.7    20.4    5.1
15/01/2008    0.0    4.6    20.3    9.3
16/01/2008    0.0    4.9    20.2    5.5
17/01/2008    0.0    3.6    19.0    5.9
18/01/2008    0.0    3.4    20.1    7.4
19/01/2008    0.0    3.4    21.5    8.1
20/01/2008    0.0    3.1    20.6    6.2
21/01/2008    0.0    3.6    23.3    6.1
22/01/2008    0.0    3.5    23.4    5.9
23/01/2008    0.0    3.8    25.9    7.2
24/01/2008    0.0    3.8    25.1    7.5
25/01/2008    0.0    3.3    24.3    8.0
26/01/2008    0.0    3.1    25.5    8.8
27/01/2008    0.0    3.9    24.0    8.4
28/01/2008    0.0    4.1    24.6    8.4
29/01/2008    0.0    4.4    24.1    7.2
30/01/2008    0.0    5.8    23.7    7.5
31/01/2008    0.0    5.0    25.1    7.5
01/02/2008    0.0    4.0    26.0    7.0
02/02/2008    0.0    4.6    27.0    7.5
03/02/2008    0.0    4.1    26.0    4.5
04/02/2008    0.0    4.1    27.0    6.0
05/02/2008    0.0    3.9    26.5    6.5
06/02/2008    0.0    3.1    27.5    6.0
07/02/2008    0.0    3.1    26.0    6.0
08/02/2008    0.0    3.1    26.0    5.5
09/02/2008    0.0    3.0    26.0    5.0
