CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14125
NOMBRE    : SAN GREGORIO
ESTADO    : JALISCO
MUNICIPIO : MIXTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.621°
LONGITUD  : -104.568°
ALTITUD   : 1,640 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    3.7    28.1    3.5
02/01/2008    0.0    1.9    24.3    4.4
03/01/2008    0.0    3.0    25.4    2.5
04/01/2008    0.0    3.0    26.6    0.8
05/01/2008    0.0    3.2    27.5    1.1
06/01/2008    0.0    3.0    28.0    1.5
07/01/2008    0.0    3.5    29.0    1.2
08/01/2008    0.0    3.9    28.3    0.3
09/01/2008    0.0    3.8    28.3    0.8
10/01/2008    0.0    4.0    26.9    0.2
11/01/2008    0.0    3.7    26.7    0.7
12/01/2008    0.0    4.5    26.0    -0.5
13/01/2008    0.0    3.7    28.0    -1.4
14/01/2008    0.0    4.6    25.7    1.7
15/01/2008    0.0    4.4    23.9    5.1
16/01/2008    0.0    5.3    24.4    3.6
17/01/2008    0.0    4.9    23.9    0.7
18/01/2008    0.0    4.3    23.1    2.0
19/01/2008    0.0    5.0    26.1    1.7
20/01/2008    0.0    4.8    25.9    2.9
21/01/2008    0.0    4.9    27.3    3.4
22/01/2008    0.0    2.6    27.5    3.9
23/01/2008    0.0    4.4    31.0    4.3
24/01/2008    0.0    3.7    27.2    4.8
25/01/2008    0.0    5.2    28.6    5.5
26/01/2008    0.0    5.1    29.0    6.1
27/01/2008    0.0    3.8    31.9    6.1
28/01/2008    0.0    3.2    29.0    4.7
29/01/2008    0.0    5.9    27.6    3.7
30/01/2008    0.0    4.8    27.5    4.1
31/01/2008    0.0    4.6    28.9    3.0
01/02/2008    0.0    2.2    22.0    0.0
02/02/2008    0.0    1.1    23.0    -2.0
03/02/2008    0.0    1.2    24.0    -1.0
04/02/2008    0.0    2.2    24.0    -1.0
05/02/2008    0.0    2.3    25.0    -1.0
06/02/2008    0.0    3.0    22.0    -3.0
07/02/2008    0.0    1.2    24.0    -2.0
08/02/2008    0.0    2.5    24.0    -1.0
09/02/2008    0.0    2.2    25.0    -2.0
10/02/2008    0.0    3.1    24.0    -1.0
11/02/2008    0.0    2.5    24.0    -1.0
12/02/2008    0.0    2.3    22.0    -1.0
13/02/2008    0.0    1.2    23.0    -2.0
14/02/2008    0.0    1.5    24.0    -3.0
15/02/2008    0.0    2.2    24.0    -3.0
16/02/2008    0.0    2.2    25.0    -2.0
17/02/2008    0.0    3.3    25.0    -2.0
18/02/2008    0.0    3.2    25.0    -2.0
19/02/2008    0.0    3.2    24.0    -3.0
20/02/2008    0.0    2.2    24.0    -4.0
21/02/2008    0.0    2.3    25.0    -3.0
22/02/2008    0.0    3.3    26.0    -2.0
23/02/2008    0.0    4.2    26.0    -2.0
24/02/2008    0.0    4.2    27.0    -2.0
25/02/2008    0.0    5.4    27.0    -1.0
26/02/2008    0.0    5.2    26.0    -2.0
27/02/2008    0.0    4.2    26.0    -1.0
28/02/2008    0.0    4.1    24.0    0.0
29/02/2008    0.0    2.0    25.0    -1.0
01/03/2008    0.0    3.3    26.0    1.0
02/03/2008    0.0    4.3    25.0    1.0
03/03/2008    0.0    3.2    24.0    3.0
04/03/2008    0.0    2.1    22.0    1.0
05/03/2008    0.0    1.8    26.0    2.0
06/03/2008    0.0    3.0    25.0    -2.0
07/03/2008    0.0    3.4    24.0    -6.0
08/03/2008    0.0    2.2    21.0    -4.0
09/03/2008    0.0    7.8    24.0    -4.0
10/03/2008    0.0    2.2    26.0    -1.0
11/03/2008    0.0    3.6    24.0    -2.0
12/03/2008    0.0    2.3    25.0    0.0
13/03/2008    0.0    3.1    25.0    -1.0
14/03/2008    0.0    3.3    25.0    -2.0
15/03/2008    0.0    3.3    25.0    -1.0
16/03/2008    0.0    3.2    25.0    -2.0
17/03/2008    0.0    3.1    26.0    -1.0
18/03/2008    0.0    4.3    25.0    -3.0
19/03/2008    0.0    2.1    25.0    -2.0
20/03/2008    0.0    3.2    25.0    0.0
21/03/2008    0.0    3.2    26.0    -1.0
22/03/2008    0.0    4.2    27.0    -1.0
23/03/2008    0.0    5.3    25.0    0.0
24/03/2008    0.0    3.3    26.0    0.0
25/03/2008    0.0    4.2    26.0    1.0
26/03/2008    0.0    4.1    27.0    2.0
27/03/2008    0.0    5.0    26.0    2.0
28/03/2008    0.0    4.7    26.0    0.0
29/03/2008    0.0    4.2    26.0    1.0
30/03/2008    0.0    4.2    26.0    0.0
31/03/2008    0.0    4.3    27.0    1.0
01/04/2008    0.0    5.2    28.0    1.0
02/04/2008    0.0    6.4    30.0    2.0
03/04/2008    0.0    7.4    30.0    3.0
04/04/2008    0.0    7.1    29.0    2.0
05/04/2008    0.0    6.4    28.0    3.0
06/04/2008    0.0    6.2    28.0    2.0
07/04/2008    0.0    6.4    28.0    3.0
08/04/2008    0.0    6.3    27.0    3.0
09/04/2008    0.0    5.2    27.0    0.0
10/04/2008    0.0    5.3    28.0    1.0
11/04/2008    0.0    6.1    28.0    2.0
12/04/2008    0.0    6.4    28.0    3.0
13/04/2008    8.8    6.3    27.0    7.0
14/04/2008    0.0    5.1    27.0    8.0
15/04/2008    0.0    5.2    26.0    7.0
16/04/2008    0.0    4.2    28.0    7.0
17/04/2008    0.0    6.8    29.0    4.0
18/04/2008    0.0    5.1    30.0    3.0
19/04/2008    0.0    6.2    28.0    1.0
20/04/2008    0.0    6.1    30.0    4.0
21/04/2008    0.0    8.1    31.0    4.0
22/04/2008    0.0    8.6    32.0    5.0
23/04/2008    0.0    9.3    29.0    6.0
24/04/2008    0.0    7.1    28.0    6.0
25/04/2008    0.0    6.5    30.0    2.0
26/04/2008    0.0    7.4    29.0    4.0
27/04/2008    0.0    7.1    28.0    4.0
28/04/2008    0.0    6.3    28.0    4.0
29/04/2008    0.0    6.2    27.0    6.0
30/04/2008    0.0    5.2    27.0    5.0
01/05/2008    0.0    7.2    28.0    2.0
02/05/2008    0.0    6.3    27.0    2.0
03/05/2008    0.0    5.2    28.0    2.0
04/05/2008    0.0    6.2    28.0    5.0
05/05/2008    0.0    6.3    28.0    4.0
06/05/2008    0.0    6.1    28.0    8.0
07/05/2008    0.0    6.3    26.0    7.0
08/05/2008    0.0    4.2    27.0    7.0
09/05/2008    0.0    5.3    28.0    6.0
10/05/2008    0.0    6.2    29.0    7.0
11/05/2008    0.0    2.4    29.0    8.0
12/05/2008    0.0    7.2    30.0    6.0
13/05/2008    0.0    8.1    30.0    6.0
14/05/2008    0.0    8.4    28.0    7.0
15/05/2008    0.0    6.3    27.0    10.0
16/05/2008    0.0    5.3    26.0    8.0
