CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14141
NOMBRE    : INGENIO TAMAZULA
ESTADO    : JALISCO
MUNICIPIO : TAMAZULA DE GORDIANO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0019.688°
LONGITUD  : -103.258°
ALTITUD   : 1,450 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    8.0    24.0    7.0
02/01/2008    0.0    8.2    18.3    8.4
03/01/2008    0.0    2.9    17.5    4.4
04/01/2008    0.0    3.2    20.8    2.8
05/01/2008    0.0    2.7    23.6    3.8
06/01/2008    0.0    3.3    21.9    6.6
07/01/2008    0.0    3.8    22.9    3.6
08/01/2008    0.0    4.2    22.8    1.8
09/01/2008    0.0    3.8    22.3    2.0
10/01/2008    0.0    3.5    22.7    2.6
11/01/2008    0.0    3.4    20.8    3.6
12/01/2008    0.0    3.9    21.5    1.0
13/01/2008    0.0    3.1    25.1    5.2
14/01/2008    0.0    3.0    21.1    5.4
15/01/2008    0.0    3.1    19.9    6.6
16/01/2008    0.0    3.3    19.7    3.2
17/01/2008    0.0    2.9    20.1    3.6
18/01/2008    0.0    2.9    21.1    4.4
19/01/2008    0.0    5.1    23.8    7.4
20/01/2008    0.0    3.9    22.7    5.1
21/01/2008    0.0    3.4    23.4    4.6
22/01/2008    0.0    2.9    23.7    5.0
23/01/2008    0.0    4.3    26.1    6.3
24/01/2008    0.0    3.9    25.2    6.4
25/01/2008    0.0    3.4    24.1    6.9
26/01/2008    0.0    4.4    25.7    8.2
27/01/2008    0.0    4.2    25.3    7.8
28/01/2008    0.0    3.6    25.3    6.6
29/01/2008    0.0    4.9    25.3    7.6
30/01/2008    0.0    4.6    23.8    7.6
31/01/2008    0.0    4.7    23.7    4.8
01/02/2008    0.0    4.0    28.5    9.0
02/02/2008    0.0    4.2    29.0    8.5
03/02/2008    0.0    4.0    29.5    9.0
04/02/2008    0.0    4.3    29.0    9.0
05/02/2008    0.0    4.2    28.0    8.0
