CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14146
NOMBRE    : TEOCUITATLAN
ESTADO    : JALISCO
MUNICIPIO : TEOCUITATLAN DE CORONA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.094°
LONGITUD  : -103.376°
ALTITUD   : 1,370 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.9    27.1    10.1
02/01/2008    0.0    4.6    22.4    9.5
03/01/2008    0.0    2.8    22.0    8.4
04/01/2008    0.0    3.5    24.3    5.5
05/01/2008    0.0    2.0    26.4    6.8
06/01/2008    0.0    3.8    27.5    7.3
07/01/2008    0.0    4.1    27.2    8.1
08/01/2008    0.0    4.9    27.2    7.5
09/01/2008    0.0    4.2    27.3    7.8
10/01/2008    0.0    4.9    27.5    7.8
11/01/2008    0.0    3.9    26.5    8.5
12/01/2008    0.0    3.7    25.8    8.1
13/01/2008    0.0    3.7    27.5    7.6
14/01/2008    0.0    4.2    26.4    8.2
15/01/2008    0.0    3.8    24.8    10.4
16/01/2008    0.0    5.4    24.5    8.1
17/01/2008    0.0    3.8    25.4    8.4
18/01/2008    0.0    3.4    24.3    10.3
19/01/2008    0.0    2.5    24.3    10.1
20/01/2008    0.0    2.8    23.2    9.8
21/01/2008    0.0    3.9    25.3    9.0
22/01/2008    0.0    2.6    26.1    9.3
23/01/2008    0.0    3.5    28.3    10.8
24/01/2008    0.0    4.9    28.6    11.4
25/01/2008    0.0    4.1    28.2    11.9
26/01/2008    0.0    4.0    28.7    12.8
27/01/2008    0.0    4.2    27.3    11.7
28/01/2008    0.0    4.7    27.4    11.6
29/01/2008    0.0    4.3    27.3    10.9
30/01/2008    0.0    5.5    28.2    11.0
