CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14156
NOMBRE    : TUXCUECA
ESTADO    : JALISCO
MUNICIPIO : TUXCUECA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.154°
LONGITUD  : -103.184°
ALTITUD   : 1,530 msnm
 
EMISIÓN   : 14/08/2019 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.7    22.0    10.0
02/01/2008    0.0    5.4    22.0    10.0
03/01/2008    0.0    3.2    15.0    6.0
04/01/2008    0.0    1.9    16.0    5.0
05/01/2008    0.0    0.6    21.0    6.0
06/01/2008    0.0    2.8    21.0    7.0
07/01/2008    0.0    3.0    21.0    8.0
08/01/2008    0.0    2.6    21.0    8.0
09/01/2008    0.0    2.6    23.0    8.0
10/01/2008    0.0    4.9    24.0    8.0
11/01/2008    0.0    4.1    22.0    8.0
12/01/2008    0.0    2.1    20.0    8.0
13/01/2008    0.0    2.2    21.0    8.0
14/01/2008    0.0    2.5    22.0    11.0
15/01/2008    0.0    2.5    23.0    11.0
16/01/2008    0.0    4.6    22.0    8.0
17/01/2008    0.0    1.8    21.0    8.0
18/01/2008    0.0    3.8    22.0    10.0
19/01/2008    0.0    0.9    20.0    10.0
20/01/2008    0.0    1.4    18.0    10.0
21/01/2008    0.0    2.4    21.0    8.0
22/01/2008    0.0    0.2    22.0    8.0
23/01/2008    0.0    2.1    23.0    11.0
24/01/2008    0.0    2.2    24.0    11.0
25/01/2008    0.0    2.7    24.0    11.0
26/01/2008    0.0    2.2    24.0    11.0
27/01/2008    0.0    2.6    24.0    11.0
28/01/2008    0.0    3.4    23.0    11.0
29/01/2008    0.0    3.4    24.0    11.0
30/01/2008    0.0    5.4    25.0    11.0
31/01/2008    0.0    2.8    25.0    11.0
01/02/2008    0.0    3.8    23.0    12.0
02/02/2008    0.0    3.8    24.0    11.0
03/02/2008    0.0    2.0    23.0    11.0
04/02/2008    0.0    4.1    24.0    11.0
05/02/2008    0.0    4.4    24.0    11.0
06/02/2008    0.0    4.0    23.0    11.0
07/02/2008    0.0    3.3    23.0    10.0
08/02/2008    3.0    3.3    22.0    11.0
09/02/2008    0.0    2.2    22.0    10.0
10/02/2008    0.0    2.3    22.0    10.0
11/02/2008    1.5    2.8    22.0    11.0
12/02/2008    0.0    3.4    25.0    11.0
13/02/2008    0.0    4.4    22.0    10.0
14/02/2008    0.0    3.5    25.0    10.0
15/02/2008    0.0    4.4    25.0    10.0
16/02/2008    0.0    4.4    24.0    11.0
17/02/2008    0.0    4.0    26.0    11.0
18/02/2008    0.0    4.6    26.0    11.0
19/02/2008    0.0    5.8    25.0    11.0
20/02/2008    0.0    4.3    26.0    11.0
21/02/2008    0.0    4.5    25.0    11.0
