CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14311
NOMBRE    : CANOAS
ESTADO    : JALISCO
MUNICIPIO : TOLIMAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.574°
LONGITUD  : -103.913°
ALTITUD   : 760 msnm
 
EMISION   : 06/04/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.8    32.0    11.0
02/01/2008    0.0    3.7    33.0    11.0
03/01/2008    0.0    4.4    31.0    11.0
04/01/2008    0.0    5.9    31.0    10.0
05/01/2008    0.0    6.2    33.0    9.0
06/01/2008    0.0    4.4    32.0    8.5
07/01/2008    0.0    1.6    33.0    8.0
08/01/2008    0.0    4.5    33.0    6.5
09/01/2008    0.0    3.0    33.0    4.5
10/01/2008    0.0    3.7    36.0    5.0
11/01/2008    0.0    3.0    31.0    6.0
12/01/2008    0.0    4.9    31.0    5.0
13/01/2008    0.0    4.9    31.0    5.0
14/01/2008    0.0    4.1    32.0    5.0
15/01/2008    0.0    2.2    29.0    6.5
16/01/2008    0.0    4.5    32.0    7.5
17/01/2008    0.0    2.8    31.0    7.5
18/01/2008    0.0    3.7    30.0    7.0
19/01/2008    0.0    4.0    33.0    9.0
20/01/2008    0.0    4.0    31.0    10.0
21/01/2008    0.0    5.0    32.0    10.0
22/01/2008    0.0    2.3    34.0    10.0
23/01/2008    0.0    1.9    36.0    10.0
24/01/2008    0.0    2.4    33.0    10.0
25/01/2008    0.0    4.9    33.0    11.5
26/01/2008    0.0    4.5    35.0    11.5
27/01/2008    0.0    4.7    34.0    11.5
28/01/2008    0.0    3.1    34.0    10.0
29/01/2008    0.0    4.1    35.0    10.5
30/01/2008    0.0    4.6    32.0    11.0
31/01/2008    0.0    6.6    33.0    9.5
01/02/2008    0.0    3.0    32.0    8.0
02/02/2008    0.0    4.1    33.0    9.0
03/02/2008    0.0    5.0    34.0    9.5
04/02/2008    0.0    5.9    33.5    8.0
05/02/2008    0.0    6.0    32.5    9.0
06/02/2008    0.0    5.0    31.5    9.5
07/02/2008    0.0    4.5    32.0    9.0
08/02/2008    0.0    5.1    32.0    10.0
09/02/2008    0.0    4.2    33.0    10.0
10/02/2008    0.0    3.3    32.0    11.0
11/02/2008    0.0    4.3    33.0    11.0
12/02/2008    0.0    4.8    33.0    10.0
13/02/2008    0.0    2.9    34.0    9.0
14/02/2008    0.0    4.5    32.0    7.0
15/02/2008    0.0    6.9    34.0    6.0
16/02/2008    0.0    5.9    35.0    6.0
17/02/2008    0.0    4.9    35.0    7.0
18/02/2008    0.0    7.1    31.0    8.0
19/02/2008    0.0    3.8    32.0    6.0
20/02/2008    0.0    5.9    33.0    6.0
21/02/2008    0.0    4.2    34.0    6.0
22/02/2008    0.0    5.4    36.0    7.0
23/02/2008    0.0    5.2    35.0    9.0
24/02/2008    0.0    7.9    36.0    10.0
25/02/2008    0.0    7.9    34.0    9.0
26/02/2008    0.0    5.8    34.0    7.5
27/02/2008    0.0    5.6    34.0    7.5
28/02/2008    0.0    7.3    32.0    8.0
29/02/2008    0.0    5.7    34.0    8.0
01/03/2008    0.0    6.7    36.0    9.0
02/03/2008    0.0    5.2    33.0    10.0
03/03/2008    0.0    5.6    32.0    8.0
04/03/2008    0.0    4.8    29.5    8.0
05/03/2008    0.0    8.2    30.0    6.5
06/03/2008    0.0    7.9    30.5    5.5
07/03/2008    0.0    6.9    35.0    4.5
08/03/2008    0.0    7.2    32.0    3.5
09/03/2008    0.0    7.8    33.0    4.0
10/03/2008    0.0    7.0    35.0    6.0
11/03/2008    0.0    7.4    36.5    8.0
12/03/2008    0.0    7.1    36.0    10.0
13/03/2008    0.0    7.0    34.0    8.5
