CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14348
NOMBRE    : JILOTLAN
ESTADO    : JALISCO
MUNICIPIO : JILOTLAN DE LOS DOLORES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.371°
LONGITUD  : -103.019°
ALTITUD   : 740 msnm
 
EMISION   : 06/04/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.9    13.0    7.0
02/01/2008    0.0    2.8    8.0    7.0
03/01/2008    0.0    2.5    8.0    2.0
04/01/2008    0.0    4.2    11.0    2.0
05/01/2008    0.0    3.4    11.0    3.0
06/01/2008    0.0    2.0    11.0    5.0
07/01/2008    0.0    2.9    7.0    5.0
08/01/2008    0.0    5.6    7.0    1.0
09/01/2008    0.0    2.6    7.0    1.0
10/01/2008    0.0    4.7    8.0    1.0
11/01/2008    0.0    3.5    7.0    2.0
12/01/2008    0.0    3.5    8.0    1.0
13/01/2008    0.0    3.1    10.0    2.0
14/01/2008    0.0    2.6    10.0    3.0
15/01/2008    0.0    2.2    8.0    4.0
16/01/2008    0.0    3.6    8.0    2.0
17/01/2008    0.0    2.7    11.0    2.0
18/01/2008    0.0    2.6    11.0    3.0
19/01/2008    0.0    3.2    10.0    5.0
20/01/2008    0.0    2.7    10.0    4.0
21/01/2008    0.0    3.2    12.0    4.0
22/01/2008    0.0    2.5    11.0    5.0
23/01/2008    0.0    4.4    11.0    5.0
24/01/2008    0.0    3.2    11.0    5.0
25/01/2008    0.0    3.2    11.0    5.0
26/01/2008    0.0    4.2    13.0    5.0
27/01/2008    0.0    4.4    13.0    6.0
28/01/2008    0.0    2.4    13.0    5.0
29/01/2008    0.0    5.8    13.0    6.0
30/01/2008    0.0    4.7    10.0    7.0
31/01/2008    0.0    5.0    10.0    4.0
01/02/2008    0.0    2.9    11.0    5.0
02/02/2008    0.0    4.6    10.0    5.0
03/02/2008    0.0    4.0    10.0    4.0
04/02/2008    0.0    4.4    9.0    4.0
05/02/2008    0.0    2.9    9.0    3.0
06/02/2008    0.0    1.4    9.0    3.0
07/02/2008    0.0    4.0    12.0    3.0
08/02/2008    0.0    5.6    12.0    4.0
09/02/2008    0.0    3.5    12.0    6.0
10/02/2008    0.0    2.7    12.0    6.0
11/02/2008    0.0    8.6    12.0    6.0
12/02/2008    0.0    2.5    12.0    6.0
13/02/2008    0.0    5.9    8.0    6.0
14/02/2008    0.0    5.6    8.0    2.0
15/02/2008    0.0    4.3    10.0    2.0
16/02/2008    0.0    4.2    8.0    3.0
17/02/2008    0.0    7.2    7.0    2.0
18/02/2008    0.0    4.6    7.0    1.0
19/02/2008    0.0    3.6    9.0    1.0
20/02/2008    0.0    5.5    9.0    2.0
21/02/2008    0.0    4.0    9.0    3.0
22/02/2008    0.0    4.5    9.0    3.0
23/02/2008    0.0    4.9    12.0    3.0
24/02/2008    0.0    4.4    12.0    4.0
25/02/2008    0.0    4.2    10.0    6.0
26/02/2008    0.0    6.3    10.0    4.0
27/02/2008    0.0    6.2    10.0    4.0
28/02/2008    0.0    3.6    12.0    4.0
29/02/2008    0.0    3.6    12.0    5.0
01/03/2008    0.0    4.6    12.0    6.0
02/03/2008    0.0    7.8    12.0    6.0
03/03/2008    0.0    5.6    15.0    6.0
04/03/2008    0.0    4.3    14.0    7.0
