CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14391
NOMBRE    : PRESA EL VOLANTIN
ESTADO    : JALISCO
MUNICIPIO : TIZAPAN EL ALTO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.054°
LONGITUD  : -103.104°
ALTITUD   : 1,890 msnm
 
EMISION   : 06/04/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.8    24.5    5.5
02/01/2008    0.0    4.5    16.5    4.5
03/01/2008    0.0    4.3    16.5    0.5
04/01/2008    0.0    3.5    20.5    1.5
05/01/2008    0.0    4.3    23.5    3.0
06/01/2008    0.0    4.7    24.0    4.5
07/01/2008    0.0    4.9    23.0    5.0
08/01/2008    0.0    5.2    23.5    3.5
09/01/2008    0.0    4.7    22.5    3.0
10/01/2008    0.0    4.8    22.5    2.5
11/01/2008    0.0    4.2    22.0    4.0
12/01/2008    0.0    4.4    22.5    2.5
13/01/2008    0.0    4.8    22.0    2.0
14/01/2008    0.0    5.2    19.5    3.5
15/01/2008    0.0    4.9    19.0    9.0
16/01/2008    0.0    4.8    19.5    4.5
17/01/2008    0.0    3.8    18.0    5.0
18/01/2008    0.0    3.2    19.0    6.5
19/01/2008    0.0    3.9    21.5    7.5
20/01/2008    0.0    3.4    20.5    5.0
21/01/2008    0.0    3.8    23.5    5.5
22/01/2008    0.0    4.0    23.5    5.0
23/01/2008    0.0    4.2    26.5    6.0
24/01/2008    0.0    4.1    25.0    6.5
25/01/2008    0.0    3.4    24.0    7.0
26/01/2008    0.0    3.3    25.5    8.0
27/01/2008    0.0    4.1    24.0    7.5
28/01/2008    0.0    4.1    24.5    7.5
29/01/2008    0.0    4.6    24.0    6.0
30/01/2008    0.0    5.8    23.0    6.5
31/01/2008    0.0    5.5    25.0    6.5
01/02/2008    0.0    5.1    22.5    6.5
02/02/2008    0.0    5.3    24.0    5.5
03/02/2008    0.0    5.4    23.5    6.0
04/02/2008    0.0    5.8    23.5    6.5
05/02/2008    0.0    5.9    24.0    5.0
06/02/2008    0.0    5.7    23.5    5.0
07/02/2008    0.0    4.9    22.5    5.0
08/02/2008    0.0    4.8    24.5    6.0
09/02/2008    0.0    5.8    25.0    6.0
10/02/2008    0.0    4.0    23.5    6.5
11/02/2008    0.0    4.2    21.5    6.5
12/02/2008    0.0    4.1    22.0    5.0
13/02/2008    0.0    5.9    24.0    5.0
14/02/2008    0.0    6.2    23.5    5.5
15/02/2008    0.0    6.8    25.0    3.5
16/02/2008    0.0    5.9    25.5    5.0
17/02/2008    0.0    6.1    26.0    5.5
18/02/2008    0.0    7.6    25.0    4.5
19/02/2008    0.0    7.1    24.0    7.0
20/02/2008    0.0    7.0    25.5    4.0
21/02/2008    0.0    6.8    24.0    5.0
22/02/2008    0.0    6.4    26.5    4.5
23/02/2008    0.0    6.6    27.5    5.0
24/02/2008    0.0    6.5    29.0    6.5
25/02/2008    0.0    5.9    28.5    7.5
26/02/2008    0.0    6.7    28.0    5.0
27/02/2008    0.0    6.1    28.0    5.0
28/02/2008    0.0    6.1    28.5    6.5
29/02/2008    0.0    5.7    25.5    6.0
01/03/2008    0.0    5.1    25.5    7.0
02/03/2008    0.0    5.4    25.0    7.0
03/03/2008    0.0    6.2    25.5    5.0
04/03/2008    0.0    6.9    24.5    6.5
05/03/2008    0.0    7.9    25.5    5.5
06/03/2008    0.0    7.8    23.5    4.5
07/03/2008    0.0    7.8    23.0    1.0
08/03/2008    0.0    7.9    22.5    2.5
09/03/2008    0.0    7.0    22.0    4.0
10/03/2008    0.0    6.8    25.0    5.5
11/03/2008    0.0    6.1    25.0    6.0
12/03/2008    0.0    7.0    26.5    7.0
13/03/2008    0.0    7.3    24.0    7.0
14/03/2008    0.0    7.3    26.0    4.5
15/03/2008    0.0    6.8    26.5    5.5
16/03/2008    0.0    7.8    25.0    6.5
17/03/2008    0.0    8.9    23.5    7.5
18/03/2008    0.0    8.0    22.0    9.0
19/03/2008    0.0    7.8    23.5    4.0
20/03/2008    0.0    7.6    25.0    5.0
21/03/2008    0.0    7.4    26.0    6.5
22/03/2008    0.0    8.6    27.5    8.5
23/03/2008    0.0    8.6    25.5    8.0
24/03/2008    0.0    8.5    23.0    7.5
25/03/2008    0.0    7.8    24.0    8.0
26/03/2008    0.0    7.6    27.0    8.0
27/03/2008    0.0    7.9    28.0    8.0
28/03/2008    0.0    8.3    26.5    8.0
29/03/2008    0.0    7.9    27.0    9.0
30/03/2008    0.0    7.9    27.5    8.5
31/03/2008    0.0    8.1    27.5    9.0
01/04/2008    0.0    8.6    30.5    8.5
02/04/2008    0.0    8.9    30.5    9.0
03/04/2008    0.0    8.9    31.0    9.5
04/04/2008    0.0    8.8    30.5    10.5
05/04/2008    0.0    8.5    27.0    9.5
06/04/2008    0.0    8.4    27.5    11.0
07/04/2008    0.0    8.0    28.0    9.0
08/04/2008    0.0    8.3    29.0    10.0
09/04/2008    0.0    9.6    29.0    8.5
10/04/2008    0.0    8.0    29.0    7.0
11/04/2008    0.0    8.1    29.5    8.0
12/04/2008    0.0    8.3    29.5    9.5
13/04/2008    0.0    3.1    26.0    12.5
14/04/2008    21.5    4.8    26.5    12.0
15/04/2008    0.0    6.2    27.0    11.0
16/04/2008    0.0    7.3    27.5    11.5
17/04/2008    0.0    7.8    28.5    10.0
18/04/2008    0.0    8.3    28.5    9.5
19/04/2008    0.0    8.6    30.0    10.5
20/04/2008    0.0    9.4    30.5    11.5
21/04/2008    0.0    9.2    31.5    10.5
22/04/2008    0.0    9.1    31.5    10.5
23/04/2008    0.0    8.8    31.5    11.0
24/04/2008    0.0    9.1    30.5    13.0
25/04/2008    0.0    8.0    30.0    9.5
26/04/2008    0.0    8.2    30.0    10.0
27/04/2008    0.0    8.5    29.5    10.0
28/04/2008    0.0    8.8    30.0    10.5
29/04/2008    0.0    9.2    30.5    11.5
30/04/2008    0.0    9.3    31.0    11.0
01/05/2008    0.0    8.7    29.0    11.5
02/05/2008    0.0    8.8    29.0    8.0
03/05/2008    0.0    8.8    29.0    8.5
04/05/2008    0.0    8.6    29.0    10.0
05/05/2008    0.0    8.1    30.0    11.5
06/05/2008    0.0    7.4    29.0    13.0
07/05/2008    0.0    7.8    28.5    13.0
08/05/2008    0.0    8.6    31.5    12.0
09/05/2008    0.0    8.0    32.0    12.5
10/05/2008    0.0    8.0    32.5    13.0
11/05/2008    0.0    8.9    29.0    14.0
12/05/2008    0.0    8.7    30.5    15.0
13/05/2008    0.0    9.4    30.0    11.5
14/05/2008    0.0    8.4    28.0    12.5
15/05/2008    0.0    8.0    28.0    14.0
16/05/2008    0.0    8.6    28.5    13.5
17/05/2008    0.0    8.1    28.0    11.0
18/05/2008    0.0    8.1    28.5    10.5
19/05/2008    0.0    8.7    26.5    10.5
20/05/2008    0.0    5.4    25.5    11.0
21/05/2008    0.0    6.2    26.0    11.0
22/05/2008    0.0    7.7    26.0    10.5
23/05/2008    0.0    7.4    28.0    8.0
24/05/2008    0.0    8.6    30.0    9.0
25/05/2008    0.0    8.2    30.0    10.5
26/05/2008    0.0    8.1    32.0    11.5
27/05/2008    0.0    8.2    31.5    12.5
28/05/2008    0.0    7.1    30.0    14.5
29/05/2008    0.0    7.2    29.0    14.0
30/05/2008    0.0    8.6    29.0    12.0
31/05/2008    0.0    8.4    30.0    13.5
01/06/2008    0.0    8.9    31.0    9.0
02/06/2008    0.0    8.9    31.5    10.0
03/06/2008    0.0    8.8    32.5    12.5
04/06/2008    0.0    8.3    29.5    13.0
05/06/2008    0.0    8.8    29.5    13.5
06/06/2008    8.5    7.2    30.0    13.0
07/06/2008    5.0    6.0    30.0    14.0
08/06/2008    3.0    2.0    25.0    14.0
09/06/2008    42.0    1.0    25.0    15.0
10/06/2008    0.0    2.2    21.0    14.0
11/06/2008    2.0    1.8    23.0    15.0
12/06/2008    10.0    1.9    21.0    15.5
13/06/2008    1.5    4.3    27.0    15.0
14/06/2008    6.0    5.3    27.0    16.0
15/06/2008    12.2    5.7    27.0    14.0
16/06/2008    5.6    3.3    25.0    13.0
17/06/2008    0.0    5.8    26.0    14.0
18/06/2008    0.0    6.0    28.5    15.0
19/06/2008    0.0    6.7    27.5    15.0
20/06/2008    18.0    5.7    23.0    15.0
21/06/2008    1.0    6.5    27.0    14.0
22/06/2008    45.5    5.3    26.5    15.5
23/06/2008    0.0    4.9    24.0    14.0
24/06/2008    12.3    4.3    26.0    15.5
25/06/2008    0.0    5.2    26.5    14.0
26/06/2008    0.0    5.9    28.0    14.0
27/06/2008    3.0    5.8    27.5    15.5
28/06/2008    18.0    5.8    28.0    14.0
29/06/2008    2.0    5.4    26.5    14.0
30/06/2008    0.0    5.2    26.0    14.5
01/07/2008    15.0    2.4    24.0    15.0
02/07/2008    0.0    3.0    23.0    14.5
03/07/2008    0.0    2.9    24.5    14.0
04/07/2008    0.0    3.3    24.0    14.5
05/07/2008    1.0    3.3    24.0    15.5
06/07/2008    27.0    2.1    22.5    16.0
07/07/2008    6.5    1.5    21.5    15.0
08/07/2008    9.0    1.3    20.0    15.5
09/07/2008    21.0    1.2    20.5    15.0
10/07/2008    2.0    1.9    22.5    14.5
11/07/2008    0.0    3.0    22.0    14.0
12/07/2008    4.0    3.5    23.0    12.0
13/07/2008    15.2    1.4    22.5    13.5
14/07/2008    0.0    3.4    23.0    14.0
15/07/2008    0.0    2.6    23.5    13.5
16/07/2008    0.0    3.0    25.5    12.5
17/07/2008    2.0    4.2    25.5    12.0
18/07/2008    0.0    3.1    22.5    12.5
19/07/2008    3.2    3.3    24.0    12.5
20/07/2008    0.0    5.1    24.0    13.0
21/07/2008    0.0    5.6    25.0    12.5
22/07/2008    0.0    5.2    26.5    12.5
23/07/2008    0.0    4.1    26.5    12.5
24/07/2008    10.3    4.2    25.5    13.0
25/07/2008    4.0    3.1    22.5    15.5
26/07/2008    15.5    2.0    22.5    14.5
27/07/2008    0.0    3.1    23.5    13.0
28/07/2008    0.0    5.2    26.0    12.5
29/07/2008    0.0    5.1    26.5    13.5
30/07/2008    1.2    3.3    23.5    14.0
31/07/2008    1.0    2.7    24.5    12.5
01/08/2008    0.0    4.4    25.5    12.0
02/08/2008    6.0    2.2    22.5    13.0
03/08/2008    6.5    2.5    22.5    13.5
04/08/2008    0.0    3.8    23.0    14.0
05/08/2008    1.0    2.7    26.0    14.0
06/08/2008    0.0    3.3    23.0    13.0
07/08/2008    2.5    1.2    22.0    14.5
08/08/2008    29.4    2.6    21.5    14.0
09/08/2008    0.0    4.4    24.5    12.0
10/08/2008    0.0    2.8    25.0    12.0
11/08/2008    10.5    3.5    26.5    13.0
12/08/2008    12.3    3.2    22.5    15.0
13/08/2008    5.0    2.0    23.5    13.5
14/08/2008    0.0    1.8    23.5    13.0
15/08/2008    0.0    3.1    25.0    14.0
16/08/2008    0.0    4.9    25.0    13.0
