GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15003
NOMBRE    : EL ARENAL
ESTADO    : JALISCO
MUNICIPIO :  EL ARENAL
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.769°
LONGITUD  :  -103.695°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    5.7    32.2    10.7
02/01/2008    0.0    4.3    24.9    10.7
03/01/2008    0.0    3.1    25.9    7.6
04/01/2008    0.0    2.7    28.5    5.1
05/01/2008    0.0    3.2    28.6    5.6
06/01/2008    0.0    3.1    31.1    6.5
07/01/2008    0.0    3.4    31.0    6.8
08/01/2008    0.0    3.1    30.5    6.7
09/01/2008    0.0    3.2    30.9    6.5
10/01/2008    0.0    3.3    30.1    6.0
11/01/2008    0.0    3.6    30.6    6.6
12/01/2008    0.0    3.2    28.9    5.7
13/01/2008    0.0    3.1    29.7    5.0
14/01/2008    0.0    3.1    29.6    4.5
15/01/2008    0.0    3.3    27.3    8.2
16/01/2008    0.0    3.1    27.2    7.2
17/01/2008    0.0    2.9    26.3    5.4
18/01/2008    0.0    2.2    25.0    6.5
19/01/2008    0.5    2.1    29.3    7.1
20/01/2008    0.0    2.9    29.0    7.7
21/01/2008    0.0    3.2    30.8    8.4
22/01/2008    0.0    3.5    31.0    8.7
23/01/2008    0.0    3.4    33.2    9.8
24/01/2008    0.0    3.5    33.3    10.4
25/01/2008    0.0    3.4    33.4    11.4
26/01/2008    0.0    3.9    33.3    11.6
27/01/2008    0.0    3.5    34.1    10.8
28/01/2008    0.0    3.8    32.8    10.7
29/01/2008    0.0    3.7    32.4    10.1
30/01/2008    0.0    3.7    32.1    9.9
31/01/2008    0.0    3.6    31.9    9.6
01/02/2008    0.0    3.5    31.2    9.0
02/02/2008    0.0    3.7    31.6    9.4
03/02/2008    0.0    3.7    32.1    10.1
04/02/2008    0.0    3.5    30.9    9.5
05/02/2008    0.0    3.9    31.2    10.0
06/02/2008    0.0    3.9    31.0    8.6
07/02/2008    0.0    3.6    30.0    8.0
08/02/2008    0.0    3.6    31.7    9.2
09/02/2008    0.0    3.8    32.7    9.2
10/02/2008    0.0    3.7    32.7    9.6
11/02/2008    0.0    4.1    31.5    10.1
12/02/2008    0.0    4.2    32.3    9.7
13/02/2008    0.0    4.1    32.0    8.7
14/02/2008    0.0    4.3    32.1    9.4
15/02/2008    0.0    4.2    32.4    7.9
16/02/2008    0.0    3.9    33.1    7.9
17/02/2008    0.0    4.9    32.7    9.0
18/02/2008    0.0    4.1    33.8    9.0
19/02/2008    0.0    4.1    33.7    7.7
20/02/2008    0.0    4.3    33.1    8.1
21/02/2008    0.0    3.8    32.9    8.7
22/02/2008    0.0    4.3    33.9    8.7
23/02/2008    0.0    4.2    34.3    8.7
24/02/2008    0.0    4.6    36.8    9.4
25/02/2008    0.0    4.4    35.7    8.9
26/02/2008    0.0    4.7    35.6    9.4
27/02/2008    0.0    4.8    34.2    9.7
28/02/2008    0.0    3.6    33.3    11.0
29/02/2008    0.0    4.3    33.8    10.6
01/03/2008    0.0    4.6    33.6    11.1
02/03/2008    0.0    5.0    34.3    11.2
03/03/2008    0.0    4.8    33.5    8.8
04/03/2008    0.0    4.8    33.5    9.2
05/03/2008    0.0    5.0    32.6    7.7
06/03/2008    0.0    5.0    30.0    7.4
07/03/2008    0.0    4.5    31.4    5.1
08/03/2008    0.0    4.6    31.3    5.9
09/03/2008    0.0    4.2    31.5    6.6
10/03/2008    0.0    4.6    31.9    7.3
11/03/2008    0.0    4.1    32.6    9.3
12/03/2008    0.0    4.8    34.2    9.9
13/03/2008    0.0    4.6    34.9    10.2
14/03/2008    0.0    4.9    34.2    9.0
15/03/2008    0.0    4.6    35.5    8.4
16/03/2008    0.0    4.7    34.8    9.5
17/03/2008    0.0    4.9    33.7    9.7
18/03/2008    0.0    5.0    31.6    12.6
19/03/2008    0.0    4.8    32.7    8.3
20/03/2008    0.0    4.6    33.6    10.1
21/03/2008    0.0    4.9    34.8    9.4
22/03/2008    0.0    4.8    35.3    10.7
23/03/2008    0.0    4.8    35.8    11.2
24/03/2008    0.0    4.6    34.4    10.7
25/03/2008    0.0    4.7    33.6    12.2
26/03/2008    0.0    5.0    34.9    13.0
27/03/2008    0.0    5.2    36.1    12.3
28/03/2008    0.0    6.3    36.8    11.0
29/03/2008    0.0    5.9    36.9    11.2
30/03/2008    0.0    5.3    37.6    11.7
31/03/2008    0.0    6.1    38.6    11.0
01/04/2008    0.0    6.3    39.1    11.7
02/04/2008    0.0    6.2    38.5    12.7
03/04/2008    0.0    6.3    39.0    12.6
