GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15008
NOMBRE    : CASIMIRO CASTILLO
ESTADO    : JALISCO
MUNICIPIO :  CASIMIRO CASTILLO
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.341°
LONGITUD  :  -104.287°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.1    33.7    12.4
02/01/2008    0.0    5.6    31.0    12.1
03/01/2008    0.0    4.6    31.2    11.9
04/01/2008    0.0    5.2    32.1    9.8
05/01/2008    0.0    3.3    31.7    9.8
06/01/2008    0.0    3.3    32.7    8.9
07/01/2008    0.0    3.8    33.1    8.7
08/01/2008    0.0    4.0    32.9    7.8
09/01/2008    0.0    3.9    32.9    7.2
10/01/2008    0.0    3.7    33.2    7.2
11/01/2008    0.0    3.4    30.0    7.8
12/01/2008    0.0    4.2    31.5    6.2
13/01/2008    0.0    4.2    31.7    6.0
14/01/2008    0.0    3.7    31.3    6.7
15/01/2008    0.0    3.9    29.8    9.9
16/01/2008    0.0    3.9    30.1    8.1
17/01/2008    0.0    3.4    28.9    7.4
18/01/2008    0.0    3.6    29.8    7.7
19/01/2008    0.0    3.9    35.5    9.6
20/01/2008    0.0    3.7    31.2    10.2
21/01/2008    0.0    4.5    32.6    10.4
22/01/2008    0.0    3.0    32.2    11.5
23/01/2008    0.0    4.1    36.0    10.4
24/01/2008    0.0    3.5    33.6    11.0
25/01/2008    0.0    4.0    33.2    12.4
26/01/2008    0.0    4.5    34.7    12.3
27/01/2008    0.0    4.5    34.2    12.0
28/01/2008    0.0    4.1    34.1    11.9
29/01/2008    0.0    4.3    35.2    12.0
30/01/2008    0.0    4.5    32.3    11.9
31/01/2008    0.0    4.9    33.1    10.8
01/02/2008    0.0    4.0    35.0    15.3
02/02/2008    0.0    4.1    36.2    15.7
03/02/2008    0.0    4.0    35.4    14.9
04/02/2008    0.0    3.7    35.3    14.4
05/02/2008    0.0    4.2    34.8    14.0
06/02/2008    0.0    4.0    35.0    14.2
07/02/2008    0.0    3.6    35.4    14.1
08/02/2008    0.0    3.7    34.2    15.7
09/02/2008    0.0    4.2    34.7    16.2
10/02/2008    0.0    3.9    36.4    16.4
11/02/2008    0.0    4.1    36.3    16.3
12/02/2008    0.0    3.8    35.4    15.8
13/02/2008    0.0    4.5    35.9    14.9
14/02/2008    0.0    4.8    35.9    12.7
15/02/2008    0.0    4.5    36.9    12.7
16/02/2008    0.0    4.9    37.3    13.4
17/02/2008    0.0    4.4    36.6    13.2
18/02/2008    0.0    4.3    34.9    13.3
19/02/2008    0.0    4.2    34.7    12.8
20/02/2008    0.0    4.5    35.9    12.4
21/02/2008    0.0    4.3    36.6    13.8
22/02/2008    0.0    4.9    37.1    13.9
23/02/2008    0.0    4.8    38.1    14.4
24/02/2008    0.0    5.0    37.8    15.8
25/02/2008    0.0    5.2    37.6    14.6
26/02/2008    0.0    5.1    36.7    13.7
27/02/2008    0.0    5.3    35.2    13.1
28/02/2008    0.0    5.0    35.4    13.6
29/02/2008    0.0    5.3    37.1    14.3
01/03/2008    0.0    5.0    38.2    15.1
02/03/2008    0.0    4.7    36.8    14.0
03/03/2008    0.0    5.1    36.6    13.5
04/03/2008    0.0    4.2    35.1    16.9
05/03/2008    0.0    5.8    36.9    13.6
06/03/2008    0.0    6.0    36.8    12.5
07/03/2008    0.0    6.0    36.5    11.3
08/03/2008    0.0    5.8    35.2    10.0
09/03/2008    0.0    5.3    36.9    11.3
10/03/2008    0.0    5.3    38.0    13.9
11/03/2008    0.0    6.4    38.3    16.1
12/03/2008    0.0    6.4    39.0    15.0
13/03/2008    0.0    6.2    37.4    14.2
14/03/2008    0.0    6.1    37.7    12.3
15/03/2008    0.0    5.2    37.4    12.5
16/03/2008    0.0    5.3    37.6    12.9
17/03/2008    0.0    5.8    37.1    13.2
18/03/2008    0.0    6.6    36.0    15.2
19/03/2008    0.0    6.3    36.3    13.0
20/03/2008    0.0    6.1    36.4    15.4
21/03/2008    0.0    6.7    38.8    16.3
22/03/2008    0.0    6.7    39.3    16.0
23/03/2008    0.0    6.0    38.5    13.2
24/03/2008    0.0    5.3    38.0    14.1
25/03/2008    0.0    5.8    38.1    16.5
26/03/2008    0.0    6.9    39.2    16.1
27/03/2008    0.0    7.4    39.1    15.9
28/03/2008    0.0    7.1    39.0    14.9
29/03/2008    0.0    6.8    39.3    13.5
30/03/2008    0.0    6.4    38.5    14.3
31/03/2008    0.0    6.5    39.6    14.8
01/04/2008    0.0    6.1    38.9    16.2
02/04/2008    0.0    6.4    38.7    16.8
03/04/2008    0.0    5.9    39.2    17.8
04/04/2008    0.0    6.1    38.1    16.6
05/04/2008    0.0    5.4    36.7    19.2
06/04/2008    0.0    5.9    38.4    18.6
07/04/2008    0.0    6.7    39.0    20.4
08/04/2008    0.0    5.8    37.7    19.0
09/04/2008    0.0    6.5    38.4    20.0
10/04/2008    0.0    5.0    37.5    18.4
11/04/2008    0.0    6.1    35.6    20.5
12/04/2008    0.0    5.8    39.0    18.1
