GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15017
NOMBRE    : EL LIMON
ESTADO    : JALISCO
MUNICIPIO :  EL LIMON
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.749°
LONGITUD  :  -104.016°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.1    35.2    12.8
02/01/2008    0.0    4.6    31.2    12.2
03/01/2008    0.0    4.0    32.0    10.3
04/01/2008    0.0    4.5    32.7    8.2
05/01/2008    0.0    2.5    30.1    9.7
06/01/2008    0.0    3.3    33.1    9.2
07/01/2008    0.0    4.7    33.6    9.2
08/01/2008    0.0    3.7    33.3    8.0
09/01/2008    0.0    4.2    33.3    7.7
10/01/2008    0.0    3.7    33.0    8.0
11/01/2008    0.0    3.9    32.2    8.7
12/01/2008    0.0    3.9    32.2    5.8
13/01/2008    0.0    3.9    31.8    6.3
14/01/2008    0.0    3.7    32.1    7.5
15/01/2008    0.0    4.6    30.4    11.1
16/01/2008    0.0    3.6    30.8    8.0
17/01/2008    0.0    3.3    29.5    7.6
18/01/2008    0.0    3.3    30.3    8.5
19/01/2008    0.0    3.9    33.7    9.4
20/01/2008    0.0    3.3    31.4    9.8
21/01/2008    0.0    3.6    33.6    10.1
22/01/2008    0.0    3.9    32.9    11.0
23/01/2008    0.0    4.2    35.7    10.1
24/01/2008    0.0    4.6    34.8    10.5
25/01/2008    0.0    3.6    34.5    12.2
26/01/2008    0.0    4.6    35.2    12.1
27/01/2008    0.0    4.5    35.5    12.6
28/01/2008    0.0    4.1    35.1    12.3
29/01/2008    0.0    4.3    35.9    11.6
30/01/2008    0.0    4.3    33.8    11.8
31/01/2008    0.0    4.2    34.1    11.0
01/02/2008    0.0    4.2    32.7    10.6
02/02/2008    0.0    4.1    33.1    9.7
03/02/2008    0.0    4.8    32.7    9.8
04/02/2008    0.0    4.2    33.1    9.4
05/02/2008    0.0    4.3    32.2    9.5
06/02/2008    0.0    4.1    32.7    9.4
07/02/2008    0.0    5.1    32.5    10.0
08/02/2008    0.0    4.7    32.4    10.0
09/02/2008    0.0    4.1    33.4    11.2
10/02/2008    0.0    4.6    34.5    11.1
11/02/2008    0.0    4.9    33.6    11.6
12/02/2008    0.0    4.4    31.6    11.1
13/02/2008    0.0    4.8    33.1    9.6
14/02/2008    0.0    5.0    33.0    9.1
15/02/2008    0.0    5.8    33.9    8.5
16/02/2008    0.0    5.4    34.6    8.0
17/02/2008    0.0    5.0    34.7    9.3
18/02/2008    0.0    4.5    32.6    9.4
19/02/2008    0.0    4.8    33.7    8.6
20/02/2008    0.0    4.7    34.2    8.6
21/02/2008    0.0    4.8    34.1    9.0
22/02/2008    0.0    4.5    35.2    9.4
23/02/2008    0.0    5.8    36.2    10.2
24/02/2008    0.0    5.4    36.7    10.9
25/02/2008    0.0    5.5    34.4    11.0
26/02/2008    0.0    5.6    34.5    9.0
27/02/2008    0.0    6.2    35.4    8.3
28/02/2008    0.0    5.5    33.4    9.0
29/02/2008    0.0    5.5    34.0    9.6
01/03/2008    0.0    5.7    35.4    10.7
02/03/2008    0.0    5.2    34.1    11.2
03/03/2008    0.0    5.2    33.4    9.5
04/03/2008    0.0    3.6    32.0    9.7
05/03/2008    0.0    5.7    35.0    9.6
