GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15036
NOMBRE    : ZAPOTITLAN DE VADILLO
ESTADO    : JALISCO
MUNICIPIO :  ZAPOTITLAN DE VADILLO
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.547°
LONGITUD  :  -103.810°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
			           PRECIP  EVAP   TMAX   TMIN
  FECHA   			   mm     mm     °C     °C 
01/01/2008    0.0    4.2    31.6    10.7
02/01/2008    0.0    4.1    32.2    10.8
03/01/2008    0.0    4.3    30.2    10.6
04/01/2008    0.0    5.7    30.5    9.5
05/01/2008    0.0    5.6    32.6    8.6
06/01/2008    0.0    4.3    31.5    8.3
07/01/2008    0.0    1.8    32.6    7.7
08/01/2008    0.0    4.5    32.6    6.2
09/01/2008    0.0    3.1    32.5    4.3
10/01/2008    0.0    3.7    35.3    4.9
11/01/2008    0.0    3.0    30.5    5.9
12/01/2008    0.0    4.7    30.6    4.7
13/01/2008    0.0    4.8    30.9    5.1
14/01/2008    0.0    4.0    31.4    5.1
15/01/2008    0.0    2.3    28.6    6.6
16/01/2008    0.0    4.4    31.3    7.2
17/01/2008    0.0    2.8    30.4    7.3
18/01/2008    0.0    3.7    29.6    6.8
19/01/2008    0.0    4.1    32.6    8.9
20/01/2008    0.0    3.9    30.6    9.7
21/01/2008    0.0    4.9    31.6    9.6
22/01/2008    0.0    2.3    33.5    9.6
23/01/2008    0.0    2.1    35.6    9.8
24/01/2008    0.0    2.5    32.7    9.8
25/01/2008    0.0    4.8    32.6    11.2
26/01/2008    0.0    4.5    34.6    11.3
27/01/2008    0.0    4.7    33.6    11.3
28/01/2008    0.0    3.2    33.6    9.8
29/01/2008    0.0    4.1    34.5    10.3
30/01/2008    0.0    4.6    31.7    10.8
31/01/2008    0.0    6.5    32.6    9.2
01/02/2008    0.0    3.1    31.6    7.8
02/02/2008    0.0    4.1    32.6    8.7
03/02/2008    0.0    5.0    33.6    9.2
04/02/2008    0.0    5.8    33.1    7.8
05/02/2008    0.0    5.9    32.1    8.6
06/02/2008    0.0    5.0    31.2    9.1
07/02/2008    0.0    4.5    31.6    8.6
08/02/2008    0.0    5.0    31.7    9.9
09/02/2008    0.0    4.2    32.7    9.7
10/02/2008    0.0    3.3    31.6    10.7
11/02/2008    0.0    4.3    32.6    10.7
12/02/2008    0.0    4.7    32.6    9.6
13/02/2008    0.0    3.1    33.6    8.7
14/02/2008    0.0    4.6    31.6    6.7
15/02/2008    0.0    6.8    33.6    5.8
16/02/2008    0.0    5.9    34.6    5.8
17/02/2008    0.0    5.0    34.5    6.8
18/02/2008    0.0    7.0    29.1    7.6
19/02/2008    0.0    3.9    31.7    5.8
20/02/2008    0.0    5.9    32.7    5.8
21/02/2008    0.0    4.2    33.6    5.8
22/02/2008    0.0    5.4    35.6    6.8
23/02/2008    0.0    5.3    34.9    8.7
24/02/2008    0.0    7.4    35.6    9.3
25/02/2008    0.0    7.8    33.7    9.0
26/02/2008    0.0    5.8    33.8    7.3
27/02/2008    0.0    5.6    33.6    7.3
28/02/2008    0.0    7.2    31.7    7.9
29/02/2008    0.0    5.7    33.7    7.8
01/03/2008    0.0    6.6    35.6    8.9
02/03/2008    0.0    5.2    32.7    9.6
03/03/2008    0.0    5.6    31.8    7.8
04/03/2008    0.0    4.8    29.3    8.0
05/03/2008    0.0    8.1    30.1    6.4
06/03/2008    0.0    7.8    30.4    5.4
07/03/2008    0.0    6.8    34.5    4.4
08/03/2008    0.0    7.2    31.6    3.4
09/03/2008    0.0    7.7    32.6    3.9
10/03/2008    0.0    6.9    34.5    5.8
11/03/2008    0.0    7.3    36.1    7.9
12/03/2008    0.0    7.0    35.7    9.7
13/03/2008    0.0    7.0    33.7    8.3
14/03/2008    0.0    7.9    33.8    7.5
15/03/2008    0.0    7.7    33.8    5.9
16/03/2008    0.0    7.7    33.8    6.8
17/03/2008    0.0    7.0    33.1    6.4
18/03/2008    0.0    7.8    30.7    6.9
19/03/2008    0.0    7.3    31.0    5.4
20/03/2008    0.0    7.2    33.8    6.1
21/03/2008    0.0    7.3    33.0    7.0
22/03/2008    0.0    8.7    35.7    9.9
23/03/2008    0.0    7.4    35.7    9.8
24/03/2008    0.0    5.5    34.8    9.3
25/03/2008    0.0    6.8    35.7    10.3
26/03/2008    0.0    7.9    35.8    11.7
27/03/2008    0.0    8.8    35.8    11.7
28/03/2008    0.0    8.2    35.7    10.8
29/03/2008    0.0    6.8    34.8    8.9
30/03/2008    0.0    8.3    34.6    8.9
31/03/2008    0.0    6.0    37.2    8.8
01/04/2008    0.0    6.2    34.9    8.9
02/04/2008    0.0    7.2    36.0    9.9
03/04/2008    0.0    7.1    36.0    11.8
04/04/2008    0.0    6.8    34.0    9.0
05/04/2008    0.0    7.9    32.8    11.0
06/04/2008    0.0    8.9    32.8    13.7
07/04/2008    0.0    7.5    34.9    10.8
08/04/2008    0.0    7.2    33.4    12.7
09/04/2008    0.0    8.7    34.8    11.2
10/04/2008    0.0    6.9    34.9    11.2
11/04/2008    0.0    7.4    33.6    13.2
12/04/2008    0.0    8.1    34.1    15.2
13/04/2008    0.0    6.9    35.5    14.0
14/04/2008    6.3    6.8    36.4    15.4
15/04/2008    2.4    5.9    36.7    14.8
16/04/2008    0.0    8.8    35.9    14.8
17/04/2008    0.0    9.6    34.0    10.3
18/04/2008    0.0    8.6    34.2    10.7
19/04/2008    0.0    9.1    36.0    10.9
20/04/2008    0.0    8.9    36.4    11.8
21/04/2008    0.0    6.0    34.2    12.8
22/04/2008    0.0    7.6    38.9    11.9
23/04/2008    0.0    7.7    35.5    12.5
24/04/2008    0.0    4.4    36.8    13.4
25/04/2008    0.0    5.8    38.8    10.4
26/04/2008    0.0    7.0    36.9    11.0
27/04/2008    0.0    7.0    36.0    12.9
28/04/2008    0.0    7.1    37.8    14.8
29/04/2008    0.0    8.5    35.8    13.0
30/04/2008    0.0    6.2    34.8    9.1
01/05/2008    0.0    8.3    36.8    11.3
02/05/2008    0.0    10.4    37.3    11.8
03/05/2008    0.0    8.6    37.8    12.8
04/05/2008    0.0    6.6    36.4    10.1
05/05/2008    0.0    8.0    36.8    13.9
06/05/2008    0.0    8.0    36.7    14.4
07/05/2008    0.0    7.4    34.3    15.8
08/05/2008    0.0    8.4    34.0    14.3
09/05/2008    0.0    6.4    34.0    12.0
10/05/2008    0.0    8.5    36.8    12.1
11/05/2008    0.0    8.0    36.0    13.1
12/05/2008    0.0    6.0    35.0    17.9
13/05/2008    0.0    8.4    35.8    13.9
14/05/2008    0.0    8.2    37.7    13.9
15/05/2008    0.0    7.2    36.3    15.0
16/05/2008    0.0    7.1    35.8    16.7
17/05/2008    0.0    7.9    35.8    16.1
18/05/2008    0.0    6.7    34.8    15.6
19/05/2008    0.0    6.4    35.3    15.6
20/05/2008    0.0    6.7    34.9    15.7
21/05/2008    0.0    7.2    34.8    15.8
22/05/2008    0.0    6.9    34.6    15.7
23/05/2008    0.0    8.0    33.9    13.6
24/05/2008    0.0    7.8    35.9    13.7
25/05/2008    0.7    4.7    32.1    12.1
26/05/2008    0.0    6.9    35.0    14.0
27/05/2008    0.1    6.6    33.9    15.9
28/05/2008    0.0    7.3    34.8    16.5
29/05/2008    0.0    8.0    36.8    15.9
30/05/2008    0.0    8.5    36.7    15.8
31/05/2008    0.4    7.8    37.0    15.9
01/06/2008    0.0    8.3    34.9    16.8
02/06/2008    0.0    8.5    36.6    18.3
03/06/2008    0.0    7.5    33.3    16.3
04/06/2008    0.0    8.1    33.8    16.3
05/06/2008    0.0    8.9    35.6    15.9
06/06/2008    0.2    7.9    33.9    16.8
07/06/2008    0.0    7.7    32.9    16.9
08/06/2008    1.8    8.0    34.4    19.2
09/06/2008    14.1    7.0    30.9    19.8
10/06/2008    1.8    2.4    22.0    19.7
11/06/2008    0.0    6.6    30.7    17.8
12/06/2008    2.9    3.9    29.7    17.8
13/06/2008    0.5    5.4    31.0    18.9
14/06/2008    3.0    6.5    32.7    17.9
15/06/2008    2.2    4.6    33.6    18.7
16/06/2008    0.0    6.1    34.6    18.7
17/06/2008    0.0    7.8    35.7    18.6
18/06/2008    0.0    6.8    35.6    18.8
19/06/2008    0.5    7.5    34.7    19.7
20/06/2008    0.0    2.0    35.7    19.7
21/06/2008    20.6    4.0    33.6    20.6
22/06/2008    9.8    5.9    32.6    18.3
23/06/2008    0.0    3.2    35.5    18.7
24/06/2008    19.8    4.9    34.6    17.8
25/06/2008    0.2    6.1    33.7    18.7
26/06/2008    0.0    6.5    33.7    18.7
27/06/2008    0.9    5.5    35.6    19.2
28/06/2008    0.9    5.9    33.8    19.7
29/06/2008    5.2    5.8    34.0    19.7
30/06/2008    11.4    4.0    34.0    19.7
01/07/2008    0.0    5.8    28.6    19.7
02/07/2008    1.5    6.5    29.7    18.8
03/07/2008    0.1    6.0    30.7    19.2
04/07/2008    0.8    6.0    32.8    18.7
05/07/2008    28.7    4.9    33.6    18.8
06/07/2008    28.2    3.2    26.9    19.7
07/07/2008    1.7    2.2    24.9    19.7
08/07/2008    3.7    2.7    26.3    18.8
09/07/2008    9.5    1.5    25.5    18.8
10/07/2008    0.8    5.1    29.9    18.7
11/07/2008    0.0    2.2    28.8    18.7
12/07/2008    0.6    5.1    31.3    17.7
13/07/2008    1.1    2.5    32.7    18.3
14/07/2008    1.1    5.5    32.6    19.7
15/07/2008    3.4    4.8    33.8    18.7
16/07/2008    1.0    5.4    34.6    17.7
17/07/2008    4.6    3.5    31.3    17.7
18/07/2008    0.1    5.4    30.8    17.6
19/07/2008    1.3    5.9    33.1    17.8
20/07/2008    5.3    4.9    34.0    18.2
21/07/2008    2.0    6.3    31.8    18.3
22/07/2008    0.4    3.3    32.3    17.8
23/07/2008    1.3    6.4    32.3    18.2
24/07/2008    3.7    4.1    33.3    18.9
25/07/2008    5.1    1.7    28.9    19.8
26/07/2008    1.2    4.5    29.9    18.6
27/07/2008    0.2    6.2    30.8    17.8
28/07/2008    0.0    6.2    34.7    17.8
29/07/2008    0.9    5.8    33.8    18.8
30/07/2008    0.6    3.5    30.0    20.6
31/07/2008    0.6    6.7    30.8    19.1
01/08/2008    0.0    6.6    30.9    18.6
02/08/2008    1.1    5.0    32.7    18.8
03/08/2008    0.0    3.5    31.3    19.6
04/08/2008    1.6    4.6    32.7    19.2
05/08/2008    0.2    4.3    33.6    19.7
06/08/2008    13.4    4.0    33.2    19.6
07/08/2008    0.0    5.6    31.6    19.2
08/08/2008    3.5    3.5    31.7    18.3
09/08/2008    0.0    5.1    32.8    15.8
10/08/2008    0.0    6.1    30.9    16.3
11/08/2008    0.0    4.7    30.9    19.8
12/08/2008    6.3    3.6    29.9    20.6
13/08/2008    0.0    5.3    31.3    19.6
14/08/2008    15.9    6.4    32.8    19.7
15/08/2008    0.0    5.8    31.4    19.7
16/08/2008    9.7    7.4    30.9    19.7
17/08/2008    0.0    4.8    31.8    19.7
18/08/2008    0.7    6.3    32.3    19.7
19/08/2008    3.2    5.2    32.7    19.7
20/08/2008    0.7    4.2    28.9    21.2
21/08/2008    2.3    6.2    31.7    19.1
22/08/2008    16.0    3.1    33.1    19.1
23/08/2008    4.4    3.5    34.4    18.7
24/08/2008    0.0    5.5    30.8    18.7
25/08/2008    4.5    2.6    30.9    18.4
26/08/2008    8.3    2.6    28.8    18.9
27/08/2008    4.8    3.6    30.1    18.8
28/08/2008    0.2    3.0    30.7    19.2
29/08/2008    1.9    5.4    31.7    18.7
30/08/2008    2.6    4.8    30.8    18.8
31/08/2008    0.0    4.9    30.7    19.3
01/09/2008    0.0    5.9    32.6    19.6
02/09/2008    0.9    5.1    31.3    19.8
03/09/2008    1.3    1.2    32.7    20.2
04/09/2008    0.1    5.9    33.7    20.7
05/09/2008    0.3    5.0    34.1    20.6
06/09/2008    0.1    6.4    34.6    21.1
07/09/2008    4.8    4.5    30.6    20.7
08/09/2008    2.4    5.2    31.2    20.2
09/09/2008    8.3    3.4    29.7    18.8
10/09/2008    2.5    3.9    30.3    19.3
11/09/2008    0.0    6.0    30.8    20.3
12/09/2008    0.0    4.7    32.7    20.7
13/09/2008    1.8    5.8    31.8    19.8
14/09/2008    6.4    1.1    26.1    20.2
15/09/2008    10.0    2.0    26.8    18.8
16/09/2008    1.3    5.7    28.9    16.9
17/09/2008    0.0    5.9    35.1    17.3
18/09/2008    1.8    5.2    35.0    17.8
19/09/2008    1.4    5.1    33.6    18.1
20/09/2008    6.7    4.6    28.8    18.8
21/09/2008    7.9    2.4    32.3    18.7
22/09/2008    0.0    2.8    27.9    18.7
23/09/2008    0.1    4.3    31.8    19.3
24/09/2008    8.5    3.8    33.1    20.6
25/09/2008    5.4    4.1    32.6    19.2
26/09/2008    0.0    2.3    29.7    18.6
27/09/2008    0.4    3.7    29.0    18.6
28/09/2008    5.7    2.8    31.7    19.6
29/09/2008    0.0    5.6    31.7    19.6
30/09/2008    0.0    5.6    29.4    18.4
01/10/2008    0.0    6.2    34.9    17.5
02/10/2008    0.0    5.9    33.5    15.1
03/10/2008    0.0    5.2    29.0    14.5
04/10/2008    0.0    4.0    35.5    16.7
05/10/2008    0.0    5.4    30.8    18.6
06/10/2008    0.0    3.9    30.8    19.5
07/10/2008    0.5    4.4    32.3    19.6
08/10/2008    0.3    5.4    32.3    19.6
09/10/2008    0.0    4.4    33.7    18.0
10/10/2008    0.0    5.3    31.7    18.3
11/10/2008    15.1    1.0    32.2    20.7
12/10/2008    0.6    5.4    32.6    19.3
13/10/2008    2.4    5.5    32.8    19.0
14/10/2008    0.9    4.7    31.7    18.6
15/10/2008    0.2    4.5    32.6    17.4
16/10/2008    0.0    4.6    33.6    17.6
17/10/2008    2.4    5.1    35.5    18.3
18/10/2008    0.0    4.8    32.6    18.7
19/10/2008    0.0    4.7    35.0    15.9
20/10/2008    0.0    4.8    34.6    16.3
21/10/2008    2.5    3.3    34.1    17.2
22/10/2008    0.0    4.0    32.6    16.7
23/10/2008    1.3    3.2    30.8    16.5
24/10/2008    2.4    0.4    23.8    17.8
25/10/2008    0.0    3.7    28.9    17.6
26/10/2008    0.0    5.0    33.6    17.1
27/10/2008    0.0    7.4    34.1    17.1
28/10/2008    0.0    5.7    28.5    18.1
29/10/2008    0.0    3.2    24.4    13.8
30/10/2008    0.0    3.4    31.5    14.5
31/10/2008    0.0    5.2    32.5    13.8
01/11/2008    0.0    5.4    33.9    13.8
02/11/2008    0.0    5.6    33.5    15.5
03/11/2008    0.0    4.9    35.4    15.1
04/11/2008    0.0    4.8    34.5    13.7
05/11/2008    0.0    4.9    34.0    15.8
06/11/2008    0.0    6.8    33.6    16.2
07/11/2008    0.0    4.4    32.1    17.1
08/11/2008    0.0    5.8    32.6    17.4
09/11/2008    0.0    4.8    31.6    12.6
10/11/2008    0.0    4.9    31.6    12.6
11/11/2008    0.0    6.0    32.6    18.1
12/11/2008    0.0    6.1    32.6    18.1
13/11/2008    0.0    5.0    30.6    13.4
14/11/2008    0.0    4.1    30.6    8.7
15/11/2008    0.0    4.7    33.6    9.6
16/11/2008    0.0    4.3    33.4    10.9
17/11/2008    0.0    0.7    32.4    12.6
18/11/2008    0.0    5.8    32.4    9.8
19/11/2008    0.0    5.8    31.3    9.8
20/11/2008    0.0    4.6    33.4    6.8
21/11/2008    0.0    3.7    33.4    9.6
22/11/2008    0.0    3.2    31.0    10.9
23/11/2008    0.0    5.9    33.4    12.5
24/11/2008    0.0    4.7    33.5    11.6
25/11/2008    0.0    3.6    33.9    11.8
26/11/2008    0.0    5.9    33.5    11.6
27/11/2008    0.0    4.1    33.6    12.8
28/11/2008    0.0    4.1    33.6    14.5
29/11/2008    0.0    8.1    28.7    14.5
30/11/2008    0.0    5.6    28.7    8.0
01/12/2008    0.0    4.4    29.7    7.9
02/12/2008    0.0    1.5    31.6    8.2
03/12/2008    0.0    1.1    30.5    8.6
04/12/2008    0.0    5.5    30.6    7.2
05/12/2008    0.0    3.9    30.6    7.2
06/12/2008    0.0    4.0    32.5    7.2
07/12/2008    0.0    4.1    31.6    7.7
08/12/2008    0.0    4.5    31.5    7.9
09/12/2008    0.0    3.9    29.6    9.6
10/12/2008    0.0    4.7    31.6    9.5
11/12/2008    0.0    2.7    26.5    7.7
12/12/2008    0.0    4.2    31.5    4.7
13/12/2008    0.0    3.8    29.6    4.9
14/12/2008    0.0    3.4    30.6    4.8
15/12/2008    0.0    4.2    31.6    4.7
16/12/2008    0.0    4.0    28.8    5.9
17/12/2008    0.0    3.5    31.6    7.8
18/12/2008    0.0    3.1    35.0    7.8
19/12/2008    0.0    5.0    31.8    8.7
20/12/2008    0.0    3.6    34.4    8.8
21/12/2008    0.0    4.6    34.5    9.8
22/12/2008    0.0    4.4    30.6    10.0
23/12/2008    0.0    3.3    30.0    11.7
24/12/2008    0.0    5.6    31.5    7.7
25/12/2008    0.0    5.6    33.5    8.7
26/12/2008    0.0    4.7    32.5    9.6
27/12/2008    0.0    3.8    31.5    8.6
28/12/2008    0.0    3.6    30.6    7.4
29/12/2008    0.0    5.1    29.7    8.8
30/12/2008    0.0    5.0    29.7    9.8
31/12/2008    0.0    2.7    32.6    12.6
01/01/2009    0.0    4.0    32.6    12.6
02/01/2009    0.0    3.9    32.6    10.7
03/01/2009    0.0    3.9    32.4    11.6
04/01/2009    0.0    5.0    30.7    12.5
05/01/2009    0.0    6.3    32.1    11.6
06/01/2009    0.0    3.0    31.5    13.3
07/01/2009    0.0    3.8    31.2    9.6
08/01/2009    0.0    3.3    30.8    9.6
09/01/2009    0.0    3.8    31.7    9.6
10/01/2009    0.0    5.3    33.5    9.7
11/01/2009    0.0    4.1    31.6    10.7
12/01/2009    0.0    3.9    33.0    9.8
13/01/2009    0.0    4.7    32.4    10.7
14/01/2009    0.0    3.9    32.1    10.7
15/01/2009    5.3    2.8    31.1    10.9
16/01/2009    0.0    4.5    30.5    9.6
17/01/2009    0.0    3.1    30.6    10.5
18/01/2009    0.0    3.4    30.7    12.7
19/01/2009    0.0    3.7    33.6    12.5
20/01/2009    0.0    4.5    32.6    12.7
21/01/2009    0.0    5.2    33.5    12.9
22/01/2009    0.0    4.1    32.7    11.9
23/01/2009    0.0    4.1    33.6    12.9
24/01/2009    0.0    5.0    33.7    14.6
25/01/2009    0.0    4.6    30.8    12.8
26/01/2009    0.0    4.4    31.8    13.9
27/01/2009    0.0    5.2    33.6    13.6
28/01/2009    0.0    5.7    33.8    13.5
29/01/2009    0.0    4.9    32.2    13.6
30/01/2009    0.0    5.8    31.7    9.7
31/01/2009    0.0    5.5    31.8    8.9
01/02/2009    0.0    4.4    32.6    9.2
02/02/2009    0.0    3.7    33.1    8.8
03/02/2009    0.0    5.0    33.5    8.8
04/02/2009    0.0    3.8    33.9    9.2
05/02/2009    0.0    5.7    32.8    10.3
06/02/2009    0.0    4.2    33.8    7.9
07/02/2009    0.0    5.0    32.9    8.5
08/02/2009    0.0    4.4    32.1    12.7
09/02/2009    0.0    4.2    32.0    11.6
10/02/2009    0.0    5.0    32.1    10.9
11/02/2009    0.0    4.5    33.0    8.4
12/02/2009    0.0    4.2    34.1    9.2
13/02/2009    0.0    4.8    33.7    10.1
14/02/2009    0.0    4.6    34.3    10.2
15/02/2009    0.0    4.5    34.8    10.4
16/02/2009    0.0    4.8    34.4    11.6
17/02/2009    0.0    5.3    35.6    15.2
18/02/2009    0.0    5.1    35.9    12.0
19/02/2009    0.0    5.3    38.2    11.0
20/02/2009    0.0    4.2    35.3    11.2
21/02/2009    0.0    6.2    35.4    10.7
22/02/2009    0.0    3.9    37.4    10.4
23/02/2009    0.0    6.9    35.2    11.6
24/02/2009    0.0    5.5    36.4    10.5
25/02/2009    0.0    5.3    36.3    10.2
26/02/2009    0.0    6.0    37.4    11.1
27/02/2009    0.0    5.3    37.8    11.3
28/02/2009    0.0    4.8    38.2    11.6
01/03/2009    0.0    5.4    38.4    13.1
02/03/2009    0.0    6.7    35.6    12.5
03/03/2009    0.0    5.6    37.6    11.6
04/03/2009    0.0    5.4    36.3    12.0
05/03/2009    0.0    4.5    37.1    12.5
06/03/2009    0.0    4.0    35.2    13.4
07/03/2009    0.0    6.6    35.6    11.2
08/03/2009    0.0    6.9    36.1    10.8
09/03/2009    0.0    6.2    35.7    9.4
10/03/2009    0.0    5.2    35.1    10.1
11/03/2009    0.0    6.0    35.2    10.9
12/03/2009    0.0    4.8    35.8    11.4
13/03/2009    0.0    6.0    35.0    11.9
14/03/2009    0.0    5.1    34.4    12.0
15/03/2009    0.0    5.0    34.5    13.6
16/03/2009    0.0    6.4    36.4    11.4
17/03/2009    0.0    4.8    35.4    12.0
18/03/2009    0.0    7.2    37.1    13.4
19/03/2009    0.0    5.5    38.0    13.0
20/03/2009    0.0    6.4    37.8    13.4
21/03/2009    0.0    6.6    35.5    13.0
22/03/2009    0.0    6.1    35.6    11.7
23/03/2009    0.0    5.9    34.3    12.4
24/03/2009    0.0    5.9    35.5    13.5
25/03/2009    0.0    6.5    35.0    15.2
26/03/2009    0.0    6.2    34.9    13.4
27/03/2009    0.0    6.6    34.3    12.0
28/03/2009    0.0    5.6    34.2    12.0
29/03/2009    0.0    6.4    33.7    12.3
30/03/2009    0.0    6.6    34.7    9.8
31/03/2009    0.0    6.2    36.5    10.2
01/04/2009    0.0    7.3    33.4    10.4
02/04/2009    0.0    6.4    34.8    10.8
03/04/2009    0.0    6.1    33.5    10.9
04/04/2009    0.0    6.9    35.8    11.0
05/04/2009    0.0    6.4    39.2    11.4
06/04/2009    0.0    7.2    38.0    13.2
07/04/2009    0.0    7.5    38.6    14.1
08/04/2009    0.0    7.5    38.5    11.5
09/04/2009    0.0    7.6    38.3    11.8
10/04/2009    0.0    6.7    38.9    11.1
11/04/2009    0.0    6.8    38.3    11.2
12/04/2009    0.0    7.5    38.2    11.6
13/04/2009    0.0    5.9    36.4    12.4
14/04/2009    0.0    7.3    36.8    12.3
15/04/2009    0.0    8.0    36.1    12.4
16/04/2009    0.0    7.7    36.7    12.4
17/04/2009    0.0    7.4    36.1    11.2
18/04/2009    0.0    7.4    35.2    11.9
19/04/2009    0.0    8.5    38.0    12.9
20/04/2009    0.0    7.8    38.4    13.0
21/04/2009    0.0    7.5    38.6    13.5
22/04/2009    0.0    7.4    38.6    13.0
23/04/2009    0.0    6.9    39.2    11.9
24/04/2009    0.0    7.5    39.8    11.6
25/04/2009    0.0    7.4    38.2    11.9
26/04/2009    0.0    6.8    38.3    13.3
27/04/2009    0.0    7.7    37.8    13.1
28/04/2009    0.0    7.7    40.1    14.2
29/04/2009    0.0    7.4    39.3    14.8
30/04/2009    0.0    8.1    38.8    13.1
01/05/2009    0.0    8.0    38.0    13.3
02/05/2009    0.0    3.3    39.6    13.3
03/05/2009    0.0    6.3    37.0    14.1
04/05/2009    0.0    7.5    37.5    14.4
05/05/2009    0.0    6.5    37.1    16.6
06/05/2009    0.0    6.7    37.0    15.2
07/05/2009    0.0    7.3    38.3    15.5
08/05/2009    0.0    6.0    35.9    18.1
09/05/2009    0.0    8.1    36.3    17.4
10/05/2009    0.0    7.6    37.7    15.7
11/05/2009    0.0    6.8    37.3    17.6
12/05/2009    0.0    7.7    37.5    17.6
13/05/2009    0.0    6.6    37.8    17.1
14/05/2009    0.5    6.5    38.3    16.5
15/05/2009    0.5    6.6    38.0    17.0
16/05/2009    0.0    5.9    36.8    17.2
17/05/2009    0.8    5.0    35.5    17.1
18/05/2009    12.9    5.3    34.6    19.5
19/05/2009    1.6    5.5    35.6    17.4
20/05/2009    1.2    4.7    34.3    17.3
21/05/2009    3.0    6.1    36.6    18.6
22/05/2009    1.3    6.2    35.8    15.9
23/05/2009    0.0    6.5    35.3    16.2
24/05/2009    0.0    7.6    37.1    15.3
25/05/2009    0.0    7.8    36.3    15.0
26/05/2009    0.0    7.0    36.3    13.7
27/05/2009    0.0    7.8    37.3    14.5
28/05/2009    0.0    8.5    37.8    13.8
29/05/2009    0.0    7.5    39.3    13.6
30/05/2009    0.0    7.8    39.1    13.4
31/05/2009    0.4    6.9    38.8    14.4
01/06/2009    0.0    7.1    39.5    16.7
02/06/2009    0.7    5.6    37.6    16.0
03/06/2009    4.4    6.4    38.7    16.4
04/06/2009    1.6    5.7    38.5    17.0
05/06/2009    0.0    6.6    39.3    17.8
06/06/2009    0.0    7.0    39.3    17.8
07/06/2009    0.0    7.2    39.0    17.9
08/06/2009    0.0    7.1    36.5    17.7
09/06/2009    0.0    7.1    39.5    17.7
10/06/2009    0.0    7.2    39.6    18.2
11/06/2009    0.0    6.6    40.1    18.2
12/06/2009    0.0    5.5    39.5    19.2
13/06/2009    0.0    6.1    38.1    21.1
14/06/2009    2.4    6.5    38.1    20.8
15/06/2009    0.0    5.6    35.9    21.1
16/06/2009    2.0    6.1    37.9    20.3
17/06/2009    0.3    5.4    35.6    19.2
18/06/2009    0.0    5.0    33.6    19.3
19/06/2009    0.0    4.5    33.2    19.7
20/06/2009    7.1    4.9    37.2    19.1
21/06/2009    3.2    3.6    32.8    20.3
22/06/2009    6.4    4.2    35.5    20.5
23/06/2009    0.2    4.2    32.8    20.4
24/06/2009    0.0    6.5    34.1    18.2
25/06/2009    0.0    4.7    36.2    17.1
26/06/2009    0.0    5.1    36.8    19.1
27/06/2009    20.0    1.6    31.0    18.9
28/06/2009    19.0    4.2    31.9    18.9
29/06/2009    13.6    4.2    33.7    19.5
30/06/2009    0.0    5.8    34.3    19.6
01/07/2009    13.6    5.1    34.5    19.2
02/07/2009    8.6    6.7    29.9    20.0
03/07/2009    5.3    4.1    31.8    18.9
04/07/2009    1.9    2.1    32.4    19.8
05/07/2009    0.0    5.0    34.7    18.1
06/07/2009    2.6    5.2    35.4    17.0
07/07/2009    0.2    4.1    34.4    18.3
08/07/2009    0.0    5.5    35.2    20.1
09/07/2009    1.0    5.5    35.7    20.4
10/07/2009    20.1    5.7    33.0    19.6
11/07/2009    3.7    4.7    30.6    17.3
12/07/2009    10.6    5.4    34.6    19.6
13/07/2009    6.7    5.0    32.8    17.1
14/07/2009    4.0    4.4    34.4    17.3
15/07/2009    1.3    3.5    33.2    18.9
16/07/2009    0.4    5.1    35.4    18.1
17/07/2009    2.0    4.5    34.6    19.2
18/07/2009    5.9    4.6    35.6    17.2
19/07/2009    0.0    5.3    37.1    17.3
20/07/2009    7.1    6.1    37.5    17.7
21/07/2009    0.3    3.8    35.0    17.9
22/07/2009    3.0    4.8    35.9    16.0
23/07/2009    3.8    2.8    34.7    17.7
24/07/2009    8.1    3.0    35.1    16.7
25/07/2009    0.9    4.3    34.3    18.3
26/07/2009    3.0    4.9    34.9    19.0
27/07/2009    0.0    4.9    35.0    19.2
28/07/2009    0.0    4.8    34.6    19.2
29/07/2009    0.0    4.3    34.1    19.5
30/07/2009    5.3    6.2    38.3    18.1
31/07/2009    7.0    5.2    36.9    19.5
01/08/2009    4.8    5.0    29.8    18.8
02/08/2009    0.2    6.0    35.3    17.9
03/08/2009    0.2    4.2    34.3    19.3
04/08/2009    0.0    5.2    35.2    19.5
05/08/2009    5.3    5.3    35.5    19.8
06/08/2009    0.0    4.8    35.9    20.2
07/08/2009    0.0    6.1    35.1    19.6
08/08/2009    17.5    4.5    33.4    16.0
09/08/2009    0.6    5.4    35.8    16.1
