CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14023
NOMBRE    : BOLAÑOS
ESTADO    : JALISCO
MUNICIPIO : BOLAÑOS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.825°
LONGITUD  : -103.783°
ALTITUD   : 963 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.5    28.6    3.4
02/01/2008    0.0    3.4    25.8    3.4
03/01/2008    0.0    3.0    21.1    0.5
04/01/2008    0.0    4.3    24.4    0.4
05/01/2008    0.0    2.8    25.3    1.1
06/01/2008    0.0    4.8    27.3    3.3
07/01/2008    0.0    3.5    27.0    4.0
08/01/2008    0.0    4.8    26.6    3.1
09/01/2008    0.0    6.7    26.6    3.5
10/01/2008    0.0    6.1    25.9    3.3
11/01/2008    0.0    2.5    25.5    4.7
12/01/2008    0.0    3.8    25.6    0.4
13/01/2008    0.0    3.3    26.4    -0.3
14/01/2008    0.0    3.1    26.4    0.4
15/01/2008    0.0    5.3    25.2    1.9
16/01/2008    0.0    3.1    24.8    1.6
17/01/2008    0.0    4.3    25.9    1.2
18/01/2008    0.0    3.9    25.3    1.9
19/01/2008    0.0    2.8    26.0    -0.2
20/01/2008    0.0    4.2    24.1    0.3
21/01/2008    0.0    5.9    24.9    3.5
22/01/2008    0.0    6.1    25.8    5.5
23/01/2008    0.0    3.1    27.9    6.1
24/01/2008    0.0    4.3    29.2    8.8
25/01/2008    0.0    8.2    29.1    8.2
26/01/2008    0.0    5.2    29.5    8.3
27/01/2008    0.0    4.6    28.7    7.4
28/01/2008    0.0    5.0    28.0    7.5
29/01/2008    0.0    4.2    27.9    6.5
30/01/2008    0.0    5.2    26.0    5.8
31/01/2008    0.0    4.8    26.1    3.5
01/02/2008    0.0    3.2    32.0    7.0
02/02/2008    0.0    2.8    33.0    6.5
03/02/2008    0.0    2.4    33.0    10.0
04/02/2008    0.0    2.8    33.0    9.5
05/02/2008    0.0    2.9    32.5    9.0
06/02/2008    0.0    3.2    31.0    9.0
07/02/2008    0.0    3.2    32.5    10.5
