CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14036
NOMBRE    : CUAUTITLAN
ESTADO    : JALISCO
MUNICIPIO : CUAUTITLAN DE GARCIA BARRAGAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.451°
LONGITUD  : -104.359°
ALTITUD   : 600 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.1    33.7    12.4
02/01/2008    0.0    5.4    31.2    12.0
03/01/2008    0.0    4.5    31.3    11.7
04/01/2008    0.0    5.2    32.0    9.7
05/01/2008    0.0    3.4    31.6    9.7
06/01/2008    0.0    3.3    32.7    8.9
07/01/2008    0.0    3.7    33.2    8.7
08/01/2008    0.0    4.0    33.0    7.7
09/01/2008    0.0    3.9    33.0    7.0
10/01/2008    0.0    3.7    33.5    7.1
11/01/2008    0.0    3.4    30.3    7.8
12/01/2008    0.0    4.2    31.5    6.1
13/01/2008    0.0    4.2    31.7    5.9
14/01/2008    0.0    3.7    31.5    6.6
15/01/2008    0.0    3.8    29.9    9.8
16/01/2008    0.0    3.9    30.4    8.0
17/01/2008    0.0    3.3    29.2    7.5
18/01/2008    0.0    3.6    30.0    7.7
19/01/2008    0.0    3.9    35.3    9.5
20/01/2008    0.0    3.7    31.3    10.2
21/01/2008    0.0    4.4    32.7    10.4
22/01/2008    0.0    3.0    32.6    11.4
23/01/2008    0.0    3.9    36.2    10.4
24/01/2008    0.0    3.5    33.7    10.9
25/01/2008    0.0    4.0    33.3    12.4
26/01/2008    0.0    4.5    34.8    12.2
27/01/2008    0.0    4.5    34.3    12.0
28/01/2008    0.0    4.0    34.2    11.8
29/01/2008    0.0    4.3    35.3    11.9
30/01/2008    0.0    4.5    32.5    11.9
31/01/2008    0.0    4.9    33.2    10.7
01/02/2008    0.0    3.8    36.5    16.5
02/02/2008    0.0    4.2    37.5    17.0
03/02/2008    0.0    4.1    37.0    16.0
04/02/2008    0.0    3.7    37.0    15.5
05/02/2008    0.0    4.0    36.5    15.0
06/02/2008    0.0    3.9    36.5    15.5
07/02/2008    0.0    3.1    37.0    15.0
08/02/2008    0.0    3.1    35.5    17.0
09/02/2008    0.0    4.2    36.0    17.5
10/02/2008    0.0    3.7    38.0    18.0
11/02/2008    0.0    3.8    38.0    17.5
12/02/2008    0.0    3.9    37.0    17.0
13/02/2008    0.0    4.5    37.5    16.0
14/02/2008    0.0    4.6    37.5    13.5
15/02/2008    0.0    4.5    38.5    13.5
16/02/2008    0.0    4.8    39.5    14.5
17/02/2008    0.0    4.2    38.5    14.0
18/02/2008    0.0    4.4    36.5    14.0
19/02/2008    0.0    4.2    36.0    13.5
20/02/2008    0.0    4.6    37.5    13.0
21/02/2008    0.0    4.1    38.5    14.5
22/02/2008    0.0    5.0    39.0    15.0
23/02/2008    0.0    4.8    40.0    15.5
24/02/2008    0.0    5.1    39.5    17.0
25/02/2008    0.0    5.1    39.5    15.5
26/02/2008    0.0    5.2    38.5    14.5
27/02/2008    0.0    4.9    36.5    14.0
28/02/2008    0.0    5.0    37.0    14.5
29/02/2008    0.0    5.2    39.0    15.5
01/03/2008    0.0    5.1    40.0    16.0
02/03/2008    0.0    4.7    38.5    14.5
03/03/2008    0.0    5.2    38.5    14.0
04/03/2008    0.0    4.1    36.5    18.5
05/03/2008    0.0    5.9    38.5    14.0
06/03/2008    0.0    6.2    38.5    13.0
07/03/2008    0.0    6.2    38.0    11.5
08/03/2008    0.0    5.9    37.0    10.0
09/03/2008    0.0    5.4    38.5    11.5
10/03/2008    0.0    5.5    39.5    14.5
11/03/2008    0.0    6.7    40.0    17.0
12/03/2008    0.0    6.6    41.0    16.0
13/03/2008    0.0    6.3    39.0    15.0
14/03/2008    0.0    6.1    39.5    12.5
15/03/2008    0.0    5.1    39.0    13.0
16/03/2008    0.0    5.4    39.5    13.5
17/03/2008    0.0    6.1    38.5    13.5
18/03/2008    0.0    6.4    37.5    16.0
19/03/2008    0.0    6.5    38.0    13.5
20/03/2008    0.0    5.9    38.5    16.5
21/03/2008    0.0    6.9    41.0    17.5
22/03/2008    0.0    7.0    41.5    17.0
23/03/2008    0.0    6.1    40.5    13.5
24/03/2008    0.0    5.3    40.0    14.5
25/03/2008    0.0    5.9    40.0    17.5
26/03/2008    0.0    7.1    41.0    17.0
27/03/2008    0.0    7.6    41.5    16.5
28/03/2008    0.0    7.4    41.0    15.5
29/03/2008    0.0    7.1    41.5    13.5
30/03/2008    0.0    6.6    40.5    15.0
31/03/2008    0.0    6.2    41.5    15.5
01/04/2008    0.0    6.4    40.5    17.0
02/04/2008    0.0    6.2    40.0    17.5
03/04/2008    0.0    5.9    41.0    19.0
04/04/2008    0.0    6.1    39.5    17.5
05/04/2008    0.0    5.6    38.0    20.5
06/04/2008    0.0    6.2    40.0    19.5
07/04/2008    0.0    6.6    40.5    21.5
08/04/2008    0.0    5.2    39.0    20.0
09/04/2008    0.0    6.8    40.0    21.5
10/04/2008    0.0    5.0    39.0    19.5
11/04/2008    0.0    6.1    36.0    22.0
