CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14066
NOMBRE    : GUADALAJARA (DGE)
ESTADO    : JALISCO
MUNICIPIO : GUADALAJARA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.676°
LONGITUD  : -103.346°
ALTITUD   : 1,550 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.4    26.8    7.4
02/01/2008    0.0    3.4    21.0    8.3
03/01/2008    0.0    3.1    21.6    3.5
04/01/2008    0.0    2.6    23.9    3.6
05/01/2008    0.0    2.9    25.3    4.5
06/01/2008    0.0    2.9    26.8    6.3
07/01/2008    0.0    4.1    27.6    6.5
08/01/2008    0.0    3.2    27.2    6.3
09/01/2008    0.0    4.0    27.1    6.3
10/01/2008    0.0    3.6    25.9    5.9
11/01/2008    0.0    3.4    26.2    6.6
12/01/2008    0.0    3.3    25.6    6.6
13/01/2008    0.0    3.4    26.1    4.0
14/01/2008    0.0    4.1    25.6    6.6
15/01/2008    0.0    3.7    25.3    9.7
16/01/2008    0.0    3.6    22.7    7.4
17/01/2008    0.0    2.9    22.6    5.7
18/01/2008    0.0    2.2    21.6    6.9
19/01/2008    0.0    3.1    24.8    6.4
20/01/2008    0.0    3.1    24.8    6.9
21/01/2008    0.0    3.4    26.8    7.6
22/01/2008    0.0    3.4    27.4    8.4
23/01/2008    0.0    4.4    28.5    9.3
24/01/2008    0.0    4.0    28.2    9.7
25/01/2008    0.0    3.6    29.1    10.3
26/01/2008    0.0    3.7    29.6    10.8
27/01/2008    0.0    4.1    29.2    10.8
28/01/2008    0.0    4.5    28.2    10.2
29/01/2008    0.0    4.3    26.3    9.4
30/01/2008    0.0    5.1    27.5    9.4
31/01/2008    0.0    4.5    27.8    8.8
01/02/2008    0.0    7.5    27.0    12.5
02/02/2008    0.0    7.4    27.0    11.0
03/02/2008    0.0    6.9    26.5    11.5
04/02/2008    0.0    7.4    26.0    11.5
05/02/2008    0.0    6.4    25.5    11.5
06/02/2008    0.0    8.8    26.0    11.0
07/02/2008    0.0    5.9    25.0    11.0
08/02/2008    0.0    5.8    25.5    12.0
09/02/2008    0.0    7.1    26.5    12.0
10/02/2008    0.0    7.3    26.0    12.0
11/02/2008    0.0    5.5    25.0    12.5
12/02/2008    0.0    7.8    24.5    12.5
13/02/2008    0.0    7.3    26.0    11.5
14/02/2008    0.0    7.3    26.5    12.0
15/02/2008    0.0    7.3    28.0    12.0
