CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14081
NOMBRE    : LA DESEMBOCADA
ESTADO    : JALISCO
MUNICIPIO : PUERTO VALLARTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.729°
LONGITUD  : -105.207°
ALTITUD   : 19 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    1.9    24.7    8.6
02/01/2008    0.0    2.7    27.6    10.0
03/01/2008    0.0    3.8    28.8    11.1
04/01/2008    0.0    3.4    26.7    10.2
05/01/2008    0.0    3.3    25.5    8.8
06/01/2008    0.0    1.9    28.1    8.8
07/01/2008    0.0    3.1    26.1    8.8
08/01/2008    0.0    3.6    24.9    7.6
09/01/2008    0.0    2.9    24.7    7.5
10/01/2008    0.0    2.4    25.2    7.8
11/01/2008    0.0    2.7    23.5    6.9
12/01/2008    0.0    3.5    24.8    6.4
13/01/2008    0.0    3.4    24.4    5.6
14/01/2008    0.0    2.0    24.8    6.1
15/01/2008    0.0    3.6    24.7    9.6
16/01/2008    0.0    3.4    23.7    9.4
17/01/2008    0.0    3.2    23.9    7.8
18/01/2008    0.0    2.2    22.7    7.2
19/01/2008    0.0    3.3    24.7    7.6
20/01/2008    0.0    3.2    24.9    7.4
21/01/2008    0.0    3.6    25.2    8.2
22/01/2008    0.0    1.7    26.1    9.8
23/01/2008    0.0    4.4    27.2    10.2
24/01/2008    0.0    1.7    27.0    10.4
25/01/2008    0.0    4.3    30.3    10.8
26/01/2008    0.0    3.2    26.5    12.0
27/01/2008    0.0    2.4    27.4    11.9
28/01/2008    0.0    3.5    27.0    11.0
29/01/2008    0.0    4.1    27.8    10.9
30/01/2008    0.0    3.5    26.6    11.0
31/01/2008    0.0    3.4    25.8    11.1
01/02/2008    0.0    3.6    29.5    12.0
02/02/2008    0.0    4.3    31.0    15.5
03/02/2008    0.0    4.4    34.5    15.0
04/02/2008    0.0    4.3    30.0    14.5
05/02/2008    0.0    4.7    29.5    15.0
06/02/2008    0.0    3.9    29.0    14.5
07/02/2008    0.0    4.0    31.0    15.0
08/02/2008    0.0    4.4    32.5    15.0
09/02/2008    0.0    5.0    33.0    15.5
10/02/2008    0.0    5.4    32.0    15.5
11/02/2008    0.0    3.3    32.0    15.0
12/02/2008    0.0    3.0    31.5    15.0
13/02/2008    0.0    5.1    32.5    14.5
14/02/2008    0.0    5.2    32.5    14.0
15/02/2008    0.0    3.7    33.0    13.0
16/02/2008    0.0    4.8    30.0    13.0
17/02/2008    0.0    4.9    29.0    13.0
18/02/2008    0.0    4.4    29.5    13.5
19/02/2008    0.0    4.7    28.5    14.0
20/02/2008    0.0    4.2    29.5    13.5
21/02/2008    0.0    4.0    28.0    13.0
22/02/2008    0.0    4.2    29.5    14.5
23/02/2008    0.0    7.0    31.5    11.5
24/02/2008    0.0    5.0    30.5    11.5
25/02/2008    0.0    4.4    30.5    14.0
26/02/2008    0.0    4.5    32.0    14.0
27/02/2008    0.0    4.6    29.5    14.0
28/02/2008    0.0    3.8    30.5    14.0
29/02/2008    0.0    5.2    33.0    16.5
01/03/2008    0.0    4.4    31.5    15.0
02/03/2008    0.0    4.7    30.5    15.0
03/03/2008    0.0    5.2    32.0    14.0
