CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14085
NOMBRE    : LA HUERTA
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.481°
LONGITUD  : -104.639°
ALTITUD   : 280 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.1    33.7    12.5
02/01/2008    0.0    5.5    31.1    12.1
03/01/2008    0.0    4.6    31.2    11.9
04/01/2008    0.0    5.2    32.1    9.8
05/01/2008    0.0    3.3    31.7    9.8
06/01/2008    0.0    3.3    32.6    8.9
07/01/2008    0.0    3.7    33.1    8.7
08/01/2008    0.0    4.0    32.9    7.8
09/01/2008    0.0    3.9    32.9    7.1
10/01/2008    0.0    3.8    33.4    7.2
11/01/2008    0.0    3.4    30.1    7.8
12/01/2008    0.0    4.2    31.5    6.2
13/01/2008    0.0    4.2    31.7    6.0
14/01/2008    0.0    3.7    31.4    6.7
15/01/2008    0.0    3.8    29.8    9.9
16/01/2008    0.0    3.9    30.3    8.1
17/01/2008    0.0    3.4    29.1    7.5
18/01/2008    0.0    3.6    29.9    7.7
19/01/2008    0.0    4.0    35.5    9.6
20/01/2008    0.0    3.7    31.3    10.2
21/01/2008    0.0    4.5    32.6    10.4
22/01/2008    0.0    3.0    32.5    11.5
23/01/2008    0.0    4.0    36.1    10.4
24/01/2008    0.0    3.5    33.6    11.0
25/01/2008    0.0    4.0    33.2    12.4
26/01/2008    0.0    4.5    34.8    12.3
27/01/2008    0.0    4.4    34.2    12.0
28/01/2008    0.0    4.1    34.1    11.9
29/01/2008    0.0    4.3    35.2    12.0
30/01/2008    0.0    4.5    32.4    11.9
31/01/2008    0.0    4.9    33.1    10.8
01/02/2008    0.0    4.0    33.1    15.2
02/02/2008    0.0    4.5    34.6    15.4
03/02/2008    0.0    4.5    33.9    14.3
04/02/2008    0.0    4.2    33.3    13.9
05/02/2008    0.0    4.6    32.6    13.4
06/02/2008    0.0    4.1    32.4    13.1
07/02/2008    0.0    4.5    33.0    13.6
08/02/2008    0.0    4.2    32.3    14.4
09/02/2008    0.0    4.2    33.1    15.0
10/02/2008    0.0    3.8    33.8    14.9
11/02/2008    0.0    4.4    34.3    15.0
12/02/2008    0.0    3.9    33.5    14.4
13/02/2008    0.0    4.4    34.3    13.5
14/02/2008    0.0    4.5    34.2    11.5
15/02/2008    0.0    4.7    35.4    11.8
16/02/2008    0.0    5.2    35.0    12.0
17/02/2008    0.0    4.6    34.1    11.7
18/02/2008    0.0    4.3    31.9    12.7
19/02/2008    0.0    4.1    32.0    12.8
20/02/2008    0.0    4.4    32.5    12.1
21/02/2008    0.0    4.5    32.9    12.4
22/02/2008    0.0    4.8    33.8    12.4
23/02/2008    0.0    4.8    34.2    11.9
24/02/2008    0.0    4.9    34.8    12.9
25/02/2008    0.0    5.4    34.9    13.3
26/02/2008    0.0    4.9    34.3    12.5
27/02/2008    0.0    5.2    31.8    12.4
28/02/2008    0.0    5.1    33.4    12.3
29/02/2008    0.0    5.4    34.3    13.2
01/03/2008    0.0    5.5    35.3    13.2
02/03/2008    0.0    5.1    34.2    12.0
03/03/2008    0.0    5.0    34.0    12.4
04/03/2008    0.0    5.0    33.6    13.6
05/03/2008    0.0    5.8    34.3    12.1
06/03/2008    0.0    5.9    34.1    10.9
07/03/2008    0.0    6.3    34.6    9.9
08/03/2008    0.0    6.4    33.1    9.2
09/03/2008    0.0    5.7    34.3    9.7
10/03/2008    0.0    6.6    36.2    11.3
11/03/2008    0.0    6.9    36.2    14.0
12/03/2008    0.0    7.0    35.3    12.9
13/03/2008    0.0    6.7    34.8    11.6
14/03/2008    0.0    6.1    35.1    10.6
15/03/2008    0.0    5.9    35.2    11.1
16/03/2008    0.0    5.9    33.9    11.6
17/03/2008    0.0    5.7    34.9    11.8
18/03/2008    0.0    6.1    33.3    12.3
19/03/2008    0.0    6.7    33.5    11.4
20/03/2008    0.0    6.8    33.0    11.7
21/03/2008    0.0    7.6    36.5    14.1
22/03/2008    0.0    7.0    37.3    14.3
23/03/2008    0.0    6.7    36.5    12.4
24/03/2008    0.0    6.3    36.0    12.1
25/03/2008    0.0    6.0    35.9    13.1
26/03/2008    0.0    7.2    36.9    14.2
27/03/2008    0.0    7.7    37.6    13.8
28/03/2008    0.0    7.9    37.0    12.3
29/03/2008    0.0    8.1    36.4    11.0
30/03/2008    0.0    6.9    36.0    11.4
31/03/2008    0.0    6.9    36.2    12.6
01/04/2008    0.0    6.0    35.0    14.1
02/04/2008    0.0    5.9    35.3    14.5
03/04/2008    0.0    5.9    35.3    15.6
04/04/2008    0.0    5.9    35.6    15.5
05/04/2008    0.0    6.2    34.5    16.1
06/04/2008    0.0    6.0    35.7    17.9
07/04/2008    0.0    6.2    35.7    18.4
08/04/2008    0.0    5.6    34.6    17.1
09/04/2008    0.0    6.1    35.6    16.8
10/04/2008    0.0    6.8    34.7    16.6
11/04/2008    0.0    6.3    35.3    17.2
12/04/2008    0.0    6.3    35.7    16.0
13/04/2008    0.0    6.0    35.5    16.8
14/04/2008    0.0    7.0    36.1    18.3
15/04/2008    0.0    7.1    37.6    17.6
16/04/2008    0.0    7.5    37.0    17.1
17/04/2008    0.0    6.5    35.0    14.6
18/04/2008    0.0    6.7    36.4    14.6
19/04/2008    0.0    6.0    35.9    15.5
20/04/2008    0.0    6.8    36.6    15.9
21/04/2008    0.0    8.1    37.4    16.0
22/04/2008    0.0    7.5    35.9    16.2
23/04/2008    0.0    6.7    36.3    17.4
24/04/2008    0.0    7.3    36.2    17.8
25/04/2008    0.0    6.7    36.8    17.1
26/04/2008    0.0    5.7    35.2    17.4
27/04/2008    0.0    6.2    35.9    18.1
28/04/2008    0.0    6.6    35.8    18.4
29/04/2008    0.0    6.9    35.5    16.9
30/04/2008    2.1    7.6    36.3    16.5
01/05/2008    0.0    7.7    36.6    15.6
02/05/2008    0.0    7.8    36.3    16.1
03/05/2008    0.0    6.7    36.5    14.0
04/05/2008    0.0    7.0    35.7    16.1
05/05/2008    0.0    6.6    36.4    16.5
06/05/2008    0.0    6.5    36.5    17.9
07/05/2008    0.0    6.1    36.1    19.8
08/05/2008    0.0    7.2    37.0    16.4
09/05/2008    0.0    6.2    36.4    16.9
10/05/2008    0.0    6.1    36.1    19.2
11/05/2008    0.0    6.1    36.1    19.0
12/05/2008    0.0    6.4    36.2    18.7
13/05/2008    0.0    6.8    37.1    19.0
14/05/2008    0.0    8.5    37.5    19.9
15/05/2008    0.0    7.2    37.1    19.8
16/05/2008    0.0    7.1    36.8    20.0
