CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14129
NOMBRE    : SAN MARCOS
ESTADO    : JALISCO
MUNICIPIO : TONILA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.445°
LONGITUD  : -103.504°
ALTITUD   : 1,120 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.2    7.4    30.0    10.2
02/01/2008    0.0    7.8    25.6    11.0
03/01/2008    0.0    3.4    25.0    8.1
04/01/2008    0.0    3.5    27.3    5.8
05/01/2008    0.0    4.4    29.0    6.4
06/01/2008    0.0    2.8    28.0    10.5
07/01/2008    0.0    3.8    29.4    6.2
08/01/2008    0.0    4.2    29.5    4.8
09/01/2008    0.0    4.2    28.6    4.7
10/01/2008    0.0    3.5    29.6    5.2
11/01/2008    0.0    3.8    27.9    6.1
12/01/2008    0.0    4.8    28.1    3.6
13/01/2008    0.0    3.3    30.4    6.7
14/01/2008    0.0    3.5    27.6    6.9
15/01/2008    0.0    3.8    26.0    7.8
16/01/2008    0.0    3.5    26.4    5.2
17/01/2008    0.0    3.1    25.8    5.6
18/01/2008    0.0    3.1    27.6    6.3
19/01/2008    0.0    5.4    30.7    8.9
20/01/2008    0.0    5.8    27.9    7.2
21/01/2008    0.0    3.7    29.3    6.9
22/01/2008    0.0    3.6    30.1    7.3
23/01/2008    0.0    4.7    32.1    8.9
24/01/2008    0.0    4.4    30.7    9.1
25/01/2008    0.0    3.9    30.1    9.7
26/01/2008    0.0    4.6    29.3    10.6
27/01/2008    0.0    4.9    31.0    10.0
28/01/2008    0.0    4.4    30.3    9.1
29/01/2008    0.0    4.6    31.0    9.8
30/01/2008    0.0    4.7    29.6    9.7
31/01/2008    0.0    4.9    29.7    7.9
01/02/2008    0.0    4.3    33.1    6.8
02/02/2008    0.0    4.7    34.0    6.7
03/02/2008    0.0    4.5    34.1    6.7
04/02/2008    0.0    5.0    34.1    6.7
05/02/2008    0.0    5.0    32.2    6.6
06/02/2008    0.0    5.2    33.1    5.7
07/02/2008    0.0    4.5    33.1    5.7
08/02/2008    0.0    4.6    34.1    7.1
09/02/2008    0.0    4.1    35.1    7.7
10/02/2008    0.0    3.9    34.8    8.7
11/02/2008    0.0    3.9    34.8    7.9
12/02/2008    0.0    3.8    34.0    6.7
13/02/2008    0.0    5.1    35.0    6.7
14/02/2008    0.0    5.4    33.1    4.8
15/02/2008    0.0    5.4    35.0    5.6
16/02/2008    0.0    5.5    35.2    5.7
17/02/2008    0.0    5.9    35.1    5.7
18/02/2008    0.0    5.8    31.1    5.5
19/02/2008    0.0    5.3    34.1    4.8
20/02/2008    0.0    5.2    35.1    4.7
21/02/2008    0.0    4.7    35.1    5.7
22/02/2008    0.0    4.7    36.2    4.9
23/02/2008    0.0    6.0    38.2    5.9
24/02/2008    0.0    5.3    37.8    9.0
25/02/2008    0.0    6.3    35.2    9.0
26/02/2008    0.0    5.9    35.3    7.6
27/02/2008    0.0    5.8    35.9    9.3
28/02/2008    0.0    6.2    34.1    8.6
29/02/2008    0.0    5.4    35.1    6.8
01/03/2008    0.0    5.6    37.1    8.8
02/03/2008    0.0    5.2    35.1    8.5
03/03/2008    0.0    5.3    35.1    8.5
04/03/2008    0.0    4.3    33.1    9.8
05/03/2008    0.0    6.2    35.3    7.6
06/03/2008    0.0    6.4    35.2    5.7
07/03/2008    0.0    5.2    34.2    4.8
08/03/2008    0.0    6.8    33.0    3.8
09/03/2008    0.0    6.3    33.1    4.7
10/03/2008    0.0    5.8    34.9    6.6
11/03/2008    0.0    5.7    37.1    7.7
12/03/2008    0.0    6.0    35.4    8.6
13/03/2008    0.0    6.8    36.1    8.6
14/03/2008    0.0    6.5    36.2    6.6
15/03/2008    0.0    6.7    36.3    5.7
16/03/2008    0.0    6.7    35.3    6.7
17/03/2008    0.0    6.4    34.1    6.7
18/03/2008    0.0    7.9    32.2    5.9
19/03/2008    0.0    5.9    36.2    6.6
20/03/2008    0.0    6.2    37.1    8.7
21/03/2008    0.0    6.5    38.2    9.6
22/03/2008    0.0    7.3    38.2    10.6
23/03/2008    0.0    6.1    36.4    9.6
24/03/2008    0.0    5.9    37.2    8.7
25/03/2008    0.0    5.5    36.3    9.7
26/03/2008    0.0    6.5    38.2    11.5
27/03/2008    0.0    6.5    38.3    11.5
28/03/2008    0.0    7.3    37.3    11.5
29/03/2008    0.0    7.0    36.4    9.6
30/03/2008    0.0    6.3    37.8    9.6
31/03/2008    0.0    6.8    39.1    8.6
01/04/2008    0.0    7.4    38.4    9.7
02/04/2008    0.0    7.1    39.4    9.8
03/04/2008    0.0    6.7    40.4    10.7
04/04/2008    0.0    6.6    37.5    9.8
05/04/2008    0.0    6.7    35.2    11.8
06/04/2008    0.0    6.7    36.1    11.8
07/04/2008    0.0    6.7    37.5    9.8
08/04/2008    0.0    6.9    36.4    10.8
09/04/2008    0.0    7.3    37.3    7.8
10/04/2008    0.0    6.4    37.4    8.7
11/04/2008    0.0    6.3    39.3    9.9
12/04/2008    0.0    6.4    39.4    11.0
13/04/2008    0.0    5.5    38.6    14.0
14/04/2008    0.0    8.7    37.7    15.8
15/04/2008    0.0    6.1    38.2    14.6
16/04/2008    0.0    6.9    38.5    12.9
17/04/2008    0.0    7.3    36.6    9.7
18/04/2008    0.0    6.2    41.3    9.6
19/04/2008    0.0    7.8    40.3    10.8
20/04/2008    0.0    7.2    39.4    10.8
21/04/2008    0.0    7.2    40.5    11.7
22/04/2008    0.0    7.1    40.6    12.7
23/04/2008    0.0    7.0    39.4    13.9
24/04/2008    0.0    7.4    38.3    13.7
25/04/2008    0.0    7.0    44.0    9.9
26/04/2008    0.0    6.5    41.2    10.9
27/04/2008    0.0    6.5    40.3    11.9
28/04/2008    0.0    5.9    40.3    13.7
29/04/2008    0.0    7.7    38.3    13.8
30/04/2008    0.0    7.2    37.3    11.9
01/05/2008    0.0    6.9    38.4    10.6
02/05/2008    0.0    6.8    38.4    9.9
03/05/2008    0.0    6.8    41.1    10.9
04/05/2008    0.0    6.4    40.2    12.8
05/05/2008    0.0    7.1    40.2    13.9
06/05/2008    0.0    6.4    39.1    15.7
07/05/2008    0.0    4.9    37.2    14.8
08/05/2008    0.0    7.1    37.5    13.7
09/05/2008    0.0    6.2    38.4    13.8
10/05/2008    0.0    6.7    38.4    14.9
11/05/2008    0.0    6.5    39.4    15.9
12/05/2008    0.0    6.4    38.6    16.9
13/05/2008    0.0    7.2    38.3    13.8
14/05/2008    0.0    7.1    40.0    12.9
15/05/2008    0.0    6.6    39.2    14.1
16/05/2008    0.0    5.9    39.1    14.7
17/05/2008    0.0    5.9    38.2    14.5
18/05/2008    0.0    5.9    39.0    12.6
19/05/2008    0.0    5.8    37.3    11.7
20/05/2008    0.0    5.5    37.4    12.8
21/05/2008    0.0    6.1    36.4    13.8
22/05/2008    0.0    6.4    34.2    13.7
23/05/2008    0.0    6.7    36.5    9.7
24/05/2008    0.0    5.4    39.3    10.8
25/05/2008    8.0    5.5    38.4    13.0
26/05/2008    0.0    7.3    39.4    14.8
27/05/2008    0.0    4.9    36.5    14.9
