CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14155
NOMBRE    : TUXCACUESCO
ESTADO    : JALISCO
MUNICIPIO : TUXCACUESCO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.697°
LONGITUD  : -103.983°
ALTITUD   : 720 msnm
 
EMISIÓN   : 14/08/2019 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.0    35.5    12.8
02/01/2008    0.0    4.2    32.0    12.8
03/01/2008    0.0    3.9    32.7    9.3
04/01/2008    0.0    4.6    32.8    7.4
05/01/2008    0.0    2.3    29.5    9.0
06/01/2008    0.0    3.1    33.8    8.9
07/01/2008    0.0    4.6    34.3    8.9
08/01/2008    0.0    3.6    33.9    7.4
09/01/2008    0.0    4.2    33.9    6.8
10/01/2008    0.0    3.5    34.1    7.7
11/01/2008    0.0    3.7    32.7    8.7
12/01/2008    0.0    3.7    32.3    5.1
13/01/2008    0.0    3.9    31.9    5.5
14/01/2008    0.0    3.6    32.4    6.4
15/01/2008    0.0    4.6    31.2    11.0
16/01/2008    0.0    3.4    31.5    7.5
17/01/2008    0.0    2.8    30.0    7.5
18/01/2008    0.0    2.9    30.9    7.9
19/01/2008    0.0    3.7    33.6    8.6
20/01/2008    0.0    3.0    31.9    9.6
21/01/2008    0.0    3.3    33.8    10.0
22/01/2008    0.0    3.1    33.9    10.9
23/01/2008    0.0    3.8    37.3    10.0
24/01/2008    0.0    4.4    34.8    10.5
25/01/2008    0.0    3.3    34.7    12.4
26/01/2008    0.0    4.6    35.4    12.0
27/01/2008    0.0    4.3    35.7    12.4
28/01/2008    0.0    3.7    35.3    11.8
29/01/2008    0.0    4.0    36.3    11.9
30/01/2008    0.0    4.2    34.2    11.9
31/01/2008    0.0    4.2    34.3    10.4
01/02/2008    0.0    3.6    33.5    10.3
02/02/2008    0.0    4.1    34.1    9.5
03/02/2008    0.0    5.3    34.1    10.0
04/02/2008    0.0    4.4    34.5    9.4
05/02/2008    0.0    4.2    33.5    9.5
06/02/2008    0.0    3.9    33.5    9.5
07/02/2008    0.0    5.0    33.5    10.0
08/02/2008    0.0    4.3    33.1    9.7
09/02/2008    0.0    3.9    34.5    11.4
10/02/2008    0.0    4.1    35.7    11.4
11/02/2008    0.0    4.5    34.5    11.5
12/02/2008    0.0    4.6    32.8    11.3
13/02/2008    0.0    4.7    34.6    9.5
14/02/2008    0.0    4.4    34.4    8.5
15/02/2008    0.0    6.4    35.4    7.9
16/02/2008    0.0    5.5    36.7    7.5
17/02/2008    0.0    4.9    36.4    8.5
18/02/2008    0.0    4.9    33.0    9.0
19/02/2008    0.0    4.8    34.4    7.9
20/02/2008    0.0    4.9    35.0    7.9
21/02/2008    0.0    4.6    35.1    8.1
22/02/2008    0.0    4.4    37.3    8.9
23/02/2008    0.0    6.0    37.8    10.0
24/02/2008    0.0    5.8    38.6    10.6
25/02/2008    0.0    5.7    35.9    10.8
26/02/2008    0.0    6.0    36.2    8.5
27/02/2008    0.0    5.7    36.7    8.0
28/02/2008    0.0    5.7    33.9    8.6
29/02/2008    0.0    5.5    35.1    9.4
01/03/2008    0.0    6.6    37.0    9.7
02/03/2008    0.0    5.3    35.0    10.6
03/03/2008    0.0    5.3    34.4    8.7
04/03/2008    0.0    3.0    31.7    8.7
05/03/2008    0.0    6.1    35.9    8.2
06/03/2008    0.0    7.0    34.3    7.2
07/03/2008    0.0    5.6    34.7    6.2
08/03/2008    0.0    5.7    33.5    5.6
09/03/2008    0.0    7.1    34.6    7.0
10/03/2008    0.0    5.2    34.8    6.5
11/03/2008    0.0    5.5    35.8    7.6
12/03/2008    0.0    6.5    35.4    7.7
13/03/2008    0.0    7.4    36.8    7.9
14/03/2008    0.0    6.8    36.3    8.7
15/03/2008    0.0    5.7    36.7    8.4
16/03/2008    0.0    6.7    36.0    8.5
17/03/2008    0.0    5.7    36.4    9.4
18/03/2008    0.0    7.5    34.3    9.1
19/03/2008    0.0    6.3    35.6    7.2
20/03/2008    0.0    5.9    36.3    9.8
21/03/2008    0.0    6.3    37.1    10.7
22/03/2008    0.0    6.4    38.3    11.0
23/03/2008    0.0    6.1    37.8    10.5
24/03/2008    0.0    6.9    36.8    11.0
25/03/2008    0.0    4.9    36.5    10.8
26/03/2008    0.0    7.1    37.1    12.9
27/03/2008    0.0    6.6    38.1    12.2
28/03/2008    0.0    8.4    38.2    12.0
29/03/2008    0.0    6.7    37.8    9.8
30/03/2008    0.0    7.9    36.8    10.5
31/03/2008    0.0    6.3    39.8    10.1
01/04/2008    0.0    8.1    38.7    10.6
02/04/2008    0.0    7.2    39.3    11.6
03/04/2008    0.0    7.2    40.1    13.0
