CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14197
NOMBRE    : PRESA TRIGOMIL
ESTADO    : JALISCO
MUNICIPIO : UNION DE TULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.940°
LONGITUD  : -104.260°
ALTITUD   : 1,004 msnm
 
EMISION   : 06/04/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.3    34.5    10.5
02/01/2008    0.0    6.2    30.5    11.8
03/01/2008    0.0    5.0    30.0    10.6
04/01/2008    0.0    4.7    33.4    7.5
05/01/2008    0.0    3.7    31.5    8.2
06/01/2008    0.0    3.8    33.8    7.7
07/01/2008    0.0    4.7    30.6    5.8
08/01/2008    0.0    4.5    31.1    6.2
09/01/2008    0.0    4.0    30.6    6.6
10/01/2008    0.0    3.8    29.6    6.6
11/01/2008    0.0    3.6    27.6    6.1
12/01/2008    0.0    4.1    30.6    6.5
13/01/2008    0.0    4.0    30.5    5.2
14/01/2008    0.0    3.4    26.0    7.3
15/01/2008    0.0    4.5    26.1    9.0
16/01/2008    0.0    3.9    26.3    7.1
17/01/2008    0.0    4.0    24.4    5.2
18/01/2008    0.0    3.6    26.2    6.1
19/01/2008    0.0    3.7    31.1    8.2
20/01/2008    0.0    3.8    26.6    8.5
21/01/2008    0.0    4.3    29.7    9.0
22/01/2008    0.0    3.8    25.9    9.8
23/01/2008    0.0    4.9    32.7    9.0
24/01/2008    0.0    4.0    31.8    9.4
25/01/2008    0.0    4.1    31.5    10.9
26/01/2008    0.0    4.1    32.2    11.5
27/01/2008    0.0    5.1    31.8    10.7
28/01/2008    0.0    4.1    32.0    10.6
29/01/2008    0.0    4.6    32.3    9.8
30/01/2008    0.0    5.2    29.8    9.7
31/01/2008    0.0    4.7    31.3    10.1
01/02/2008    0.0    5.0    28.0    8.0
02/02/2008    0.0    4.3    30.0    9.0
03/02/2008    0.0    6.3    29.0    8.0
04/02/2008    0.0    5.1    29.0    7.5
05/02/2008    0.0    5.0    28.0    7.5
06/02/2008    0.0    5.9    28.0    7.0
07/02/2008    0.0    5.4    28.0    7.0
08/02/2008    0.0    4.2    30.0    8.0
09/02/2008    0.0    5.3    28.5    9.0
