CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14331
NOMBRE    : EL ZAPOTE
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.043°
LONGITUD  : -103.329°
ALTITUD   : 1,458 msnm
 
EMISION   : 06/04/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.5    27.8    0.9
02/01/2008    0.0    5.6    22.3    -0.4
03/01/2008    0.0    4.0    23.3    2.8
04/01/2008    0.0    3.7    26.7    2.3
05/01/2008    0.0    3.0    27.3    2.2
06/01/2008    0.0    4.1    26.5    2.9
07/01/2008    0.0    3.9    26.3    2.7
08/01/2008    0.0    3.8    26.0    1.1
09/01/2008    0.0    3.6    26.6    1.7
10/01/2008    0.0    3.8    25.5    1.9
11/01/2008    0.0    3.5    25.4    3.2
12/01/2008    0.0    3.6    26.4    -0.4
13/01/2008    0.0    4.0    25.1    -0.3
14/01/2008    0.0    4.0    24.7    4.7
15/01/2008    0.0    4.5    24.3    5.8
16/01/2008    0.0    3.9    24.3    4.2
17/01/2008    0.0    3.7    24.4    0.8
18/01/2008    0.0    3.2    22.3    0.0
19/01/2008    0.0    3.4    24.6    0.7
20/01/2008    0.0    3.5    24.3    3.2
21/01/2008    0.0    3.5    25.6    0.8
22/01/2008    0.0    3.7    26.3    4.2
23/01/2008    0.0    4.3    29.3    5.4
24/01/2008    0.0    4.2    28.8    7.0
25/01/2008    0.0    3.9    28.9    4.9
26/01/2008    0.0    4.5    28.8    6.8
27/01/2008    0.0    5.1    29.9    8.6
28/01/2008    0.0    4.5    28.0    5.9
29/01/2008    0.0    3.9    26.3    4.7
30/01/2008    0.0    4.2    25.9    3.9
31/01/2008    0.0    5.8    25.9    2.7
01/02/2008    0.0    5.4    26.0    2.7
02/02/2008    0.0    4.7    25.0    4.5
03/02/2008    0.0    5.6    25.3    3.8
04/02/2008    0.0    5.1    24.6    3.4
05/02/2008    0.0    6.0    24.4    4.2
06/02/2008    0.0    6.3    24.5    2.4
07/02/2008    0.0    3.7    25.5    3.2
08/02/2008    0.0    5.8    26.1    4.5
09/02/2008    0.0    4.6    27.0    5.2
10/02/2008    0.0    4.9    25.6    5.8
11/02/2008    0.0    3.7    24.5    5.8
12/02/2008    0.0    3.4    24.6    6.3
13/02/2008    0.0    5.5    25.4    3.8
14/02/2008    0.0    6.8    24.6    4.2
15/02/2008    0.0    7.1    26.4    3.4
16/02/2008    0.0    5.3    27.1    4.4
17/02/2008    0.0    8.4    27.4    3.6
18/02/2008    0.0    6.7    28.3    3.4
19/02/2008    0.0    6.7    27.4    4.3
20/02/2008    0.0    6.7    26.4    3.4
21/02/2008    0.0    6.5    26.2    5.1
22/02/2008    0.0    7.0    28.4    3.3
23/02/2008    0.0    5.4    31.1    4.0
24/02/2008    0.0    4.6    32.2    6.0
25/02/2008    0.0    6.3    31.4    7.7
26/02/2008    0.0    7.9    31.4    7.0
27/02/2008    0.0    8.8    27.2    7.8
28/02/2008    0.0    6.5    26.3    7.7
29/02/2008    0.0    5.5    27.0    6.4
01/03/2008    0.0    6.4    34.0    1.5
02/03/2008    0.0    6.0    33.0    1.0
03/03/2008    0.0    8.7    34.0    1.0
04/03/2008    0.0    8.0    31.5    -1.0
05/03/2008    0.0    9.0    32.0    0.0
06/03/2008    0.0    8.1    33.0    1.0
07/03/2008    0.0    9.5    34.0    1.5
08/03/2008    0.0    5.4    33.0    2.0
09/03/2008    0.0    6.1    32.0    2.0
10/03/2008    0.0    8.4    33.0    2.0
11/03/2008    0.0    6.4    34.0    2.0
12/03/2008    0.0    6.3    31.5    2.0
13/03/2008    0.0    9.0    33.0    2.0
14/03/2008    0.0    7.0    34.0    2.0
15/03/2008    0.0    6.9    32.5    1.0
16/03/2008    0.0    8.3    33.0    1.5
17/03/2008    0.0    7.4    33.0    2.0
18/03/2008    0.0    10.2    33.0    2.0
19/03/2008    0.0    10.8    33.0    1.0
20/03/2008    0.0    8.4    33.0    1.0
21/03/2008    0.0    6.2    34.0    2.0
22/03/2008    0.0    7.6    33.0    2.0
23/03/2008    0.0    7.9    33.0    2.5
24/03/2008    0.0    9.6    34.0    2.0
25/03/2008    0.0    6.3    34.0    5.0
26/03/2008    0.0    7.4    33.0    2.0
27/03/2008    0.0    7.9    34.0    3.5
