CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14336
NOMBRE    : EL GUAYABO
ESTADO    : JALISCO
MUNICIPIO : PIHUAMO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.265°
LONGITUD  : -103.291°
ALTITUD   : 1,460 msnm
 
EMISION   : 06/04/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.6    5.0    36.5    17.0
02/01/2008    0.0    4.8    33.5    15.5
03/01/2008    0.0    3.8    34.0    14.0
04/01/2008    0.0    3.9    36.0    10.5
05/01/2008    0.0    5.1    32.5    10.5
06/01/2008    0.0    2.0    34.0    11.0
07/01/2008    0.0    4.1    33.5    11.5
08/01/2008    0.0    5.0    34.0    10.0
09/01/2008    0.0    5.0    32.0    10.0
10/01/2008    0.0    4.2    34.5    10.0
11/01/2008    0.0    5.0    35.0    10.5
12/01/2008    0.0    5.2    34.5    8.5
13/01/2008    0.0    3.6    33.5    8.5
14/01/2008    0.0    3.9    34.5    9.0
15/01/2008    0.0    5.8    31.5    8.0
16/01/2008    0.0    4.0    32.5    7.0
17/01/2008    0.0    3.1    31.5    7.5
18/01/2008    0.0    3.0    36.0    9.0
19/01/2008    0.0    6.0    37.5    10.0
20/01/2008    0.0    6.2    30.5    10.0
21/01/2008    0.0    3.1    35.0    10.0
22/01/2008    0.0    5.8    36.0    11.0
23/01/2008    0.0    6.5    35.5    13.5
24/01/2008    0.0    6.2    34.0    14.0
25/01/2008    0.0    4.5    35.0    14.0
26/01/2008    0.0    5.1    26.0    13.5
27/01/2008    0.0    6.7    36.0    13.0
28/01/2008    0.0    6.6    33.0    13.0
29/01/2008    0.0    4.6    35.0    13.5
30/01/2008    0.0    4.8    33.5    13.5
31/01/2008    0.0    5.0    34.0    13.5
01/02/2008    0.0    5.0    33.0    11.0
02/02/2008    0.0    4.9    34.0    12.0
03/02/2008    0.0    4.9    34.5    12.0
04/02/2008    0.0    5.1    35.0    12.0
05/02/2008    0.0    5.2    35.5    11.0
06/02/2008    0.0    5.2    35.0    11.5
07/02/2008    0.0    5.1    34.5    12.0
08/02/2008    0.0    6.0    33.5    11.0
09/02/2008    0.0    4.0    23.0    11.0
10/02/2008    0.0    4.4    34.5    14.0
11/02/2008    0.0    3.4    32.5    10.0
12/02/2008    0.0    3.1    34.0    9.5
13/02/2008    0.0    4.1    35.0    10.0
14/02/2008    0.0    4.2    33.5    8.5
15/02/2008    0.0    3.2    26.0    9.0
16/02/2008    0.0    5.5    35.5    9.0
17/02/2008    0.0    5.6    35.0    9.5
18/02/2008    0.0    4.7    35.5    9.5
19/02/2008    0.0    4.5    34.0    9.0
20/02/2008    0.0    4.2    34.0    9.5
21/02/2008    0.0    4.1    33.5    13.0
22/02/2008    0.0    4.0    34.0    10.5
23/02/2008    0.0    3.9    35.0    11.0
24/02/2008    0.0    4.9    35.5    10.0
25/02/2008    0.0    5.1    35.0    10.5
26/02/2008    0.0    4.4    36.0    11.0
27/02/2008    0.0    5.5    35.5    11.5
28/02/2008    0.0    5.2    35.0    13.0
29/02/2008    0.0    5.1    35.0    13.5
01/03/2008    0.0    5.1    35.0    13.0
02/03/2008    0.0    5.1    35.5    13.0
03/03/2008    0.0    5.1    33.5    12.0
04/03/2008    0.0    4.8    34.0    10.5
05/03/2008    0.0    4.8    35.0    11.0
06/03/2008    0.0    4.9    34.5    10.0
07/03/2008    0.0    4.7    35.5    9.5
08/03/2008    0.0    4.9    33.5    10.0
09/03/2008    0.0    4.3    34.0    10.5
10/03/2008    0.0    4.2    33.0    10.0
11/03/2008    0.0    4.1    34.0    9.0
12/03/2008    0.0    4.2    37.0    10.0
13/03/2008    0.0    6.3    34.5    10.0
14/03/2008    0.0    4.1    35.0    9.5
15/03/2008    0.0    5.2    35.0    8.0
16/03/2008    0.0    5.7    35.0    9.0
17/03/2008    0.0    5.3    34.0    9.5
18/03/2008    0.0    5.6    33.5    9.5
19/03/2008    0.0    5.3    34.0    10.0
20/03/2008    0.0    5.5    35.0    10.0
21/03/2008    0.0    5.6    36.0    10.5
22/03/2008    0.0    6.0    35.0    11.0
23/03/2008    0.0    5.4    34.0    11.5
24/03/2008    0.0    4.1    35.5    10.0
25/03/2008    0.0    5.6    36.0    9.5
26/03/2008    0.0    5.9    35.5    9.0
27/03/2008    0.0    5.2    36.0    10.0
28/03/2008    0.0    5.4    36.0    10.0
29/03/2008    0.0    5.9    36.5    12.0
30/03/2008    0.0    6.1    37.0    11.0
31/03/2008    0.0    6.4    37.0    10.0
01/04/2008    0.0    6.5    37.0    11.0
02/04/2008    0.0    6.5    36.5    12.5
03/04/2008    0.0    5.3    37.0    13.0
04/04/2008    0.0    6.2    37.0    13.5
05/04/2008    0.0    6.6    36.5    14.0
06/04/2008    0.0    6.2    36.5    13.0
07/04/2008    0.0    6.1    36.0    12.5
08/04/2008    0.0    6.7    36.5    11.0
09/04/2008    0.0    6.6    37.0    11.0
10/04/2008    0.0    6.1    37.0    11.5
11/04/2008    0.0    6.1    35.0    15.5
12/04/2008    0.0    5.5    37.0    16.5
13/04/2008    0.0    6.8    37.0    12.5
14/04/2008    0.0    6.9    37.0    13.5
15/04/2008    0.0    6.8    36.5    14.5
16/04/2008    0.0    6.4    36.0    17.0
17/04/2008    0.0    5.4    36.0    17.5
18/04/2008    0.0    5.2    38.0    12.5
19/04/2008    0.0    7.8    36.5    13.5
20/04/2008    0.0    6.8    36.5    15.0
21/04/2008    0.0    5.9    35.0    14.5
22/04/2008    0.0    5.9    36.0    14.0
23/04/2008    0.0    6.0    35.0    14.0
24/04/2008    0.0    5.9    36.0    14.5
25/04/2008    0.0    6.0    38.5    14.5
26/04/2008    0.0    7.1    35.5    15.0
27/04/2008    0.0    6.1    35.0    16.5
28/04/2008    0.0    5.9    37.0    19.5
29/04/2008    0.0    6.8    37.0    18.5
30/04/2008    0.0    6.9    36.0    18.0
01/05/2008    0.0    6.9    35.5    11.5
02/05/2008    0.0    5.0    36.0    12.5
03/05/2008    0.0    5.1    35.0    12.0
04/05/2008    0.0    5.0    35.0    12.5
05/05/2008    0.0    6.8    35.0    12.5
06/05/2008    0.0    5.6    38.0    13.0
07/05/2008    0.0    5.1    38.0    13.5
08/05/2008    0.0    7.8    36.0    17.0
09/05/2008    0.0    5.6    37.0    18.5
10/05/2008    0.0    6.9    37.5    18.0
11/05/2008    0.0    6.4    36.5    19.5
12/05/2008    0.0    5.2    36.0    19.5
13/05/2008    0.0    6.0    36.5    15.0
14/05/2008    0.0    6.7    36.0    15.5
15/05/2008    0.0    5.6    36.5    15.0
16/05/2008    0.0    5.2    37.0    15.0
17/05/2008    0.0    6.6    37.0    16.0
18/05/2008    0.0    6.2    35.5    15.0
19/05/2008    0.0    5.2    37.0    15.5
20/05/2008    0.0    6.8    38.0    16.0
21/05/2008    0.0    7.2    37.5    15.5
22/05/2008    0.0    6.8    38.5    15.5
23/05/2008    0.0    7.5    34.5    15.5
24/05/2008    0.0    4.3    33.5    16.5
25/05/2008    0.0    3.4    39.0    14.0
26/05/2008    0.0    9.4    37.5    15.0
27/05/2008    0.0    7.1    35.0    15.5
28/05/2008    0.0    6.5    37.5    16.5
29/05/2008    0.0    6.1    37.0    22.0
30/05/2008    0.0    6.0    36.5    21.0
31/05/2008    0.0    6.0    34.0    16.5
01/06/2008    0.0    4.0    36.0    18.0
02/06/2008    0.0    4.0    35.0    20.0
03/06/2008    0.0    4.0    35.5    19.5
04/06/2008    0.0    4.1    33.0    18.5
05/06/2008    0.0    4.0    36.0    18.0
06/06/2008    0.0    4.2    35.0    19.0
07/06/2008    0.0    4.1    33.5    21.0
08/06/2008    0.0    3.7    35.0    24.0
09/06/2008    0.0    4.1    36.0    23.0
10/06/2008    14.6    5.1    33.5    21.0
11/06/2008    0.0    3.8    32.0    19.5
12/06/2008    0.0    3.2    32.0    20.5
13/06/2008    2.2    2.6    37.5    22.0
14/06/2008    11.5    7.3    34.0    23.0
15/06/2008    3.0    2.8    35.0    20.5
16/06/2008    0.0    7.2    38.5    21.0
17/06/2008    0.0    8.1    35.5    20.5
18/06/2008    0.0    5.8    36.5    21.0
19/06/2008    0.0    6.8    35.5    21.0
20/06/2008    21.0    5.2    39.0    22.0
21/06/2008    47.0    7.6    36.5    22.0
22/06/2008    0.0    7.1    34.0    21.0
23/06/2008    5.5    4.7    35.0    22.0
24/06/2008    3.5    5.1    37.5    22.0
25/06/2008    0.0    7.1    36.5    20.5
26/06/2008    0.0    6.8    26.0    20.5
27/06/2008    0.0    4.1    34.5    22.0
28/06/2008    47.0    5.1    34.5    22.0
29/06/2008    0.0    5.2    34.0    21.5
30/06/2008    0.0    5.1    34.0    21.0
01/07/2008    0.0    4.0    32.5    21.5
02/07/2008    0.0    3.9    33.5    22.0
03/07/2008    0.0    4.3    35.0    20.0
04/07/2008    11.5    4.2    34.5    21.0
05/07/2008    20.5    4.2    31.5    20.0
06/07/2008    60.1    3.2    29.5    22.5
07/07/2008    0.0    7.5    39.0    21.0
08/07/2008    0.0    7.3    36.0    21.0
09/07/2008    0.0    6.3    30.0    22.0
10/07/2008    5.5    3.2    31.0    21.0
11/07/2008    1.0    3.4    29.0    21.5
12/07/2008    0.0    2.3    33.0    21.0
13/07/2008    0.0    4.4    33.5    21.0
14/07/2008    0.0    3.5    34.0    23.0
15/07/2008    0.0    5.1    35.0    23.0
16/07/2008    22.1    5.2    33.0    22.0
17/07/2008    21.5    3.4    31.0    20.5
18/07/2008    18.0    3.1    32.5    20.0
19/07/2008    0.0    3.6    23.0    20.5
20/07/2008    0.0    4.1    33.5    21.5
21/07/2008    0.0    4.2    34.0    21.0
22/07/2008    0.0    4.4    35.0    21.0
23/07/2008    0.0    4.3    35.5    21.0
24/07/2008    0.0    4.3    34.5    21.5
25/07/2008    10.0    4.2    34.0    22.0
26/07/2008    0.0    4.1    34.5    21.0
27/07/2008    0.0    4.2    34.0    21.0
28/07/2008    0.0    5.2    34.5    20.5
29/07/2008    0.0    4.2    35.0    22.0
30/07/2008    0.0    5.3    34.5    21.0
31/07/2008    0.0    5.2    35.0    21.5
01/08/2008    0.0    5.3    33.5    22.0
02/08/2008    0.0    5.3    34.0    21.5
03/08/2008    2.0    4.0    34.5    21.0
04/08/2008    0.0    4.1    34.5    21.5
05/08/2008    0.0    4.1    34.5    22.0
06/08/2008    8.5    4.1    34.0    21.0
07/08/2008    0.0    4.1    35.0    21.5
08/08/2008    0.0    4.1    34.5    21.0
09/08/2008    0.0    4.2    34.5    21.0
10/08/2008    0.0    4.2    35.0    20.0
11/08/2008    11.0    4.2    35.0    21.0
12/08/2008    0.0    4.2    34.0    22.0
13/08/2008    3.5    4.1    32.5    21.5
14/08/2008    0.0    4.0    35.5    21.5
15/08/2008    3.5    3.3    33.0    22.0
16/08/2008    0.0    4.8    32.0    21.0
17/08/2008    0.0    3.7    35.0    22.0
18/08/2008    0.0    3.7    35.0    21.5
19/08/2008    25.9    4.9    34.5    21.0
20/08/2008    21.0    4.3    30.5    21.5
21/08/2008    8.3    4.5    31.5    20.5
22/08/2008    26.5    3.0    35.5    20.5
23/08/2008    0.0    3.7    35.0    21.5
24/08/2008    0.0    4.9    32.5    22.0
25/08/2008    1.5    3.3    34.0    22.0
26/08/2008    0.0    5.0    33.5    22.5
27/08/2008    0.0    2.4    34.0    21.5
28/08/2008    0.0    3.1    34.5    21.5
29/08/2008    0.0    4.3    34.5    21.5
30/08/2008    0.0    4.3    35.0    21.5
31/08/2008    25.9    4.7    32.5    21.0
01/09/2008    2.0    3.1    32.0    21.0
02/09/2008    0.0    4.2    33.0    23.0
03/09/2008    0.0    4.4    34.0    22.0
04/09/2008    0.0    4.4    33.5    21.0
05/09/2008    3.8    4.7    38.0    21.5
06/09/2008    0.0    8.1    35.0    24.0
07/09/2008    0.0    5.1    35.5    23.0
08/09/2008    0.0    3.1    30.0    21.0
09/09/2008    17.5    3.1    30.5    21.0
10/09/2008    4.2    3.1    30.0    21.5
11/09/2008    0.0    3.1    31.0    22.5
12/09/2008    0.0    3.2    34.5    21.5
13/09/2008    23.5    5.0    34.0    21.5
14/09/2008    43.0    5.2    31.0    21.0
15/09/2008    45.8    3.2    34.0    22.0
16/09/2008    0.0    4.6    35.0    20.0
17/09/2008    0.0    4.1    33.5    20.0
18/09/2008    13.9    4.2    34.0    20.0
19/09/2008    0.0    4.3    38.5    20.0
20/09/2008    0.0    8.4    32.5    21.0
21/09/2008    0.0    3.1    32.0    21.5
22/09/2008    0.0    3.1    30.5    21.5
23/09/2008    0.0    3.2    32.5    21.5
24/09/2008    2.2    3.6    31.5    22.0
25/09/2008    0.0    4.8    30.5    22.5
26/09/2008    0.0    3.2    30.0    22.0
27/09/2008    8.0    3.2    32.0    23.0
28/09/2008    0.0    4.2    31.0    22.5
29/09/2008    0.0    3.1    30.5    21.5
30/09/2008    0.0    3.0    34.0    21.0
01/10/2008    0.0    3.0    33.0    19.0
02/10/2008    0.0    3.4    28.0    19.5
03/10/2008    0.0    3.2    32.5    20.0
04/10/2008    0.0    3.3    33.0    20.5
05/10/2008    0.0    3.3    32.0    20.0
06/10/2008    18.1    3.2    32.0    21.5
07/10/2008    0.0    3.2    27.5    21.5
08/10/2008    0.0    2.9    30.5    21.0
09/10/2008    5.0    3.1    33.5    21.5
10/10/2008    4.9    3.2    30.0    20.5
11/10/2008    2.0    3.1    29.0    21.5
12/10/2008    0.0    3.0    34.5    21.5
13/10/2008    16.0    4.3    32.5    21.0
14/10/2008    0.0    3.0    32.0    21.0
15/10/2008    0.0    3.8    32.5    21.5
16/10/2008    0.0    3.9    34.0    21.0
17/10/2008    0.0    4.1    33.0    20.5
18/10/2008    0.0    4.2    34.0    21.0
19/10/2008    0.0    4.3    31.5    20.5
20/10/2008    0.0    4.2    32.0    21.0
21/10/2008    17.5    4.1    35.0    21.5
22/10/2008    0.0    4.4    34.0    19.0
23/10/2008    0.0    4.2    33.0    19.5
24/10/2008    0.0    4.0    32.5    20.0
25/10/2008    0.0    3.7    32.5    19.5
26/10/2008    0.0    3.1    31.0    20.0
27/10/2008    0.0    3.3    34.5    19.0
28/10/2008    17.6    4.3    35.0    16.0
29/10/2008    0.0    5.1    30.0    17.5
30/10/2008    0.0    3.1    34.0    19.0
31/10/2008    0.0    4.3    34.5    17.0
01/11/2008    0.0    3.3    33.0    17.0
02/11/2008    0.0    3.1    31.5    18.5
03/11/2008    0.0    4.2    33.0    18.0
04/11/2008    0.0    4.1    34.5    19.0
05/11/2008    0.0    3.8    34.0    20.0
06/11/2008    0.0    3.1    32.0    19.5
07/11/2008    0.0    3.0    31.5    20.0
08/11/2008    0.0    3.5    33.0    20.0
09/11/2008    0.0    3.2    33.5    21.0
10/11/2008    0.0    3.2    33.0    18.0
11/11/2008    0.0    3.3    33.5    17.5
12/11/2008    0.0    3.1    33.0    16.0
13/11/2008    0.0    3.4    33.5    15.0
14/11/2008    0.0    3.0    32.5    14.5
15/11/2008    0.0    3.5    34.5    13.0
16/11/2008    0.0    3.9    35.0    14.0
17/11/2008    0.0    3.8    34.5    14.0
18/11/2008    0.0    3.9    34.5    15.0
19/11/2008    0.0    3.3    34.0    13.0
20/11/2008    0.0    3.2    34.0    13.5
21/11/2008    0.0    3.5    34.0    12.5
22/11/2008    0.0    4.0    34.5    13.5
23/11/2008    0.0    3.9    34.0    14.0
24/11/2008    0.0    3.9    34.5    14.0
25/11/2008    0.0    3.7    34.0    14.5
26/11/2008    0.0    3.4    31.0    15.5
27/11/2008    0.0    3.5    30.0    16.5
28/11/2008    0.0    3.5    33.0    18.0
29/11/2008    0.0    3.8    33.0    16.0
30/11/2008    0.0    4.1    34.0    15.5
01/12/2008    0.0    3.1    31.0    13.0
02/12/2008    0.0    4.1    33.0    12.5
03/12/2008    0.0    3.1    31.5    13.0
04/12/2008    0.0    4.2    33.0    12.5
05/12/2008    0.0    4.1    33.5    12.0
06/12/2008    0.0    4.0    34.0    13.0
07/12/2008    0.0    3.8    34.5    12.0
08/12/2008    0.0    3.2    35.0    12.5
09/12/2008    0.0    5.0    34.0    13.0
10/12/2008    0.0    4.5    35.0    11.5
11/12/2008    0.0    4.9    35.0    10.0
12/12/2008    0.0    4.0    34.0    11.0
13/12/2008    0.0    3.4    33.0    10.5
14/12/2008    0.0    3.7    31.0    10.0
15/12/2008    0.0    5.1    35.0    10.0
16/12/2008    0.0    3.8    33.0    10.5
17/12/2008    0.0    4.0    34.0    10.0
18/12/2008    0.0    4.0    33.5    10.5
19/12/2008    0.0    3.7    34.5    11.0
20/12/2008    0.0    3.7    33.0    12.0
21/12/2008    0.0    4.1    34.0    11.0
22/12/2008    0.0    4.4    34.5    11.5
23/12/2008    0.0    4.0    33.0    11.0
24/12/2008    0.0    3.9    34.0    11.0
25/12/2008    0.0    3.4    32.5    10.5
26/12/2008    0.0    3.9    33.0    11.0
27/12/2008    0.0    3.5    33.5    11.5
28/12/2008    0.0    3.7    33.0    11.5
29/12/2008    0.0    4.2    34.0    12.5
30/12/2008    0.0    3.0    32.5    12.5
31/12/2008    0.0    3.6    35.0    12.0
01/01/2009    0.0    5.0    35.5    12.0
02/01/2009    0.0    4.0    34.0    14.0
03/01/2009    0.0    3.9    33.5    15.0
04/01/2009    0.0    5.0    35.0    12.5
05/01/2009    0.0    3.1    33.0    11.0
06/01/2009    0.0    4.0    34.5    10.5
07/01/2009    0.0    4.9    33.0    11.0
08/01/2009    0.0    5.6    33.5    10.5
09/01/2009    0.0    4.9    31.5    10.0
10/01/2009    0.0    4.8    33.5    9.5
11/01/2009    0.0    4.8    33.0    10.0
12/01/2009    0.0    5.0    33.5    9.5
13/01/2009    0.0    3.9    33.0    9.0
14/01/2009    0.0    4.1    33.5    9.5
15/01/2009    0.0    4.9    32.0    9.0
16/01/2009    0.0    4.2    32.5    8.0
17/01/2009    0.0    3.9    31.5    8.5
18/01/2009    0.0    3.2    34.0    9.5
19/01/2009    0.0    6.0    35.5    11.0
20/01/2009    0.0    6.0    31.5    10.5
21/01/2009    0.0    4.1    34.0    10.0
22/01/2009    0.0    5.2    35.0    11.5
23/01/2009    0.0    6.0    36.0    12.5
24/01/2009    0.0    6.1    35.0    13.5
25/01/2009    0.0    4.3    35.5    13.0
26/01/2009    0.0    5.1    35.5    12.5
27/01/2009    0.0    6.0    36.5    13.5
28/01/2009    0.0    6.1    34.0    13.5
29/01/2009    0.0    5.0    34.5    12.5
30/01/2009    0.0    4.7    33.5    12.0
31/01/2009    0.0    4.8    34.5    13.0
01/02/2009    0.0    4.9    33.5    12.5
02/02/2009    0.0    4.1    34.5    12.0
03/02/2009    0.0    4.6    34.0    12.5
04/02/2009    0.0    5.0    34.5    13.0
05/02/2009    0.0    5.2    35.0    12.0
06/02/2009    0.0    5.6    34.0    11.0
07/02/2009    0.0    5.3    35.0    10.0
08/02/2009    0.0    5.0    34.0    11.5
09/02/2009    0.0    4.0    34.0    11.5
10/02/2009    0.0    4.0    33.5    13.0
11/02/2009    0.0    3.2    33.0    10.5
12/02/2009    0.0    3.7    33.5    10.0
13/02/2009    0.0    4.1    34.0    10.0
14/02/2009    0.0    4.3    34.5    9.5
15/02/2009    0.0    3.8    35.0    10.0
16/02/2009    0.0    5.1    35.0    9.0
17/02/2009    0.0    5.3    34.5    9.0
18/02/2009    0.0    4.9    35.0    9.5
19/02/2009    0.0    4.7    34.0    9.5
20/02/2009    0.0    4.9    35.0    10.0
21/02/2009    0.0    4.2    34.0    12.0
22/02/2009    0.0    4.0    33.5    11.0
23/02/2009    0.0    3.8    34.5    10.0
24/02/2009    0.0    4.9    34.5    10.5
25/02/2009    0.0    4.9    34.5    9.0
26/02/2009    0.0    5.1    35.0    9.5
