CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14346
NOMBRE    : BOCAS
ESTADO    : JALISCO
MUNICIPIO : MEZQUITIC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.400°
LONGITUD  : -103.726°
ALTITUD   : 1,352 msnm
 
EMISION   : 06/04/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.5    30.0    -4.0
02/01/2008    0.0    3.8    24.5    0.0
03/01/2008    0.0    2.8    23.5    1.0
04/01/2008    0.0    2.8    27.0    0.5
05/01/2008    0.0    3.0    29.0    -1.0
06/01/2008    0.0    3.1    30.0    -0.5
07/01/2008    0.0    3.7    28.5    -1.0
08/01/2008    0.0    3.5    28.0    -1.0
09/01/2008    0.0    3.2    28.5    -0.5
10/01/2008    0.0    2.8    26.5    1.0
11/01/2008    0.0    2.9    26.5    2.0
12/01/2008    0.0    3.7    27.5    0.0
13/01/2008    0.0    3.2    27.5    -3.0
14/01/2008    0.0    3.8    27.5    -2.5
15/01/2008    0.0    4.0    25.0    4.5
16/01/2008    0.0    3.5    25.0    3.0
17/01/2008    0.0    3.8    25.0    -0.5
18/01/2008    0.0    2.1    23.0    0.0
19/01/2008    0.0    3.9    24.5    -5.0
20/01/2008    0.0    3.8    26.5    -4.0
21/01/2008    0.0    3.3    27.0    0.0
22/01/2008    0.0    3.5    28.5    3.5
23/01/2008    0.0    4.7    31.5    5.0
24/01/2008    0.0    3.7    27.5    6.0
25/01/2008    0.0    5.1    31.5    5.5
26/01/2008    0.0    4.4    32.0    6.0
27/01/2008    0.0    4.6    31.0    6.0
28/01/2008    0.0    4.4    31.0    5.0
29/01/2008    0.0    4.2    28.5    5.5
30/01/2008    0.0    4.8    29.0    4.0
31/01/2008    0.0    4.2    28.5    1.5
01/02/2008    0.0    4.0    29.0    -2.0
02/02/2008    0.0    4.8    28.5    -1.5
03/02/2008    0.0    4.6    28.5    3.0
04/02/2008    0.0    5.1    28.5    3.0
05/02/2008    0.0    4.9    29.0    3.0
06/02/2008    0.0    5.0    29.0    -1.0
07/02/2008    0.0    4.5    27.0    -1.5
08/02/2008    0.0    4.6    28.0    -1.0
09/02/2008    0.0    4.6    30.0    1.0
10/02/2008    5.4    3.8    28.5    2.5
11/02/2008    0.0    4.0    27.5    4.5
12/02/2008    0.0    4.1    28.0    5.0
13/02/2008    0.0    6.0    29.0    2.0
14/02/2008    0.0    5.1    29.0    2.0
15/02/2008    0.0    5.3    30.0    2.5
16/02/2008    0.0    5.1    30.0    1.5
17/02/2008    0.0    5.4    30.5    0.0
18/02/2008    0.0    5.2    31.5    -1.0
19/02/2008    0.0    5.3    31.5    -0.5
20/02/2008    0.0    5.9    30.5    0.5
21/02/2008    0.0    5.7    30.0    1.0
22/02/2008    0.0    5.4    30.5    1.5
23/02/2008    0.0    5.8    34.0    2.0
24/02/2008    0.0    6.7    36.0    3.0
25/02/2008    0.0    6.5    35.5    3.5
26/02/2008    0.0    6.6    35.0    4.5
27/02/2008    0.0    5.0    30.0    5.0
28/02/2008    0.0    5.8    31.0    6.0
29/02/2008    0.0    5.9    32.0    4.0
01/03/2008    0.0    6.3    32.0    3.5
02/03/2008    0.0    6.7    31.0    4.0
03/03/2008    0.0    7.2    30.5    6.0
04/03/2008    0.0    7.3    30.5    6.5
05/03/2008    0.0    7.2    29.5    2.5
06/03/2008    0.0    7.2    27.5    3.0
07/03/2008    0.0    6.4    27.0    -2.0
08/03/2008    0.0    5.7    27.5    -1.5
09/03/2008    0.0    6.6    28.0    2.5
10/03/2008    0.0    5.4    29.0    3.0
11/03/2008    0.0    7.7    31.0    4.0
12/03/2008    0.0    7.3    31.0    6.5
13/03/2008    0.0    7.2    32.0    3.5
14/03/2008    0.0    5.9    33.5    3.0
15/03/2008    0.0    7.1    33.5    3.5
16/03/2008    0.0    7.7    34.0    3.5
17/03/2008    0.0    7.0    29.5    4.0
18/03/2008    0.0    7.8    27.0    5.5
19/03/2008    0.0    7.2    28.0    1.5
20/03/2008    0.0    6.3    30.5    2.0
21/03/2008    0.0    6.7    33.0    2.5
22/03/2008    0.0    7.9    34.0    4.0
23/03/2008    0.0    7.9    33.5    8.0
24/03/2008    0.0    7.0    32.0    8.5
25/03/2008    0.0    7.4    32.5    12.0
26/03/2008    0.0    7.2    33.0    13.0
27/03/2008    0.0    7.9    33.5    8.5
28/03/2008    0.0    7.5    34.5    6.0
29/03/2008    0.0    8.2    34.5    5.5
30/03/2008    0.0    7.7    35.5    3.0
31/03/2008    0.0    7.6    36.5    3.0
01/04/2008    0.0    8.6    37.5    4.5
02/04/2008    0.0    8.4    38.5    6.0
03/04/2008    0.0    8.7    36.5    8.5
04/04/2008    0.0    7.7    35.5    7.5
05/04/2008    0.0    7.6    34.0    5.0
06/04/2008    0.0    7.9    33.5    4.0
07/04/2008    0.0    8.0    35.0    3.5
08/04/2008    0.0    7.9    35.0    4.5
09/04/2008    0.0    8.0    35.0    6.0
10/04/2008    0.0    8.9    36.0    5.5
11/04/2008    0.0    8.0    34.0    5.5
12/04/2008    0.0    9.7    37.0    6.0
13/04/2008    1.5    7.1    35.0    6.5
14/04/2008    0.0    7.2    34.0    11.5
15/04/2008    0.0    7.2    33.5    11.0
16/04/2008    0.0    7.4    34.5    10.0
17/04/2008    0.0    7.5    34.5    8.5
18/04/2008    0.0    9.9    36.0    7.5
19/04/2008    0.0    9.9    37.5    8.0
20/04/2008    0.0    9.2    37.0    9.5
21/04/2008    0.0    10.2    38.5    11.0
22/04/2008    0.0    9.8    39.0    11.5
23/04/2008    0.0    9.3    38.5    10.0
24/04/2008    0.0    9.0    37.0    9.5
25/04/2008    0.0    9.2    37.5    9.5
26/04/2008    0.0    10.0    36.5    9.0
27/04/2008    0.0    9.2    36.0    10.5
28/04/2008    0.0    9.2    34.0    9.0
29/04/2008    0.0    9.5    35.5    13.0
30/04/2008    0.0    9.8    34.5    13.5
01/05/2008    0.0    9.2    34.0    7.5
02/05/2008    0.0    9.2    34.5    5.0
03/05/2008    0.0    9.4    37.0    6.5
04/05/2008    0.0    9.1    37.5    8.5
05/05/2008    0.0    9.4    37.0    10.0
06/05/2008    0.0    9.5    36.5    14.0
07/05/2008    0.0    7.7    33.5    14.0
08/05/2008    0.0    9.5    38.0    11.5
09/05/2008    0.0    9.7    38.0    11.0
10/05/2008    0.0    9.8    39.0    11.5
11/05/2008    0.0    10.9    41.5    15.0
12/05/2008    0.0    8.7    39.0    16.0
13/05/2008    0.0    8.4    37.5    15.0
14/05/2008    0.0    7.4    35.0    15.5
15/05/2008    0.3    1.6    28.0    18.0
16/05/2008    0.0    6.9    33.5    14.0
17/05/2008    0.0    8.0    34.0    11.5
18/05/2008    0.0    7.4    34.0    12.0
19/05/2008    0.0    4.3    29.5    13.5
20/05/2008    6.8    5.7    32.0    10.5
21/05/2008    0.0    7.9    33.5    10.5
22/05/2008    0.0    8.0    32.0    10.5
23/05/2008    0.0    7.6    33.0    10.0
24/05/2008    0.0    7.8    36.5    10.0
25/05/2008    0.0    10.0    38.0    11.5
26/05/2008    0.0    8.2    37.5    13.5
27/05/2008    0.0    7.0    37.0    16.0
28/05/2008    0.0    9.4    38.5    16.0
29/05/2008    0.0    10.1    37.0    17.0
30/05/2008    0.0    7.7    38.0    16.0
31/05/2008    0.0    10.6    39.5    16.0
01/06/2008    0.0    11.7    40.0    18.0
02/06/2008    0.0    9.3    40.5    18.5
03/06/2008    0.0    12.9    40.5    17.5
04/06/2008    0.0    9.0    39.5    17.5
05/06/2008    0.4    9.0    38.5    19.0
06/06/2008    2.7    8.9    38.5    18.5
07/06/2008    4.6    3.2    30.0    17.0
08/06/2008    15.9    5.3    32.0    17.5
09/06/2008    36.8    2.9    25.5    18.5
10/06/2008    32.4    1.6    25.0    17.0
11/06/2008    3.5    6.1    29.5    17.0
12/06/2008    1.6    2.6    30.0    17.0
13/06/2008    0.0    5.7    33.5    18.0
14/06/2008    0.0    6.0    34.5    18.0
15/06/2008    0.7    5.6    34.5    18.5
16/06/2008    0.3    5.3    33.0    18.5
17/06/2008    0.0    5.9    33.5    18.5
18/06/2008    0.0    6.1    36.0    16.5
19/06/2008    0.0    7.5    37.0    17.0
20/06/2008    1.8    3.1    33.5    18.0
21/06/2008    0.0    6.3    34.5    16.0
22/06/2008    0.0    5.9    33.5    15.5
23/06/2008    0.2    4.9    33.5    17.5
24/06/2008    7.2    6.6    35.5    16.5
25/06/2008    0.0    6.3    33.5    16.5
26/06/2008    0.2    6.7    36.0    18.0
27/06/2008    1.0    4.3    33.5    17.0
28/06/2008    1.5    4.8    34.5    19.0
29/06/2008    0.4    4.3    32.5    17.0
30/06/2008    30.0    3.3    32.0    16.0
01/07/2008    10.6    4.5    28.5    16.0
02/07/2008    20.8    4.0    30.5    17.0
03/07/2008    13.2    2.7    27.0    17.0
04/07/2008    3.1    3.5    28.5    17.0
05/07/2008    0.5    2.7    28.5    18.0
06/07/2008    8.5    4.0    30.0    17.0
07/07/2008    13.4    2.1    28.5    17.0
08/07/2008    16.5    2.4    26.0    18.0
09/07/2008    0.6    1.2    24.5    18.5
10/07/2008    7.3    2.1    27.5    18.0
11/07/2008    35.8    4.8    28.0    16.5
12/07/2008    3.8    2.0    26.5    16.5
13/07/2008    6.5    4.8    31.0    14.0
14/07/2008    0.0    5.0    31.0    14.0
15/07/2008    0.0    5.0    31.5    15.0
16/07/2008    0.0    5.4    32.5    14.5
17/07/2008    30.2    6.0    31.5    16.5
18/07/2008    0.0    4.0    29.5    15.5
19/07/2008    20.0    1.4    27.0    16.0
20/07/2008    0.0    5.4    30.5    16.0
21/07/2008    0.0    4.0    30.0    16.0
22/07/2008    0.0    5.0    31.5    13.0
23/07/2008    2.2    5.0    33.0    14.0
24/07/2008    7.4    4.0    31.0    17.0
25/07/2008    5.1    4.5    30.0    17.0
26/07/2008    4.3    5.2    30.5    16.0
27/07/2008    0.0    4.8    29.5    15.5
28/07/2008    0.0    4.6    31.5    14.0
