CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14379
NOMBRE    : MEZCALA
ESTADO    : JALISCO
MUNICIPIO : PONCITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.336°
LONGITUD  : -103.018°
ALTITUD   : 1,530 msnm
 
EMISION   : 06/04/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    5.0    22.5    9.5
02/01/2008    0.0    4.8    18.5    8.5
03/01/2008    0.0    3.1    17.0    5.0
04/01/2008    0.0    3.0    18.0    5.5
05/01/2008    0.0    3.1    21.0    6.0
06/01/2008    0.0    3.5    22.0    7.0
07/01/2008    0.0    4.2    22.5    8.5
08/01/2008    0.0    4.1    22.0    7.0
09/01/2008    0.0    4.3    24.0    7.5
10/01/2008    0.0    4.2    22.5    7.5
11/01/2008    0.0    3.8    22.0    8.0
12/01/2008    0.0    3.5    22.5    8.0
13/01/2008    0.0    3.8    21.0    7.0
14/01/2008    0.0    4.2    22.0    7.5
15/01/2008    0.0    3.8    22.0    10.5
16/01/2008    0.0    4.3    21.5    8.0
17/01/2008    0.0    3.1    21.5    8.0
18/01/2008    0.0    3.0    22.0    8.5
19/01/2008    0.0    2.8    23.5    9.0
20/01/2008    0.0    2.7    18.5    8.5
21/01/2008    0.0    3.5    29.5    8.5
22/01/2008    0.0    3.3    22.5    9.0
23/01/2008    0.0    3.8    23.5    10.0
24/01/2008    0.0    3.8    24.0    10.5
25/01/2008    0.0    3.7    23.5    11.0
26/01/2008    0.0    3.7    24.0    11.0
27/01/2008    0.0    4.2    23.5    11.5
28/01/2008    0.0    4.3    24.0    11.0
29/01/2008    0.0    3.9    24.0    11.0
30/01/2008    0.0    5.2    26.0    11.0
31/01/2008    0.0    4.3    24.5    9.5
01/02/2008    0.0    4.3    24.0    10.0
02/02/2008    0.0    4.1    24.0    10.0
03/02/2008    0.0    4.1    23.5    10.0
04/02/2008    0.0    4.6    24.0    10.5
05/02/2008    0.0    4.7    25.0    9.5
06/02/2008    0.0    4.4    23.5    10.0
07/02/2008    0.0    3.7    23.5    9.0
08/02/2008    0.0    3.2    24.0    9.5
09/02/2008    0.0    3.7    23.5    10.0
10/02/2008    0.0    3.8    22.0    10.5
11/02/2008    0.0    4.1    22.5    10.5
12/02/2008    0.0    5.2    25.0    10.0
13/02/2008    0.0    4.5    24.0    10.0
14/02/2008    0.0    5.1    25.5    9.5
15/02/2008    0.0    4.4    25.0    9.5
16/02/2008    0.0    5.4    26.0    9.5
17/02/2008    0.0    4.9    27.0    10.0
18/02/2008    0.0    5.2    26.5    10.0
19/02/2008    0.0    5.2    26.5    10.5
20/02/2008    0.0    5.7    26.0    10.5
21/02/2008    0.0    5.1    26.0    10.0
22/02/2008    0.0    5.1    26.0    10.5
23/02/2008    0.0    4.6    26.0    10.5
24/02/2008    0.0    5.3    27.0    11.5
25/02/2008    0.0    5.0    26.0    12.0
26/02/2008    0.0    5.6    28.0    10.5
27/02/2008    0.0    5.5    24.0    12.0
28/02/2008    0.0    5.2    24.5    9.5
29/02/2008    0.0    5.0    26.5    10.5
01/03/2008    0.0    5.0    26.0    11.0
02/03/2008    0.0    6.2    26.0    11.5
03/03/2008    0.0    6.0    26.0    10.5
04/03/2008    0.0    5.8    25.0    11.0
05/03/2008    0.0    6.4    27.0    10.0
06/03/2008    0.0    7.8    25.0    11.5
07/03/2008    0.0    6.8    24.5    8.0
08/03/2008    0.0    6.6    23.0    7.0
09/03/2008    0.0    6.6    24.5    8.0
10/03/2008    0.0    5.3    25.5    10.0
11/03/2008    0.0    5.4    25.5    11.5
12/03/2008    0.0    6.5    27.0    11.0
13/03/2008    0.0    7.1    27.0    11.5
14/03/2008    0.0    6.1    25.0    10.0
15/03/2008    0.0    5.8    26.5    10.5
16/03/2008    0.0    6.5    28.0    11.0
17/03/2008    0.0    7.4    28.5    11.0
18/03/2008    0.0    8.4    26.0    12.0
19/03/2008    0.0    7.2    23.5    9.0
20/03/2008    0.0    6.1    24.0    10.0
21/03/2008    0.0    6.0    25.5    11.5
22/03/2008    0.0    6.4    28.0    12.5
23/03/2008    0.0    7.3    28.0    12.0
24/03/2008    0.0    6.4    26.0    13.0
25/03/2008    0.0    5.8    25.0    11.5
26/03/2008    0.0    6.0    27.0    12.5
27/03/2008    0.0    6.9    28.5    13.5
28/03/2008    0.0    7.2    29.0    12.0
29/03/2008    0.0    7.0    29.5    12.0
30/03/2008    0.0    7.2    30.0    12.0
31/03/2008    0.0    6.9    30.5    13.0
01/04/2008    0.0    7.1    30.5    13.5
02/04/2008    0.0    7.6    30.5    14.0
03/04/2008    0.0    7.5    31.0    13.5
04/04/2008    0.0    7.5    31.0    15.5
05/04/2008    0.0    7.1    30.0    14.0
06/04/2008    0.0    6.9    29.5    14.5
07/04/2008    0.0    6.4    29.5    14.5
08/04/2008    0.0    8.1    30.0    15.0
09/04/2008    0.0    8.0    30.0    13.5
10/04/2008    0.0    7.9    30.0    12.5
11/04/2008    0.0    7.6    28.5    13.0
12/04/2008    0.0    7.2    29.0    14.0
13/04/2008    15.0    7.2    28.0    16.5
14/04/2008    0.0    7.0    25.5    13.5
15/04/2008    0.0    6.6    25.5    13.0
16/04/2008    0.0    7.5    28.5    13.5
17/04/2008    0.0    8.0    29.0    15.0
18/04/2008    0.0    7.8    29.0    14.5
19/04/2008    0.0    7.6    28.5    13.5
20/04/2008    0.0    7.6    30.5    14.5
21/04/2008    0.0    8.4    31.5    15.0
22/04/2008    0.0    8.2    32.0    15.5
23/04/2008    0.0    8.1    32.0    15.5
24/04/2008    0.0    8.8    32.0    16.5
25/04/2008    0.0    8.0    31.5    14.5
26/04/2008    0.0    8.3    31.0    14.5
27/04/2008    0.0    8.9    31.0    15.0
28/04/2008    0.0    8.5    30.0    14.5
29/04/2008    0.0    8.2    30.0    10.0
30/04/2008    0.0    8.5    30.0    12.5
01/05/2008    0.0    9.1    30.5    14.5
02/05/2008    0.0    8.9    30.0    14.0
03/05/2008    0.0    7.7    29.0    13.5
04/05/2008    0.0    7.7    30.0    14.0
05/05/2008    0.0    7.9    30.5    15.5
06/05/2008    0.0    7.7    30.0    16.5
07/05/2008    0.0    8.0    29.5    16.0
08/05/2008    0.0    7.0    31.5    15.5
09/05/2008    0.0    8.2    31.0    16.0
10/05/2008    0.0    8.1    32.0    16.0
