GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15033
NOMBRE    : VILLA CORONA
ESTADO    : JALISCO
MUNICIPIO :  VILLA CORONA
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.418°
LONGITUD  :  -103.667°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
				           PRECIP  EVAP   TMAX   TMIN
  FECHA   				   mm     mm     °C     °C 
01/01/2008    0.0    4.3    29.7    7.6
02/01/2008    0.0    3.0    24.4    7.6
03/01/2008    0.0    2.7    28.1    7.2
04/01/2008    0.0    3.0    29.7    5.2
05/01/2008    0.0    3.0    30.0    5.2
06/01/2008    0.0    3.3    32.0    6.6
07/01/2008    0.0    3.2    31.4    6.1
08/01/2008    0.0    3.7    32.0    5.1
09/01/2008    0.0    3.5    29.8    5.6
10/01/2008    0.0    3.6    31.7    5.4
11/01/2008    0.0    3.4    30.3    6.4
12/01/2008    0.0    3.2    28.3    6.2
13/01/2008    0.0    3.2    32.9    4.3
14/01/2008    0.0    3.6    30.2    4.7
15/01/2008    0.0    3.2    25.7    8.7
16/01/2008    0.0    3.8    25.5    6.1
17/01/2008    0.0    3.5    28.5    5.4
18/01/2008    0.0    2.2    24.0    8.3
19/01/2008    0.5    1.5    26.4    7.7
20/01/2008    0.0    2.6    28.1    8.2
21/01/2008    0.0    3.2    27.6    7.9
22/01/2008    0.0    3.1    29.5    7.9
23/01/2008    0.0    3.4    30.4    8.9
24/01/2008    0.0    4.0    30.1    9.6
25/01/2008    0.0    3.4    30.4    11.2
26/01/2008    0.0    3.2    30.6    13.4
27/01/2008    0.0    3.7    30.8    10.0
28/01/2008    0.0    3.5    29.0    9.6
29/01/2008    0.0    3.2    29.5    9.4
30/01/2008    0.0    3.8    29.9    8.9
31/01/2008    0.0    4.2    25.8    8.6
01/02/2008    0.0    4.3    29.7    6.8
02/02/2008    0.0    4.3    30.7    5.6
03/02/2008    0.0    4.2    30.6    6.1
04/02/2008    0.0    4.2    30.6    5.7
05/02/2008    0.0    4.7    31.1    5.2
06/02/2008    0.0    4.7    31.4    4.9
07/02/2008    0.0    3.6    28.7    5.7
08/02/2008    0.0    4.2    30.7    6.4
09/02/2008    0.0    4.2    31.6    6.3
10/02/2008    0.0    3.2    29.2    7.8
11/02/2008    0.0    4.5    30.1    10.3
12/02/2008    0.0    4.8    30.7    9.3
13/02/2008    0.0    4.6    30.8    5.4
14/02/2008    0.0    4.6    30.7    5.1
15/02/2008    0.0    4.3    31.7    4.1
16/02/2008    0.0    4.6    32.0    4.5
17/02/2008    0.0    4.1    32.6    4.8
18/02/2008    0.0    5.1    33.0    4.8
19/02/2008    0.0    5.0    32.5    5.0
20/02/2008    0.0    4.6    32.1    4.6
21/02/2008    0.0    4.6    32.2    5.6
22/02/2008    0.0    5.4    32.4    5.5
23/02/2008    0.0    5.1    32.3    5.0
24/02/2008    0.0    6.0    34.5    5.6
25/02/2008    0.0    5.6    34.0    7.0
26/02/2008    0.0    5.3    34.3    6.2
27/02/2008    0.0    5.4    33.3    7.5
28/02/2008    0.0    5.2    32.8    7.4
29/02/2008    0.0    5.1    33.0    6.8
01/03/2008    0.0    5.6    33.4    8.2
02/03/2008    0.0    5.3    33.2    9.0
03/03/2008    0.0    4.8    32.7    6.1
04/03/2008    0.0    5.4    32.6    5.0
05/03/2008    0.0    5.3    32.2    5.2
06/03/2008    0.0    5.7    30.2    3.8
07/03/2008    0.0    6.2    29.7    1.6
08/03/2008    0.0    6.6    29.7    6.4
09/03/2008    0.0    5.7    30.1    3.9
10/03/2008    0.0    5.6    31.3    5.0
11/03/2008    0.0    5.2    32.5    6.2
12/03/2008    0.0    6.6    32.4    6.5
13/03/2008    0.0    6.5    32.3    7.1
14/03/2008    0.0    6.2    33.4    4.7
15/03/2008    0.0    6.0    33.8    5.5
16/03/2008    0.0    6.6    33.1    6.1
17/03/2008    0.0    6.7    31.2    6.3
18/03/2008    0.0    8.4    30.2    8.6
19/03/2008    0.0    6.6    31.1    8.1
20/03/2008    0.0    6.6    31.8    9.5
21/03/2008    0.0    6.8    32.7    8.5
22/03/2008    0.0    6.7    32.9    9.0
23/03/2008    0.0    6.7    33.9    8.6
24/03/2008    0.0    6.8    33.4    8.0
25/03/2008    0.0    6.7    33.7    8.5
26/03/2008    0.0    6.9    34.2    8.2
27/03/2008    0.0    6.9    34.5    7.7
28/03/2008    0.0    7.0    35.2    7.5
29/03/2008    0.0    7.1    35.7    7.5
30/03/2008    0.0    7.0    36.2    7.5
31/03/2008    0.0    6.9    36.6    7.5
01/04/2008    0.0    7.1    37.5    7.5
02/04/2008    0.0    7.4    38.2    9.1
03/04/2008    0.3    7.5    37.4    8.9
04/04/2008    0.0    7.7    37.4    8.7
05/04/2008    0.0    7.0    35.1    9.7
06/04/2008    0.0    7.3    35.0    10.6
07/04/2008    0.0    7.6    35.4    10.1
08/04/2008    0.0    7.9    36.0    8.6
09/04/2008    0.0    7.7    36.4    9.8
10/04/2008    0.0    7.6    36.0    8.2
11/04/2008    0.0    6.9    36.1    8.3
12/04/2008    0.0    7.8    36.7    9.4
13/04/2008    0.0    7.6    34.9    12.0
14/04/2008    0.2    7.4    31.3    14.8
15/04/2008    0.1    6.3    33.0    14.0
16/04/2008    0.0    7.2    35.0    10.9
17/04/2008    0.0    8.0    34.8    9.5
18/04/2008    0.0    7.7    36.1    7.0
19/04/2008    0.0    7.6    36.8    9.7
20/04/2008    0.0    7.9    36.9    10.4
21/04/2008    0.0    8.1    38.4    9.8
22/04/2008    0.0    8.7    39.0    11.2
23/04/2008    0.0    7.8    38.4    11.0
24/04/2008    0.0    7.8    37.4    12.6
25/04/2008    0.0    8.1    37.0    10.1
26/04/2008    0.0    8.1    37.0    11.2
27/04/2008    0.0    7.7    37.0    9.5
28/04/2008    0.0    7.7    37.2    9.8
29/04/2008    0.0    7.6    36.8    10.6
30/04/2008    0.0    7.6    35.9    11.3
01/05/2008    0.0    8.5    35.1    9.5
02/05/2008    0.0    7.6    35.8    8.5
03/05/2008    0.0    7.9    36.3    9.1
04/05/2008    0.0    7.7    37.3    10.0
05/05/2008    0.0    7.1    35.9    12.1
06/05/2008    0.0    7.2    36.0    14.3
07/05/2008    0.0    7.0    34.9    14.7
08/05/2008    0.0    8.1    37.3    12.2
09/05/2008    0.0    8.0    37.1    12.5
10/05/2008    0.0    9.1    37.7    12.4
11/05/2008    0.0    7.8    39.1    13.5
12/05/2008    0.0    4.0    36.4    15.7
13/05/2008    0.0    7.6    36.4    12.6
14/05/2008    0.0    6.8    36.0    12.9
15/05/2008    0.2    3.4    31.7    15.4
16/05/2008    0.0    6.9    34.4    14.3
17/05/2008    0.0    6.7    33.2    13.7
18/05/2008    0.2    7.8    34.0    11.6
19/05/2008    0.0    5.9    32.0    12.7
20/05/2008    0.0    7.3    33.0    12.3
21/05/2008    0.0    8.2    32.3    12.0
22/05/2008    0.0    7.6    32.7    11.1
23/05/2008    0.0    7.3    32.7    10.7
24/05/2008    0.0    7.1    32.8    12.3
25/05/2008    0.0    6.8    33.9    13.4
26/05/2008    0.0    7.2    35.9    14.2
27/05/2008    9.2    6.8    37.0    14.4
28/05/2008    0.0    7.5    35.4    16.0
29/05/2008    0.0    8.7    33.8    16.9
