CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14034
NOMBRE    : CONTLA
ESTADO    : JALISCO
MUNICIPIO : TAMAZULA DE GORDIANO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.753°
LONGITUD  : -103.181°
ALTITUD   : 1,160 msnm
 
EMISIÓN   : 14/08/2019 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    7.5    22.7    7.0
02/01/2008    0.0    7.6    17.1    8.3
03/01/2008    0.0    2.8    16.4    4.1
04/01/2008    0.0    3.4    19.6    2.7
05/01/2008    0.0    2.4    22.1    3.7
06/01/2008    0.0    3.3    20.6    6.2
07/01/2008    0.0    3.7    21.0    3.7
08/01/2008    0.0    4.3    20.9    1.7
09/01/2008    0.0    3.6    20.4    1.9
10/01/2008    0.0    3.7    20.9    2.4
11/01/2008    0.0    3.4    19.1    3.4
12/01/2008    0.0    3.7    19.9    1.0
13/01/2008    0.0    3.1    23.3    4.8
14/01/2008    0.0    2.9    19.8    5.1
15/01/2008    0.0    3.0    18.5    6.3
16/01/2008    0.0    3.3    18.3    3.0
17/01/2008    0.0    2.9    19.0    3.4
18/01/2008    0.0    2.9    19.9    4.2
19/01/2008    0.0    4.9    22.2    7.1
20/01/2008    0.0    3.5    21.2    5.0
21/01/2008    0.0    3.4    22.0    4.6
22/01/2008    0.0    2.8    22.2    5.0
23/01/2008    0.0    4.3    24.3    6.1
24/01/2008    0.0    3.8    23.5    6.3
25/01/2008    0.0    3.4    22.5    6.7
26/01/2008    0.0    4.3    24.2    7.8
27/01/2008    0.0    4.3    23.8    7.5
28/01/2008    0.0    3.4    23.8    6.4
29/01/2008    0.0    5.0    23.8    7.4
30/01/2008    0.0    4.6    22.1    7.6
31/01/2008    0.0    4.7    22.0    4.7
01/02/2008    0.0    3.5    32.5    7.5
02/02/2008    0.0    3.9    32.5    6.5
03/02/2008    0.0    9.4    32.5    7.5
04/02/2008    0.0    2.9    32.5    8.5
05/02/2008    0.0    5.0    31.5    7.5
06/02/2008    0.0    4.0    32.5    6.5
07/02/2008    0.0    2.8    32.5    6.5
08/02/2008    0.0    7.3    33.5    6.5
09/02/2008    0.0    2.6    32.5    7.5
10/02/2008    0.0    4.2    33.5    8.5
11/02/2008    0.0    2.9    34.5    8.5
12/02/2008    0.0    5.5    31.5    8.5
13/02/2008    0.0    4.8    32.5    8.5
14/02/2008    0.0    5.2    32.5    6.5
15/02/2008    0.0    4.8    34.5    5.5
16/02/2008    0.0    4.5    34.5    6.5
17/02/2008    0.0    4.9    34.5    6.5
18/02/2008    0.0    5.1    33.5    6.5
19/02/2008    0.0    4.9    32.5    6.5
20/02/2008    0.0    0.4    34.5    5.5
21/02/2008    0.0    2.8    33.5    5.5
22/02/2008    0.0    3.2    35.5    6.5
23/02/2008    0.0    6.9    37.5    6.5
24/02/2008    0.0    6.8    39.5    7.5
25/02/2008    0.0    5.1    34.5    9.5
26/02/2008    0.0    4.7    34.5    7.5
27/02/2008    0.0    3.3    35.5    6.5
28/02/2008    0.0    4.1    33.5    7.5
29/02/2008    0.0    7.9    33.5    7.5
01/03/2008    0.0    3.8    35.5    8.5
02/03/2008    0.0    5.4    33.5    9.5
03/03/2008    0.0    4.7    34.5    7.5
04/03/2008    0.0    5.2    31.5    8.5
05/03/2008    0.0    4.5    34.5    8.5
06/03/2008    0.0    4.9    33.5    5.5
07/03/2008    0.0    5.1    32.5    3.5
08/03/2008    0.0    5.9    31.5    3.5
09/03/2008    0.0    9.2    31.5    4.5
10/03/2008    0.0    0.7    33.5    5.5
11/03/2008    0.0    0.7    35.5    7.5
12/03/2008    0.0    7.3    34.5    8.5
13/03/2008    0.0    5.1    33.5    8.5
14/03/2008    0.0    5.9    35.5    6.5
15/03/2008    0.0    5.9    33.5    5.5
16/03/2008    0.0    5.9    34.5    5.5
17/03/2008    0.0    4.8    32.5    7.5
18/03/2008    0.0    5.3    30.5    7.5
19/03/2008    0.0    4.4    34.5    6.5
20/03/2008    0.0    5.9    35.5    7.5
21/03/2008    0.0    5.2    37.5    8.5
22/03/2008    0.0    8.1    36.5    10.5
23/03/2008    0.0    6.5    34.5    8.5
24/03/2008    0.0    5.5    31.5    8.5
25/03/2008    0.0    4.6    35.5    8.5
26/03/2008    0.0    4.1    37.5    7.5
27/03/2008    0.0    5.8    36.5    8.5
28/03/2008    0.0    5.4    35.5    11.5
29/03/2008    0.0    4.8    35.5    8.5
30/03/2008    0.0    5.1    36.5    8.5
31/03/2008    0.0    9.8    38.5    8.5
01/04/2008    0.0    4.2    38.5    9.5
02/04/2008    0.0    5.9    39.5    10.5
03/04/2008    0.0    4.9    39.5    10.5
04/04/2008    0.0    8.3    37.5    10.5
05/04/2008    0.0    1.8    34.5    10.5
06/04/2008    0.0    5.4    34.5    12.5
07/04/2008    0.0    4.7    37.5    10.5
08/04/2008    0.0    8.4    36.5    11.5
09/04/2008    0.0    5.7    36.5    9.5
10/04/2008    0.0    7.2    36.5    9.5
11/04/2008    0.0    5.8    38.5    9.5
12/04/2008    0.0    5.2    38.5    12.5
13/04/2008    0.0    6.1    36.5    13.5
14/04/2008    0.0    3.6    34.5    9.5
15/04/2008    0.0    5.2    35.5    16.5
16/04/2008    0.0    5.3    36.5    14.5
17/04/2008    0.0    4.6    35.5    11.5
18/04/2008    0.0    7.5    39.5    10.5
19/04/2008    0.0    8.9    38.5    10.5
20/04/2008    0.0    7.8    37.5    11.5
21/04/2008    0.0    0.9    39.5    12.5
22/04/2008    0.0    7.4    40.5    12.5
23/04/2008    0.0    7.8    39.5    13.5
24/04/2008    0.0    5.1    37.5    12.5
25/04/2008    0.0    6.1    39.5    11.5
26/04/2008    0.0    7.1    39.5    11.5
27/04/2008    0.0    2.8    38.5    13.5
28/04/2008    0.0    8.8    38.5    14.5
29/04/2008    0.0    5.4    36.5    15.5
30/04/2008    0.0    4.4    35.5    13.5
01/05/2008    0.0    8.8    37.5    11.5
02/05/2008    0.0    10.2    36.5    11.5
03/05/2008    0.0    8.8    38.5    12.5
04/05/2008    0.0    6.8    38.5    12.5
05/05/2008    0.0    5.5    37.5    13.5
06/05/2008    0.0    7.9    37.5    16.5
07/05/2008    0.0    6.8    34.5    16.5
08/05/2008    0.0    5.1    37.5    15.5
09/05/2008    0.0    8.2    37.5    15.5
10/05/2008    0.0    0.5    38.5    16.5
11/05/2008    0.0    4.2    38.5    17.5
12/05/2008    0.0    5.2    36.5    17.5
13/05/2008    0.0    9.1    38.5    16.5
14/05/2008    0.0    0.1    39.5    16.5
15/05/2008    0.0    7.7    37.5    14.5
16/05/2008    0.0    8.7    37.5    15.5
17/05/2008    0.0    7.3    36.5    15.5
18/05/2008    0.0    7.1    37.5    14.5
19/05/2008    0.0    4.8    37.5    15.5
20/05/2008    0.0    5.8    37.5    14.5
21/05/2008    0.0    8.4    36.5    15.5
22/05/2008    0.0    5.1    33.5    15.5
23/05/2008    0.0    4.8    36.5    11.5
24/05/2008    0.0    8.4    39.5    11.5
25/05/2008    0.0    8.1    38.5    13.5
