CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14072
NOMBRE    : HUERTA VIEJA
ESTADO    : JALISCO
MUNICIPIO : IXTLAHUACAN DE LOS MEMBRILLOS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.426°
LONGITUD  : -103.242°
ALTITUD   : 1,550 msnm
 
EMISIÓN   : 14/08/2019 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    5.0    24.6    9.7
02/01/2008    0.0    4.4    21.0    9.2
03/01/2008    0.0    3.2    20.3    4.7
04/01/2008    0.0    3.0    22.4    3.9
05/01/2008    0.0    3.4    24.1    5.0
06/01/2008    0.0    3.6    25.0    7.2
07/01/2008    0.0    4.2    24.9    8.2
08/01/2008    0.0    4.4    24.6    8.0
09/01/2008    0.0    4.6    25.7    8.2
10/01/2008    0.0    4.5    25.1    8.1
11/01/2008    0.0    4.0    24.8    8.2
12/01/2008    0.0    3.7    24.0    8.3
13/01/2008    0.0    4.2    24.1    7.4
14/01/2008    0.0    4.1    24.7    8.4
15/01/2008    0.0    3.9    23.7    10.0
16/01/2008    0.0    4.8    22.7    7.9
17/01/2008    0.0    3.7    23.0    7.7
18/01/2008    0.0    2.9    22.3    8.6
19/01/2008    0.0    3.0    23.6    8.7
20/01/2008    0.0    2.9    21.3    8.9
21/01/2008    0.0    3.9    25.5    9.0
22/01/2008    0.0    3.5    25.2    9.2
23/01/2008    0.0    4.1    26.8    10.2
24/01/2008    0.0    4.4    26.2    11.0
25/01/2008    0.0    4.0    27.0    11.4
26/01/2008    0.0    3.8    27.3    11.3
27/01/2008    0.0    4.5    26.4    11.6
28/01/2008    0.0    4.5    26.3    11.3
29/01/2008    0.0    4.0    26.0    10.3
30/01/2008    0.0    5.4    27.5    10.4
