CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14084
NOMBRE    : LAGOS DE MORENO (DGE)
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.360°
LONGITUD  : -101.921°
ALTITUD   : 1,884 msnm
 
EMISIÓN   : 14/08/2019 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    5.1    20.9    1.3
02/01/2008    0.0    3.5    15.7    3.2
03/01/2008    0.0    3.1    20.3    -3.0
04/01/2008    0.0    2.8    23.3    -2.6
05/01/2008    0.0    4.1    25.7    -2.2
06/01/2008    0.0    3.6    26.4    2.1
07/01/2008    0.0    5.1    26.4    2.1
08/01/2008    0.0    4.0    25.9    1.7
09/01/2008    0.0    3.8    26.4    1.1
10/01/2008    0.0    4.2    24.1    1.4
11/01/2008    0.0    4.3    25.8    1.4
12/01/2008    0.0    3.2    24.6    -1.2
13/01/2008    0.0    3.7    24.5    -1.1
14/01/2008    0.0    3.5    22.6    -1.2
15/01/2008    0.0    5.1    22.0    6.0
16/01/2008    0.0    3.7    21.1    4.8
17/01/2008    0.0    4.7    23.2    0.3
18/01/2008    0.0    4.8    19.6    0.7
19/01/2008    1.2    4.1    22.3    2.7
20/01/2008    0.0    4.0    20.6    3.3
21/01/2008    0.0    3.5    25.1    3.5
22/01/2008    0.0    2.7    25.8    3.2
23/01/2008    0.0    3.9    28.6    4.5
24/01/2008    0.0    3.8    28.4    4.5
25/01/2008    0.0    3.5    26.9    6.5
26/01/2008    0.0    4.6    28.3    6.6
27/01/2008    0.0    4.1    26.6    2.8
28/01/2008    0.0    4.4    27.0    4.0
29/01/2008    0.0    3.9    25.3    3.5
30/01/2008    0.0    4.4    25.8    3.8
31/01/2008    0.0    4.6    27.2    3.9
01/02/2008    0.0    5.7    24.0    1.0
02/02/2008    0.0    5.2    26.5    2.5
03/02/2008    0.0    5.4    27.0    2.0
04/02/2008    0.0    5.3    25.5    3.0
05/02/2008    0.0    6.2    25.5    2.5
06/02/2008    0.0    6.4    25.5    1.0
07/02/2008    0.0    5.9    24.0    1.0
08/02/2008    0.0    4.8    25.0    1.0
09/02/2008    0.0    4.7    25.5    1.0
10/02/2008    2.4    5.0    26.0    3.5
11/02/2008    0.0    4.1    23.5    8.5
12/02/2008    0.0    4.6    23.5    4.0
13/02/2008    0.0    5.8    24.0    3.0
14/02/2008    0.0    5.1    25.5    3.0
15/02/2008    0.0    6.5    27.5    2.0
16/02/2008    0.0    5.0    27.5    2.0
17/02/2008    0.0    4.8    27.5    1.5
18/02/2008    0.0    4.9    29.0    1.5
19/02/2008    0.0    5.2    28.0    1.0
20/02/2008    0.0    5.6    27.5    2.0
21/02/2008    0.0    7.1    26.5    2.0
22/02/2008    0.0    5.9    28.0    2.5
23/02/2008    0.0    6.5    30.0    2.0
24/02/2008    0.0    6.4    32.0    3.5
25/02/2008    0.0    7.0    30.5    5.0
26/02/2008    0.0    6.4    30.0    4.5
27/02/2008    0.0    6.9    24.0    4.0
28/02/2008    0.0    5.5    25.0    3.0
29/02/2008    0.0    4.4    26.5    2.5
01/03/2008    0.0    6.0    27.5    4.0
02/03/2008    0.0    6.2    26.5    6.0
03/03/2008    0.0    5.8    27.0    5.5
04/03/2008    0.0    8.8    25.0    5.5
05/03/2008    0.0    7.9    25.5    3.0
06/03/2008    0.0    8.8    23.0    0.5
07/03/2008    0.0    8.9    22.5    -1.5
08/03/2008    0.0    6.8    22.5    -1.0
09/03/2008    0.0    5.8    23.5    -0.5
10/03/2008    0.0    7.4    26.0    2.0
11/03/2008    0.0    6.6    25.5    2.0
12/03/2008    0.0    5.3    28.0    3.5
13/03/2008    0.0    8.4    26.5    4.0
14/03/2008    0.0    8.3    28.0    2.0
15/03/2008    0.0    6.7    29.5    2.0
16/03/2008    0.0    7.5    29.5    5.0
17/03/2008    0.0    8.4    28.7    6.6
18/03/2008    0.0    7.3    26.9    9.6
19/03/2008    0.0    7.2    27.4    5.3
20/03/2008    0.0    6.3    27.4    3.7
21/03/2008    0.0    6.3    29.7    4.0
22/03/2008    0.0    6.3    30.2    5.3
23/03/2008    0.0    7.0    29.8    6.5
24/03/2008    0.0    6.7    25.8    7.7
25/03/2008    0.0    6.5    29.4    5.8
26/03/2008    0.0    3.6    30.1    6.6
27/03/2008    0.0    7.6    30.6    8.0
28/03/2008    0.0    8.3    31.7    7.4
29/03/2008    0.0    7.9    31.6    8.2
30/03/2008    0.0    8.8    32.9    6.8
31/03/2008    0.0    8.7    33.4    7.5
01/04/2008    0.0    8.0    35.1    6.1
02/04/2008    0.0    7.2    33.7    8.1
03/04/2008    0.0    6.9    34.5    11.0
04/04/2008    0.0    8.3    33.7    8.4
05/04/2008    0.0    6.4    31.4    6.4
06/04/2008    0.0    8.2    31.6    7.1
07/04/2008    0.0    8.7    32.3    6.0
08/04/2008    0.0    6.9    32.8    6.7
09/04/2008    0.0    9.2    33.3    7.3
10/04/2008    0.0    9.7    33.0    6.7
