CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14101
NOMBRE    : MICHOACANEJO
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.540°
LONGITUD  : -102.597°
ALTITUD   : 1,860 msnm
 
EMISIÓN   : 14/08/2019 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    4.0    23.9    2.0
02/01/2008    0.0    4.0    19.3    3.4
03/01/2008    0.0    3.5    21.9    -0.2
04/01/2008    0.0    3.2    24.7    0.2
05/01/2008    0.0    3.2    26.3    0.2
06/01/2008    0.0    3.7    26.9    1.8
07/01/2008    0.0    4.8    26.7    1.4
08/01/2008    0.0    4.2    26.8    1.8
09/01/2008    0.0    3.9    26.7    1.2
10/01/2008    0.0    4.3    25.3    1.3
11/01/2008    0.0    4.3    26.1    1.3
12/01/2008    0.0    3.7    26.0    -0.0
13/01/2008    0.0    3.7    25.9    -0.5
14/01/2008    0.0    3.7    25.0    1.0
15/01/2008    0.0    4.9    23.7    5.2
16/01/2008    0.0    4.0    23.1    3.8
17/01/2008    0.0    3.7    24.7    1.3
18/01/2008    0.0    4.5    22.7    1.5
19/01/2008    0.5    2.5    24.4    1.4
20/01/2008    0.0    3.7    23.4    2.1
21/01/2008    0.0    3.7    25.8    0.8
22/01/2008    0.0    2.8    26.8    0.2
23/01/2008    0.0    3.8    28.6    1.8
24/01/2008    0.0    3.4    28.8    1.6
25/01/2008    0.0    3.5    28.3    3.4
26/01/2008    0.0    4.1    28.8    3.7
27/01/2008    0.0    4.2    27.7    1.9
28/01/2008    0.0    4.4    27.8    0.7
29/01/2008    0.0    4.1    26.9    0.1
30/01/2008    0.0    4.3    27.3    1.2
31/01/2008    0.0    4.7    27.7    0.9
01/02/2008    0.0    4.2    24.0    1.0
02/02/2008    0.0    5.7    25.0    1.0
03/02/2008    0.0    4.8    25.0    3.0
04/02/2008    0.0    4.9    24.0    3.0
05/02/2008    0.0    4.7    25.0    5.0
06/02/2008    0.0    4.9    24.0    0.0
07/02/2008    0.0    4.8    24.0    0.0
08/02/2008    0.0    5.0    24.0    2.0
09/02/2008    0.0    5.0    25.0    2.0
10/02/2008    0.6    4.9    24.0    3.0
11/02/2008    0.0    5.2    22.0    3.0
12/02/2008    0.0    3.9    23.0    5.0
13/02/2008    0.0    3.2    24.0    4.0
14/02/2008    0.0    5.7    24.0    4.0
15/02/2008    0.0    4.4    25.0    1.0
16/02/2008    0.0    5.1    27.0    1.0
17/02/2008    0.0    4.9    27.0    0.0
18/02/2008    0.0    6.4    27.0    2.0
19/02/2008    0.0    6.2    27.0    2.0
20/02/2008    0.0    5.6    27.0    1.0
21/02/2008    0.0    5.7    25.0    2.0
22/02/2008    0.0    4.9    23.0    4.0
23/02/2008    0.0    5.9    27.0    3.0
24/02/2008    0.0    5.3    27.0    3.0
25/02/2008    0.0    5.9    28.0    3.0
26/02/2008    0.0    6.4    28.0    4.0
27/02/2008    0.0    6.6    22.0    5.0
28/02/2008    0.0    5.0    24.0    2.0
29/02/2008    0.0    5.1    25.0    3.0
01/03/2008    0.0    5.4    25.0    4.0
02/03/2008    0.0    5.9    25.0    4.0
03/03/2008    0.0    7.0    25.0    4.0
04/03/2008    0.0    5.9    25.0    4.0
05/03/2008    0.0    5.2    25.0    5.0
06/03/2008    0.0    7.0    25.0    3.0
07/03/2008    0.0    6.8    23.0    -3.0
08/03/2008    0.0    5.9    21.0    -2.0
09/03/2008    0.0    6.3    23.0    2.0
10/03/2008    0.0    6.0    24.0    2.0
11/03/2008    0.0    5.3    24.0    4.0
12/03/2008    0.0    5.7    26.0    4.0
13/03/2008    0.0    5.8    25.0    6.0
14/03/2008    0.0    7.9    25.0    1.0
15/03/2008    0.0    7.6    27.0    1.0
16/03/2008    0.0    7.3    26.0    4.0
17/03/2008    0.0    8.5    24.0    6.0
18/03/2008    0.0    8.8    24.0    3.0
19/03/2008    0.0    8.5    21.0    1.0
20/03/2008    0.0    5.6    25.0    3.0
21/03/2008    0.0    6.0    26.0    3.0
22/03/2008    0.0    6.2    26.0    3.0
23/03/2008    0.0    7.1    26.0    7.0
24/03/2008    0.0    6.2    23.0    7.0
25/03/2008    0.0    5.6    26.0    5.0
26/03/2008    0.0    6.4    27.0    6.0
27/03/2008    0.0    5.2    27.0    6.0
