CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14339
NOMBRE    : EL CUALE
ESTADO    : JALISCO
MUNICIPIO : PUERTO VALLARTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.596°
LONGITUD  : -105.220°
ALTITUD   : 53 msnm
 
EMISION   : 06/04/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    1.6    23.0    10.0
02/01/2008    0.0    2.9    27.5    12.0
03/01/2008    0.0    3.9    29.0    13.5
04/01/2008    0.0    3.1    26.0    13.0
05/01/2008    0.0    3.4    24.0    11.0
06/01/2008    0.0    1.7    27.5    11.0
07/01/2008    0.0    2.8    25.0    11.0
08/01/2008    0.0    3.5    23.5    9.5
09/01/2008    0.0    2.5    23.0    9.5
10/01/2008    0.0    1.9    24.0    10.0
11/01/2008    0.0    2.7    21.5    9.0
12/01/2008    0.0    3.1    23.5    8.5
13/01/2008    0.0    3.5    22.5    7.5
14/01/2008    0.0    1.4    23.5    7.5
15/01/2008    0.0    3.6    24.0    11.5
16/01/2008    0.0    3.1    22.5    11.0
17/01/2008    0.0    2.6    23.0    10.0
18/01/2008    0.0    1.7    21.5    9.0
19/01/2008    0.0    2.8    23.5    9.5
20/01/2008    0.0    2.8    24.0    9.0
21/01/2008    0.0    3.3    24.0    10.0
22/01/2008    0.0    1.4    25.0    12.0
23/01/2008    0.0    4.4    25.5    12.5
24/01/2008    0.0    1.2    26.0    12.0
25/01/2008    0.0    4.5    30.5    12.5
26/01/2008    0.0    2.6    25.0    14.0
27/01/2008    0.0    1.9    25.5    14.0
28/01/2008    0.0    3.2    25.5    13.0
29/01/2008    0.0    3.5    27.0    13.0
30/01/2008    0.0    3.2    25.5    13.0
31/01/2008    0.0    3.2    24.0    13.5
01/02/2008    0.0    4.2    25.5    13.5
02/02/2008    0.0    2.4    25.0    13.0
03/02/2008    0.0    3.5    28.5    12.5
04/02/2008    0.0    4.2    25.5    12.5
05/02/2008    0.0    2.3    25.0    13.0
06/02/2008    0.0    4.2    25.5    13.0
07/02/2008    0.0    2.8    25.5    13.5
08/02/2008    0.0    4.3    25.0    13.5
09/02/2008    0.0    4.2    26.0    13.0
10/02/2008    0.0    3.4    26.0    13.5
11/02/2008    0.0    5.1    25.5    14.0
12/02/2008    0.0    3.2    25.5    12.0
13/02/2008    0.0    4.2    26.5    12.0
14/02/2008    0.0    4.8    28.0    11.0
15/02/2008    0.0    4.6    27.0    10.0
16/02/2008    0.0    4.0    26.0    10.0
17/02/2008    0.0    4.3    24.0    10.0
18/02/2008    0.0    3.9    25.0    10.5
19/02/2008    0.0    3.9    24.0    11.0
20/02/2008    0.0    3.1    24.0    10.5
21/02/2008    0.0    3.8    24.0    11.0
22/02/2008    0.0    4.4    25.0    11.0
23/02/2008    0.0    4.2    25.0    9.0
24/02/2008    0.0    3.7    25.0    9.0
25/02/2008    0.0    3.2    24.0    10.0
26/02/2008    0.0    4.4    24.0    11.0
27/02/2008    0.0    3.8    25.0    10.0
28/02/2008    0.0    3.5    25.0    10.0
29/02/2008    0.0    4.8    26.0    12.0
01/03/2008    0.0    4.1    26.0    12.0
02/03/2008    0.0    3.9    26.5    11.0
03/03/2008    0.0    4.5    26.0    10.0
04/03/2008    0.0    4.4    26.5    10.0
05/03/2008    0.0    4.9    26.0    10.5
06/03/2008    0.0    5.1    26.0    11.0
07/03/2008    0.0    4.8    26.0    10.0
08/03/2008    0.0    4.6    25.0    9.0
09/03/2008    0.0    5.4    27.0    8.0
10/03/2008    0.0    5.0    27.0    9.0
11/03/2008    0.0    4.1    26.0    10.0
12/03/2008    0.0    5.2    26.0    10.0
13/03/2008    0.0    4.8    27.0    11.0
14/03/2008    0.0    5.9    27.0    9.0
15/03/2008    0.0    5.2    26.0    9.5
16/03/2008    0.0    4.5    25.0    10.0
17/03/2008    2.5    4.0    24.0    10.0
18/03/2008    0.0    4.8    22.0    11.0
19/03/2008    0.0    5.0    23.0    8.0
20/03/2008    0.0    5.3    27.0    9.0
21/03/2008    0.0    7.2    30.5    10.0
22/03/2008    0.0    6.6    29.0    15.0
23/03/2008    0.0    5.6    26.0    11.0
24/03/2008    0.0    4.5    25.0    10.0
25/03/2008    0.0    4.7    25.0    10.0
26/03/2008    0.0    6.3    30.5    12.0
27/03/2008    0.0    7.8    31.0    11.5
28/03/2008    0.0    6.9    29.0    10.0
29/03/2008    0.0    4.7    25.0    10.0
30/03/2008    0.0    5.4    26.0    10.0
31/03/2008    0.0    5.2    25.0    10.0
01/04/2008    0.0    5.7    25.0    12.0
02/04/2008    0.0    5.5    25.0    11.0
03/04/2008    0.0    6.1    28.0    11.0
04/04/2008    0.0    5.1    27.0    11.5
05/04/2008    0.0    4.7    27.0    10.0
06/04/2008    0.0    6.2    29.0    11.0
07/04/2008    0.0    5.1    28.0    13.0
08/04/2008    0.0    6.6    27.0    13.5
09/04/2008    0.0    5.4    28.0    12.0
10/04/2008    0.0    5.6    28.0    12.0
11/04/2008    0.0    4.3    25.0    12.0
12/04/2008    0.0    5.0    26.0    13.0
13/04/2008    0.0    3.5    27.0    13.0
14/04/2008    0.0    5.1    28.0    15.0
15/04/2008    0.0    4.4    28.0    17.0
16/04/2008    0.0    7.3    30.5    15.0
17/04/2008    0.0    7.1    32.0    13.5
18/04/2008    0.0    5.9    30.0    12.0
19/04/2008    0.0    4.5    28.0    12.0
20/04/2008    0.0    6.0    29.0    13.0
21/04/2008    0.0    6.6    32.0    14.0
22/04/2008    0.0    5.7    29.0    13.0
23/04/2008    0.0    5.3    28.0    14.0
