CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14396
NOMBRE    : PIEDRA BARRENADA
ESTADO    : JALISCO
MUNICIPIO : JOCOTEPEC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.267°
LONGITUD  : -103.425°
ALTITUD   : 1,530 msnm
 
EMISION   : 06/04/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					  (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.1    24.0    13.5
02/01/2008    0.0    2.9    21.5    11.5
03/01/2008    0.0    2.2    22.5    10.5
04/01/2008    0.0    3.0    24.5    7.0
05/01/2008    0.0    2.9    23.0    9.0
06/01/2008    0.0    4.0    24.0    10.0
07/01/2008    0.0    3.2    24.0    11.5
08/01/2008    0.0    4.9    23.5    11.5
09/01/2008    0.0    4.6    26.0    12.0
10/01/2008    0.0    4.3    24.0    12.0
11/01/2008    0.0    3.8    24.5    12.0
12/01/2008    0.0    3.7    24.5    12.5
13/01/2008    0.0    3.3    24.0    13.0
14/01/2008    0.0    4.8    26.5    11.5
15/01/2008    0.0    3.2    23.5    11.5
16/01/2008    0.0    5.1    24.5    10.5
17/01/2008    0.0    4.1    25.0    11.5
18/01/2008    0.0    1.3    21.5    13.0
19/01/2008    0.0    3.2    21.5    12.5
20/01/2008    0.0    2.3    18.5    12.0
21/01/2008    0.0    3.7    23.0    12.0
22/01/2008    0.0    3.2    24.0    12.5
23/01/2008    0.0    4.1    25.5    14.0
24/01/2008    0.0    5.4    26.0    14.5
25/01/2008    0.0    3.8    26.5    14.0
26/01/2008    0.0    3.4    27.0    14.0
27/01/2008    0.0    4.6    23.0    14.5
28/01/2008    0.0    4.4    26.0    14.5
29/01/2008    0.0    3.4    27.5    12.5
30/01/2008    0.0    4.8    28.0    13.5
31/01/2008    0.0    5.7    27.0    12.5
01/02/2008    0.0    3.7    25.0    14.0
02/02/2008    0.0    4.7    23.5    12.5
03/02/2008    0.0    4.6    26.5    13.0
04/02/2008    0.0    6.7    27.5    12.5
05/02/2008    0.0    5.0    27.5    12.0
06/02/2008    0.0    3.3    24.0    12.5
07/02/2008    0.0    5.3    23.5    13.0
08/02/2008    0.6    4.4    24.0    12.5
09/02/2008    0.0    3.3    25.0    13.0
10/02/2008    0.0    5.1    24.0    14.5
11/02/2008    0.0    4.2    24.0    14.0
12/02/2008    0.0    5.2    27.5    13.5
13/02/2008    0.0    5.6    24.0    12.5
14/02/2008    0.0    4.3    28.5    11.5
15/02/2008    0.0    5.2    25.5    12.5
16/02/2008    0.0    4.7    29.5    13.5
17/02/2008    0.0    5.8    28.5    13.0
18/02/2008    0.0    5.2    28.0    13.5
19/02/2008    0.0    6.0    28.0    13.5
20/02/2008    0.0    7.1    29.0    12.5
21/02/2008    0.0    4.9    28.5    13.5
22/02/2008    0.0    4.4    25.5    13.0
23/02/2008    0.0    5.3    25.0    14.0
24/02/2008    0.0    5.2    30.5    16.0
25/02/2008    0.0    6.8    29.0    16.0
26/02/2008    0.0    7.1    29.0    14.5
27/02/2008    0.0    5.4    22.5    15.5
28/02/2008    0.0    6.0    23.5    14.5
29/02/2008    0.0    5.7    29.5    13.5
01/03/2008    0.0    6.5    27.5    15.0
02/03/2008    0.0    6.5    30.0    15.0
03/03/2008    0.0    6.0    30.5    14.5
04/03/2008    0.0    6.6    29.0    16.0
05/03/2008    0.0    6.7    29.0    13.5
06/03/2008    0.0    7.9    28.0    12.5
07/03/2008    0.0    7.1    27.0    10.5
08/03/2008    0.0    6.1    23.0    12.0
09/03/2008    0.0    6.1    27.0    11.5
10/03/2008    0.0    5.0    27.0    11.5
11/03/2008    0.0    6.0    25.5    14.0
12/03/2008    0.0    7.6    29.0    14.0
13/03/2008    0.0    6.4    31.0    14.5
14/03/2008    0.0    7.9    26.0    12.0
15/03/2008    0.0    5.5    26.5    14.0
16/03/2008    0.0    8.2    28.5    14.5
17/03/2008    0.0    7.7    28.0    15.0
18/03/2008    0.0    9.2    25.0    15.0
19/03/2008    0.0    5.5    25.0    12.0
20/03/2008    0.0    6.8    25.5    13.5
21/03/2008    0.0    8.0    27.5    14.5
22/03/2008    0.0    4.6    30.5    15.0
23/03/2008    0.0    8.5    31.0    14.5
24/03/2008    0.0    5.3    28.0    15.0
25/03/2008    0.0    6.1    24.0    15.5
26/03/2008    0.0    6.1    29.5    15.0
27/03/2008    0.0    8.5    32.5    15.0
28/03/2008    0.0    7.5    32.5    15.5
29/03/2008    0.0    8.0    32.0    15.0
30/03/2008    0.0    7.8    30.5    15.5
31/03/2008    0.0    7.2    30.5    16.0
01/04/2008    0.0    8.6    32.0    17.5
02/04/2008    0.0    7.0    32.0    15.5
03/04/2008    0.0    10.5    32.5    16.5
04/04/2008    0.0    8.2    34.5    18.0
05/04/2008    0.0    8.8    31.0    15.5
06/04/2008    0.0    7.3    31.5    15.5
07/04/2008    0.0    7.2    29.5    15.5
08/04/2008    0.0    9.6    33.5    16.0
09/04/2008    0.0    7.4    33.5    15.5
10/04/2008    0.0    9.5    34.0    14.5
11/04/2008    0.0    7.6    32.0    16.0
12/04/2008    0.0    7.5    30.5    17.0
13/04/2008    0.3    5.3    27.0    17.5
14/04/2008    0.0    7.4    23.0    15.0
15/04/2008    0.0    8.2    27.0    15.5
16/04/2008    0.0    6.2    30.0    16.5
17/04/2008    0.0    8.9    32.0    16.5
18/04/2008    0.0    8.6    32.0    15.5
19/04/2008    0.0    6.3    30.0    17.0
20/04/2008    0.0    8.5    30.5    16.5
21/04/2008    0.0    8.5    32.0    17.0
22/04/2008    0.0    9.4    33.0    18.5
23/04/2008    0.0    9.2    31.5    17.5
24/04/2008    0.0    10.0    35.0    18.5
25/04/2008    0.0    7.3    33.0    17.5
26/04/2008    0.0    9.4    32.5    17.5
27/04/2008    0.0    7.6    32.0    17.5
28/04/2008    0.0    7.8    31.0    17.0
29/04/2008    0.0    7.5    32.5    18.5
30/04/2008    0.0    9.7    33.0    16.0
01/05/2008    0.0    9.2    33.5    15.0
02/05/2008    0.0    9.4    33.0    16.5
03/05/2008    0.0    7.2    30.0    16.5
04/05/2008    0.0    6.9    29.0    17.0
05/05/2008    0.0    9.7    34.5    17.0
06/05/2008    0.0    6.2    32.5    17.5
07/05/2008    0.0    5.9    32.0    17.5
08/05/2008    0.0    7.5    33.0    17.5
09/05/2008    0.0    9.8    34.0    18.5
10/05/2008    0.0    8.4    33.5    18.0
11/05/2008    0.0    6.5    34.0    19.5
12/05/2008    2.9    5.1    30.5    21.0
13/05/2008    0.0    6.9    34.5    17.5
14/05/2008    0.0    6.8    33.5    18.0
15/05/2008    0.5    5.3    31.0    19.0
16/05/2008    0.0    8.6    31.5    18.0
17/05/2008    0.0    6.3    33.5    16.5
18/05/2008    0.0    7.7    32.0    16.0
19/05/2008    0.0    5.1    31.5    16.5
20/05/2008    0.0    4.4    30.5    16.5
21/05/2008    0.0    4.0    30.5    15.0
22/05/2008    0.0    9.8    30.5    15.0
23/05/2008    0.0    6.7    30.0    14.0
24/05/2008    0.0    7.4    31.5    15.0
25/05/2008    0.0    7.2    31.0    16.0
26/05/2008    0.0    7.0    32.5    18.5
27/05/2008    0.0    7.0    33.0    19.0
28/05/2008    0.0    8.0    29.5    19.5
29/05/2008    0.0    6.8    29.5    18.5
30/05/2008    0.0    7.1    31.0    18.0
31/05/2008    0.0    5.5    32.0    18.5
01/06/2008    0.0    7.5    32.5    19.5
02/06/2008    0.0    9.2    30.5    20.0
03/06/2008    0.0    6.1    30.5    20.0
04/06/2008    0.0    7.2    34.5    19.0
05/06/2008    0.0    7.0    32.5    17.0
06/06/2008    13.6    11.4    33.5    17.0
07/06/2008    30.3    4.3    30.0    18.0
08/06/2008    0.6    5.8    28.0    17.0
09/06/2008    77.6    3.1    27.5    18.0
10/06/2008    15.0    2.6    22.5    15.5
11/06/2008    11.7    4.5    26.5    16.5
12/06/2008    15.3    3.5    22.5    17.5
13/06/2008    0.3    4.2    28.0    17.0
14/06/2008    6.1    6.7    28.0    18.0
15/06/2008    7.3    4.3    26.0    17.5
16/06/2008    0.0    6.7    28.0    16.5
17/06/2008    0.3    5.3    29.5    18.0
18/06/2008    0.0    6.9    29.5    19.0
19/06/2008    3.7    4.9    28.5    18.5
20/06/2008    11.7    7.7    29.5    18.5
21/06/2008    12.0    6.2    27.5    16.5
22/06/2008    30.8    7.5    26.5    17.0
23/06/2008    0.0    5.8    26.5    17.0
24/06/2008    12.0    7.4    27.5    18.5
25/06/2008    1.0    3.9    26.5    16.0
26/06/2008    0.0    5.0    26.0    17.5
27/06/2008    8.5    5.2    28.0    18.0
28/06/2008    1.5    6.6    26.5    16.5
29/06/2008    55.2    4.7    27.0    17.0
30/06/2008    0.7    0.5    26.5    16.5
01/07/2008    2.8    3.0    23.0    17.5
02/07/2008    1.6    3.9    26.5    18.0
03/07/2008    0.0    5.8    28.0    18.0
04/07/2008    0.5    5.3    28.0    18.0
05/07/2008    24.2    6.8    27.0    18.0
06/07/2008    47.5    6.9    27.0    17.5
07/07/2008    34.2    5.1    24.5    17.0
08/07/2008    37.9    3.8    24.5    17.0
09/07/2008    18.7    2.2    24.5    17.0
10/07/2008    5.8    1.9    24.0    17.0
11/07/2008    3.8    5.6    23.0    16.0
12/07/2008    0.0    4.5    26.5    16.5
13/07/2008    12.7    5.5    26.5    17.5
14/07/2008    1.9    4.4    25.5    17.0
15/07/2008    0.0    4.8    25.5    17.0
16/07/2008    0.0    4.6    26.5    17.5
17/07/2008    0.0    6.1    27.0    18.0
18/07/2008    0.0    6.3    27.0    16.5
19/07/2008    0.0    6.4    26.5    17.0
20/07/2008    0.0    5.4    26.0    17.5
21/07/2008    0.0    6.8    25.5    17.5
22/07/2008    0.0    6.4    26.5    17.5
23/07/2008    0.0    7.8    29.0    17.5
24/07/2008    52.3    3.7    28.0    18.0
25/07/2008    3.7    5.6    26.5    16.5
26/07/2008    35.3    8.2    26.0    17.0
27/07/2008    0.8    3.0    25.0    15.0
28/07/2008    0.0    4.4    27.5    17.0
29/07/2008    3.6    5.7    28.0    17.0
30/07/2008    0.0    5.7    27.0    16.5
31/07/2008    0.0    3.5    27.0    17.0
01/08/2008    0.0    4.1    26.5    17.0
02/08/2008    5.5    5.6    27.0    17.5
03/08/2008    0.9    4.9    25.5    16.5
04/08/2008    1.3    3.2    24.0    17.5
05/08/2008    0.3    3.8    25.0    17.5
06/08/2008    1.1    5.4    27.0    17.5
07/08/2008    9.7    4.3    24.0    17.5
08/08/2008    0.0    4.9    25.5    17.0
09/08/2008    0.0    5.5    27.5    17.0
10/08/2008    4.0    6.0    29.5    18.0
11/08/2008    12.1    6.2    28.5    17.0
12/08/2008    4.2    3.4    27.5    16.5
13/08/2008    1.0    6.9    28.0    16.5
14/08/2008    0.0    4.8    27.0    18.0
15/08/2008    0.0    6.1    28.0    18.0
16/08/2008    0.0    4.7    27.0    18.5
17/08/2008    0.0    4.1    27.0    19.0
18/08/2008    0.4    5.6    28.0    19.0
19/08/2008    9.0    3.7    26.0    17.5
20/08/2008    1.2    3.3    27.5    17.5
21/08/2008    8.9    4.2    27.0    17.5
22/08/2008    4.3    3.8    25.0    17.5
23/08/2008    5.3    5.1    27.0    18.5
24/08/2008    0.0    5.7    27.0    17.0
25/08/2008    8.0    4.9    28.0    18.0
26/08/2008    8.0    2.6    23.5    18.0
27/08/2008    9.1    2.4    24.5    17.5
28/08/2008    0.0    5.1    26.0    17.0
29/08/2008    10.0    3.3    25.0    18.0
30/08/2008    1.0    4.5    25.5    17.5
31/08/2008    0.0    3.7    25.5    18.0
01/09/2008    0.0    6.4    27.5    18.5
02/09/2008    15.4    7.7    27.0    19.0
03/09/2008    0.0    4.7    26.5    16.5
04/09/2008    0.0    6.2    27.0    18.0
05/09/2008    0.0    6.0    26.0    18.5
06/09/2008    1.0    6.9    25.5    18.5
07/09/2008    8.7    2.5    25.0    19.0
08/09/2008    0.4    3.3    25.0    18.0
09/09/2008    8.2    4.1    27.5    17.5
10/09/2008    0.8    4.2    26.0    17.5
11/09/2008    0.0    4.9    28.5    17.5
12/09/2008    0.0    4.8    28.0    17.0
13/09/2008    44.2    5.4    29.0    18.5
14/09/2008    15.0    5.4    24.0    16.5
15/09/2008    40.0    6.7    21.0    17.0
16/09/2008    9.0    4.3    24.0    16.5
17/09/2008    0.0    4.4    24.0    17.0
18/09/2008    9.5    3.8    26.0    17.5
19/09/2008    5.0    4.8    24.5    17.0
20/09/2008    0.0    4.1    26.5    16.5
21/09/2008    0.1    6.4    25.0    17.0
22/09/2008    5.5    6.1    25.0    17.5
23/09/2008    11.7    5.4    25.5    18.0
24/09/2008    0.0    4.0    26.5    17.0
25/09/2008    0.0    5.1    25.0    18.0
26/09/2008    0.0    4.3    24.0    16.5
27/09/2008    0.4    5.4    26.0    16.5
28/09/2008    0.0    5.8    26.0    16.5
29/09/2008    0.0    5.3    23.0    16.5
30/09/2008    0.0    6.9    23.5    15.0
01/10/2008    0.0    6.0    24.0    14.5
02/10/2008    0.0    4.9    24.0    14.5
03/10/2008    0.0    5.3    25.0    14.5
04/10/2008    0.0    5.1    25.5    15.5
05/10/2008    0.0    6.0    25.0    15.5
06/10/2008    0.0    4.8    27.5    15.5
07/10/2008    0.9    5.3    25.5    17.0
08/10/2008    0.4    4.3    25.5    18.0
09/10/2008    6.0    5.8    26.0    18.0
10/10/2008    6.4    4.0    25.5    18.0
11/10/2008    1.9    3.9    23.0    18.0
12/10/2008    0.0    2.7    25.5    17.0
13/10/2008    16.4    6.0    27.5    17.5
14/10/2008    0.0    5.3    24.5    15.5
15/10/2008    0.0    3.9    25.5    16.5
16/10/2008    4.8    6.3    25.5    17.0
17/10/2008    5.8    5.8    26.0    16.5
18/10/2008    0.0    5.5    23.5    17.0
19/10/2008    0.0    4.1    25.0    16.0
20/10/2008    0.0    5.1    25.5    16.0
21/10/2008    0.0    4.6    24.5    16.5
22/10/2008    0.0    4.6    26.0    17.5
23/10/2008    0.0    5.7    25.5    17.0
24/10/2008    0.3    0.9    21.5    17.5
25/10/2008    0.0    3.0    24.0    16.5
26/10/2008    0.0    6.7    25.0    16.5
27/10/2008    0.0    5.8    22.0    17.5
28/10/2008    0.0    3.2    20.5    15.0
29/10/2008    0.0    2.3    19.5    12.5
30/10/2008    0.0    5.0    23.5    13.5
31/10/2008    0.0    4.8    22.5    14.5
01/11/2008    0.0    4.1    22.5    13.5
02/11/2008    0.0    5.0    23.0    14.5
03/11/2008    0.0    3.4    24.0    14.5
04/11/2008    0.0    5.5    24.0    15.0
05/11/2008    0.0    4.2    24.0    15.0
06/11/2008    0.0    4.1    26.0    15.0
07/11/2008    0.0    3.3    28.5    14.5
08/11/2008    0.0    5.5    24.5    14.5
09/11/2008    0.0    4.7    24.0    14.5
10/11/2008    0.0    4.9    25.0    15.5
11/11/2008    0.0    4.3    26.5    14.5
12/11/2008    0.0    6.4    25.5    16.0
13/11/2008    0.0    6.9    28.0    16.0
14/11/2008    0.0    5.9    25.5    17.5
15/11/2008    0.0    5.1    26.0    18.0
16/11/2008    0.0    4.1    24.0    16.0
17/11/2008    0.0    3.6    22.5    14.5
18/11/2008    0.0    3.9    20.0    13.0
19/11/2008    0.0    2.2    19.5    10.5
20/11/2008    0.0    2.8    21.0    12.5
21/11/2008    0.0    3.2    21.5    12.5
22/11/2008    0.0    2.7    20.5    12.0
23/11/2008    0.0    4.6    22.5    13.5
24/11/2008    0.0    3.2    23.5    14.0
25/11/2008    0.0    4.9    21.5    13.5
26/11/2008    0.0    3.1    22.5    14.0
27/11/2008    0.0    5.3    25.0    13.5
28/11/2008    0.0    3.7    26.5    14.5
29/11/2008    0.0    3.4    26.5    13.0
30/11/2008    0.0    5.2    23.0    12.0
01/12/2008    0.0    3.9    21.5    12.5
02/12/2008    0.0    4.5    23.0    13.0
03/12/2008    0.0    3.2    25.5    12.5
04/12/2008    0.0    2.2    22.5    11.5
05/12/2008    0.0    3.5    22.5    14.0
06/12/2008    0.0    4.2    22.5    12.5
07/12/2008    0.0    3.0    23.0    14.5
08/12/2008    0.0    3.7    22.5    14.5
09/12/2008    0.0    2.8    26.5    17.0
10/12/2008    0.0    3.4    25.5    12.0
11/12/2008    0.0    2.6    23.0    13.5
12/12/2008    0.0    3.7    22.5    13.0
13/12/2008    0.0    2.1    19.5    11.0
14/12/2008    0.0    3.1    22.5    11.5
15/12/2008    0.0    3.6    23.5    11.5
16/12/2008    0.0    2.5    22.5    13.5
17/12/2008    0.0    3.0    23.5    13.0
18/12/2008    0.0    3.1    22.5    13.5
