GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15037
NOMBRE    : ZAPOTLAN DEL REY
ESTADO    : JALISCO
MUNICIPIO :  ZAPOTLAN DEL REY
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.465°
LONGITUD  :  -102.924°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    5.0    24.9    8.0
02/01/2008    0.0    4.7    19.3    7.4
03/01/2008    0.0    2.8    20.0    3.2
04/01/2008    0.0    3.5    21.9    3.8
05/01/2008    0.0    3.1    24.2    4.6
06/01/2008    0.0    3.5    25.2    5.8
07/01/2008    0.0    4.1    25.2    6.8
08/01/2008    0.0    4.0    24.7    5.7
09/01/2008    0.0    4.4    25.8    6.0
10/01/2008    0.0    3.7    24.4    6.1
11/01/2008    0.0    3.4    24.0    6.2
12/01/2008    0.0    3.6    24.1    6.4
13/01/2008    0.0    3.4    23.7    5.7
14/01/2008    0.0    4.7    24.3    5.6
15/01/2008    0.0    3.7    23.3    9.1
16/01/2008    0.0    3.3    22.4    6.4
17/01/2008    0.0    2.8    22.8    6.2
18/01/2008    0.0    2.6    22.6    6.6
19/01/2008    0.0    2.9    25.1    7.3
20/01/2008    0.0    2.8    21.2    7.3
21/01/2008    0.0    3.3    28.2    7.4
22/01/2008    0.0    3.7    25.3    7.1
23/01/2008    0.0    4.0    26.8    7.7
24/01/2008    0.0    3.8    26.9    9.4
25/01/2008    0.0    3.6    26.5    9.9
26/01/2008    0.0    4.1    26.7    9.8
27/01/2008    0.0    4.4    26.7    10.3
28/01/2008    0.0    4.3    26.4    9.7
29/01/2008    0.0    3.6    25.4    9.1
30/01/2008    0.0    4.5    27.2    9.1
31/01/2008    0.0    4.3    26.2    8.1
01/02/2008    0.0    4.6    26.7    6.6
02/02/2008    0.0    4.2    26.8    7.3
03/02/2008    0.0    4.5    26.1    6.9
04/02/2008    0.0    4.6    26.4    7.0
05/02/2008    0.0    4.8    27.5    6.8
06/02/2008    0.0    4.0    26.6    6.7
07/02/2008    0.0    3.5    25.9    6.5
08/02/2008    1.0    4.0    26.0    6.8
09/02/2008    0.0    4.2    26.9    6.6
10/02/2008    0.0    4.2    25.9    7.1
11/02/2008    0.4    4.4    25.5    7.1
12/02/2008    0.0    5.2    26.5    6.8
13/02/2008    0.0    5.0    26.5    6.9
14/02/2008    0.0    5.0    26.7    7.0
15/02/2008    0.0    6.1    27.0    6.5
16/02/2008    0.0    5.4    27.8    6.5
17/02/2008    0.0    5.6    27.6    7.0
18/02/2008    0.0    5.5    28.2    6.6
19/02/2008    0.0    5.3    28.1    7.3
20/02/2008    0.0    5.5    27.3    7.3
21/02/2008    0.0    5.1    27.3    7.1
22/02/2008    0.0    5.5    28.0    6.7
23/02/2008    0.0    5.8    28.7    7.1
24/02/2008    0.0    5.9    29.7    8.2
25/02/2008    0.0    6.4    29.4    8.6
26/02/2008    0.0    6.2    30.6    8.3
27/02/2008    0.0    5.8    28.2    8.8
28/02/2008    0.0    5.0    27.6    8.1
29/02/2008    0.0    5.6    28.6    8.4
01/03/2008    0.0    6.0    28.1    8.4
02/03/2008    0.0    5.9    27.9    8.9
03/03/2008    0.0    6.2    28.1    7.6
04/03/2008    0.0    5.9    27.9    8.0
05/03/2008    0.0    6.2    28.5    7.3
06/03/2008    0.0    5.5    28.9    7.1
07/03/2008    0.0    6.4    27.1    5.1
08/03/2008    0.0    6.5    27.0    4.6
09/03/2008    0.0    5.8    27.4    5.3
10/03/2008    0.0    5.4    27.9    5.9
11/03/2008    0.0    5.9    27.9    7.3
12/03/2008    0.0    6.9    28.3    7.6
13/03/2008    0.0    7.0    28.3    8.1
14/03/2008    0.0    7.4    27.9    6.8
15/03/2008    0.0    6.9    28.5    6.7
16/03/2008    0.0    7.1    29.1    7.7
17/03/2008    0.0    7.4    29.3    7.9
18/03/2008    0.0    7.2    29.2    8.9
19/03/2008    0.0    6.7    28.3    7.8
20/03/2008    0.0    6.8    28.5    7.8
21/03/2008    0.0    7.2    29.4    9.0
22/03/2008    0.0    7.0    29.7    9.3
23/03/2008    0.0    6.7    30.0    9.1
24/03/2008    0.0    6.6    29.5    9.4
25/03/2008    0.0    6.8    28.6    9.6
26/03/2008    0.0    6.9    29.4    9.4
27/03/2008    0.0    6.9    29.8    9.5
28/03/2008    0.0    7.1    29.7    9.0
29/03/2008    0.0    6.8    30.9    9.1
30/03/2008    0.0    7.3    30.9    9.0
31/03/2008    0.0    7.3    31.3    10.1
01/04/2008    0.0    7.6    31.8    10.6
02/04/2008    0.0    7.9    31.8    10.5
03/04/2008    0.0    7.4    32.3    10.5
04/04/2008    0.0    7.5    31.0    10.8
05/04/2008    0.0    7.8    32.2    10.4
06/04/2008    0.0    7.6    31.5    10.4
07/04/2008    0.0    7.3    31.6    10.1
08/04/2008    0.0    8.2    32.3    10.6
09/04/2008    0.0    7.7    32.5    10.1
10/04/2008    0.0    8.9    32.2    9.5
11/04/2008    0.0    8.1    31.7    10.2
12/04/2008    0.0    8.2    31.8    9.9
13/04/2008    6.6    8.1    31.5    10.8
14/04/2008    0.4    7.1    30.2    10.2
15/04/2008    0.8    6.7    29.9    10.7
16/04/2008    1.5    6.0    30.2    11.0
17/04/2008    0.0    7.7    31.0    11.4
18/04/2008    0.0    7.8    31.7    10.7
19/04/2008    0.0    8.0    31.9    10.4
20/04/2008    0.0    8.2    31.9    10.9
21/04/2008    0.0    8.6    33.0    10.6
22/04/2008    0.0    8.7    33.7    11.4
23/04/2008    0.0    8.8    33.4    11.7
24/04/2008    0.0    8.5    33.3    12.5
25/04/2008    0.0    8.1    32.7    11.0
26/04/2008    0.0    8.5    33.0    10.7
27/04/2008    0.4    9.5    33.2    11.5
28/04/2008    0.0    8.3    32.5    11.7
29/04/2008    0.0    8.5    32.5    10.2
30/04/2008    0.0    8.3    32.1    11.1
01/05/2008    0.0    8.6    32.3    11.5
02/05/2008    0.0    8.9    32.7    11.2
03/05/2008    0.0    7.7    32.4    12.0
04/05/2008    0.0    8.7    32.9    11.7
05/05/2008    0.0    7.8    32.7    12.9
06/05/2008    0.0    7.6    31.7    13.7
07/05/2008    0.0    7.9    31.3    12.9
08/05/2008    0.0    8.6    33.5    12.7
09/05/2008    0.0    8.5    33.1    13.0
10/05/2008    0.0    8.4    33.7    12.3
11/05/2008    2.4    8.1    34.2    12.3
12/05/2008    2.5    6.9    33.3    12.7
13/05/2008    0.0    7.0    32.1    12.6
14/05/2008    0.0    7.4    32.4    13.1
15/05/2008    0.3    6.8    31.3    13.8
16/05/2008    0.0    7.0    32.1    14.0
17/05/2008    0.0    7.1    31.1    12.9
18/05/2008    0.0    7.7    31.8    12.5
19/05/2008    0.0    7.4    30.3    12.7
20/05/2008    0.0    7.8    30.2    12.3
21/05/2008    0.0    7.3    30.1    13.0
22/05/2008    0.0    7.2    29.9    12.4
23/05/2008    0.0    7.9    29.5    11.1
24/05/2008    0.0    6.7    30.6    11.3
25/05/2008    0.0    7.3    32.8    12.2
26/05/2008    0.0    7.4    33.2    13.1
27/05/2008    0.0    8.0    33.3    13.1
28/05/2008    0.0    8.2    32.3    14.9
29/05/2008    0.0    8.7    32.0    13.6
30/05/2008    0.0    8.0    32.7    13.6
31/05/2008    0.0    8.0    32.9    14.7
01/06/2008    0.0    7.7    33.6    14.3
02/06/2008    0.0    7.9    33.9    14.3
03/06/2008    0.0    8.3    33.2    14.0
04/06/2008    0.0    7.7    32.1    14.3
05/06/2008    0.0    8.1    31.1    13.8
06/06/2008    16.6    7.3    30.8    12.8
07/06/2008    11.8    6.9    30.8    13.9
08/06/2008    16.0    6.4    30.0    13.9
09/06/2008    11.3    5.0    25.6    13.9
10/06/2008    37.2    4.3    23.5    14.3
11/06/2008    27.0    3.7    25.1    13.7
12/06/2008    13.8    3.4    25.1    13.5
13/06/2008    1.7    5.0    26.3    13.6
14/06/2008    29.5    6.3    27.5    13.5
15/06/2008    8.3    5.5    26.7    13.0
16/06/2008    2.8    5.1    26.8    13.3
17/06/2008    10.6    8.1    28.2    13.2
18/06/2008    3.9    5.9    27.7    13.4
19/06/2008    1.7    6.0    28.2    14.1
20/06/2008    7.6    4.7    29.3    14.6
21/06/2008    3.8    5.3    26.9    13.7
22/06/2008    12.0    5.1    27.0    13.1
23/06/2008    6.3    5.4    28.0    13.1
24/06/2008    15.9    5.3    27.5    13.4
25/06/2008    3.0    4.8    26.3    13.5
26/06/2008    12.6    7.4    28.2    13.7
27/06/2008    22.4    7.0    27.8    13.3
28/06/2008    7.8    5.7    27.1    12.6
29/06/2008    12.7    4.8    27.3    13.1
30/06/2008    12.2    3.8    26.4    13.0
01/07/2008    6.3    4.3    25.7    13.5
02/07/2008    4.4    4.3    26.0    13.5
03/07/2008    2.1    4.7    27.1    13.6
04/07/2008    11.8    5.9    25.6    14.4
05/07/2008    17.4    6.4    26.5    13.7
06/07/2008    16.4    5.0    26.1    13.6
07/07/2008    40.3    5.9    25.1    13.7
08/07/2008    23.5    3.0    23.3    13.6
09/07/2008    23.9    3.5    22.3    13.8
10/07/2008    16.8    4.8    25.4    13.0
11/07/2008    1.5    4.7    25.6    13.4
12/07/2008    3.2    4.6    26.2    13.1
13/07/2008    10.7    3.4    25.5    13.3
14/07/2008    2.0    4.0    26.2    13.4
15/07/2008    1.4    4.2    26.9    13.3
16/07/2008    1.9    4.6    27.5    13.4
17/07/2008    5.4    4.8    27.2    13.5
18/07/2008    1.9    3.2    26.3    13.3
