CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14006
NOMBRE    : AJOJUCAR
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.563°
LONGITUD  : -102.439°
ALTITUD   : 1,745 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      1.6    28    -1.5 
02/02/2008  0      4.6    29    -1 
03/02/2008  0      3.4    29    -1 
04/02/2008  0      3.2    28    -1 
05/02/2008  0      5.2    28    -1.5 
06/02/2008  0      4.1    28    -2.5 
07/02/2008  0      4.1    27    -2 
08/02/2008  0      3.4    28    -3.5 
09/02/2008  1      2.6    28    -3 
10/02/2008  0      3.3    28     0 
11/02/2008  1      1.4    27     4.5 
12/02/2008  0      4.1    27     1 
13/02/2008  0      3.9    27     0.5 
14/02/2008  0      4.6    28    -1 
15/02/2008  0      4.2    30    -2 
16/02/2008  0      5      30    -2 
17/02/2008  0      3.4    31    -2.5 
18/02/2008  0      5.3    31    -3 
19/02/2008  0      4.5    30    -2 
20/02/2008  0      4.6    31    -1.5 
21/02/2008  0      3.8    27    -1 
22/02/2008  0      4.4    31    -1 
23/02/2008  0      4.8    33    -2 
24/02/2008  0      3.9    34    -1.5 
25/02/2008  0      3.3    33     0 
26/02/2008  0      5.5    32     0 
27/02/2008  0      5.1    26     1 
28/02/2008  0      3.8    29     0 
29/02/2008  0      4.5    30     0 
01/03/2008  0      4.3    31     1 
02/03/2008  0      5.1    30     2 
03/03/2008  0      6.2    30     1 
04/03/2008  0      5.3    30     2 
05/03/2008  0      5.7    29    -5 
06/03/2008  0      4.5    30    -4.5 
07/03/2008  0      6.2    27    -5 
08/03/2008  0      4.9    26    -4.5 
09/03/2008  0      4.4    27.5  -4 
10/03/2008  0      4.1    29    -2.5 
11/03/2008  0      4.6    29     0 
12/03/2008  0      5.7    29     1 
13/03/2008  0      5.1    31    -2 
14/03/2008  0      5.7    32    -2 
15/03/2008  0      5.2    33    -2 
16/03/2008  0      4.7    31     2 
17/03/2008  0      7.4    30     0.5 
18/03/2008  0      7.9    29     1 
19/03/2008  0      5.5    26     4 
20/03/2008  0      4.5    28     0 
21/03/2008  0      5.9    32     1 
22/03/2008  0      5.8    32     0 
23/03/2008  0      5.6    31     4 
24/03/2008  0      4      28     6 
25/03/2008  0      5.7    30.5   4 
26/03/2008  0      4.9    32     4 
27/03/2008  0      0.4    33     4 
28/03/2008  0      5.8    33.5   3 
29/03/2008  0      7.3    34     3 
