CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14011
NOMBRE    : APAZULCO
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.306°
LONGITUD  : -104.888°
ALTITUD   : 5 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.2    28     16 
02/02/2008  0      3.1    30     16 
03/02/2008  0      2.5    31     16 
04/02/2008  0      2.3    29     14 
05/02/2008  0      4.9    28     14 
06/02/2008  0      4.2    28     14 
07/02/2008  0      6.8    30     16 
08/02/2008  0      7.8    28     16 
09/02/2008  0      3.4    30     15.5 
10/02/2008  0      2.8    29     13 
11/02/2008  0      3.2    28     15 
12/02/2008  0      2.9    31     15.5 
13/02/2008  0      2.9    30     13 
14/02/2008  0      2.2    30     11 
15/02/2008  0      2.3    32     11 
16/02/2008  0      5.3    29     12 
17/02/2008  0      3.7    26.5   12 
18/02/2008  0      2.8    28.5   14 
19/02/2008  0      3.5    26     16 
20/02/2008  0      3.4    26     11.5 
21/02/2008  0      5.1    26.5   12 
22/02/2008  0      3.2    29     12.5 
23/02/2008  0      3.9    27     10 
24/02/2008  0      2.6    28     14 
25/02/2008  0      5.4    29     16.5 
26/02/2008  0      4.2    29     12 
27/02/2008  0      4.2    25     14 
28/02/2008  0      3.9    29     14 
29/02/2008  0      3.2    30     14 
01/03/2008  0      6.1    32     13 
02/03/2008  0      3.7    26     14 
03/03/2008  0      4.6    28     12.5 
04/03/2008  0      5.1    29     13 
05/03/2008  0      4.8    28     13 
06/03/2008  0      4.5    27.5   11 
07/03/2008  0      6      30     8.5 
08/03/2008  0      6.7    25     11 
09/03/2008  0      3.4    28     10 
10/03/2008  0      6.1    32.5   11 
11/03/2008  0      7.9    33     14 
12/03/2008  0      6.7    30     12 
13/03/2008  0      6.5    30     8.5 
14/03/2008  0      5.3    29     8 
15/03/2008  0      5.8    33     10 
16/03/2008  0      4      22     10.5 
17/03/2008  0      3.8    29     11 
18/03/2008  0      4.2    26     11 
19/03/2008  0      5.8    25     11 
20/03/2008  0      8.1    20     9 
21/03/2008  0      8.4    30     13 
22/03/2008  0      6.7    33     14 
23/03/2008  0      7      29     11 
24/03/2008  0      5.5    29     11 
25/03/2008  0      3.1    31.5   13 
26/03/2008  0      7.1    33     14 
27/03/2008  0      7.2    33     14 
28/03/2008  0      7.9    31     12 
29/03/2008  0      8.8    31     11 
30/03/2008  0      5.7    30     12 
31/03/2008  0      7      28     14 
01/04/2008  0      5.3    28     15.5 
02/04/2008  0      5.1    29     16.5 
03/04/2008  0      4.2    29     15 
04/04/2008  0      5.5    30     16 
05/04/2008  0      5.7    30     14 
06/04/2008  0      4.7    30     20 
07/04/2008  0      4.5    30     18 
08/04/2008  0      4.5    28     18 
09/04/2008  0      5.1    30     18 
10/04/2008  0      5.5    28.5   16 
11/04/2008  0      4.1    30     16 
12/04/2008  0      6.6    29     18 
13/04/2008  0      5.6    29.5   18 
14/04/2008  0      5.2    30     18 
15/04/2008  0      4.9    34     17 
16/04/2008  0      5.5    32     17 
17/04/2008  0      4.5    28.5   17 
18/04/2008  0      5.5    32     14.5 
19/04/2008  0     Nulo    30     17 
20/04/2008  0     Nulo    30     17 
21/04/2008  0     Nulo    31     18 
