CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14016
NOMBRE    : ATEQUIZA
ESTADO    : JALISCO
MUNICIPIO : IXTLAHUACAN DE LOS MEMBRILLOS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.395°
LONGITUD  : -103.136°
ALTITUD   : 1,520 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4      28     7 
02/02/2008  0      4.8    29     6 
03/02/2008  0      3.1    28     7 
04/02/2008  0      4.5    28.5   6 
05/02/2008  0      6.4    28.5   6 
06/02/2008  0      5.5    28.5   5.5 
07/02/2008  0      4.3    28     5.5 
08/02/2008  9.4    4.6    29     6 
09/02/2008  0      3.4    28     6 
10/02/2008  0      3.4    28     6.5 
11/02/2008  0      4.3    27     7 
12/02/2008  0      4.2    27.5   6.5 
13/02/2008  0      4.6    28     5.5 
14/02/2008  0      5.5    28     5 
15/02/2008  0      5.1    29.5   4 
16/02/2008  0      5.3    30.5   4.5 
17/02/2008  0      5.9    30     5.5 
18/02/2008  0      5.2    30.5   4.5 
19/02/2008  0      5.8    29     6 
20/02/2008  0      4.9    30     4.5 
21/02/2008  0      5.6    30     5 
22/02/2008  0      5.1    30     6 
23/02/2008  0      5.5    32     5.5 
24/02/2008  0      6      33     6 
25/02/2008  0      6.1    33     7.5 
26/02/2008  0      6.4    33     6 
27/02/2008  0      5.4    27     7 
28/02/2008  0      5.3    29     7 
29/02/2008  0      5.6    29.5   6.5 
01/03/2008  0      5.4    29.5   7.5 
02/03/2008  0      6.3    30     8 
03/03/2008  0      5.5    30     5.5 
04/03/2008  0      6      30     6.5 
05/03/2008  0      6.4    30     6 
06/03/2008  0      6.1    22.5   5.5 
07/03/2008  0      5.6    28     2 
08/03/2008  0      5.7    27     4 
09/03/2008  0      7.9    28     5 
10/03/2008  0      5.6    29.5   5 
11/03/2008  0      5.3    29     7 
12/03/2008  0      7.1    31     7 
13/03/2008  0      7.1    30.5   7.5 
14/03/2008  0      6.2    31.5   4.5 
15/03/2008  0      6.8    32.5   6 
16/03/2008  0      6.5    32     8 
17/03/2008  0      8.3    30     7 
18/03/2008  0      8.1    29     10 
19/03/2008  0      6      30     5.5 
20/03/2008  0      5.9    29     7.5 
21/03/2008  0      6.7    31.5   7 
22/03/2008  0      7      32     9 
23/03/2008  0      7.9    31     8 
24/03/2008  0      6.2    29     11 
25/03/2008  0      5      29     9 
26/03/2008  0      5.3    32     10 
27/03/2008  0      9      32     9.5 
28/03/2008  0      6.4    30.5   9 
29/03/2008  0      8.5    33     10 
30/03/2008  0      8.8    33.5   8.5 
31/03/2008  0      8.1    35     8 
01/04/2008  0      8.4    36     9.5 
02/04/2008  0      8.2    36     9.5 
03/04/2008  0      9      36     10 
04/04/2008  0      8.3    35     11.5 
05/04/2008  0      6.8    32.5   9 
06/04/2008  0      7.4    33.5   12 
07/04/2008  0      7.8    34.5   11 
08/04/2008  0      8.3    35     11 
09/04/2008  0      9.7    35     12 
10/04/2008  0      8.6    34     9 
11/04/2008  0      7.8    35     10 
12/04/2008  0      8.4    35     11 
13/04/2008  6.1    7.4    31.5   14 
14/04/2008  0      6.6    27.5   12.5 
15/04/2008  0      7.3    31     12.5 
16/04/2008  0      7.7    32.5   13.5 
17/04/2008  0      8.2    23     11 
18/04/2008  0      8.5    35     8 
19/04/2008  0      8.2    35.5   9.5 
20/04/2008  0      7.4    35.5   12.5 
21/04/2008  0      6.3    37     12.5 
22/04/2008  0      10.1   37.5   13 
23/04/2008  0      8.9    36.5   12 
24/04/2008  0      9.1    36     12 
25/04/2008  0      9.1    36     12 
26/04/2008  0      8.8    36     12 
27/04/2008  0      8.3    35     11.5 
28/04/2008  0      9.4    35     11 
29/04/2008  0      9.1    34     14 
30/04/2008  0      8.9    34     13 
01/05/2008  0      8.8    33     11 
02/05/2008  0      10     34     10 
03/05/2008  0      8.3    35     11 
04/05/2008  0      8.7    35     12 
05/05/2008  0      8.9    33.5   12.5 
06/05/2008  0      7.8    34.5   14 
07/05/2008  0      7.5    33     15 
08/05/2008  0      9.5    37     13 
09/05/2008  0      8.4    36.5   14 
10/05/2008  0      8.9    37.5   14 
11/05/2008  0      9.4    38.5   15.5 
12/05/2008  0      7      35     16 
13/05/2008  0      8.2    35     13 
14/05/2008  0      8.1    35     14 
15/05/2008  1.4    4.6    32     15 
16/05/2008  0      7.6    34     14.5 
17/05/2008  0      8.2    33     14 
18/05/2008  0      6.2    32.5   13 
19/05/2008  0      7.8    32     13 
20/05/2008  0      6.5    32     13 
21/05/2008  0      3.4    31.5   15 
22/05/2008  0      8.1    31.5   14 
23/05/2008  0      8.5    33     11.5 
24/05/2008  0      8.2    33     13 
25/05/2008  0      8.5    35.5   15 
26/05/2008  0      7.9    35     16 
27/05/2008  0      7.8    34     17.5 
28/05/2008  0      7.2    32     18 
29/05/2008  0      7.2    31     15 
30/05/2008  0      9.1    33     15 
31/05/2008  0      7.3    33.5   17 
01/06/2008  0      9.9    34     17 
02/06/2008  0      10.2   34     19 
03/06/2008  0      9.7    33     15 
04/06/2008  0      8.7    35     19 
05/06/2008  0      8.6    34.5   17 
06/06/2008  12.2   6.8    35     16 
07/06/2008  0      7      36.5   15 
08/06/2008  37.5   7      30.5   17 
09/06/2008  64.1   5.5    26     17 
10/06/2008  40.6   5.5    23     16 
11/06/2008  77.6   3.5    25     16 
12/06/2008  2.3    1.8    24     16.5 
13/06/2008  1.4    3.2    28     17 
14/06/2008  6.3    6.1    30     17 
15/06/2008  7.7    5.9    29     16 
16/06/2008  0      6.1    29     15 
17/06/2008  6.5    6.7    32     16 
18/06/2008  0      5.5    34.5   15 
19/06/2008  0.7    4.7    30     17.5 
20/06/2008  4.9    5.3    31     17.5 
21/06/2008  19.1   5.9    30     14 
22/06/2008  2.1    3.9    29     15 
23/06/2008  0      6.1    29     16 
24/06/2008  26.1   8      30     16.5 
25/06/2008  0      5.8    29     14 
26/06/2008  0.2    5      30     16.5 
27/06/2008  30.4   6.7    31.5   15.5 
28/06/2008  4.5    5.5    28     12 
29/06/2008  12     5.1    29     15 
30/06/2008  3.3    3      26     16 
01/07/2008  0      2.9    23     16 
02/07/2008  0      4.6    27     16.5 
03/07/2008  0      6.3    29     17 
04/07/2008  7.6    6      29     17 
05/07/2008  21.6   4.4    28.5   17 
06/07/2008  25.1   4.7    28     16 
07/07/2008  57.5   3.2    24     17 
08/07/2008  14.4   1.9    21     16.5 
09/07/2008  26.5   1.5    23     16 
10/07/2008  11.2   5.1    24.5   15.5 
11/07/2008  0.1    2.6    25     16 
12/07/2008  0      4.4    28     15 
13/07/2008  9.5    4.9    28     16 
14/07/2008  2.9    3.6    26     17 
15/07/2008  0      5.1    28.5   16.5 
16/07/2008  0      6.3    28.5   17 
17/07/2008  0.2    5.2    29.5   17 
18/07/2008  0      3.3    27     16.5 
19/07/2008  0      4.7    28     15 
20/07/2008  0      5.6    28.5   14.5 
21/07/2008  0      4.7    28     15 
22/07/2008  0      4.4    29     13 
23/07/2008  0.4    4.6    30.5   14 
24/07/2008  27     5.7    30     17 
25/07/2008  1.8    4.5    27     15 
26/07/2008  14.4   4.4    28     16.5 
27/07/2008  0      5.1    27.5   15 
28/07/2008  0      5.3    30     13.5 
29/07/2008  9.8    5.5    30     16 
30/07/2008  0      5.6    29.5   15 
31/07/2008  2.9    4.3    27     15 
01/08/2008  0      5.8    30     16 
02/08/2008  0.9    3.9    26.5   16 
03/08/2008  41.4   4.6    26.5   15 
04/08/2008  3.7    3.6    26     16 
05/08/2008  0      5.8    26     16 
06/08/2008  25.9   7.1    29.5   16.5 
07/08/2008  10.4   2.1    23     16 
08/08/2008  0      4.5    27     15.5 
09/08/2008  0      5.2    29     13.5 
10/08/2008  0      5.2    30     14 
11/08/2008  20.7   5.1    30     15 
12/08/2008  2.4    3.4    22.5   16 
13/08/2008  0      5.7    28     16 
14/08/2008  0      6.5    29     17 
15/08/2008  0      4.7    29     17 
16/08/2008  1.4    5.2    30     17 
17/08/2008  3.5    2.7    26.5   18 
18/08/2008  1      3.2    29     17 
19/08/2008  2.2    2.9    26     17 
20/08/2008  7.8    3      28     16.5 
21/08/2008  3.1    4.1    28     16.5 
22/08/2008  0      4.3    27     16.5 
23/08/2008  0      5.4    28.5   16 
24/08/2008  0      4.8    29.5   16 
25/08/2008  8.3    4.4    30     16.5 
26/08/2008  27.8   2.1    23     17 
27/08/2008  11.9   2.6    24.5   17 
28/08/2008  0      3.5    27     17 
29/08/2008  14.5   4.2    28     16.5 
30/08/2008  9.8    3.9    27.5   16.5 
31/08/2008  2.3    4.5    27     16 
01/09/2008  1.2    4.4    28     16 
02/09/2008  14.7   4.1    29     16.5 
03/09/2008  5.9    4.8    29     15 
04/09/2008  0      5      29     16 
05/09/2008  0      5.2    28     14 
06/09/2008  0      5.2    27     14.5 
07/09/2008  19.5   3.9    27.5   15 
08/09/2008  5.2    2.4    25.5   18 
09/09/2008  5.2    2.8    27     18 
10/09/2008  0.8    2.4    26.5   17.5 
11/09/2008  2.5    1.7    26     17.5 
12/09/2008  0      3.8    29     17 
13/09/2008  21     2.6    30     17 
14/09/2008  9      2.4    26     16.5 
15/09/2008  37     3.8    21     16 
16/09/2008  0.1    2.8    24.5   16 
17/09/2008  0      3.7    26     16 
18/09/2008  3.7    2.9    28     14.5 
19/09/2008  30.9   3.8    26     14 
20/09/2008  0.9    3.3    27     16 
21/09/2008  0      3.8    27     14 
22/09/2008  11.2   2.6    25     13.5 
23/09/2008  0      3      26.5   15 
24/09/2008  3.2    3.2    27     17 
25/09/2008  0      3.6    24     15 
26/09/2008  0      3.8    27     13.5 
27/09/2008  0.6    3.8    28     14 
28/09/2008  0      4.4    28     13.5 
29/09/2008  0      4.8    27     11.5 
30/09/2008  0      4.4    27.5   9.5 
01/10/2008  0      4.4    27     8 
02/10/2008  0      4      27.5   7 
03/10/2008  0      3.8    28.5   7.5 
04/10/2008  0      3.9    29     8.5 
05/10/2008  0      3.8    29     9 
06/10/2008  1.3    3.8    29     9 
07/10/2008  4.1    3.6    29.5   14 
08/10/2008  4.8    2.2    24     14 
09/10/2008  0      3.3    28     15 
10/10/2008  0.7    3.5    28     14 
11/10/2008  1.9    1.1    26     16 
12/10/2008  0      3.8    27     16.5 
13/10/2008  0      3.8    29     16.5 
14/10/2008  0      3.7    29     14 
15/10/2008  3.8    4.4    28     13 
16/10/2008  0      3.4    28.5   12 
17/10/2008  0.8    3.4    28     11 
18/10/2008  0      3      25     12 
19/10/2008  0      3.8    27.5   11.5 
20/10/2008  0      3.8    27.5   11 
21/10/2008  0      3.7    27     11 
22/10/2008  3.9    3.6    28.5   12 
23/10/2008  0      4.1    28     12 
24/10/2008  0.1    1      22     12 
25/10/2008  0      2.9    26.5   13.5 
26/10/2008  0      4.4    29     12 
27/10/2008  0      5.5    24     10 
28/10/2008  0      4.6    22     11 
29/10/2008  0      2.4    22     9 
